Kurs:;31;;54;;20;;11;;70;;70;;70;;14;;56;;33;;11;;14;;56;;33;;10;;11;;12;;14;;15;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;43;;22;;14;;41;;25;;18;;34;;51;;52;;54;;55;;31;;18;;34;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lößnig;00:14;00:14;00:43;00:43;00:53;00:53;01:23;01:29;01:46;01:46;02:57;02:57;04:13;04:13;04:44;04:44;05:14;05:14;05:44;05:44;06:14;06:14;06:44;06:43;07:14;07:14;07:44;07:44;08:06;08:05;08:21;08:21;08:36;08:36;08:51;08:51;09:06;09:06;09:21;09:21;09:36;09:36;;;09:51;09:51;10:03;10:03;10:13;10:13;10:23;10:24;10:33;10:33;10:43;10:43;10:53;10:53;11:03;11:03;11:13;11:12;11:23;11:23;11:33;11:32;11:43;11:43;11:53;11:54;12:03;12:03;12:13;12:13;12:23;12:23;12:33;12:33;12:43;12:42;12:53;12:53;13:03;13:03;13:13;13:12;13:23;13:24;13:33;13:33;13:43;13:43;13:53;13:53;14:03;14:03;14:13;14:13;14:23;14:22;14:33;14:33;14:43;14:43;14:53;14:53;15:03;15:02;15:13;15:12;15:23;15:23;15:33;15:33;15:43;15:43;15:53;15:53;16:03;16:02;16:13;16:13;16:23;16:23;16:33;16:33;16:43;16:42;16:53;16:52;17:03;17:03;17:13;17:13;17:23;17:23;17:33;17:33;17:43;17:43;17:53;17:53;18:03;18:03;18:13;18:12;18:23;18:22;18:36;18:35;18:43;18:45;18:51;18:51;19:06;19:06;19:13;19:13;19:21;19:20;19:36;19:36;19:51;19:51;20:06;20:06;20:21;20:21;20:36;20:36;20:51;20:51;21:06;21:05;21:18;21:17;21:33;21:33;21:48;21:48;22:03;22:03;22:14;22:14;22:29;22:28;22:44;22:43;22:59;22:59;23:14;23:13;23:44;23:44
Moritz Hof;00:15;00:15;00:44;00:44;00:54;00:53;01:24;01:30;01:47;01:47;02:58;02:58;04:14;04:14;04:45;04:45;05:15;05:15;05:45;05:45;06:15;06:15;06:45;06:45;07:15;07:15;07:45;07:46;08:07;08:07;08:22;08:22;08:37;08:37;08:52;08:52;09:07;09:07;09:22;09:22;09:37;09:37;;;09:52;09:52;10:04;10:04;10:14;10:15;10:24;10:25;10:34;10:34;10:44;10:44;10:54;10:54;11:04;11:04;11:14;11:14;11:24;11:24;11:34;11:34;11:44;11:44;11:54;11:55;12:04;12:05;12:14;12:14;12:24;12:24;12:34;12:34;12:44;12:43;12:54;12:54;13:04;13:05;13:14;13:14;13:24;13:26;13:34;13:35;13:44;13:44;13:54;13:54;14:04;14:05;14:14;14:14;14:24;14:23;14:34;14:34;14:44;14:44;14:54;14:54;15:04;15:04;15:14;15:14;15:24;15:24;15:34;15:34;15:44;15:44;15:54;15:54;16:04;16:03;16:14;16:14;16:24;16:24;16:34;16:34;16:44;16:44;16:54;16:54;17:04;17:04;17:14;17:14;17:24;17:24;17:34;17:34;17:44;17:44;17:54;17:55;18:04;18:04;18:14;18:14;18:24;18:24;18:37;18:37;18:44;18:46;18:52;18:52;19:07;19:07;19:14;19:14;19:22;19:22;19:37;19:37;19:52;19:52;20:07;20:07;20:22;20:22;20:37;20:37;20:52;20:52;21:07;21:07;21:19;21:19;21:34;21:34;21:49;21:49;22:04;22:04;22:15;22:15;22:30;22:29;22:45;22:45;23:00;23:00;23:15;23:15;23:45;23:45
An der Märchenwiese;00:16;00:16;00:45;00:45;00:55;00:54;01:25;01:31;01:48;01:48;02:59;02:59;04:15;04:15;04:46;04:46;05:16;05:17;05:46;05:46;06:16;06:16;06:46;06:46;07:16;07:17;07:46;07:47;08:08;08:08;08:23;08:23;08:38;08:38;08:53;08:53;09:08;09:09;09:23;09:24;09:38;09:38;;;09:53;09:53;10:05;10:05;10:15;10:16;10:25;10:26;10:35;10:36;10:45;10:46;10:55;10:56;11:05;11:06;11:15;11:15;11:25;11:25;11:35;11:36;11:45;11:45;11:55;11:57;12:05;12:06;12:15;12:15;12:25;12:26;12:35;12:36;12:45;12:44;12:55;12:56;13:05;13:06;13:15;13:15;13:25;13:27;13:35;13:36;13:45;13:46;13:55;13:56;14:05;14:06;14:15;14:15;14:25;14:24;14:35;14:35;14:45;14:45;14:55;14:56;15:05;15:05;15:15;15:15;15:25;15:25;15:35;15:36;15:45;15:45;15:55;15:56;16:05;16:04;16:15;16:15;16:25;16:25;16:35;16:35;16:45;16:45;16:55;16:55;17:05;17:06;17:15;17:15;17:25;17:25;17:35;17:36;17:45;17:45;17:55;17:56;18:05;18:05;18:15;18:15;18:25;18:25;18:38;18:38;18:45;18:47;18:53;18:53;19:08;19:09;19:15;19:16;19:23;19:23;19:38;19:38;19:53;19:53;20:08;20:09;20:23;20:23;20:38;20:38;20:53;20:53;21:08;21:08;21:20;21:20;21:35;21:36;21:50;21:50;22:05;22:05;22:16;22:16;22:31;22:30;22:46;22:46;23:01;23:01;23:16;23:16;23:46;23:46
Triftweg;00:17;00:18;00:46;00:47;00:56;00:55;01:26;01:32;01:49;01:49;03:00;03:00;04:16;04:17;04:47;04:48;05:17;05:18;05:47;05:47;06:17;06:17;06:47;06:48;07:17;07:18;07:47;07:48;08:09;08:09;08:24;08:24;08:39;08:40;08:54;08:54;09:09;09:10;09:24;09:25;09:39;09:40;;;09:54;09:54;10:06;10:07;10:16;10:18;10:26;10:28;10:36;10:37;10:46;10:47;10:56;10:57;11:06;11:07;11:16;11:16;11:26;11:27;11:36;11:37;11:46;11:47;11:56;11:58;12:06;12:07;12:16;12:17;12:26;12:27;12:36;12:37;12:46;12:46;12:56;12:59;13:06;13:07;13:16;13:16;13:26;13:28;13:36;13:38;13:46;13:47;13:56;13:57;14:06;14:08;14:16;14:17;14:26;14:25;14:36;14:36;14:46;14:46;14:56;14:57;15:06;15:06;15:16;15:16;15:26;15:27;15:36;15:37;15:46;15:46;15:56;15:57;16:06;16:06;16:16;16:17;16:26;16:26;16:36;16:37;16:46;16:47;16:56;16:56;17:06;17:07;17:16;17:17;17:26;17:27;17:36;17:37;17:46;17:46;17:56;17:58;18:06;18:06;18:16;18:16;18:26;18:26;18:39;18:40;18:46;18:49;18:54;18:55;19:09;19:10;19:16;19:17;19:24;19:25;19:39;19:39;19:54;19:55;20:09;20:10;20:24;20:25;20:39;20:39;20:54;20:54;21:09;21:09;21:21;21:21;21:36;21:37;21:51;21:51;22:06;22:06;22:17;22:17;22:32;22:31;22:47;22:47;23:02;23:03;23:17;23:17;23:47;23:48
Meusdorfer Straße;00:19;00:19;00:48;00:48;00:58;00:56;01:28;01:34;01:51;01:50;03:02;03:02;04:18;04:18;04:49;04:49;05:19;05:19;05:49;05:49;06:19;06:19;06:49;06:49;07:19;07:20;07:49;07:49;08:11;08:11;08:26;08:26;08:41;08:41;08:56;08:56;09:11;09:12;09:26;09:27;09:41;09:41;;;09:56;09:55;10:08;10:08;10:18;10:19;10:28;10:30;10:38;10:38;10:48;10:49;10:58;10:58;11:08;11:09;11:18;11:18;11:28;11:28;11:38;11:38;11:48;11:48;11:58;12:00;12:08;12:08;12:18;12:18;12:28;12:28;12:38;12:38;12:48;12:47;12:58;13:00;13:08;13:08;13:18;13:17;13:28;13:30;13:38;13:39;13:48;13:48;13:58;13:58;14:08;14:10;14:18;14:18;14:28;14:27;14:38;14:38;14:48;14:48;14:58;14:58;15:08;15:08;15:18;15:18;15:28;15:28;15:38;15:38;15:48;15:48;15:58;15:58;16:08;16:07;16:18;16:18;16:28;16:28;16:38;16:38;16:48;16:48;16:58;16:58;17:08;17:09;17:18;17:18;17:28;17:28;17:38;17:39;17:48;17:48;17:58;17:59;18:08;18:08;18:18;18:17;18:28;18:28;18:41;18:41;18:48;18:50;18:56;18:56;19:11;19:11;19:18;19:18;19:26;19:26;19:41;19:41;19:56;19:56;20:11;20:11;20:26;20:27;20:41;20:41;20:56;20:56;21:11;21:11;21:23;21:23;21:38;21:38;21:53;21:53;22:08;22:07;22:19;22:19;22:34;22:32;22:49;22:49;23:04;23:04;23:19;23:18;23:49;23:49
A.-Nitzsche-/A-Hoffm.-S.;00:20;00:20;00:49;00:49;00:59;00:57;01:29;01:34;01:52;01:51;03:03;03:03;04:19;04:19;04:50;04:50;05:20;05:20;05:50;05:49;06:20;06:20;06:50;06:50;07:20;07:21;07:50;07:50;08:12;08:12;08:27;08:27;08:42;08:43;08:57;08:57;09:12;09:13;09:27;09:28;09:42;09:42;;;09:57;09:57;10:09;10:09;10:19;10:21;10:29;10:31;10:39;10:40;10:49;10:50;10:59;10:59;11:09;11:10;11:19;11:19;11:29;11:30;11:39;11:40;11:49;11:49;11:59;12:01;12:09;12:09;12:19;12:20;12:29;12:29;12:39;12:40;12:49;12:49;12:59;13:02;13:09;13:09;13:19;13:19;13:29;13:31;13:39;13:41;13:49;13:50;13:59;13:59;14:09;14:11;14:19;14:20;14:29;14:28;14:39;14:39;14:49;14:49;14:59;14:59;15:09;15:09;15:19;15:19;15:29;15:29;15:39;15:40;15:49;15:49;15:59;15:59;16:09;16:08;16:19;16:19;16:29;16:29;16:39;16:39;16:49;16:49;16:59;16:59;17:09;17:10;17:19;17:19;17:29;17:29;17:39;17:40;17:49;17:49;17:59;18:01;18:09;18:09;18:19;18:19;18:29;18:29;18:42;18:42;18:49;18:52;18:57;18:58;19:12;19:12;19:19;19:19;19:27;19:27;19:42;19:42;19:57;19:57;20:12;20:12;20:27;20:28;20:42;20:42;20:57;20:57;21:12;21:12;21:24;21:24;21:39;21:39;21:54;21:54;22:09;22:08;22:20;22:20;22:35;22:33;22:50;22:50;23:05;23:05;23:20;23:20;23:50;23:50
Wiedebachplatz;00:21;00:21;00:50;00:50;01:00;00:57;01:30;01:35;01:53;01:52;03:04;03:03;04:20;04:20;04:51;04:51;05:21;05:21;05:51;05:50;06:21;06:21;06:51;06:51;07:21;07:22;07:51;07:51;08:13;08:13;08:28;08:28;08:43;08:44;08:58;08:58;09:13;09:14;09:28;09:29;09:43;09:44;;;09:58;09:58;10:10;10:10;10:20;10:21;10:30;10:32;10:40;10:41;10:50;10:51;11:00;11:00;11:10;11:11;11:20;11:20;11:30;11:31;11:40;11:41;11:50;11:50;12:00;12:02;12:10;12:10;12:20;12:21;12:30;12:30;12:40;12:41;12:50;12:50;13:00;13:03;13:10;13:10;13:20;13:20;13:30;13:32;13:40;13:42;13:50;13:51;14:00;14:00;14:10;14:12;14:20;14:20;14:30;14:29;14:40;14:40;14:50;14:50;15:00;15:00;15:10;15:10;15:20;15:20;15:30;15:31;15:40;15:41;15:50;15:50;16:00;16:00;16:10;16:09;16:20;16:20;16:30;16:30;16:40;16:40;16:50;16:50;17:00;17:00;17:10;17:11;17:20;17:20;17:30;17:31;17:40;17:41;17:50;17:50;18:00;18:02;18:10;18:10;18:20;18:19;18:30;18:30;18:43;18:43;18:50;18:53;18:58;18:59;19:13;19:13;19:20;19:20;19:28;19:28;19:43;19:43;19:58;19:58;20:13;20:14;20:28;20:29;20:43;20:43;20:58;20:58;21:13;21:13;21:25;21:25;21:40;21:40;21:55;21:55;22:10;22:09;22:21;22:21;22:36;22:34;22:51;22:51;23:06;23:06;23:21;23:21;23:51;23:51
Connewitz Kreuz;;;;;;;;;01:55;01:54;03:06;03:07;04:22;04:21;04:53;04:52;05:23;05:22;05:53;05:51;06:23;06:22;06:53;06:52;07:23;07:23;07:53;07:52;08:15;08:14;08:30;08:30;08:45;08:45;09:00;08:59;09:15;09:16;09:30;09:30;09:45;09:45;09:55;09:56;10:00;09:59;10:12;10:12;10:22;10:23;10:32;10:33;10:42;10:42;10:52;10:53;11:02;11:02;11:12;11:13;11:22;11:22;11:32;11:33;11:42;11:42;11:52;11:52;12:02;12:04;12:12;12:12;12:22;12:22;12:32;12:32;12:42;12:42;12:52;12:52;13:02;13:04;13:12;13:13;13:22;13:22;13:32;13:34;13:42;13:44;13:52;13:53;14:02;14:02;14:12;14:13;14:22;14:22;14:32;14:31;14:42;14:42;14:52;14:52;15:02;15:02;15:12;15:12;15:22;15:22;15:32;15:34;15:42;15:43;15:52;15:52;16:02;16:02;16:12;16:12;16:22;16:23;16:32;16:31;16:42;16:42;16:52;16:52;17:02;17:02;17:12;17:13;17:22;17:22;17:32;17:32;17:42;17:43;17:52;17:52;18:02;18:04;18:12;18:12;18:22;18:21;18:32;18:32;18:45;18:45;;;19:00;19:01;19:15;19:15;;;19:30;19:30;19:45;19:45;20:00;20:00;20:15;20:15;20:30;20:31;20:45;20:45;21:00;21:00;21:15;21:15;21:27;21:26;21:42;21:41;21:57;21:56;22:12;22:10;22:23;22:22;;;22:53;22:52;;;23:23;23:22;23:53;23:52
Richard-Lehmann-Straße, HTWK;;;;;;;;;01:56;01:56;03:07;03:08;04:23;04:22;;;;;;;;;;;;;;;08:16;08:16;08:31;08:32;08:46;08:47;09:01;09:01;09:16;09:17;09:31;09:32;09:46;09:48;09:56;09:57;10:01;10:01;10:13;10:14;10:23;10:25;10:33;10:35;10:43;10:44;10:53;10:54;11:03;11:04;11:13;11:15;11:23;11:23;11:33;11:35;11:43;11:44;11:53;11:54;12:03;12:06;12:13;12:13;12:23;12:24;12:33;12:34;12:43;12:44;12:53;12:54;13:03;13:06;13:13;13:15;13:23;13:23;13:33;13:36;13:43;13:46;13:53;13:55;14:03;14:04;14:13;14:15;14:23;14:24;14:33;14:33;14:43;14:43;14:53;14:54;15:03;15:04;15:13;15:14;15:23;15:23;15:33;15:35;15:43;15:44;15:53;15:54;16:03;16:04;16:13;16:14;16:23;16:24;16:33;16:34;16:43;16:43;16:53;16:54;17:03;17:03;17:13;17:15;17:23;17:24;17:33;17:34;17:43;17:44;17:53;17:54;18:03;18:06;18:13;18:13;18:23;18:23;18:33;18:34;18:46;18:47;;;19:01;19:03;19:16;19:17;;;19:31;19:32;19:46;19:47;20:01;20:02;20:16;20:17;20:31;20:32;20:46;20:46;21:01;21:02;21:16;21:17;;;;;;;;;;;;;;;;;;;;
