Kurs:;55;;51;;54;;51;;54;;51;;54;;51;;53;;54;;56;;51;;53;;54;;56;;51;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;52;;53;;54;;55;;56;;51;;53;;54;;56;;51;;53;;54;;56;;51;;53;;54;;56;;51;;54;;56;;54;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Augustusplatz;00:16;00:16;04:18;04:18;04:46;04:46;05:16;05:16;05:46;05:46;06:16;06:16;06:46;06:46;07:16;07:16;07:35;07:37;07:46;07:47;08:05;08:06;08:16;08:16;08:35;08:36;08:50;08:50;09:05;09:05;09:20;09:19;09:35;09:36;09:50;09:51;09:58;09:57;10:05;10:06;10:20;10:20;10:30;10:33;10:40;10:42;10:50;10:50;11:00;11:01;11:10;11:10;11:20;11:21;11:30;11:30;11:40;11:40;11:50;11:49;12:00;12:00;12:10;12:11;12:20;12:22;12:30;12:34;12:40;12:40;12:50;12:51;13:00;13:00;13:10;13:10;13:20;13:21;13:30;13:33;13:40;13:40;13:50;13:51;14:00;14:00;14:10;14:10;14:20;14:21;14:30;14:30;14:40;14:40;14:50;14:50;15:00;15:02;15:10;15:10;15:20;15:21;15:30;15:32;15:40;15:41;15:50;15:51;16:00;16:02;16:10;16:11;16:20;16:21;16:30;16:31;16:40;16:42;16:50;16:49;17:00;17:02;17:10;17:10;17:20;17:21;17:30;17:31;17:40;17:40;17:50;17:50;18:00;18:00;18:10;18:10;18:20;18:21;18:30;18:31;18:40;18:42;18:50;18:52;19:00;19:00;19:10;19:10;19:20;19:21;19:35;19:36;19:50;19:49;20:05;20:06;20:20;20:21;20:35;20:36;20:50;20:51;21:05;21:06;21:20;21:21;21:35;21:36;21:50;21:50;22:05;22:04;22:20;22:21;22:46;22:45;23:16;23:16;23:46;23:46
Hauptbahnhof;00:19;00:19;04:21;04:21;04:49;04:49;05:19;05:19;05:49;05:49;06:19;06:19;06:49;06:49;07:19;07:19;07:38;07:46;07:49;07:51;08:08;08:09;08:19;08:19;08:38;08:39;08:53;08:54;09:08;09:09;09:23;09:22;09:38;09:39;09:53;09:54;10:01;10:00;10:08;10:09;10:23;10:24;10:33;10:36;10:43;10:45;10:53;10:52;11:03;11:04;11:13;11:13;11:23;11:25;11:33;11:33;11:43;11:43;11:53;11:52;12:03;12:03;12:13;12:13;12:23;12:25;12:33;12:37;12:43;12:43;12:53;12:54;13:03;13:03;13:13;13:13;13:23;13:25;13:33;13:36;13:43;13:43;13:53;13:54;14:03;14:03;14:13;14:13;14:23;14:24;14:33;14:33;14:43;14:43;14:53;14:54;15:03;15:06;15:13;15:13;15:23;15:24;15:33;15:34;15:43;15:45;15:53;15:54;16:03;16:06;16:13;16:13;16:23;16:24;16:33;16:34;16:43;16:45;16:53;16:52;17:03;17:06;17:13;17:13;17:23;17:24;17:33;17:34;17:43;17:43;17:53;17:52;18:03;18:03;18:13;18:15;18:23;18:24;18:33;18:34;18:43;18:45;18:53;18:55;19:03;19:03;19:13;19:13;19:23;19:24;19:38;19:39;19:53;19:52;20:08;20:09;20:23;20:24;20:38;20:39;20:53;20:54;21:08;21:09;21:23;21:24;21:38;21:39;21:53;21:52;22:08;22:07;22:23;22:24;22:49;22:48;23:19;23:19;23:49;23:49
Goerdelerring;00:22;00:22;04:23;04:23;04:52;04:52;05:22;05:23;05:52;05:52;06:22;06:22;06:52;06:52;07:22;07:22;07:40;07:49;07:52;07:54;08:10;08:12;08:22;08:22;08:40;08:41;08:55;08:56;09:10;09:12;09:25;09:25;09:40;09:41;09:55;09:57;10:03;10:03;10:10;10:12;10:25;10:26;10:35;10:39;10:45;10:47;10:55;10:55;11:05;11:07;11:15;11:16;11:25;11:28;11:35;11:36;11:45;11:46;11:55;11:55;12:05;12:06;12:15;12:16;12:25;12:28;12:35;12:40;12:45;12:46;12:55;12:57;13:05;13:06;13:15;13:16;13:25;13:28;13:35;13:39;13:45;13:46;13:55;13:57;14:05;14:05;14:15;14:16;14:25;14:28;14:35;14:36;14:45;14:46;14:55;14:58;15:05;15:09;15:15;15:16;15:25;15:26;15:35;15:38;15:45;15:47;15:55;15:57;16:05;16:08;16:15;16:16;16:25;16:28;16:35;16:37;16:45;16:48;16:55;16:55;17:05;17:09;17:15;17:16;17:25;17:27;17:35;17:37;17:45;17:46;17:55;17:55;18:05;18:06;18:15;18:18;18:25;18:27;18:35;18:39;18:45;18:51;18:55;18:58;19:05;19:05;19:15;19:16;19:25;19:26;19:40;19:42;19:55;19:55;20:10;20:11;20:25;20:26;20:40;20:42;20:55;20:56;21:10;21:11;21:25;21:26;21:40;21:42;21:55;21:55;22:10;22:10;22:25;22:26;22:52;22:52;23:22;23:23;23:52;23:54
Lortzingstraße;00:23;00:23;04:24;04:24;04:53;04:53;05:23;05:24;05:53;05:53;06:23;06:23;06:53;06:53;07:23;07:23;07:41;07:50;07:53;07:54;08:11;08:12;08:23;08:23;08:41;08:42;08:56;08:57;09:11;09:13;09:26;09:26;09:41;09:42;09:56;09:57;10:04;10:03;10:11;10:12;10:26;10:27;10:36;10:39;10:46;10:48;10:56;10:56;11:06;11:08;11:16;11:17;11:26;11:29;11:36;11:36;11:46;11:47;11:56;11:56;12:06;12:07;12:16;12:17;12:26;12:29;12:36;12:41;12:46;12:47;12:56;12:58;13:06;13:07;13:16;13:17;13:26;13:29;13:36;13:39;13:46;13:47;13:56;13:58;14:06;14:06;14:16;14:17;14:26;14:29;14:36;14:36;14:46;14:47;14:56;14:59;15:06;15:09;15:16;15:17;15:26;15:27;15:36;15:39;15:46;15:48;15:56;15:58;16:06;16:09;16:16;16:17;16:26;16:29;16:36;16:38;16:46;16:49;16:56;16:56;17:06;17:10;17:16;17:17;17:26;17:28;17:36;17:38;17:46;17:47;17:56;17:56;18:06;18:06;18:16;18:19;18:26;18:28;18:36;18:39;18:46;18:51;18:56;18:59;19:06;19:06;19:16;19:17;19:26;19:27;19:41;19:42;19:56;19:56;20:11;20:12;20:26;20:27;20:41;20:42;20:56;20:57;21:11;21:12;21:26;21:27;21:41;21:43;21:56;21:56;22:11;22:11;22:26;22:27;22:53;22:53;23:23;23:24;23:53;23:54
Zoo;00:24;00:24;04:25;04:25;04:54;04:54;05:24;05:26;05:54;05:54;06:24;06:24;06:54;06:54;07:24;07:24;07:42;07:51;07:54;07:55;08:12;08:13;08:24;08:24;08:42;08:43;08:57;08:58;09:12;09:14;09:27;09:27;09:42;09:43;09:57;09:59;10:05;10:04;10:12;10:14;10:27;10:29;10:38;10:41;10:48;10:50;10:58;10:57;11:08;11:10;11:18;11:18;11:28;11:30;11:38;11:38;11:48;11:48;11:58;11:57;12:08;12:08;12:18;12:18;12:28;12:30;12:38;12:42;12:48;12:48;12:58;12:59;13:08;13:08;13:18;13:18;13:28;13:30;13:38;13:41;13:48;13:48;13:58;13:59;14:08;14:07;14:18;14:18;14:28;14:30;14:38;14:38;14:48;14:48;14:58;15:00;15:08;15:10;15:18;15:18;15:28;15:28;15:38;15:40;15:48;15:50;15:58;15:59;16:08;16:11;16:18;16:18;16:28;16:30;16:38;16:39;16:48;16:50;16:58;16:57;17:08;17:11;17:18;17:18;17:28;17:29;17:38;17:39;17:48;17:48;17:58;17:57;18:08;18:07;18:18;18:20;18:28;18:29;18:38;18:41;18:48;18:52;18:58;19:00;19:08;19:07;19:17;19:18;19:27;19:28;19:42;19:44;19:57;19:57;20:12;20:13;20:27;20:29;20:42;20:44;20:57;20:58;21:12;21:13;21:27;21:29;21:42;21:44;21:57;21:57;22:12;22:12;22:27;22:28;22:54;22:54;23:24;23:25;23:54;23:55
Nordplatz;00:25;00:25;04:26;04:26;04:55;04:55;05:25;05:27;05:55;05:55;06:25;06:25;06:55;06:55;07:25;07:25;07:43;07:52;07:55;07:56;08:13;08:15;08:25;08:25;08:43;08:45;08:58;08:59;09:13;09:15;09:28;09:28;09:43;09:45;09:58;10:00;10:06;10:05;10:13;10:15;10:28;10:30;10:39;10:42;10:49;10:51;10:59;10:58;11:09;11:11;11:19;11:20;11:29;11:31;11:39;11:39;11:49;11:50;11:59;11:58;12:09;12:09;12:19;12:19;12:29;12:31;12:39;12:43;12:49;12:49;12:59;13:00;13:09;13:09;13:19;13:19;13:29;13:32;13:39;13:42;13:49;13:49;13:59;14:00;14:09;14:09;14:19;14:19;14:29;14:32;14:39;14:39;14:49;14:49;14:59;15:01;15:09;15:12;15:19;15:19;15:29;15:30;15:39;15:42;15:49;15:51;15:59;16:00;16:09;16:12;16:19;16:19;16:29;16:31;16:39;16:40;16:49;16:51;16:59;16:59;17:09;17:12;17:19;17:19;17:29;17:30;17:39;17:40;17:49;17:50;17:59;17:59;18:09;18:09;18:19;18:21;18:29;18:30;18:39;18:43;18:49;18:54;18:59;19:01;19:09;19:09;19:18;19:19;19:28;19:30;19:43;19:45;19:58;19:58;20:13;20:14;20:28;20:30;20:43;20:45;20:58;21:00;21:13;21:15;21:28;21:30;21:43;21:45;21:58;21:58;22:13;22:13;22:28;22:29;22:55;22:55;23:25;23:26;23:55;23:56
Springerstraße;00:26;00:26;04:27;04:27;04:56;04:56;05:26;05:28;05:56;05:56;06:26;06:26;06:56;06:56;07:26;07:26;07:44;07:53;07:56;07:57;08:14;08:16;08:26;08:26;08:44;08:46;08:59;09:00;09:14;09:16;09:29;09:29;09:44;09:46;09:59;10:01;10:07;10:06;10:14;10:16;10:29;10:31;10:40;10:43;10:50;10:52;11:00;10:59;11:10;11:12;11:20;11:21;11:30;11:32;11:40;11:40;11:50;11:51;12:00;11:59;12:10;12:10;12:20;12:20;12:30;12:32;12:40;12:44;12:50;12:50;13:00;13:01;13:10;13:10;13:20;13:20;13:30;13:33;13:40;13:43;13:50;13:50;14:00;14:02;14:10;14:10;14:20;14:20;14:30;14:33;14:40;14:40;14:50;14:50;15:00;15:02;15:10;15:12;15:20;15:20;15:30;15:31;15:40;15:43;15:50;15:52;16:00;16:01;16:10;16:13;16:20;16:20;16:30;16:32;16:40;16:41;16:50;16:52;17:00;17:00;17:10;17:14;17:20;17:20;17:30;17:31;17:40;17:41;17:50;17:51;18:00;18:00;18:10;18:10;18:20;18:22;18:30;18:31;18:40;18:44;18:50;18:54;19:00;19:02;19:10;19:10;19:19;19:20;19:29;19:31;19:44;19:46;19:59;19:59;20:14;20:15;20:29;20:31;20:44;20:46;20:59;21:01;21:14;21:16;21:29;21:31;21:44;21:46;21:59;21:59;22:14;22:14;22:29;22:30;22:56;22:56;23:26;23:27;23:56;23:57
Fritz-Seger-Straße;00:27;00:27;04:28;04:28;04:57;04:57;05:27;05:28;05:57;05:57;06:27;06:26;06:57;06:57;07:27;07:26;07:45;07:54;07:57;07:58;08:15;08:16;08:27;08:27;08:45;08:46;09:00;09:01;09:15;09:17;09:30;09:30;09:45;09:47;10:00;10:02;10:08;10:07;10:15;10:17;10:30;10:32;10:41;10:44;10:51;10:53;11:01;11:00;11:11;11:12;11:21;11:22;11:31;11:33;11:41;11:41;11:51;11:52;12:01;12:00;12:11;12:11;12:21;12:21;12:31;12:33;12:41;12:45;12:51;12:51;13:01;13:02;13:11;13:11;13:21;13:21;13:31;13:34;13:41;13:44;13:51;13:51;14:01;14:03;14:11;14:11;14:21;14:21;14:31;14:34;14:41;14:41;14:51;14:51;15:01;15:03;15:11;15:13;15:21;15:21;15:31;15:32;15:41;15:44;15:51;15:53;16:01;16:02;16:11;16:14;16:21;16:21;16:31;16:33;16:41;16:42;16:51;16:54;17:01;17:01;17:11;17:15;17:21;17:21;17:31;17:32;17:41;17:42;17:51;17:52;18:01;18:01;18:11;18:11;18:21;18:22;18:31;18:32;18:41;18:44;18:51;18:55;19:01;19:03;19:11;19:11;19:20;19:21;19:30;19:31;19:45;19:47;20:00;20:00;20:15;20:16;20:30;20:32;20:45;20:47;21:00;21:02;21:15;21:16;21:30;21:32;21:45;21:47;22:00;22:00;22:15;22:15;22:30;22:31;22:57;22:57;23:27;23:28;23:57;23:58
G.-Schumann-/Lützowstr.;00:29;00:29;04:30;04:30;04:59;04:59;05:29;05:30;05:59;05:59;06:29;06:29;06:59;06:59;07:29;07:28;07:47;07:56;07:59;07:59;08:17;08:19;08:29;08:29;08:47;08:49;09:02;09:02;09:17;09:19;09:32;09:32;09:47;09:49;10:02;10:04;10:10;10:08;10:17;10:19;10:32;10:34;10:43;10:46;10:53;10:55;11:03;11:02;11:13;11:14;11:23;11:23;11:33;11:34;11:43;11:44;11:53;11:55;12:03;12:03;12:13;12:13;12:23;12:23;12:33;12:35;12:43;12:47;12:53;12:54;13:03;13:04;13:13;13:13;13:23;13:23;13:33;13:35;13:43;13:46;13:53;13:53;14:03;14:05;14:13;14:13;14:23;14:22;14:33;14:35;14:43;14:43;14:53;14:53;15:03;15:05;15:13;15:16;15:23;15:23;15:33;15:34;15:43;15:45;15:53;15:55;16:03;16:04;16:13;16:16;16:23;16:23;16:33;16:35;16:43;16:44;16:53;16:56;17:03;17:02;17:13;17:17;17:23;17:23;17:33;17:34;17:43;17:45;17:53;17:53;18:03;18:03;18:13;18:13;18:23;18:24;18:33;18:34;18:43;18:46;18:53;18:58;19:03;19:05;19:13;19:13;19:22;19:23;19:32;19:34;19:47;19:49;20:02;20:02;20:17;20:17;20:32;20:34;20:47;20:49;21:02;21:04;21:17;21:19;21:32;21:34;21:47;21:49;22:02;22:02;22:17;22:17;22:32;22:34;22:59;22:58;23:29;23:29;23:59;23:59
