Kurs:;45;;49;;52;;46;;51;;49;;43;;44;;46;;49;;51;;43;;41;;44;;45;;46;;48;;49;;51;;41;;52;;43;;42;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;44;;45;;47;;49;;50;;52;;41;;40;;42;;44;;45;;47;;49;;50;;52;;40;;42;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Miltitz;00:37;00:37;00:50;00:50;01:18;01:18;;;04:39;04:39;;;05:09;05:10;05:39;05:39;06:09;06:09;06:39;06:39;07:09;07:09;07:39;07:39;;;08:00;08:00;08:15;08:15;08:30;08:30;08:45;08:45;09:00;09:00;09:15;09:15;09:30;09:30;;;09:45;09:45;;;10:00;10:00;10:10;10:10;10:20;10:21;10:30;10:30;10:40;10:40;10:50;10:51;11:00;11:00;11:10;11:10;11:20;11:20;11:30;11:30;11:40;11:40;11:50;11:50;12:00;12:00;12:10;12:10;12:20;12:20;12:30;12:30;12:40;12:40;12:50;12:50;13:00;13:00;13:10;13:11;13:20;13:20;13:30;13:30;13:40;13:40;13:50;13:50;14:00;14:00;14:10;14:10;14:20;14:20;14:30;14:30;14:40;14:40;14:50;14:50;15:00;15:00;15:10;15:11;15:20;15:20;15:30;15:30;15:40;15:40;15:50;15:50;16:00;16:00;16:10;16:10;16:20;16:20;16:30;16:30;16:40;16:40;16:50;16:50;17:00;17:00;17:10;17:10;17:20;17:20;17:30;17:30;17:40;17:40;17:50;17:50;18:00;18:00;18:10;18:10;18:20;18:20;18:30;18:30;18:37;18:37;18:45;18:45;19:00;19:00;19:02;19:02;19:15;19:15;19:30;19:30;19:45;19:45;20:00;20:00;20:15;20:15;20:30;20:30;20:45;20:45;21:00;21:00;21:15;21:15;21:30;21:30;;;21:45;21:45;22:00;22:00;22:09;22:09;22:19;22:19;22:39;22:39;22:49;22:51;23:09;23:09;23:39;23:39;23:49;23:49
Saturnstraße;00:38;00:38;00:51;00:51;01:19;01:18;;;04:40;04:40;;;05:10;05:11;05:40;05:40;06:10;06:09;06:40;06:40;07:10;07:10;07:40;07:40;;;08:01;08:01;08:16;08:15;08:31;08:31;08:46;08:46;09:01;09:01;09:16;09:15;09:31;09:31;;;09:46;09:46;;;10:01;10:01;10:11;10:11;10:21;10:22;10:31;10:31;10:41;10:41;10:51;10:52;11:01;11:01;11:11;11:11;11:21;11:21;11:31;11:30;11:41;11:41;11:51;11:51;12:01;12:01;12:11;12:11;12:21;12:21;12:31;12:31;12:41;12:40;12:51;12:50;13:01;13:01;13:11;13:12;13:21;13:21;13:31;13:31;13:41;13:41;13:51;13:51;14:01;14:01;14:11;14:11;14:21;14:21;14:31;14:31;14:41;14:41;14:51;14:51;15:01;15:01;15:11;15:12;15:21;15:21;15:31;15:31;15:41;15:41;15:51;15:51;16:01;16:01;16:11;16:10;16:21;16:21;16:31;16:31;16:41;16:41;16:51;16:51;17:01;17:00;17:11;17:11;17:21;17:21;17:31;17:31;17:41;17:41;17:51;17:51;18:01;18:00;18:11;18:11;18:21;18:21;18:31;18:31;18:38;18:38;18:46;18:46;19:01;19:00;19:03;19:03;19:16;19:15;19:31;19:31;19:46;19:46;20:01;20:01;20:16;20:16;20:31;20:31;20:46;20:46;21:01;21:01;21:16;21:16;21:31;21:31;;;21:46;21:46;22:01;22:01;22:10;22:10;22:20;22:20;22:40;22:40;22:50;22:51;23:10;23:10;23:40;23:39;23:50;23:50
Jupiterstraße;00:39;00:39;00:52;00:51;01:20;01:19;;;04:41;04:41;;;05:11;05:12;05:41;05:41;06:11;06:10;06:41;06:41;07:11;07:11;07:41;07:41;;;08:02;08:02;08:17;08:16;08:32;08:32;08:47;08:47;09:02;09:02;09:17;09:16;09:32;09:32;;;09:47;09:47;;;10:02;10:02;10:12;10:12;10:22;10:22;10:32;10:32;10:42;10:42;10:52;10:53;11:02;11:02;11:12;11:11;11:22;11:22;11:32;11:31;11:42;11:42;11:52;11:52;12:02;12:02;12:12;12:12;12:22;12:25;12:32;12:32;12:42;12:45;12:52;12:51;13:02;13:02;13:12;13:13;13:22;13:22;13:32;13:32;13:42;13:42;13:52;13:52;14:02;14:02;14:12;14:12;14:22;14:22;14:32;14:32;14:42;14:42;14:52;14:52;15:02;15:02;15:12;15:13;15:22;15:22;15:32;15:32;15:42;15:42;15:52;15:52;16:02;16:02;16:12;16:11;16:22;16:22;16:32;16:32;16:42;16:42;16:52;16:52;17:02;17:01;17:12;17:12;17:22;17:22;17:32;17:32;17:42;17:42;17:52;17:52;18:02;18:01;18:12;18:12;18:22;18:21;18:32;18:32;18:39;18:39;18:47;18:47;19:02;19:01;19:04;19:04;19:17;19:16;19:32;19:32;19:47;19:47;20:02;20:02;20:17;20:17;20:32;20:32;20:47;20:47;21:02;21:02;21:17;21:17;21:32;21:32;;;21:47;21:47;22:02;22:02;22:11;22:11;22:21;22:21;22:41;22:41;22:51;22:52;23:11;23:11;23:41;23:40;23:51;23:51
Plovdiver Straße;00:40;00:40;00:53;00:53;01:21;01:20;;;04:42;04:43;;;05:12;05:13;05:42;05:42;06:12;06:11;06:42;06:42;07:12;07:12;07:42;07:42;;;08:03;08:03;08:18;08:17;08:33;08:34;08:48;08:48;09:03;09:03;09:18;09:18;09:33;09:33;;;09:48;09:48;;;10:03;10:03;10:13;10:13;10:23;10:23;10:33;10:33;10:43;10:43;10:53;10:55;11:03;11:03;11:13;11:12;11:23;11:23;11:33;11:32;11:43;11:43;11:53;11:53;12:03;12:03;12:13;12:13;12:23;12:26;12:33;12:33;12:43;12:48;12:53;12:53;13:03;13:03;13:13;13:14;13:23;13:23;13:33;13:33;13:43;13:43;13:53;13:53;14:03;14:03;14:13;14:13;14:23;14:23;14:33;14:33;14:43;14:44;14:53;14:53;15:03;15:03;15:13;15:14;15:23;15:23;15:33;15:33;15:43;15:43;15:53;15:53;16:03;16:03;16:13;16:12;16:23;16:23;16:33;16:33;16:43;16:43;16:53;16:53;17:03;17:02;17:13;17:13;17:23;17:23;17:33;17:33;17:43;17:43;17:53;17:53;18:03;18:03;18:13;18:13;18:23;18:23;18:33;18:33;18:40;18:40;18:48;18:48;19:03;19:02;19:05;19:05;19:18;19:18;19:33;19:33;19:48;19:48;20:03;20:03;20:18;20:18;20:33;20:33;20:48;20:48;21:03;21:03;21:18;21:18;21:33;21:33;;;21:48;21:48;22:03;22:03;22:12;22:12;22:22;22:22;22:42;22:42;22:52;22:53;23:12;23:12;23:42;23:42;23:52;23:52
Kiewer Straße;00:41;00:41;00:54;00:54;01:22;01:22;;;04:43;04:44;;;05:13;05:14;05:43;05:43;06:13;06:13;06:43;06:43;07:13;07:14;07:43;07:43;;;08:04;08:05;08:19;08:20;08:34;08:35;08:49;08:49;09:04;09:05;09:19;09:19;09:34;09:35;;;09:49;09:49;;;10:04;10:05;10:14;10:14;10:24;10:25;10:34;10:34;10:44;10:44;10:54;10:56;11:04;11:05;11:14;11:14;11:24;11:25;11:34;11:34;11:44;11:44;11:54;11:54;12:04;12:05;12:14;12:14;12:24;12:28;12:34;12:34;12:44;12:50;12:54;12:54;13:04;13:05;13:14;13:15;13:24;13:25;13:34;13:35;13:44;13:44;13:54;13:54;14:04;14:05;14:14;14:14;14:24;14:24;14:34;14:35;14:44;14:45;14:54;14:54;15:04;15:04;15:14;15:15;15:24;15:24;15:34;15:35;15:44;15:44;15:54;15:54;16:04;16:04;16:14;16:14;16:24;16:24;16:34;16:35;16:44;16:45;16:54;16:54;17:04;17:04;17:14;17:15;17:24;17:24;17:34;17:35;17:44;17:45;17:54;17:55;18:04;18:04;18:14;18:14;18:24;18:24;18:34;18:35;18:41;18:42;18:49;18:49;19:04;19:04;19:06;19:06;19:19;19:19;19:34;19:35;19:49;19:50;20:04;20:05;20:19;20:20;20:34;20:35;20:49;20:49;21:04;21:04;21:19;21:19;21:34;21:35;;;21:49;21:49;22:04;22:04;22:13;22:14;22:23;22:23;22:43;22:43;22:53;22:55;23:13;23:13;23:43;23:43;23:53;23:53
Am Kirschberg;00:43;00:43;00:56;00:55;01:24;01:23;;;04:45;04:45;;;05:15;05:16;05:45;05:45;06:15;06:14;06:45;06:44;07:15;07:15;07:45;07:45;;;08:06;08:06;08:21;08:21;08:36;08:37;08:51;08:51;09:06;09:06;09:21;09:20;09:36;09:36;;;09:51;09:51;;;10:06;10:06;10:16;10:15;10:26;10:27;10:36;10:36;10:46;10:46;10:56;10:57;11:06;11:06;11:16;11:15;11:26;11:26;11:36;11:35;11:46;11:45;11:56;11:56;12:06;12:06;12:16;12:15;12:26;12:29;12:36;12:36;12:46;12:51;12:56;12:56;13:06;13:06;13:16;13:16;13:26;13:26;13:36;13:36;13:46;13:46;13:56;13:56;14:06;14:06;14:16;14:15;14:26;14:26;14:36;14:36;14:46;14:47;14:56;14:56;15:06;15:06;15:16;15:17;15:26;15:26;15:36;15:36;15:46;15:46;15:56;15:56;16:06;16:06;16:16;16:15;16:26;16:26;16:36;16:36;16:46;16:47;16:56;16:56;17:06;17:05;17:16;17:17;17:26;17:26;17:36;17:36;17:46;17:47;17:56;17:56;18:06;18:05;18:16;18:16;18:26;18:26;18:36;18:36;18:43;18:44;18:51;18:51;19:06;19:06;19:08;19:08;19:21;19:20;19:36;19:36;19:51;19:51;20:06;20:06;20:21;20:21;20:36;20:36;20:51;20:51;21:06;21:06;21:21;21:21;21:36;21:36;;;21:51;21:51;22:06;22:05;22:15;22:15;22:25;22:25;22:45;22:45;22:55;22:56;23:15;23:15;23:45;23:44;23:55;23:54
Schönauer Ring;00:44;00:44;00:57;00:56;01:25;01:25;;;04:46;04:47;;;05:16;05:17;05:46;05:46;06:16;06:15;06:46;06:46;07:16;07:17;07:46;07:47;;;08:07;08:08;08:22;08:22;08:37;08:39;08:52;08:52;09:07;09:08;09:22;09:22;09:37;09:38;;;09:52;09:52;;;10:07;10:08;10:17;10:17;10:27;10:28;10:37;10:38;10:47;10:47;10:57;10:59;11:07;11:08;11:17;11:17;11:27;11:27;11:37;11:36;11:47;11:47;11:57;11:57;12:07;12:08;12:17;12:17;12:27;12:30;12:37;12:38;12:47;12:53;12:57;12:57;13:07;13:08;13:17;13:18;13:27;13:28;13:37;13:38;13:47;13:47;13:57;13:57;14:07;14:08;14:17;14:17;14:27;14:27;14:37;14:38;14:47;14:48;14:57;14:57;15:07;15:07;15:17;15:18;15:27;15:27;15:37;15:38;15:47;15:47;15:57;15:57;16:07;16:07;16:17;16:17;16:27;16:27;16:37;16:37;16:47;16:48;16:57;16:57;17:07;17:06;17:17;17:19;17:27;17:27;17:37;17:38;17:47;17:48;17:57;17:57;18:07;18:06;18:17;18:18;18:27;18:27;18:37;18:38;18:44;18:45;18:52;18:52;19:07;19:07;19:09;19:09;19:22;19:22;19:37;19:38;19:52;19:53;20:07;20:07;20:22;20:23;20:37;20:38;20:52;20:52;21:07;21:07;21:22;21:22;21:37;21:37;;;21:52;21:52;22:07;22:07;22:16;22:17;22:26;22:26;22:46;22:46;22:56;22:57;23:16;23:16;23:46;23:46;23:56;23:56
Parkallee;00:45;00:45;00:58;00:58;01:26;01:26;;;04:47;04:48;;;05:17;05:18;05:47;05:48;06:17;06:17;06:47;06:47;07:17;07:18;07:47;07:48;;;08:08;08:09;08:23;08:23;08:38;08:40;08:53;08:53;09:08;09:09;09:23;09:23;09:38;09:39;;;09:53;09:53;;;10:08;10:09;10:18;10:18;10:28;10:30;10:38;10:39;10:48;10:48;10:58;11:00;11:08;11:09;11:18;11:18;11:28;11:29;11:38;11:38;11:48;11:48;11:58;11:58;12:08;12:10;12:18;12:18;12:28;12:32;12:38;12:39;12:48;12:54;12:58;12:58;13:08;13:09;13:18;13:19;13:28;13:29;13:38;13:39;13:48;13:48;13:58;13:59;14:08;14:09;14:18;14:18;14:28;14:29;14:38;14:39;14:48;14:50;14:58;14:58;15:08;15:08;15:18;15:20;15:28;15:29;15:38;15:39;15:48;15:48;15:58;15:59;16:08;16:08;16:18;16:18;16:28;16:28;16:38;16:38;16:48;16:49;16:58;16:58;17:08;17:08;17:18;17:20;17:28;17:28;17:38;17:39;17:48;17:50;17:58;17:58;18:08;18:08;18:18;18:19;18:28;18:28;18:38;18:39;18:45;18:46;18:53;18:53;19:08;19:08;19:10;19:10;19:23;19:23;19:38;19:40;19:53;19:54;20:08;20:08;20:23;20:24;20:38;20:39;20:53;20:53;21:08;21:08;21:23;21:23;21:38;21:38;;;21:53;21:53;22:08;22:08;22:17;22:18;22:27;22:27;22:47;22:47;22:57;22:58;23:17;23:17;23:47;23:47;23:57;23:57
Grünauer Allee;00:46;00:46;00:59;00:59;01:27;01:27;;;04:48;04:50;;;05:18;05:20;05:48;05:49;06:18;06:18;06:48;06:48;07:18;07:20;07:48;07:50;;;08:09;08:10;08:24;08:24;08:39;08:41;08:54;08:54;09:09;09:10;09:24;09:24;09:39;09:40;;;09:54;09:54;;;10:09;10:11;10:19;10:19;10:29;10:31;10:39;10:40;10:49;10:49;10:59;11:01;11:09;11:11;11:19;11:19;11:29;11:30;11:39;11:39;11:49;11:49;11:59;11:59;12:09;12:11;12:19;12:19;12:29;12:33;12:39;12:40;12:49;12:55;12:59;13:00;13:09;13:11;13:19;13:20;13:29;13:30;13:39;13:40;13:49;13:49;13:59;14:00;14:09;14:10;14:19;14:19;14:29;14:30;14:39;14:41;14:49;14:51;14:59;14:59;15:09;15:09;15:19;15:21;15:29;15:30;15:39;15:40;15:49;15:49;15:59;16:00;16:09;16:09;16:19;16:19;16:29;16:30;16:39;16:39;16:49;16:50;16:59;17:00;17:09;17:09;17:19;17:21;17:29;17:30;17:39;17:41;17:49;17:51;17:59;17:59;18:09;18:09;18:19;18:20;18:29;18:29;18:39;18:40;18:46;18:47;18:54;18:54;19:09;19:09;19:11;19:12;19:24;19:24;19:39;19:41;19:54;19:56;20:09;20:09;20:24;20:25;20:39;20:40;20:54;20:54;21:09;21:09;21:24;21:24;21:39;21:39;;;21:54;21:54;22:09;22:09;22:18;22:19;22:28;22:28;22:48;22:48;22:58;22:59;23:18;23:18;23:48;23:48;23:58;23:58
