Kurs:;52;;40;;51;;43;;44;;46;;49;;51;;43;;44;;46;;49;;45;;51;;48;;41;;43;;44;;45;;46;;48;;49;;47;;51;;52;;41;;50;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;49;;50;;52;;41;;42;;44;;45;;47;;49;;50;;52;;40;;41;;42;;44;;45;;49;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Meusdorf;00:19;00:19;00:39;00:39;;;;;;;04:49;04:49;05:19;05:19;05:49;05:49;06:19;06:19;06:49;06:49;07:19;07:19;07:49;07:49;;;08:10;08:10;;;08:25;08:25;08:40;08:40;08:55;08:56;09:10;09:10;09:25;09:25;09:40;09:40;09:55;09:55;;;10:07;10:07;10:17;10:17;10:27;10:27;;;10:37;10:37;10:47;10:47;10:57;10:57;11:07;11:07;11:17;11:17;11:27;11:27;11:37;11:37;11:47;11:47;11:57;11:57;12:07;12:07;12:17;12:17;12:27;12:27;12:37;12:37;12:47;12:46;12:57;12:57;13:07;13:07;13:17;13:17;13:27;13:27;13:37;13:39;13:47;13:47;13:57;13:57;14:07;14:07;14:17;14:17;14:27;14:27;14:37;14:37;14:47;14:47;14:57;14:57;15:07;15:07;15:17;15:17;15:27;15:27;15:37;15:37;15:47;15:46;15:57;15:57;16:07;16:07;16:17;16:17;16:27;16:27;16:37;16:37;16:47;16:48;16:57;16:57;17:07;17:07;17:17;17:18;17:27;17:27;17:37;17:37;17:47;17:47;17:57;17:57;18:07;18:07;18:17;18:17;18:27;18:27;18:40;18:40;18:47;18:48;18:55;18:55;19:10;19:10;19:17;19:17;19:25;19:25;19:40;19:40;19:55;19:55;20:10;20:10;20:25;20:26;20:40;20:40;20:55;20:55;21:10;21:12;21:25;21:25;21:40;21:40;21:55;21:55;22:10;22:10;22:19;22:19;22:29;22:28;22:49;22:49;22:59;22:59;23:19;23:19;23:49;23:49
Roseggerstraße;00:20;00:20;00:40;00:40;;;;;;;04:50;04:50;05:20;05:20;05:50;05:50;06:20;06:20;06:50;06:50;07:20;07:20;07:50;07:50;;;08:11;08:11;;;08:26;08:26;08:41;08:41;08:56;08:57;09:11;09:11;09:26;09:26;09:41;09:41;09:56;09:57;;;10:08;10:08;10:18;10:18;10:28;10:28;;;10:38;10:38;10:48;10:48;10:58;10:58;11:08;11:08;11:18;11:18;11:28;11:28;11:38;11:38;11:48;11:48;11:58;11:58;12:08;12:07;12:18;12:18;12:28;12:28;12:38;12:38;12:48;12:47;12:58;12:58;13:08;13:08;13:18;13:18;13:28;13:28;13:38;13:40;13:48;13:48;13:58;13:58;14:08;14:08;14:18;14:18;14:28;14:28;14:38;14:38;14:48;14:48;14:58;14:58;15:08;15:08;15:18;15:18;15:28;15:29;15:38;15:38;15:48;15:48;15:58;15:58;16:08;16:08;16:18;16:18;16:28;16:28;16:38;16:38;16:48;16:49;16:58;16:58;17:08;17:08;17:18;17:19;17:28;17:28;17:38;17:38;17:48;17:48;17:58;17:58;18:08;18:08;18:18;18:18;18:28;18:28;18:41;18:41;18:48;18:49;18:56;18:56;19:11;19:11;19:18;19:18;19:26;19:26;19:41;19:41;19:56;19:56;20:11;20:11;20:26;20:27;20:41;20:41;20:56;20:56;21:11;21:14;21:26;21:26;21:41;21:41;21:56;21:56;22:11;22:11;22:20;22:20;22:30;22:30;22:50;22:50;23:00;23:00;23:20;23:20;23:50;23:50
Franzosenallee;00:21;00:21;00:41;00:41;;;;;;;04:51;04:51;05:21;05:21;05:51;05:51;06:21;06:21;06:51;06:51;07:21;07:21;07:51;07:51;;;08:12;08:12;;;08:27;08:27;08:42;08:42;08:57;08:58;09:12;09:12;09:27;09:28;09:42;09:42;09:57;09:58;;;10:09;10:09;10:19;10:19;10:29;10:29;;;10:39;10:39;10:49;10:49;10:59;10:59;11:09;11:09;11:19;11:19;11:29;11:29;11:39;11:39;11:49;11:49;11:59;11:59;12:09;12:09;12:19;12:19;12:29;12:29;12:39;12:39;12:49;12:49;12:59;12:59;13:09;13:09;13:19;13:19;13:29;13:29;13:39;13:42;13:49;13:49;13:59;13:59;14:09;14:10;14:19;14:19;14:29;14:29;14:39;14:39;14:49;14:49;14:59;14:59;15:09;15:09;15:19;15:19;15:29;15:30;15:39;15:39;15:49;15:49;15:59;15:59;16:09;16:09;16:19;16:19;16:29;16:29;16:39;16:39;16:49;16:50;16:59;16:59;17:09;17:09;17:19;17:20;17:29;17:30;17:39;17:39;17:49;17:49;17:59;17:59;18:09;18:09;18:19;18:19;18:29;18:29;18:42;18:42;18:49;18:51;18:57;18:57;19:12;19:12;19:19;19:19;19:27;19:27;19:42;19:42;19:57;19:57;20:12;20:12;20:27;20:27;20:42;20:42;20:57;20:57;21:12;21:15;21:27;21:28;21:42;21:42;21:57;21:57;22:12;22:12;22:21;22:21;22:31;22:31;22:51;22:51;23:01;23:01;23:21;23:21;23:51;23:51
Probstheida;00:22;00:22;00:42;00:42;;;;;;;04:52;04:52;05:22;05:22;05:52;05:53;06:22;06:22;06:52;06:53;07:22;07:22;07:52;07:52;;;08:13;08:13;;;08:28;08:28;08:43;08:43;08:58;08:59;09:13;09:13;09:28;09:29;09:43;09:43;09:58;09:59;;;10:10;10:10;10:20;10:21;10:30;10:31;;;10:40;10:40;10:50;10:51;11:00;11:00;11:10;11:11;11:20;11:20;11:30;11:30;11:40;11:40;11:50;11:51;12:00;12:01;12:10;12:10;12:20;12:20;12:30;12:30;12:40;12:40;12:50;12:50;13:00;13:00;13:10;13:10;13:20;13:20;13:30;13:30;13:40;13:43;13:50;13:50;14:00;14:00;14:10;14:11;14:20;14:21;14:30;14:30;14:40;14:41;14:50;14:51;15:00;15:00;15:10;15:10;15:20;15:20;15:30;15:31;15:40;15:41;15:50;15:51;16:00;16:00;16:10;16:10;16:20;16:20;16:30;16:30;16:40;16:40;16:50;16:52;17:00;17:01;17:10;17:10;17:20;17:21;17:30;17:31;17:40;17:41;17:50;17:50;18:00;18:00;18:10;18:11;18:20;18:20;18:30;18:31;18:43;18:44;18:50;18:52;18:58;18:58;19:13;19:13;19:20;19:20;19:28;19:28;19:43;19:43;19:58;19:58;20:13;20:13;20:28;20:29;20:43;20:44;20:58;20:58;21:13;21:16;21:28;21:29;21:43;21:43;21:58;21:58;22:13;22:13;22:22;22:22;22:32;22:32;22:52;22:52;23:02;23:02;23:22;23:22;23:52;23:52
Prager/Russenstraße;00:23;00:23;00:43;00:43;;;;;;;04:53;04:52;05:23;05:23;05:53;05:53;06:23;06:23;06:53;06:54;07:23;07:23;07:53;07:53;;;08:14;08:14;;;08:29;08:29;08:44;08:44;08:59;09:00;09:14;09:14;09:29;09:30;09:44;09:44;09:59;10:01;;;10:11;10:11;10:21;10:22;10:31;10:32;;;10:41;10:41;10:51;10:52;11:01;11:01;11:11;11:11;11:21;11:21;11:31;11:31;11:41;11:41;11:51;11:51;12:01;12:02;12:11;12:11;12:21;12:21;12:31;12:31;12:41;12:41;12:51;12:51;13:01;13:01;13:11;13:11;13:21;13:21;13:31;13:31;13:41;13:44;13:51;13:51;14:01;14:01;14:11;14:12;14:21;14:22;14:31;14:31;14:41;14:42;14:51;14:52;15:01;15:01;15:11;15:11;15:21;15:21;15:31;15:32;15:41;15:41;15:51;15:51;16:01;16:01;16:11;16:11;16:21;16:21;16:31;16:31;16:41;16:41;16:51;16:53;17:01;17:02;17:11;17:11;17:21;17:22;17:31;17:32;17:41;17:42;17:51;17:51;18:01;18:01;18:11;18:11;18:21;18:21;18:31;18:32;18:44;18:44;18:51;18:53;18:59;18:59;19:14;19:14;19:21;19:21;19:29;19:29;19:44;19:44;19:59;19:59;20:14;20:14;20:29;20:29;20:44;20:45;20:59;20:59;21:14;21:17;21:29;21:30;21:44;21:44;21:59;21:59;22:14;22:14;22:23;22:23;22:33;22:33;22:53;22:53;23:03;23:03;23:23;23:23;23:53;23:53
Südfriedhof;00:24;00:24;00:44;00:44;;;;;;;04:54;04:54;05:24;05:24;05:54;05:55;06:24;06:25;06:54;06:55;07:24;07:24;07:54;07:55;;;08:15;08:16;;;08:30;08:31;08:45;08:46;09:00;09:02;09:15;09:16;09:30;09:31;09:45;09:46;10:00;10:02;;;10:12;10:13;10:22;10:23;10:32;10:34;;;10:42;10:42;10:52;10:53;11:02;11:02;11:12;11:13;11:22;11:23;11:32;11:32;11:42;11:43;11:52;11:53;12:02;12:04;12:12;12:13;12:22;12:23;12:32;12:33;12:42;12:42;12:52;12:52;13:02;13:02;13:12;13:13;13:22;13:23;13:32;13:33;13:42;13:45;13:52;13:52;14:02;14:02;14:12;14:13;14:22;14:23;14:32;14:32;14:42;14:43;14:52;14:53;15:02;15:03;15:12;15:13;15:22;15:22;15:32;15:34;15:42;15:43;15:52;15:53;16:02;16:02;16:12;16:13;16:22;16:23;16:32;16:33;16:42;16:43;16:52;16:54;17:02;17:04;17:12;17:13;17:22;17:23;17:32;17:33;17:42;17:43;17:52;17:52;18:02;18:02;18:12;18:13;18:22;18:23;18:32;18:34;18:45;18:46;18:52;18:55;19:00;19:00;19:15;19:16;19:22;19:22;19:30;19:31;19:45;19:45;20:00;20:01;20:15;20:16;20:30;20:31;20:45;20:46;21:00;21:00;21:15;21:19;21:30;21:32;21:45;21:46;22:00;22:00;22:15;22:15;22:24;22:25;22:34;22:34;22:54;22:55;23:04;23:04;23:24;23:25;23:54;23:54
Völkerschlachtdenkmal;00:26;00:26;00:46;00:46;;;;;;;04:56;04:55;05:26;05:26;05:56;05:56;06:26;06:26;06:56;06:56;07:26;07:26;07:56;07:56;;;08:17;08:17;;;08:32;08:32;08:47;08:47;09:02;09:04;09:17;09:17;09:32;09:32;09:47;09:47;10:02;10:04;;;10:14;10:14;10:24;10:25;10:34;10:35;;;10:44;10:44;10:54;10:54;11:04;11:04;11:14;11:14;11:24;11:24;11:34;11:34;11:44;11:44;11:54;11:54;12:04;12:05;12:14;12:14;12:24;12:24;12:34;12:34;12:44;12:44;12:54;12:53;13:04;13:04;13:14;13:14;13:24;13:24;13:34;13:34;13:44;13:47;13:54;13:53;14:04;14:04;14:14;14:14;14:24;14:24;14:34;14:33;14:44;14:44;14:54;14:54;15:04;15:04;15:14;15:14;15:24;15:24;15:34;15:35;15:44;15:44;15:54;15:54;16:04;16:03;16:14;16:14;16:24;16:24;16:34;16:34;16:44;16:44;16:54;16:55;17:04;17:05;17:14;17:14;17:24;17:25;17:34;17:34;17:44;17:45;17:54;17:53;18:04;18:04;18:14;18:14;18:24;18:24;18:34;18:35;18:47;18:47;18:54;18:56;19:02;19:01;19:17;19:17;19:24;19:24;19:32;19:32;19:47;19:46;20:02;20:02;20:17;20:17;20:32;20:32;20:47;20:47;21:02;21:02;21:17;21:20;21:32;21:33;21:47;21:47;22:02;22:02;22:17;22:17;22:26;22:26;22:36;22:35;22:56;22:56;23:06;23:05;23:26;23:26;23:56;23:55
Naunhofer Straße;00:27;00:27;00:47;00:47;;;;;;;04:57;04:56;05:27;05:27;05:57;05:58;06:27;06:27;06:57;06:57;07:27;07:27;07:57;07:58;;;08:18;08:18;;;08:33;08:33;08:48;08:48;09:03;09:05;09:18;09:18;09:33;09:34;09:48;09:49;10:03;10:05;;;10:15;10:16;10:25;10:26;10:35;10:37;;;10:45;10:45;10:55;10:55;11:05;11:05;11:15;11:15;11:25;11:25;11:35;11:35;11:45;11:45;11:55;11:55;12:05;12:07;12:15;12:15;12:25;12:25;12:35;12:36;12:45;12:45;12:55;12:55;13:05;13:06;13:15;13:15;13:25;13:25;13:35;13:35;13:45;13:48;13:55;13:55;14:05;14:06;14:15;14:16;14:25;14:25;14:35;14:35;14:45;14:46;14:55;14:56;15:05;15:05;15:15;15:15;15:25;15:25;15:35;15:37;15:45;15:45;15:55;15:55;16:05;16:05;16:15;16:15;16:25;16:25;16:35;16:36;16:45;16:45;16:55;16:57;17:05;17:07;17:15;17:15;17:25;17:26;17:35;17:36;17:45;17:46;17:55;17:54;18:05;18:05;18:15;18:16;18:25;18:25;18:35;18:37;18:48;18:49;18:55;18:57;19:03;19:02;19:18;19:19;19:25;19:25;19:33;19:34;19:48;19:47;20:03;20:03;20:18;20:18;20:33;20:33;20:48;20:49;21:03;21:03;21:18;21:22;21:33;21:34;21:48;21:48;22:03;22:03;22:18;22:18;22:27;22:27;22:37;22:36;22:57;22:57;23:07;23:06;23:27;23:28;23:57;23:56
Altes Messegelände;00:28;00:28;00:48;00:48;;;;;;;04:58;04:58;05:28;05:28;05:58;05:59;06:28;06:28;06:58;06:59;07:28;07:28;07:58;07:59;;;08:19;08:20;;;08:34;08:34;08:49;08:49;09:04;09:07;09:19;09:19;09:34;09:35;09:49;09:50;10:04;10:06;;;10:16;10:17;10:26;10:28;10:36;10:38;;;10:46;10:47;10:56;10:57;11:06;11:06;11:16;11:17;11:26;11:26;11:36;11:36;11:46;11:47;11:56;11:57;12:06;12:08;12:16;12:17;12:26;12:27;12:36;12:38;12:46;12:47;12:56;12:56;13:06;13:08;13:16;13:17;13:26;13:27;13:36;13:36;13:46;13:49;13:56;13:56;14:06;14:08;14:16;14:17;14:26;14:27;14:36;14:38;14:46;14:47;14:56;14:57;15:06;15:07;15:16;15:16;15:26;15:27;15:36;15:39;15:46;15:46;15:56;15:56;16:06;16:06;16:16;16:16;16:26;16:26;16:36;16:37;16:46;16:47;16:56;16:58;17:06;17:08;17:16;17:17;17:26;17:28;17:36;17:37;17:46;17:47;17:56;17:56;18:06;18:06;18:16;18:17;18:26;18:26;18:36;18:38;18:49;18:50;18:56;18:59;19:04;19:04;19:19;19:20;19:26;19:26;19:34;19:35;19:49;19:48;20:04;20:04;20:19;20:20;20:34;20:35;20:49;20:50;21:04;21:05;21:19;21:23;21:34;21:35;21:49;21:49;22:04;22:04;22:19;22:19;22:28;22:29;22:38;22:38;22:58;22:58;23:08;23:08;23:28;23:29;23:58;23:58
