Kurs:;20;;11;;14;;12;;16;;19;;10;;12;;19;;16;;10;;24;;12;;25;;26;;19;;43;;44;;22;;24;;25;;26;;43;;22;;44;;21;;24;;23;;25;;42;;41;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;41;;25;;42;;10;;12;;44;;15;;17;;42;;10;;12;;44;;15;;17;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Messegelände;00:04;00:04;00:40;00:40;01:00;01:01;;;04:34;04:34;;;05:04;05:03;05:34;05:34;06:04;06:05;06:34;06:34;07:04;07:03;;;07:34;07:34;;;;;08:03;08:04;;;08:18;08:18;;;08:33;08:32;08:48;08:47;09:03;09:03;09:18;09:18;09:33;09:33;09:48;09:48;;;10:03;10:03;;;10:19;10:19;10:29;10:29;;;10:39;10:39;10:49;10:49;10:59;11:00;11:09;11:09;11:19;11:19;11:29;11:29;11:39;11:39;11:49;11:49;11:59;11:58;12:09;12:09;12:19;12:19;12:29;12:29;12:39;12:39;12:49;12:49;12:59;12:59;13:09;13:09;13:19;13:19;13:29;13:28;13:39;13:39;13:49;13:49;13:59;13:59;14:09;14:08;14:19;14:19;14:29;14:29;14:39;14:39;14:49;14:49;14:59;14:59;15:09;15:08;15:19;15:19;15:29;15:29;15:39;15:39;15:49;15:48;15:59;15:59;16:09;16:09;16:19;16:19;16:29;16:29;16:39;16:39;16:49;16:48;16:59;16:59;17:09;17:09;17:19;17:19;17:29;17:29;17:39;17:38;17:49;17:49;17:59;17:59;18:09;18:09;18:19;18:19;18:29;18:29;18:39;18:39;18:49;18:49;19:03;19:03;19:18;19:18;19:25;19:25;19:33;19:33;19:40;19:40;19:48;19:48;20:03;20:03;20:18;20:17;20:33;20:33;20:48;20:48;21:03;21:02;21:18;21:17;21:33;21:33;21:48;21:47;22:03;22:02;22:14;22:14;22:34;22:34;22:49;22:48;23:04;23:04;23:34;23:34
S-Bf. Messe;00:05;00:05;00:41;00:41;01:01;01:02;;;04:35;04:35;;;05:05;05:05;05:35;05:35;06:05;06:06;06:35;06:35;07:05;07:05;;;07:35;07:35;;;;;08:04;08:05;;;08:19;08:19;;;08:34;08:33;08:49;08:48;09:04;09:04;09:19;09:19;09:34;09:34;09:49;09:49;;;10:04;10:04;;;10:20;10:20;10:30;10:30;;;10:40;10:41;10:50;10:50;11:00;11:01;11:10;11:10;11:20;11:20;11:30;11:30;11:40;11:40;11:50;11:50;12:00;12:00;12:10;12:10;12:20;12:20;12:30;12:30;12:40;12:40;12:50;12:50;13:00;13:00;13:10;13:10;13:20;13:20;13:30;13:30;13:40;13:40;13:50;13:50;14:00;14:00;14:10;14:10;14:20;14:20;14:30;14:30;14:40;14:40;14:50;14:50;15:00;15:00;15:10;15:10;15:20;15:20;15:30;15:31;15:40;15:40;15:50;15:50;16:00;16:00;16:10;16:10;16:20;16:20;16:30;16:30;16:40;16:40;16:50;16:50;17:00;17:00;17:10;17:10;17:20;17:20;17:30;17:30;17:40;17:40;17:50;17:50;18:00;18:00;18:10;18:10;18:20;18:20;18:30;18:31;18:40;18:40;18:50;18:50;19:04;19:04;19:19;19:19;19:26;19:26;19:34;19:34;19:41;19:41;19:49;19:50;20:04;20:04;20:19;20:19;20:34;20:34;20:49;20:49;21:04;21:04;21:19;21:19;21:34;21:35;21:49;21:49;22:04;22:04;22:15;22:15;22:35;22:35;22:50;22:49;23:05;23:05;23:35;23:35
Georg-Herwegh-Straße;00:06;00:05;00:42;00:42;01:02;01:03;;;04:36;04:36;;;05:06;05:05;05:36;05:35;06:06;06:07;06:36;06:36;07:06;07:06;;;07:36;07:35;;;;;08:05;08:06;;;08:20;08:20;;;08:35;08:34;08:50;08:49;09:05;09:05;09:20;09:20;09:35;09:35;09:50;09:50;;;10:05;10:05;;;10:21;10:21;10:31;10:31;;;10:41;10:41;10:51;10:51;11:01;11:02;11:11;11:11;11:21;11:21;11:31;11:31;11:41;11:41;11:51;11:51;12:01;12:01;12:11;12:11;12:21;12:21;12:31;12:31;12:41;12:41;12:51;12:51;13:01;13:01;13:11;13:11;13:21;13:21;13:31;13:31;13:41;13:41;13:51;13:51;14:01;14:01;14:11;14:10;14:21;14:21;14:31;14:31;14:41;14:41;14:51;14:51;15:01;15:01;15:11;15:11;15:21;15:21;15:31;15:31;15:41;15:41;15:51;15:50;16:01;16:01;16:11;16:11;16:21;16:21;16:31;16:31;16:41;16:41;16:51;16:51;17:01;17:01;17:11;17:11;17:21;17:21;17:31;17:31;17:41;17:41;17:51;17:51;18:01;18:01;18:11;18:11;18:21;18:21;18:31;18:31;18:41;18:41;18:51;18:51;19:05;19:05;19:20;19:20;19:27;19:27;19:35;19:35;19:42;19:42;19:50;19:51;20:05;20:05;20:20;20:19;20:35;20:35;20:50;20:49;21:05;21:05;21:20;21:19;21:35;21:36;21:50;21:50;22:05;22:05;22:16;22:16;22:36;22:36;22:51;22:50;23:06;23:06;23:36;23:36
Wiederitzsch-Mitte;00:07;00:06;00:43;00:43;01:03;01:04;;;04:37;04:37;;;05:07;05:06;05:37;05:37;06:07;06:08;06:37;06:37;07:07;07:07;;;07:37;07:37;;;;;08:06;08:07;;;08:21;08:21;;;08:36;08:35;08:51;08:51;09:06;09:06;09:21;09:21;09:36;09:36;09:51;09:51;;;10:06;10:06;;;10:22;10:22;10:32;10:32;;;10:42;10:43;10:52;10:52;11:02;11:03;11:12;11:12;11:22;11:22;11:32;11:32;11:42;11:42;11:52;11:52;12:02;12:02;12:12;12:12;12:22;12:22;12:32;12:32;12:42;12:43;12:52;12:52;13:02;13:02;13:12;13:12;13:22;13:22;13:32;13:32;13:42;13:42;13:52;13:52;14:02;14:02;14:12;14:12;14:22;14:23;14:32;14:32;14:42;14:42;14:52;14:52;15:02;15:02;15:12;15:12;15:22;15:22;15:32;15:33;15:42;15:42;15:52;15:52;16:02;16:02;16:12;16:13;16:22;16:23;16:32;16:32;16:42;16:42;16:52;16:52;17:02;17:02;17:12;17:12;17:22;17:22;17:32;17:33;17:42;17:42;17:52;17:53;18:02;18:02;18:12;18:12;18:22;18:22;18:32;18:33;18:42;18:42;18:52;18:52;19:06;19:06;19:21;19:21;19:28;19:28;19:36;19:36;19:43;19:43;19:51;19:52;20:06;20:06;20:21;20:21;20:36;20:36;20:51;20:51;21:06;21:06;21:21;21:21;21:36;21:37;21:51;21:51;22:06;22:06;22:17;22:17;22:37;22:37;22:52;22:51;23:07;23:07;23:37;23:37
Dachauer Straße;00:08;00:07;00:44;00:44;01:04;01:05;;;04:38;04:38;;;05:08;05:08;05:38;05:38;06:08;06:09;06:38;06:38;07:08;07:08;;;07:38;07:38;;;;;08:07;08:08;;;08:22;08:22;;;08:37;08:37;08:52;08:52;09:07;09:08;09:22;09:22;09:37;09:37;09:52;09:52;;;10:07;10:08;;;10:23;10:23;10:33;10:33;;;10:43;10:44;10:53;10:53;11:03;11:05;11:13;11:14;11:23;11:23;11:33;11:34;11:43;11:43;11:53;11:53;12:03;12:03;12:13;12:13;12:23;12:23;12:33;12:33;12:43;12:44;12:53;12:53;13:03;13:03;13:13;13:13;13:23;13:23;13:33;13:33;13:43;13:43;13:53;13:53;14:03;14:04;14:13;14:13;14:23;14:24;14:33;14:34;14:43;14:43;14:53;14:54;15:03;15:03;15:13;15:13;15:23;15:23;15:33;15:34;15:43;15:43;15:53;15:54;16:03;16:03;16:13;16:14;16:23;16:24;16:33;16:34;16:43;16:43;16:53;16:53;17:03;17:03;17:13;17:14;17:23;17:24;17:33;17:34;17:43;17:43;17:53;17:54;18:03;18:03;18:13;18:14;18:23;18:23;18:33;18:34;18:43;18:43;18:53;18:53;19:07;19:08;19:22;19:22;19:29;19:29;19:37;19:38;19:44;19:44;19:52;19:53;20:07;20:07;20:22;20:22;20:37;20:37;20:52;20:52;21:07;21:07;21:22;21:22;21:37;21:38;21:52;21:52;22:07;22:07;22:18;22:18;22:38;22:38;22:53;22:52;23:08;23:08;23:38;23:38
Klinikum St. Georg;00:10;00:09;00:46;00:46;01:06;01:07;;;04:40;04:40;;;05:10;05:09;05:40;05:39;06:10;06:11;06:40;06:40;07:10;07:09;;;07:40;07:39;;;;;08:09;08:09;;;08:24;08:24;;;08:39;08:38;08:54;08:53;09:09;09:09;09:24;09:24;09:39;09:39;09:54;09:54;;;10:09;10:09;;;10:25;10:25;10:35;10:35;;;10:45;10:46;10:55;10:55;11:05;11:06;11:15;11:15;11:25;11:25;11:35;11:35;11:45;11:45;11:55;11:55;12:05;12:04;12:15;12:15;12:25;12:25;12:35;12:35;12:45;12:45;12:55;12:55;13:05;13:05;13:15;13:15;13:25;13:25;13:35;13:35;13:45;13:45;13:55;13:55;14:05;14:05;14:15;14:14;14:25;14:26;14:35;14:36;14:45;14:45;14:55;14:55;15:05;15:05;15:15;15:15;15:25;15:25;15:35;15:36;15:45;15:45;15:55;15:55;16:05;16:05;16:15;16:16;16:25;16:26;16:35;16:36;16:45;16:45;16:55;16:55;17:05;17:05;17:15;17:16;17:25;17:25;17:35;17:36;17:45;17:45;17:55;17:56;18:05;18:05;18:15;18:16;18:25;18:25;18:35;18:36;18:45;18:45;18:55;18:55;19:09;19:09;19:24;19:24;19:31;19:31;19:39;19:40;19:46;19:46;19:54;19:55;20:09;20:09;20:24;20:23;20:39;20:39;20:54;20:53;21:09;21:09;21:24;21:23;21:39;21:40;21:54;21:54;22:09;22:09;22:20;22:20;22:40;22:40;22:55;22:54;23:10;23:10;23:40;23:39
Hornbach Baumarkt;00:11;00:10;00:47;00:47;01:07;01:08;;;04:41;04:41;;;05:11;05:10;05:41;05:40;06:11;06:12;06:41;06:41;07:11;07:10;;;07:41;07:40;;;;;08:10;08:10;;;08:25;08:25;;;08:40;08:39;08:55;08:54;09:10;09:10;09:25;09:25;09:40;09:40;09:55;09:55;;;10:10;10:10;;;10:26;10:26;10:36;10:36;;;10:46;10:47;10:56;10:56;11:06;11:07;11:16;11:16;11:26;11:26;11:36;11:36;11:46;11:46;11:56;11:56;12:06;12:05;12:16;12:16;12:26;12:26;12:36;12:36;12:46;12:47;12:56;12:56;13:06;13:06;13:16;13:16;13:26;13:26;13:36;13:36;13:46;13:46;13:56;13:56;14:06;14:06;14:16;14:15;14:26;14:27;14:36;14:37;14:46;14:46;14:56;14:57;15:06;15:06;15:16;15:16;15:26;15:26;15:36;15:37;15:46;15:46;15:56;15:56;16:06;16:06;16:16;16:17;16:26;16:27;16:36;16:37;16:46;16:46;16:56;16:56;17:06;17:06;17:16;17:17;17:26;17:26;17:36;17:37;17:46;17:46;17:56;17:57;18:06;18:06;18:16;18:17;18:26;18:26;18:36;18:37;18:46;18:46;18:56;18:56;19:10;19:11;19:25;19:25;19:32;19:32;19:40;19:41;19:47;19:47;19:55;19:56;20:10;20:11;20:25;20:24;20:40;20:40;20:55;20:54;21:10;21:10;21:25;21:24;21:40;21:41;21:55;21:55;22:10;22:10;22:21;22:21;22:41;22:41;22:56;22:55;23:11;23:11;23:41;23:40
Delitzscher/Essener Str.;00:12;00:11;00:48;00:48;01:08;01:09;;;04:42;04:42;;;05:12;05:11;05:42;05:41;06:12;06:13;06:42;06:42;07:12;07:11;;;07:42;07:42;;;;;08:11;08:11;;;08:26;08:26;;;08:41;08:41;08:56;08:56;09:11;09:12;09:26;09:26;09:41;09:41;09:56;09:56;;;10:11;10:11;;;10:27;10:27;10:37;10:37;;;10:47;10:48;10:57;10:57;11:07;11:08;11:17;11:17;11:27;11:27;11:37;11:37;11:47;11:47;11:57;11:57;12:07;12:06;12:17;12:17;12:27;12:27;12:37;12:37;12:47;12:48;12:57;12:57;13:07;13:07;13:17;13:17;13:27;13:27;13:37;13:37;13:47;13:47;13:57;13:57;14:07;14:08;14:17;14:16;14:27;14:28;14:37;14:38;14:47;14:47;14:57;14:58;15:07;15:07;15:17;15:17;15:27;15:27;15:37;15:38;15:47;15:47;15:57;15:57;16:07;16:07;16:17;16:18;16:27;16:29;16:37;16:38;16:47;16:47;16:57;16:57;17:07;17:07;17:17;17:18;17:27;17:27;17:37;17:38;17:47;17:47;17:57;17:58;18:07;18:07;18:17;18:18;18:27;18:27;18:37;18:38;18:47;18:47;18:57;18:57;19:11;19:12;19:26;19:26;19:33;19:33;19:41;19:42;19:48;19:48;19:56;19:58;20:11;20:12;20:26;20:25;20:41;20:41;20:56;20:55;21:11;21:11;21:26;21:26;21:41;21:42;21:56;21:56;22:11;22:11;22:22;22:22;22:42;22:42;22:57;22:56;23:12;23:12;23:42;23:41
Mosenthinstraße;00:13;00:11;00:49;00:49;01:09;01:10;;;04:43;04:43;;;05:13;05:12;05:43;05:42;06:13;06:14;06:43;06:43;07:13;07:12;;;07:43;07:43;;;;;08:12;08:12;;;08:27;08:27;;;08:42;08:41;08:57;08:57;09:12;09:13;09:27;09:27;09:42;09:42;09:57;09:57;;;10:12;10:12;;;10:28;10:28;10:38;10:38;;;10:48;10:49;10:58;10:58;11:08;11:10;11:18;11:18;11:28;11:28;11:38;11:38;11:48;11:48;11:58;11:58;12:08;12:07;12:18;12:18;12:28;12:28;12:38;12:38;12:48;12:49;12:58;12:58;13:08;13:08;13:18;13:18;13:28;13:28;13:38;13:38;13:48;13:48;13:58;13:58;14:08;14:09;14:18;14:17;14:28;14:29;14:38;14:39;14:48;14:48;14:58;14:59;15:08;15:08;15:18;15:18;15:28;15:28;15:38;15:39;15:48;15:48;15:58;15:58;16:08;16:08;16:18;16:19;16:28;16:30;16:38;16:39;16:48;16:48;16:58;16:58;17:08;17:08;17:18;17:19;17:28;17:28;17:38;17:39;17:48;17:48;17:58;17:59;18:08;18:08;18:18;18:19;18:28;18:28;18:38;18:39;18:48;18:48;18:58;18:58;19:12;19:13;19:27;19:27;19:34;19:33;19:42;19:43;19:49;19:49;19:57;19:59;20:12;20:13;20:27;20:26;20:42;20:42;20:57;20:56;21:12;21:12;21:27;21:26;21:42;21:43;21:57;21:56;22:12;22:12;22:23;22:23;22:43;22:43;22:58;22:57;23:13;23:14;23:43;23:42
