Kurs:;14;;16;;16;;10;;12;;19;;16;;10;;12;;19;;24;;44;;25;;26;;43;;22;;44;;24;;25;;26;;42;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;41;;25;;42;;10;;12;;44;;15;;17;;42;;10;;12;;44;;15;;17;;10;;12;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lößnig;00:07;00:07;00:37;00:37;;;;;04:37;04:37;05:07;05:07;05:37;05:37;06:07;06:07;06:37;06:37;07:07;07:08;07:37;07:36;;;08:02;08:01;08:17;08:17;08:32;08:32;08:47;08:47;09:02;09:02;09:17;09:16;09:32;09:31;09:47;09:47;;;10:02;10:02;10:10;10:11;10:20;10:20;10:30;10:31;10:40;10:40;10:50;10:49;11:00;11:00;11:10;11:09;11:20;11:20;11:30;11:30;11:40;11:40;11:50;11:50;12:00;12:00;12:10;12:10;12:20;12:20;12:30;12:30;12:40;12:40;12:50;12:50;13:00;13:00;13:10;13:10;13:20;13:19;13:30;13:30;13:40;13:40;13:50;13:50;14:00;14:00;14:10;14:10;14:20;14:19;14:30;14:30;14:40;14:40;14:50;14:50;15:00;15:00;15:10;15:11;15:20;15:20;15:30;15:30;15:40;15:40;15:50;15:50;16:00;15:59;16:10;16:10;16:20;16:20;16:30;16:30;16:40;16:40;16:50;16:50;17:00;17:00;17:10;17:10;17:20;17:20;17:30;17:30;17:40;17:40;17:50;17:49;18:00;18:00;18:10;18:10;18:20;18:20;18:30;18:29;18:40;18:40;18:50;18:50;19:02;19:02;19:17;19:17;19:32;19:31;19:47;19:46;20:02;20:01;20:17;20:16;20:32;20:32;20:47;20:47;21:02;21:02;21:17;21:17;21:32;21:32;21:47;21:47;22:02;22:02;22:17;22:17;22:37;22:37;23:07;23:07;23:37;23:37
Moritz Hof;00:08;00:09;00:38;00:38;;;;;04:38;04:38;05:08;05:09;05:38;05:38;06:08;06:08;06:38;06:38;07:08;07:09;07:38;07:38;;;08:03;08:03;08:18;08:18;08:33;08:33;08:48;08:48;09:03;09:03;09:18;09:18;09:33;09:33;09:48;09:48;;;10:03;10:03;10:11;10:13;10:21;10:21;10:31;10:32;10:41;10:41;10:51;10:50;11:01;11:01;11:11;11:11;11:21;11:21;11:31;11:31;11:41;11:41;11:51;11:51;12:01;12:01;12:11;12:11;12:21;12:21;12:31;12:31;12:41;12:41;12:51;12:51;13:01;13:01;13:11;13:11;13:21;13:21;13:31;13:31;13:41;13:41;13:51;13:51;14:01;14:01;14:11;14:11;14:21;14:21;14:31;14:31;14:41;14:41;14:51;14:51;15:01;15:01;15:11;15:12;15:21;15:21;15:31;15:31;15:41;15:41;15:51;15:51;16:01;16:01;16:11;16:11;16:21;16:21;16:31;16:31;16:41;16:41;16:51;16:52;17:01;17:01;17:11;17:12;17:21;17:21;17:31;17:31;17:41;17:41;17:51;17:51;18:01;18:01;18:11;18:11;18:21;18:21;18:31;18:31;18:41;18:41;18:51;18:51;19:03;19:04;19:18;19:19;19:33;19:33;19:48;19:48;20:03;20:02;20:18;20:18;20:33;20:34;20:48;20:48;21:03;21:03;21:18;21:18;21:33;21:33;21:48;21:48;22:03;22:03;22:18;22:18;22:38;22:38;23:08;23:08;23:38;23:38
An der Märchenwiese;00:09;00:10;00:39;00:39;;;;;04:39;04:39;05:09;05:10;05:39;05:40;06:09;06:09;06:39;06:39;07:09;07:11;07:39;07:39;;;08:04;08:04;08:19;08:19;08:34;08:34;08:49;08:49;09:04;09:04;09:19;09:19;09:34;09:34;09:49;09:49;;;10:04;10:04;10:12;10:14;10:22;10:22;10:32;10:34;10:42;10:42;10:52;10:51;11:02;11:02;11:12;11:12;11:22;11:23;11:32;11:33;11:42;11:42;11:52;11:52;12:02;12:02;12:12;12:12;12:22;12:23;12:32;12:32;12:42;12:42;12:52;12:52;13:02;13:02;13:12;13:12;13:22;13:22;13:32;13:33;13:42;13:42;13:52;13:52;14:02;14:03;14:12;14:12;14:22;14:22;14:32;14:33;14:42;14:42;14:52;14:52;15:02;15:02;15:12;15:13;15:22;15:22;15:32;15:33;15:42;15:42;15:52;15:52;16:02;16:02;16:12;16:12;16:22;16:23;16:32;16:32;16:42;16:43;16:52;16:53;17:02;17:02;17:12;17:13;17:22;17:23;17:32;17:33;17:42;17:42;17:52;17:52;18:02;18:02;18:12;18:13;18:22;18:23;18:32;18:32;18:42;18:43;18:52;18:52;19:04;19:05;19:19;19:20;19:34;19:34;19:49;19:49;20:04;20:03;20:19;20:19;20:34;20:35;20:49;20:49;21:04;21:04;21:19;21:19;21:34;21:34;21:49;21:49;22:04;22:04;22:19;22:20;22:39;22:39;23:09;23:09;23:39;23:40
Triftweg;00:10;00:11;00:40;00:40;;;;;04:40;04:40;05:10;05:11;05:40;05:41;06:10;06:10;06:40;06:41;07:10;07:12;07:40;07:40;;;08:05;08:05;08:20;08:21;08:35;08:35;08:50;08:50;09:05;09:06;09:20;09:20;09:35;09:35;09:50;09:50;;;10:05;10:05;10:13;10:15;10:23;10:23;10:33;10:35;10:43;10:44;10:53;10:53;11:03;11:04;11:13;11:13;11:23;11:24;11:33;11:34;11:43;11:44;11:53;11:54;12:03;12:04;12:13;12:14;12:23;12:24;12:33;12:33;12:43;12:43;12:53;12:53;13:03;13:04;13:13;13:13;13:23;13:23;13:33;13:34;13:43;13:43;13:53;13:53;14:03;14:04;14:13;14:13;14:23;14:24;14:33;14:34;14:43;14:43;14:53;14:54;15:03;15:03;15:13;15:14;15:23;15:23;15:33;15:34;15:43;15:43;15:53;15:53;16:03;16:03;16:13;16:13;16:23;16:24;16:33;16:34;16:43;16:44;16:53;16:54;17:03;17:03;17:13;17:14;17:23;17:24;17:33;17:33;17:43;17:43;17:53;17:54;18:03;18:04;18:13;18:14;18:23;18:24;18:33;18:33;18:43;18:44;18:53;18:53;19:05;19:06;19:20;19:21;19:35;19:35;19:50;19:50;20:05;20:04;20:20;20:20;20:35;20:36;20:50;20:50;21:05;21:05;21:20;21:20;21:35;21:35;21:50;21:50;22:05;22:05;22:20;22:21;22:40;22:40;23:10;23:10;23:40;23:41
R.-Lehmann-/Zwickauer S.;00:11;00:12;00:41;00:41;;;;;04:41;04:41;05:11;05:12;05:41;05:42;06:11;06:11;06:41;06:42;07:11;07:13;07:41;07:41;;;08:06;08:06;08:21;08:22;08:36;08:36;08:51;08:52;09:06;09:07;09:21;09:21;09:36;09:36;09:51;09:52;;;10:06;10:06;10:14;10:16;10:24;10:25;10:34;10:36;10:44;10:45;10:54;10:54;11:04;11:05;11:14;11:15;11:24;11:25;11:34;11:35;11:44;11:45;11:54;11:56;12:04;12:05;12:14;12:15;12:24;12:25;12:34;12:34;12:44;12:44;12:54;12:55;13:04;13:05;13:14;13:14;13:24;13:24;13:34;13:35;13:44;13:44;13:54;13:54;14:04;14:05;14:14;14:14;14:24;14:25;14:34;14:35;14:44;14:45;14:54;14:55;15:04;15:04;15:14;15:16;15:24;15:25;15:34;15:36;15:44;15:44;15:54;15:54;16:04;16:04;16:14;16:15;16:24;16:25;16:34;16:35;16:44;16:45;16:54;16:55;17:04;17:05;17:14;17:16;17:24;17:25;17:34;17:35;17:44;17:45;17:54;17:55;18:04;18:05;18:14;18:15;18:24;18:25;18:34;18:34;18:44;18:45;18:54;18:54;19:06;19:08;19:21;19:22;19:36;19:36;19:51;19:51;20:06;20:05;20:21;20:21;20:36;20:37;20:51;20:51;21:06;21:06;21:21;21:21;21:36;21:37;21:51;21:52;22:06;22:06;22:21;22:22;22:41;22:41;23:11;23:11;23:41;23:42
An den Tierkliniken;00:12;00:14;00:42;00:42;;;;;04:42;04:42;05:12;05:13;05:42;05:43;06:12;06:12;06:42;06:43;07:12;07:14;07:42;07:42;;;08:07;08:07;08:22;08:23;08:37;08:38;08:52;08:53;09:07;09:08;09:22;09:22;09:37;09:37;09:52;09:53;;;10:07;10:07;10:15;10:17;10:25;10:26;10:35;10:37;10:45;10:46;10:55;10:55;11:05;11:06;11:15;11:16;11:25;11:26;11:35;11:36;11:45;11:46;11:55;11:57;12:05;12:06;12:15;12:16;12:25;12:26;12:35;12:35;12:45;12:45;12:55;12:56;13:05;13:06;13:15;13:16;13:25;13:25;13:35;13:36;13:45;13:46;13:55;13:55;14:05;14:06;14:15;14:15;14:25;14:26;14:35;14:36;14:45;14:46;14:55;14:56;15:05;15:05;15:15;15:17;15:25;15:26;15:35;15:37;15:45;15:45;15:55;15:55;16:05;16:05;16:15;16:16;16:25;16:26;16:35;16:36;16:45;16:47;16:55;16:56;17:05;17:06;17:15;17:17;17:25;17:26;17:35;17:36;17:45;17:46;17:55;17:56;18:05;18:06;18:15;18:16;18:25;18:26;18:35;18:35;18:45;18:47;18:55;18:55;19:07;19:09;19:22;19:23;19:37;19:38;19:52;19:53;20:07;20:06;20:22;20:22;20:37;20:39;20:52;20:52;21:07;21:07;21:22;21:23;21:37;21:38;21:52;21:53;22:07;22:07;22:22;22:23;22:42;22:42;23:12;23:12;23:42;23:43
Dt. Nationalbibliothek;00:14;00:15;00:44;00:44;;;;;04:44;04:43;05:14;05:15;05:44;05:45;06:14;06:13;06:44;06:44;07:14;07:15;07:44;07:44;;;08:09;08:09;08:24;08:25;08:39;08:39;08:54;08:55;09:09;09:10;09:24;09:24;09:39;09:39;09:54;09:54;;;10:09;10:09;10:17;10:19;10:27;10:27;10:37;10:39;10:47;10:47;10:57;10:56;11:07;11:07;11:17;11:17;11:27;11:28;11:37;11:38;11:47;11:47;11:57;11:58;12:07;12:08;12:17;12:19;12:27;12:28;12:37;12:37;12:47;12:47;12:57;12:57;13:07;13:08;13:17;13:17;13:27;13:27;13:37;13:38;13:47;13:47;13:57;13:57;14:07;14:08;14:17;14:17;14:27;14:28;14:37;14:38;14:47;14:47;14:57;14:58;15:07;15:07;15:17;15:18;15:27;15:27;15:37;15:39;15:47;15:48;15:57;15:56;16:07;16:07;16:17;16:18;16:27;16:28;16:37;16:38;16:47;16:48;16:57;16:59;17:07;17:07;17:17;17:19;17:27;17:28;17:37;17:37;17:47;17:47;17:57;17:58;18:07;18:08;18:17;18:17;18:27;18:28;18:37;18:37;18:47;18:48;18:57;18:57;19:09;19:11;19:24;19:24;19:39;19:39;19:54;19:54;20:09;20:08;20:24;20:24;20:39;20:40;20:54;20:54;21:09;21:09;21:24;21:25;21:39;21:39;21:54;21:55;22:09;22:09;22:24;22:24;22:44;22:43;23:14;23:14;23:44;23:45
Johannisallee;00:16;00:17;00:46;00:45;;;;;04:46;04:45;05:16;05:17;05:46;05:46;06:16;06:15;06:46;06:46;07:16;07:17;07:46;07:46;;;08:11;08:11;08:26;08:27;08:41;08:41;08:56;08:57;09:11;09:12;09:26;09:26;09:41;09:40;09:56;09:56;;;10:11;10:11;10:19;10:21;10:29;10:29;10:39;10:40;10:49;10:49;10:59;10:58;11:09;11:09;11:19;11:19;11:29;11:30;11:39;11:39;11:49;11:49;11:59;12:00;12:09;12:09;12:19;12:21;12:29;12:30;12:39;12:39;12:49;12:48;12:59;12:59;13:09;13:10;13:19;13:19;13:29;13:29;13:39;13:39;13:49;13:51;13:59;13:59;14:09;14:09;14:19;14:18;14:29;14:30;14:39;14:39;14:49;14:49;14:59;14:59;15:09;15:08;15:19;15:20;15:29;15:29;15:39;15:40;15:49;15:49;15:59;15:58;16:09;16:09;16:19;16:19;16:29;16:30;16:39;16:40;16:49;16:50;16:59;17:00;17:09;17:09;17:19;17:21;17:29;17:30;17:39;17:39;17:49;17:49;17:59;18:00;18:09;18:09;18:19;18:19;18:29;18:30;18:39;18:39;18:49;18:50;18:59;18:59;19:11;19:13;19:26;19:26;19:41;19:41;19:56;19:56;20:11;20:10;20:26;20:25;20:41;20:42;20:56;20:55;21:11;21:11;21:26;21:26;21:41;21:41;21:56;21:57;22:11;22:10;22:26;22:26;22:46;22:45;23:16;23:16;23:46;23:46
Bayerischer Bahnhof;00:17;00:20;00:47;00:47;;;;;04:47;04:47;05:17;05:18;05:47;05:48;06:17;06:17;06:47;06:47;07:17;07:19;07:47;07:47;;;08:12;08:12;08:27;08:29;08:42;08:42;08:57;08:59;09:12;09:14;09:27;09:27;09:42;09:42;09:57;09:58;;;10:12;10:12;10:20;10:23;10:30;10:32;10:40;10:43;10:50;10:51;11:00;11:00;11:10;11:11;11:20;11:21;11:30;11:32;11:40;11:41;11:50;11:51;12:00;12:02;12:10;12:11;12:20;12:23;12:30;12:32;12:40;12:41;12:50;12:50;13:00;13:00;13:10;13:11;13:20;13:20;13:30;13:30;13:40;13:41;13:50;13:53;14:00;14:00;14:10;14:11;14:20;14:20;14:30;14:32;14:40;14:41;14:50;14:51;15:00;15:01;15:10;15:10;15:20;15:21;15:30;15:30;15:40;15:42;15:50;15:51;16:00;16:00;16:10;16:11;16:20;16:21;16:30;16:32;16:40;16:41;16:50;16:52;17:00;17:02;17:10;17:11;17:20;17:23;17:30;17:32;17:40;17:41;17:50;17:50;18:00;18:02;18:10;18:11;18:20;18:21;18:30;18:32;18:40;18:41;18:50;18:53;19:00;19:00;19:12;19:14;19:27;19:27;19:42;19:42;19:57;19:57;20:12;20:12;20:27;20:27;20:42;20:44;20:57;20:57;21:12;21:12;21:27;21:27;21:42;21:42;21:57;21:59;22:12;22:12;22:27;22:28;22:47;22:47;23:17;23:18;23:47;23:48
