Kurs:;63;;61;;62;;63;;72;;71;;61;;62;;63;;64;;72;;53;;71;;61;;57;;62;;55;;63;;56;;64;;73;;72;;71;;53;;57;;61;;62;;54;;63;;55;;64;;56;;72;;73;;53;;71;;61;;57;;54;;62;;55;;63;;56;;64;;73;;72;;71;;53;;57;;61;;62;;54;;63;;55;;64;;56;;72;;73;;53;;71;;61;;57;;54;;62;;55;;63;;56;;64;;72;;53;;73;;71;;57;;61;;54;;62;;63;;56;;64;;72;;73;;71;;61;;54;;62;;63;;56;;64;;73;;61;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Mockau Post;00:21;00:20;;;04:51;04:52;05:21;05:21;05:51;05:51;06:21;06:21;06:51;06:50;07:21;07:22;07:51;07:50;08:06;08:06;08:21;08:20;08:36;08:36;08:51;08:51;09:06;09:06;09:21;09:20;09:36;09:36;09:51;09:51;10:02;10:02;;;10:22;10:21;;;10:42;10:43;;;11:02;11:02;;;11:22;11:22;;;11:42;11:42;;;12:02;12:02;;;12:22;12:21;;;12:42;12:42;;;13:02;13:03;;;13:22;13:22;;;13:42;13:42;;;14:02;14:02;;;14:22;14:22;;;14:42;14:42;;;15:02;15:01;;;15:22;15:22;;;15:42;15:42;;;16:02;16:01;;;16:22;16:22;;;16:42;16:42;;;17:02;17:01;;;17:22;17:21;;;17:42;17:42;;;18:02;18:02;;;18:22;18:23;18:36;18:35;;;18:51;18:52;19:06;19:05;;;19:21;19:21;19:36;19:38;19:51;19:51;20:06;20:05;20:21;20:21;20:36;20:36;20:51;20:50;21:06;21:06;21:21;21:21;21:36;21:36;21:51;21:50;22:06;22:05;22:21;22:20;22:43;22:42;22:51;22:50;23:21;23:20;23:51;23:50
Döringstraße;00:22;00:21;;;04:52;04:53;05:22;05:22;05:52;05:52;06:22;06:22;06:52;06:51;07:22;07:23;07:52;07:51;08:07;08:07;08:22;08:22;08:37;08:37;08:52;08:52;09:07;09:08;09:22;09:22;09:37;09:37;09:52;09:52;10:03;10:03;;;10:23;10:23;;;10:43;10:44;;;11:03;11:03;;;11:23;11:23;;;11:43;11:43;;;12:03;12:03;;;12:23;12:23;;;12:43;12:43;;;13:03;13:04;;;13:23;13:23;;;13:43;13:43;;;14:03;14:03;;;14:23;14:23;;;14:43;14:43;;;15:03;15:03;;;15:23;15:23;;;15:43;15:43;;;16:03;16:03;;;16:23;16:23;;;16:43;16:44;;;17:03;17:02;;;17:23;17:23;;;17:43;17:43;;;18:03;18:04;;;18:23;18:24;18:37;18:37;;;18:52;18:53;19:07;19:06;;;19:22;19:22;19:37;19:39;19:52;19:52;20:07;20:06;20:22;20:22;20:37;20:37;20:52;20:51;21:07;21:07;21:22;21:22;21:37;21:37;21:52;21:51;22:07;22:06;22:22;22:22;22:44;22:44;22:52;22:51;23:22;23:21;23:52;23:51
Friedrichshafner Straße;00:23;00:22;;;04:53;04:54;05:23;05:23;05:53;05:53;06:23;06:23;06:53;06:52;07:23;07:24;07:53;07:52;08:08;08:08;08:23;08:23;08:38;08:38;08:53;08:53;09:08;09:08;09:23;09:23;09:38;09:38;09:53;09:54;10:04;10:05;;;10:24;10:24;;;10:44;10:45;;;11:04;11:05;;;11:24;11:25;;;11:44;11:44;;;12:04;12:04;;;12:24;12:24;;;12:44;12:44;;;13:04;13:06;;;13:24;13:24;;;13:44;13:44;;;14:04;14:06;;;14:24;14:24;;;14:44;14:46;;;15:04;15:04;;;15:24;15:24;;;15:44;15:44;;;16:04;16:04;;;16:24;16:24;;;16:44;16:45;;;17:04;17:04;;;17:24;17:24;;;17:44;17:44;;;18:04;18:04;;;18:24;18:25;18:38;18:38;;;18:53;18:55;19:08;19:07;;;19:23;19:23;19:38;19:40;19:53;19:53;20:08;20:07;20:23;20:23;20:38;20:38;20:53;20:52;21:08;21:08;21:23;21:23;21:38;21:38;21:53;21:52;22:08;22:07;22:23;22:22;22:45;22:44;22:53;22:52;23:23;23:22;23:53;23:52
Mockauer/Volbedingstraße;00:25;00:24;;;04:55;04:55;05:25;05:24;05:55;05:55;06:25;06:25;06:55;06:54;07:25;07:26;07:55;07:54;08:10;08:10;08:25;08:25;08:40;08:39;08:55;08:55;09:10;09:10;09:25;09:24;09:40;09:40;09:55;09:55;10:06;10:06;;;10:26;10:26;;;10:46;10:47;;;11:06;11:06;;;11:26;11:28;;;11:46;11:45;;;12:06;12:06;;;12:26;12:26;;;12:46;12:46;;;13:06;13:07;;;13:26;13:26;;;13:46;13:47;;;14:06;14:07;;;14:26;14:26;;;14:46;14:47;;;15:06;15:07;;;15:26;15:26;;;15:46;15:46;;;16:06;16:05;;;16:26;16:26;;;16:46;16:47;;;17:06;17:05;;;17:26;17:26;;;17:46;17:46;;;18:06;18:07;;;18:26;18:27;18:40;18:39;;;18:55;18:56;19:10;19:09;;;19:25;19:25;19:40;19:41;19:55;19:55;20:10;20:09;20:25;20:25;20:40;20:40;20:55;20:53;21:10;21:09;21:25;21:25;21:40;21:39;21:55;21:54;22:10;22:08;22:25;22:24;22:47;22:46;22:55;22:54;23:25;23:23;23:55;23:54
Schönefeld Volbedings.;00:27;00:26;;;04:57;04:57;05:27;05:26;05:57;05:57;06:27;06:27;06:57;06:56;07:27;07:28;07:57;07:56;08:12;08:11;08:27;08:26;08:42;08:42;08:57;08:56;09:12;09:12;09:27;09:26;09:42;09:41;09:57;09:58;10:08;10:08;10:18;10:18;10:28;10:28;10:38;10:38;10:48;10:49;10:58;10:58;11:08;11:08;11:18;11:17;11:28;11:30;11:38;11:38;11:48;11:47;11:58;11:59;12:08;12:08;12:18;12:18;12:28;12:28;12:38;12:39;12:48;12:48;12:58;12:58;13:08;13:10;13:18;13:18;13:28;13:28;13:38;13:37;13:48;13:50;13:58;13:58;14:08;14:10;14:18;14:18;14:28;14:28;14:38;14:38;14:48;14:50;14:58;14:58;15:08;15:09;15:18;15:19;15:28;15:28;15:38;15:38;15:48;15:47;15:58;15:58;16:08;16:07;16:18;16:18;16:28;16:28;16:38;16:38;16:48;16:49;16:58;16:58;17:08;17:07;17:18;17:18;17:28;17:28;17:38;17:37;17:48;17:47;17:58;17:58;18:08;18:09;18:18;18:19;18:28;18:29;18:42;18:42;18:50;18:50;18:57;18:58;19:12;19:11;19:20;19:20;19:27;19:27;19:42;19:43;19:57;19:56;20:12;20:11;20:27;20:27;20:42;20:43;20:57;20:56;21:12;21:11;21:27;21:26;21:42;21:41;21:57;21:57;22:12;22:10;22:27;22:26;22:49;22:48;22:57;22:56;23:27;23:25;23:57;23:56
Rathaus Schönefeld;00:28;00:27;;;04:58;04:58;05:28;05:27;05:58;05:57;06:28;06:28;06:58;06:57;07:28;07:29;07:58;07:57;08:13;08:12;08:28;08:27;08:43;08:43;08:58;08:57;09:13;09:12;09:28;09:27;09:43;09:42;09:58;09:59;10:09;10:09;10:19;10:19;10:29;10:29;10:39;10:39;10:49;10:50;10:59;10:59;11:09;11:09;11:19;11:18;11:29;11:31;11:39;11:39;11:49;11:48;11:59;12:00;12:09;12:09;12:19;12:19;12:29;12:29;12:39;12:40;12:49;12:48;12:59;12:59;13:09;13:11;13:19;13:19;13:29;13:29;13:39;13:38;13:49;13:51;13:59;13:59;14:09;14:11;14:19;14:19;14:29;14:29;14:39;14:39;14:49;14:51;14:59;14:59;15:09;15:10;15:19;15:20;15:29;15:29;15:39;15:39;15:49;15:48;15:59;15:59;16:09;16:08;16:19;16:19;16:29;16:29;16:39;16:39;16:49;16:50;16:59;16:59;17:09;17:08;17:19;17:19;17:29;17:29;17:39;17:38;17:49;17:48;17:59;17:59;18:09;18:10;18:19;18:20;18:29;18:30;18:43;18:42;18:51;18:51;18:58;18:59;19:13;19:12;19:21;19:21;19:28;19:27;19:43;19:44;19:58;19:57;20:13;20:12;20:28;20:28;20:43;20:43;20:58;20:57;21:13;21:12;21:28;21:27;21:43;21:42;21:58;21:57;22:13;22:11;22:28;22:27;22:50;22:49;22:58;22:57;23:28;23:26;23:58;23:57
Ossietzky-/Gorkistraße;00:29;00:28;;;04:59;04:59;05:29;05:28;05:59;05:58;06:29;06:29;06:59;06:58;07:29;07:30;07:59;07:58;08:14;08:13;08:29;08:28;08:44;08:44;08:59;08:58;09:14;09:13;09:29;09:28;09:44;09:43;09:59;10:01;10:10;10:11;10:20;10:20;10:30;10:30;10:40;10:40;10:50;10:51;11:00;11:00;11:10;11:10;11:20;11:19;11:30;11:31;11:40;11:40;11:50;11:49;12:00;12:01;12:10;12:10;12:20;12:20;12:30;12:29;12:40;12:41;12:50;12:49;13:00;13:00;13:10;13:12;13:20;13:20;13:30;13:30;13:40;13:39;13:50;13:52;14:00;14:00;14:10;14:12;14:20;14:20;14:30;14:30;14:40;14:40;14:50;14:52;15:00;15:00;15:10;15:10;15:20;15:21;15:30;15:30;15:40;15:39;15:50;15:49;16:00;16:00;16:10;16:09;16:20;16:20;16:30;16:30;16:40;16:40;16:50;16:51;17:00;17:00;17:10;17:09;17:20;17:20;17:30;17:31;17:40;17:39;17:50;17:49;18:00;18:00;18:10;18:11;18:20;18:21;18:30;18:31;18:44;18:43;18:52;18:52;18:59;19:00;19:14;19:13;19:22;19:21;19:29;19:28;19:44;19:45;19:59;19:58;20:14;20:13;20:29;20:29;20:44;20:44;20:59;20:58;21:14;21:13;21:29;21:28;21:44;21:43;21:59;21:58;22:14;22:12;22:29;22:28;22:51;22:50;22:59;22:58;23:29;23:28;23:59;23:58
Löbauer Straße;00:30;00:29;;;05:00;05:01;05:30;05:30;06:00;06:00;06:30;06:30;07:00;06:59;07:30;07:31;08:00;07:59;08:15;08:14;08:30;08:30;08:45;08:45;09:00;09:00;09:15;09:15;09:30;09:30;09:45;09:45;10:00;10:02;10:11;10:12;10:21;10:21;10:31;10:31;10:41;10:41;10:51;10:52;11:01;11:02;11:11;11:11;11:21;11:20;11:31;11:33;11:41;11:41;11:51;11:50;12:01;12:03;12:11;12:11;12:21;12:21;12:31;12:31;12:41;12:42;12:51;12:51;13:01;13:01;13:11;13:13;13:21;13:21;13:31;13:31;13:41;13:41;13:51;13:53;14:01;14:01;14:11;14:13;14:21;14:22;14:31;14:32;14:41;14:41;14:51;14:53;15:01;15:01;15:11;15:12;15:21;15:23;15:31;15:31;15:41;15:41;15:51;15:50;16:01;16:02;16:11;16:11;16:21;16:21;16:31;16:31;16:41;16:42;16:51;16:52;17:01;17:02;17:11;17:10;17:21;17:21;17:31;17:32;17:41;17:40;17:51;17:51;18:01;18:01;18:11;18:12;18:21;18:23;18:31;18:33;18:45;18:45;18:53;18:54;19:00;19:01;19:15;19:15;19:23;19:23;19:30;19:30;19:45;19:46;20:00;20:00;20:15;20:14;20:30;20:30;20:45;20:46;21:00;21:00;21:15;21:14;21:30;21:30;21:45;21:45;22:00;22:00;22:15;22:14;22:30;22:29;22:52;22:52;23:00;23:00;23:30;23:29;00:00;23:59
Stöckelstraße;00:31;00:30;;;05:01;05:02;05:31;05:31;06:01;06:01;06:31;06:32;07:01;07:00;07:31;07:33;08:01;08:01;08:16;08:16;08:31;08:32;08:46;08:46;09:01;09:01;09:16;09:16;09:31;09:31;09:46;09:46;10:01;10:04;10:13;10:13;10:23;10:23;10:33;10:33;10:43;10:42;10:53;10:54;11:03;11:03;11:13;11:13;11:23;11:22;11:33;11:34;11:43;11:43;11:53;11:52;12:03;12:04;12:13;12:13;12:23;12:23;12:33;12:32;12:43;12:44;12:53;12:52;13:03;13:03;13:13;13:14;13:23;13:23;13:33;13:32;13:43;13:42;13:53;13:55;14:03;14:02;14:13;14:15;14:23;14:23;14:33;14:33;14:43;14:42;14:53;14:55;15:03;15:02;15:13;15:14;15:23;15:24;15:33;15:33;15:43;15:42;15:53;15:52;16:03;16:03;16:13;16:12;16:23;16:22;16:33;16:32;16:43;16:43;16:53;16:53;17:03;17:04;17:13;17:11;17:23;17:23;17:33;17:34;17:43;17:42;17:53;17:52;18:03;18:02;18:13;18:13;18:23;18:24;18:33;18:34;18:46;18:47;18:54;18:55;19:01;19:02;19:16;19:16;19:24;19:24;19:31;19:31;19:46;19:47;20:01;20:01;20:16;20:16;20:31;20:32;20:46;20:47;21:01;21:01;21:16;21:16;21:31;21:31;21:46;21:46;22:01;22:01;22:16;22:15;22:31;22:31;22:53;22:53;23:01;23:01;23:31;23:31;00:01;00:00
Stannebeinplatz;00:32;00:32;;;05:02;05:03;05:32;05:33;06:02;06:03;06:32;06:33;07:02;07:02;07:32;07:34;08:02;08:02;08:17;08:17;08:32;08:33;08:47;08:48;09:02;09:03;09:17;09:18;09:32;09:32;09:47;09:48;10:02;10:06;10:14;10:15;10:24;10:24;10:34;10:35;10:44;10:44;10:54;10:55;11:04;11:04;11:14;11:14;11:24;11:24;11:34;11:35;11:44;11:44;11:54;11:54;12:04;12:05;12:14;12:14;12:24;12:24;12:34;12:34;12:44;12:45;12:54;12:54;13:04;13:04;13:14;13:16;13:24;13:24;13:34;13:34;13:44;13:43;13:54;13:56;14:04;14:04;14:14;14:16;14:24;14:25;14:34;14:35;14:44;14:44;14:54;14:56;15:04;15:04;15:14;15:15;15:24;15:26;15:34;15:34;15:44;15:43;15:54;15:53;16:04;16:05;16:14;16:14;16:24;16:24;16:34;16:34;16:44;16:44;16:54;16:55;17:04;17:05;17:14;17:13;17:24;17:24;17:34;17:35;17:44;17:44;17:54;17:54;18:04;18:04;18:14;18:14;18:24;18:26;18:34;18:36;18:47;18:48;18:55;18:57;19:02;19:04;19:17;19:17;19:25;19:26;19:32;19:32;19:47;19:49;20:02;20:03;20:17;20:17;20:32;20:33;20:47;20:49;21:02;21:03;21:17;21:17;21:32;21:33;21:47;21:47;22:02;22:02;22:17;22:16;22:32;22:32;22:54;22:55;23:02;23:02;23:32;23:32;00:02;00:02
H.-Liebm.-/Eisenbahnstr.;00:34;00:34;;;05:04;05:05;05:34;05:34;06:04;06:05;06:34;06:35;07:04;07:03;07:34;07:36;08:04;08:04;08:19;08:19;08:34;08:35;08:49;08:50;09:04;09:04;09:19;09:19;09:34;09:34;09:49;09:50;10:04;10:07;10:16;10:17;10:26;10:26;10:36;10:37;10:46;10:46;10:56;10:57;11:06;11:06;11:16;11:16;11:26;11:25;11:36;11:37;11:46;11:46;11:56;11:55;12:06;12:07;12:16;12:16;12:26;12:26;12:36;12:35;12:46;12:47;12:56;12:56;13:06;13:06;13:16;13:17;13:26;13:26;13:36;13:35;13:46;13:45;13:56;13:58;14:06;14:06;14:16;14:18;14:26;14:29;14:36;14:36;14:46;14:46;14:56;14:58;15:06;15:06;15:16;15:17;15:26;15:28;15:36;15:36;15:46;15:45;15:56;15:55;16:06;16:06;16:16;16:16;16:26;16:25;16:36;16:36;16:46;16:46;16:56;16:56;17:06;17:07;17:16;17:15;17:26;17:26;17:36;17:37;17:46;17:46;17:56;17:56;18:06;18:06;18:16;18:16;18:26;18:28;18:36;18:38;18:49;18:50;18:57;18:59;19:04;19:05;19:19;19:18;19:27;19:28;19:34;19:34;19:49;19:51;20:04;20:04;20:19;20:19;20:34;20:35;20:49;20:50;21:04;21:04;21:19;21:19;21:34;21:35;21:49;21:49;22:04;22:04;22:19;22:18;22:34;22:34;22:56;22:57;23:04;23:04;23:34;23:34;00:04;00:03
Einertstraße;00:35;00:35;;;05:05;05:07;05:35;05:36;06:05;06:06;06:35;06:36;07:05;07:05;07:35;07:37;08:05;08:05;08:20;08:20;08:35;08:36;08:50;08:51;09:05;09:06;09:20;09:21;09:35;09:35;09:50;09:51;10:05;10:08;10:17;10:18;10:27;10:27;10:37;10:38;10:47;10:47;10:57;10:58;11:07;11:07;11:17;11:17;11:27;11:26;11:37;11:39;11:47;11:47;11:57;11:56;12:07;12:09;12:17;12:17;12:27;12:27;12:37;12:37;12:47;12:48;12:57;12:57;13:07;13:07;13:17;13:19;13:27;13:27;13:37;13:37;13:47;13:47;13:57;14:00;14:07;14:07;14:17;14:20;14:27;14:30;14:37;14:38;14:47;14:48;14:57;14:59;15:07;15:07;15:17;15:19;15:27;15:29;15:37;15:37;15:47;15:46;15:57;15:56;16:07;16:07;16:17;16:17;16:27;16:26;16:37;16:38;16:47;16:48;16:57;16:58;17:07;17:09;17:17;17:16;17:27;17:28;17:37;17:39;17:47;17:47;17:57;17:57;18:07;18:07;18:17;18:17;18:27;18:29;18:37;18:39;18:50;18:51;18:58;19:00;19:05;19:07;19:20;19:20;19:28;19:29;19:35;19:36;19:50;19:52;20:05;20:06;20:20;20:20;20:35;20:37;20:50;20:52;21:05;21:06;21:20;21:20;21:35;21:36;21:50;21:50;22:05;22:06;22:20;22:19;22:35;22:35;22:57;22:58;23:05;23:05;23:35;23:35;00:05;00:05
Friedrich-List-Platz;00:37;00:36;;;05:07;05:08;05:37;05:38;06:07;06:08;06:37;06:38;07:07;07:07;07:37;07:39;08:07;08:06;08:22;08:22;08:37;08:38;08:52;08:53;09:07;09:08;09:22;09:23;09:37;09:38;09:52;09:53;10:07;10:10;10:19;10:20;10:29;10:30;10:39;10:40;10:49;10:48;10:59;11:00;11:09;11:09;11:19;11:18;11:29;11:27;11:39;11:41;11:49;11:50;11:59;11:59;12:09;12:11;12:19;12:18;12:29;12:29;12:39;12:39;12:49;12:50;12:59;12:59;13:09;13:09;13:19;13:20;13:29;13:29;13:39;13:39;13:49;13:50;13:59;14:02;14:09;14:09;14:19;14:22;14:29;14:32;14:39;14:39;14:49;14:50;14:59;15:02;15:09;15:09;15:19;15:20;15:29;15:32;15:39;15:39;15:49;15:48;15:59;15:57;16:09;16:09;16:19;16:20;16:29;16:27;16:39;16:39;16:49;16:50;16:59;16:59;17:09;17:11;17:19;17:18;17:29;17:30;17:39;17:41;17:49;17:48;17:59;17:59;18:09;18:09;18:19;18:19;18:29;18:30;18:39;18:41;18:52;18:53;19:00;19:02;19:07;19:08;19:22;19:21;19:30;19:31;19:37;19:38;19:52;19:54;20:07;20:08;20:22;20:21;20:37;20:38;20:52;20:53;21:07;21:08;21:22;21:21;21:37;21:38;21:52;21:51;22:07;22:08;22:22;22:21;22:37;22:36;22:59;22:59;23:07;23:07;23:37;23:36;00:07;00:06
