Kurs:;41;;43;;44;;46;;49;;47;;41;;43;;44;;42;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;49;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Altes Messegelände;;;;;;;;;09:26;09:26;;;09:41;09:41;09:56;09:56;10:11;10:13;;;10:20;10:20;10:30;10:32;10:40;10:41;10:50;10:50;11:00;11:00;11:10;11:12;11:20;11:21;11:30;11:30;11:40;11:41;11:50;11:50;12:00;12:00;12:10;12:11;12:20;12:20;12:30;12:30;12:40;12:42;12:50;12:50;13:00;13:01;13:10;13:11;13:20;13:21;13:30;13:32;13:40;13:41;13:50;13:51;14:00;14:01;14:10;14:11;14:20;14:20;14:30;14:33;14:40;14:39;14:50;14:51;15:00;15:00;15:10;15:11;15:20;15:21;15:30;15:30;15:40;15:41;15:50;15:51;16:00;16:00;16:10;16:10;16:20;16:21;16:30;16:31;16:40;16:42;16:50;16:52;17:00;17:02;17:10;17:10;17:20;17:21;17:30;17:32;17:40;17:41;17:50;17:51;18:00;18:02;18:10;18:12;18:20;18:20;18:30;18:30;18:41;18:48;18:48;18:48;18:56;18:56;19:11;19:12;19:18;19:18;19:26;19:27;19:41;19:41;19:56;19:56;20:11;20:11
Dt. Nationalbibliothek;;;;;;;;;09:28;09:27;;;09:43;09:43;09:58;09:57;10:13;10:15;;;10:22;10:21;10:32;10:34;10:42;10:42;10:52;10:51;11:02;11:02;11:12;11:14;11:22;11:23;11:32;11:33;11:42;11:44;11:52;11:51;12:02;12:02;12:12;12:13;12:22;12:22;12:32;12:32;12:42;12:44;12:52;12:53;13:02;13:02;13:12;13:12;13:22;13:23;13:32;13:34;13:42;13:42;13:52;13:53;14:02;14:03;14:12;14:12;14:22;14:22;14:32;14:35;14:42;14:41;14:52;14:53;15:02;15:02;15:12;15:13;15:22;15:24;15:32;15:32;15:42;15:42;15:52;15:52;16:02;16:01;16:12;16:12;16:22;16:24;16:32;16:34;16:42;16:44;16:52;16:54;17:02;17:03;17:12;17:11;17:22;17:23;17:32;17:34;17:42;17:43;17:52;17:53;18:02;18:04;18:12;18:14;18:22;18:22;18:32;18:33;18:43;18:49;18:50;18:51;18:58;18:58;19:13;19:14;19:20;19:21;19:28;19:28;19:43;19:44;19:58;19:59;20:13;20:12
Johannisallee;;;;;;;;;09:30;09:29;;;09:45;09:45;10:00;09:59;10:15;10:17;;;10:24;10:23;10:34;10:36;10:44;10:44;10:54;10:53;11:04;11:04;11:14;11:15;11:24;11:24;11:34;11:35;11:44;11:45;11:54;11:53;12:04;12:03;12:14;12:14;12:24;12:24;12:34;12:34;12:44;12:45;12:54;12:54;13:04;13:03;13:14;13:14;13:24;13:25;13:34;13:36;13:44;13:44;13:54;13:54;14:04;14:05;14:14;14:14;14:24;14:24;14:34;14:36;14:44;14:43;14:54;14:54;15:04;15:04;15:14;15:14;15:24;15:25;15:34;15:33;15:44;15:44;15:54;15:54;16:04;16:03;16:14;16:14;16:24;16:25;16:34;16:36;16:44;16:46;16:54;16:56;17:04;17:05;17:14;17:13;17:24;17:24;17:34;17:36;17:44;17:45;17:54;17:54;18:04;18:06;18:14;18:15;18:24;18:24;18:34;18:35;18:45;18:51;18:52;18:53;19:00;19:00;19:15;19:15;19:22;19:22;19:30;19:30;19:45;19:45;20:00;20:00;20:15;20:14
Bayerischer Bahnhof;;;;;;;;;09:31;09:30;;;09:46;09:47;10:01;10:00;10:16;10:19;;;10:25;10:25;10:35;10:38;10:45;10:45;10:55;10:54;11:05;11:06;11:15;11:17;11:25;11:26;11:35;11:36;11:45;11:47;11:55;11:55;12:05;12:05;12:15;12:16;12:25;12:26;12:35;12:35;12:45;12:47;12:55;12:56;13:05;13:05;13:15;13:15;13:25;13:27;13:35;13:38;13:45;13:46;13:55;13:56;14:05;14:06;14:15;14:15;14:25;14:26;14:35;14:38;14:45;14:45;14:55;14:56;15:05;15:06;15:15;15:16;15:25;15:27;15:35;15:35;15:45;15:46;15:55;15:56;16:05;16:05;16:15;16:16;16:25;16:27;16:35;16:38;16:45;16:47;16:55;16:57;17:05;17:06;17:15;17:14;17:25;17:26;17:35;17:38;17:45;17:47;17:55;17:56;18:05;18:08;18:15;18:17;18:25;18:26;18:35;18:36;18:46;18:54;18:53;18:55;19:01;19:02;19:16;19:17;19:23;19:24;19:31;19:32;19:46;19:47;20:01;20:02;20:16;20:15
Härtelstraße;;;;;;;;;09:33;09:31;;;09:48;09:48;10:03;10:01;10:18;10:20;;;10:27;10:26;10:37;10:39;10:47;10:46;10:57;10:56;11:07;11:08;11:17;11:18;11:27;11:27;11:37;11:37;11:47;11:48;11:57;11:56;12:07;12:06;12:17;12:17;12:27;12:27;12:37;12:36;12:47;12:48;12:57;12:57;13:07;13:06;13:17;13:17;13:27;13:29;13:37;13:39;13:47;13:46;13:57;13:57;14:07;14:08;14:17;14:17;14:27;14:27;14:37;14:39;14:47;14:47;14:57;14:57;15:07;15:08;15:17;15:17;15:27;15:29;15:37;15:36;15:47;15:47;15:57;15:57;16:07;16:06;16:17;16:17;16:27;16:28;16:37;16:39;16:47;16:48;16:57;16:59;17:07;17:08;17:17;17:15;17:27;17:27;17:37;17:39;17:47;17:48;17:57;17:57;18:07;18:09;18:17;18:18;18:27;18:27;18:37;18:37;18:48;18:56;18:55;18:56;19:03;19:03;19:18;19:18;19:25;19:25;19:33;19:33;19:48;19:48;20:03;20:03;20:18;20:16
Roßplatz;;;;;;;;;09:34;09:33;;;09:49;09:49;10:04;10:03;10:19;10:21;;;10:28;10:27;10:38;10:40;10:48;10:48;10:58;10:58;11:08;11:09;11:18;11:19;11:28;11:28;11:38;11:39;11:48;11:49;11:58;11:58;12:08;12:09;12:18;12:19;12:28;12:28;12:38;12:39;12:48;12:49;12:58;12:58;13:08;13:09;13:18;13:18;13:28;13:30;13:38;13:40;13:48;13:48;13:58;13:58;14:08;14:09;14:18;14:18;14:28;14:28;14:38;14:40;14:48;14:49;14:58;15:00;15:08;15:09;15:18;15:18;15:28;15:30;15:38;15:37;15:48;15:49;15:58;15:58;16:08;16:07;16:18;16:18;16:28;16:30;16:38;16:40;16:48;16:49;16:58;17:01;17:08;17:09;17:18;17:16;17:28;17:30;17:38;17:40;17:48;17:49;17:58;17:58;18:08;18:10;18:18;18:19;18:28;18:28;18:38;18:39;18:49;18:58;18:56;19:00;19:04;19:04;19:19;19:19;19:26;19:27;19:34;19:34;19:49;19:49;20:04;20:04;20:19;20:19
Wilhelm-Leuschner-Platz;;;;;;;;;09:36;09:34;;;09:51;09:51;10:06;10:04;10:21;10:22;;;10:30;10:28;10:40;10:41;10:50;10:49;11:00;11:00;11:10;11:10;11:20;11:20;11:30;11:30;11:40;11:40;11:50;11:50;12:00;12:00;12:10;12:10;12:20;12:20;12:30;12:30;12:40;12:41;12:50;12:52;13:00;13:00;13:10;13:10;13:20;13:19;13:30;13:32;13:40;13:41;13:50;13:49;14:00;14:00;14:10;14:10;14:20;14:19;14:30;14:30;14:40;14:41;14:50;14:52;15:00;15:01;15:10;15:10;15:20;15:19;15:30;15:31;15:40;15:39;15:50;15:51;16:00;16:00;16:10;16:09;16:20;16:19;16:30;16:31;16:40;16:43;16:50;16:51;17:00;17:04;17:10;17:10;17:20;17:19;17:30;17:31;17:40;17:42;17:50;17:51;18:00;18:01;18:10;18:12;18:20;18:21;18:30;18:30;18:40;18:40;18:51;18:59;18:58;19:00;19:06;19:06;19:21;19:21;19:28;19:28;19:36;19:36;19:51;19:51;20:06;20:06;20:21;20:20
Neues Rathaus;;;;;;;;;09:38;09:36;;;09:53;09:53;10:08;10:06;10:23;10:24;;;10:32;10:31;10:42;10:44;10:52;10:51;11:02;11:02;11:12;11:12;11:22;11:23;11:32;11:32;11:42;11:42;11:52;11:51;12:02;12:02;12:12;12:12;12:22;12:23;12:32;12:32;12:42;12:42;12:52;12:54;13:02;13:02;13:12;13:12;13:22;13:21;13:32;13:34;13:42;13:44;13:52;13:51;14:02;14:02;14:12;14:12;14:22;14:21;14:32;14:32;14:42;14:44;14:52;14:53;15:02;15:03;15:12;15:12;15:22;15:23;15:32;15:33;15:42;15:41;15:52;15:53;16:02;16:02;16:12;16:11;16:22;16:22;16:32;16:33;16:42;16:45;16:52;16:53;17:02;17:06;17:12;17:13;17:22;17:21;17:32;17:33;17:42;17:44;17:52;17:53;18:02;18:02;18:12;18:14;18:22;18:23;18:32;18:32;18:42;18:42;18:53;19:02;19:00;19:03;19:08;19:08;19:23;19:23;19:30;19:30;19:38;19:38;19:53;19:53;20:08;20:08;20:23;20:23
Westplatz;;;;;;;;;09:40;09:38;;;09:55;09:55;10:10;10:09;10:25;10:27;;;10:34;10:32;10:44;10:45;10:54;10:53;11:04;11:04;11:14;11:14;11:24;11:24;11:34;11:34;11:44;11:44;11:54;11:54;12:04;12:03;12:14;12:14;12:24;12:24;12:34;12:33;12:44;12:44;12:54;12:55;13:04;13:03;13:14;13:14;13:24;13:23;13:34;13:35;13:44;13:46;13:54;13:53;14:04;14:03;14:14;14:14;14:24;14:23;14:34;14:33;14:44;14:46;14:54;14:55;15:04;15:05;15:14;15:14;15:24;15:24;15:34;15:35;15:44;15:43;15:54;15:54;16:04;16:03;16:14;16:13;16:24;16:24;16:34;16:35;16:44;16:47;16:54;16:54;17:04;17:08;17:14;17:15;17:24;17:23;17:34;17:35;17:44;17:46;17:54;17:55;18:04;18:04;18:14;18:15;18:24;18:24;18:34;18:34;18:44;18:44;18:55;19:03;19:02;19:05;19:10;19:09;19:25;19:24;19:32;19:32;19:40;19:39;19:55;19:54;20:10;20:10;20:25;20:24
