Kurs:;49;;41;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;43;;44;;46;;47;;49;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Ratzelbogen;;;08:59;08:59;09:14;09:14;09:29;09:29;;;09:44;09:45;09:59;09:59;;;10:13;10:12;10:23;10:23;10:33;10:37;10:43;10:43;10:53;10:53;11:03;11:03;11:13;11:13;11:23;11:23;11:33;11:33;11:43;11:42;11:53;11:53;12:03;12:03;12:13;12:13;12:23;12:23;12:33;12:33;12:43;12:43;12:53;12:53;13:03;13:03;13:13;13:13;13:23;13:23;13:33;13:33;13:43;13:43;13:53;13:53;14:03;14:03;14:13;14:13;14:23;14:23;14:33;14:33;14:43;14:43;14:53;14:52;15:03;15:03;15:13;15:13;15:23;15:23;15:33;15:33;15:43;15:44;15:53;15:53;16:03;16:03;16:13;16:13;16:23;16:22;16:33;16:33;16:43;16:43;16:53;16:53;17:03;17:03;17:13;17:13;17:23;17:23;17:33;17:33;17:43;17:43;17:53;17:54;18:03;18:03;18:13;18:13;18:23;18:25;18:33;18:33;18:43;18:43;18:59;18:59;19:03;19:03;19:14;19:14;19:29;19:31;19:38;19:37;19:53;19:54;20:08;20:08;20:23;20:23;20:38;20:38;20:53;20:53
Stuttgarter Allee;;;09:00;09:01;09:15;09:15;09:30;09:30;;;09:45;09:46;10:00;10:00;;;10:14;10:14;10:24;10:24;10:34;10:38;10:44;10:44;10:54;10:54;11:04;11:04;11:14;11:14;11:24;11:24;11:34;11:34;11:44;11:43;11:54;11:55;12:04;12:05;12:14;12:14;12:24;12:24;12:34;12:34;12:44;12:45;12:54;12:55;13:04;13:04;13:14;13:15;13:24;13:24;13:34;13:34;13:44;13:44;13:54;13:54;14:04;14:05;14:14;14:14;14:24;14:24;14:34;14:34;14:44;14:45;14:54;14:53;15:04;15:04;15:14;15:14;15:24;15:24;15:34;15:35;15:44;15:46;15:54;15:54;16:04;16:04;16:14;16:15;16:24;16:24;16:34;16:34;16:44;16:45;16:54;16:55;17:04;17:04;17:14;17:14;17:24;17:24;17:34;17:34;17:44;17:45;17:54;17:55;18:04;18:04;18:14;18:14;18:24;18:27;18:34;18:34;18:44;18:44;19:00;19:00;19:04;19:04;19:15;19:16;19:30;19:32;19:39;19:39;19:54;19:55;20:09;20:09;20:24;20:24;20:39;20:40;20:54;20:54
Schönauer/Ratzelstraße;;;09:01;09:02;09:16;09:17;09:31;09:32;;;09:46;09:47;10:01;10:01;;;10:15;10:15;10:25;10:26;10:35;10:40;10:45;10:45;10:55;10:56;11:05;11:06;11:15;11:16;11:25;11:26;11:35;11:35;11:45;11:45;11:55;11:56;12:05;12:06;12:15;12:16;12:25;12:25;12:35;12:36;12:45;12:46;12:55;12:56;13:05;13:05;13:15;13:16;13:25;13:25;13:35;13:36;13:45;13:46;13:55;13:56;14:05;14:06;14:15;14:16;14:25;14:26;14:35;14:36;14:45;14:46;14:55;14:55;15:05;15:05;15:15;15:16;15:25;15:26;15:35;15:36;15:45;15:47;15:55;15:55;16:05;16:05;16:15;16:16;16:25;16:25;16:35;16:35;16:45;16:46;16:55;16:56;17:05;17:06;17:15;17:16;17:25;17:25;17:35;17:36;17:45;17:46;17:55;17:57;18:05;18:05;18:15;18:16;18:25;18:29;18:35;18:36;18:45;18:46;19:01;19:01;19:05;19:06;19:16;19:17;19:31;19:34;19:40;19:40;19:55;19:57;20:10;20:11;20:25;20:25;20:40;20:41;20:55;20:55
Herrmann-Meyer-Straße;;;09:03;09:04;09:18;09:18;09:33;09:34;;;09:48;09:49;10:03;10:03;;;10:17;10:17;10:27;10:28;10:37;10:41;10:47;10:47;10:57;10:57;11:07;11:08;11:17;11:17;11:27;11:27;11:37;11:37;11:47;11:46;11:57;11:57;12:07;12:08;12:17;12:17;12:27;12:27;12:37;12:38;12:47;12:48;12:57;12:58;13:07;13:07;13:17;13:18;13:27;13:27;13:37;13:37;13:47;13:47;13:57;13:57;14:07;14:08;14:17;14:18;14:27;14:27;14:37;14:37;14:47;14:48;14:57;14:57;15:07;15:07;15:17;15:18;15:27;15:28;15:37;15:38;15:47;15:49;15:57;15:57;16:07;16:07;16:17;16:18;16:27;16:27;16:37;16:37;16:47;16:47;16:57;16:58;17:07;17:08;17:17;17:17;17:27;17:27;17:37;17:37;17:47;17:48;17:57;17:59;18:07;18:07;18:17;18:17;18:27;18:31;18:37;18:38;18:47;18:47;19:03;19:03;19:07;19:07;19:18;19:19;19:33;19:35;19:42;19:43;19:57;19:59;20:12;20:13;20:27;20:27;20:42;20:43;20:57;20:57
Kurt-Kresse-Straße;;;09:05;09:06;09:20;09:20;09:35;09:35;;;09:50;09:51;10:05;10:04;;;10:19;10:18;10:29;10:29;10:39;10:43;10:49;10:48;10:59;10:59;11:09;11:09;11:19;11:19;11:29;11:28;11:39;11:38;11:49;11:48;11:59;11:59;12:09;12:09;12:19;12:19;12:29;12:28;12:39;12:39;12:49;12:49;12:59;12:59;13:09;13:08;13:19;13:19;13:29;13:29;13:39;13:39;13:49;13:49;13:59;13:59;14:09;14:09;14:19;14:19;14:29;14:29;14:39;14:39;14:49;14:50;14:59;14:58;15:09;15:09;15:19;15:19;15:29;15:29;15:39;15:39;15:49;15:50;15:59;15:58;16:09;16:08;16:19;16:19;16:29;16:28;16:39;16:39;16:49;16:48;16:59;16:59;17:09;17:09;17:19;17:18;17:29;17:28;17:39;17:38;17:49;17:49;17:59;18:00;18:09;18:08;18:19;18:18;18:29;18:32;18:39;18:39;18:49;18:49;19:05;19:04;19:09;19:09;19:20;19:20;19:35;19:37;19:44;19:44;19:59;20:00;20:14;20:14;20:29;20:29;20:44;20:44;20:59;20:59
Diezmannstraße;;;09:06;09:07;09:21;09:21;09:36;09:36;;;09:51;09:52;10:06;10:06;;;10:20;10:20;10:30;10:30;10:40;10:44;10:50;10:50;11:00;11:00;11:10;11:10;11:20;11:20;11:30;11:30;11:40;11:39;11:50;11:49;12:00;12:00;12:10;12:10;12:20;12:21;12:30;12:30;12:40;12:40;12:50;12:50;13:00;13:00;13:10;13:09;13:20;13:21;13:30;13:30;13:40;13:40;13:50;13:50;14:00;14:00;14:10;14:11;14:20;14:21;14:30;14:30;14:40;14:40;14:50;14:51;15:00;15:00;15:10;15:10;15:20;15:20;15:30;15:31;15:40;15:41;15:50;15:51;16:00;15:59;16:10;16:10;16:20;16:21;16:30;16:30;16:40;16:40;16:50;16:50;17:00;17:01;17:10;17:10;17:20;17:20;17:30;17:30;17:40;17:40;17:50;17:51;18:00;18:01;18:10;18:10;18:20;18:20;18:30;18:33;18:40;18:40;18:50;18:50;19:06;19:06;19:10;19:10;19:21;19:22;19:36;19:38;19:45;19:46;20:00;20:01;20:15;20:15;20:30;20:30;20:45;20:45;21:00;21:00
Antonien-/Gießerstraße;;;09:08;09:09;09:23;09:22;09:38;09:38;;;09:53;09:54;10:08;10:07;;;10:22;10:21;10:32;10:32;10:42;10:46;10:52;10:51;11:02;11:02;11:12;11:12;11:22;11:22;11:32;11:31;11:42;11:41;11:52;11:51;12:02;12:02;12:12;12:12;12:22;12:22;12:32;12:32;12:42;12:42;12:52;12:52;13:02;13:02;13:12;13:11;13:22;13:23;13:32;13:32;13:42;13:41;13:52;13:51;14:02;14:01;14:12;14:12;14:22;14:22;14:32;14:32;14:42;14:42;14:52;14:54;15:02;15:02;15:12;15:11;15:22;15:22;15:32;15:32;15:42;15:42;15:52;15:53;16:02;16:00;16:12;16:11;16:22;16:22;16:32;16:31;16:42;16:42;16:52;16:51;17:02;17:02;17:12;17:12;17:22;17:22;17:32;17:31;17:42;17:41;17:52;17:52;18:02;18:03;18:12;18:11;18:22;18:21;18:32;18:35;18:42;18:42;18:52;18:52;19:08;19:07;19:12;19:11;19:23;19:24;19:38;19:39;19:47;19:47;20:02;20:03;20:17;20:16;20:32;20:31;20:47;20:47;21:02;21:01
Adler;;;09:10;09:10;09:25;09:24;09:40;09:39;;;09:55;09:55;10:10;10:09;;;10:24;10:24;10:34;10:34;10:44;10:47;10:54;10:54;11:04;11:04;11:14;11:14;11:24;11:24;11:34;11:33;11:44;11:44;11:54;11:52;12:04;12:04;12:14;12:14;12:24;12:24;12:34;12:34;12:44;12:44;12:54;12:54;13:04;13:04;13:14;13:12;13:24;13:24;13:34;13:34;13:44;13:43;13:54;13:53;14:04;14:03;14:14;14:15;14:24;14:23;14:34;14:33;14:44;14:43;14:54;14:55;15:04;15:03;15:14;15:12;15:24;15:23;15:34;15:33;15:44;15:44;15:54;15:54;16:04;16:03;16:14;16:14;16:24;16:24;16:34;16:32;16:44;16:43;16:54;16:52;17:04;17:04;17:14;17:13;17:24;17:23;17:34;17:33;17:44;17:43;17:54;17:54;18:04;18:04;18:14;18:14;18:24;18:22;18:34;18:37;18:44;18:44;18:54;18:54;19:10;19:10;19:14;19:13;19:25;19:25;19:40;19:40;19:49;19:49;20:04;20:05;20:19;20:19;20:34;20:34;20:49;20:49;21:04;21:03
Rödelstraße;;;09:12;09:13;09:27;09:26;09:42;09:41;;;09:57;09:58;10:12;10:11;;;10:26;10:26;10:36;10:36;10:46;10:50;10:56;10:56;11:06;11:06;11:16;11:16;11:26;11:26;11:36;11:36;11:46;11:46;11:56;11:54;12:06;12:06;12:16;12:16;12:26;12:26;12:36;12:36;12:46;12:46;12:56;12:56;13:06;13:06;13:16;13:15;13:26;13:26;13:36;13:36;13:46;13:46;13:56;13:56;14:06;14:05;14:16;14:17;14:26;14:25;14:36;14:36;14:46;14:45;14:56;14:57;15:06;15:06;15:16;15:15;15:26;15:25;15:36;15:36;15:46;15:48;15:56;15:56;16:06;16:05;16:16;16:16;16:26;16:28;16:36;16:34;16:46;16:45;16:56;16:54;17:06;17:06;17:16;17:16;17:26;17:25;17:36;17:37;17:46;17:45;17:56;17:56;18:06;18:06;18:16;18:16;18:26;18:24;18:36;18:39;18:46;18:46;18:56;18:56;19:12;19:13;;;19:27;19:28;19:42;19:43;;;;;;;;;;;;
