Kurs:;36;;42;;35;;41;;44;;31;;34;;41;;44;;31;;34;;41;;36;;44;;31;;42;;32;;34;;36;;41;;42;;44;;31;;43;;32;;33;;34;;36;;35;;41;;42;;43;;44;;31;;32;;33;;34;;36;;35;;41;;42;;43;;44;;31;;32;;33;;34;;36;;35;;41;;42;;43;;44;;31;;32;;33;;34;;36;;35;;41;;42;;43;;44;;31;;32;;33;;34;;36;;35;;41;;42;;43;;44;;31;;32;;33;;34;;36;;35;;41;;42;;43;;44;;32;;33;;36;;35;;42;;43;;44;;32;;33;;36;;35;;42;;43;;32;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Stötteritz, Holzh. Str.;00:22;00:22;00:40;00:38;01:10;01:10;;;;;;;04:52;04:52;05:22;05:22;05:52;05:51;06:22;06:22;06:52;06:52;07:22;07:22;;;07:52;07:51;08:13;08:13;;;08:28;08:28;08:43;08:43;08:58;08:58;09:13;09:13;09:28;09:29;09:43;09:43;09:58;09:58;;;10:08;10:08;10:18;10:18;10:28;10:27;10:38;10:38;10:48;10:48;10:58;10:58;11:08;11:08;11:18;11:18;11:28;11:28;11:38;11:41;11:48;11:48;11:58;11:58;12:08;12:07;12:18;12:18;12:28;12:28;12:38;12:38;12:48;12:48;12:58;12:58;13:08;13:08;13:18;13:19;13:28;13:29;13:38;13:38;13:48;13:48;13:58;13:58;14:08;14:08;14:18;14:18;14:28;14:28;14:38;14:38;14:48;14:47;14:58;14:59;15:08;15:08;15:18;15:18;15:28;15:28;15:38;15:38;15:48;15:48;15:58;15:58;16:08;16:08;16:18;16:18;16:28;16:28;16:38;16:38;16:48;16:48;16:58;16:57;17:08;17:08;17:18;17:18;17:28;17:28;17:38;17:40;17:48;17:48;17:58;17:58;18:08;18:08;18:18;18:18;18:28;18:28;18:38;18:37;18:48;18:51;18:58;18:58;19:13;19:13;19:15;19:20;19:28;19:28;19:43;19:43;19:58;19:58;20:13;20:13;20:28;20:28;20:43;20:42;20:58;20:58;21:13;21:13;21:28;21:28;21:43;21:43;21:58;21:58;22:13;22:13;22:22;22:21;22:36;22:39;22:52;22:52;23:22;23:22;23:52;23:51
Kolmstraße;00:23;00:23;00:41;00:40;01:11;01:11;;;;;;;04:53;04:53;05:23;05:23;05:53;05:53;06:23;06:23;06:53;06:53;07:23;07:23;;;07:53;07:52;08:14;08:14;;;08:29;08:29;08:44;08:44;08:59;08:59;09:14;09:14;09:29;09:30;09:44;09:44;09:59;09:59;;;10:09;10:09;10:19;10:19;10:29;10:29;10:39;10:40;10:49;10:49;10:59;10:59;11:09;11:09;11:19;11:19;11:29;11:29;11:39;11:42;11:49;11:49;11:59;11:59;12:09;12:08;12:19;12:20;12:29;12:29;12:39;12:39;12:49;12:49;12:59;12:59;13:09;13:09;13:19;13:20;13:29;13:30;13:39;13:39;13:49;13:49;13:59;14:00;14:09;14:10;14:19;14:19;14:29;14:29;14:39;14:39;14:49;14:48;14:59;15:01;15:09;15:09;15:19;15:19;15:29;15:30;15:39;15:39;15:49;15:49;15:59;15:59;16:09;16:09;16:19;16:19;16:29;16:29;16:39;16:39;16:49;16:49;16:59;16:58;17:09;17:09;17:19;17:19;17:29;17:29;17:39;17:41;17:49;17:49;17:59;17:59;18:09;18:09;18:19;18:19;18:29;18:29;18:39;18:38;18:49;18:52;18:59;18:59;19:14;19:14;19:16;19:22;19:29;19:29;19:44;19:44;19:59;20:00;20:14;20:14;20:29;20:29;20:44;20:44;20:59;20:59;21:14;21:14;21:29;21:29;21:44;21:44;21:59;21:59;22:14;22:14;22:23;22:23;22:37;22:40;22:53;22:53;23:23;23:23;23:53;23:53
Rathaus Stötteritz;00:24;00:24;00:42;00:41;01:12;01:12;;;;;;;04:54;04:54;05:24;05:24;05:54;05:54;06:24;06:24;06:54;06:54;07:24;07:24;;;07:54;07:53;08:15;08:15;;;08:30;08:31;08:45;08:45;09:00;09:00;09:15;09:15;09:30;09:31;09:45;09:45;10:00;10:00;;;10:10;10:10;10:20;10:21;10:30;10:30;10:40;10:41;10:50;10:51;11:00;11:00;11:10;11:10;11:20;11:20;11:30;11:30;11:40;11:43;11:50;11:50;12:00;12:00;12:10;12:10;12:20;12:21;12:30;12:31;12:40;12:40;12:50;12:50;13:00;13:00;13:10;13:10;13:20;13:22;13:30;13:31;13:40;13:40;13:50;13:51;14:00;14:01;14:10;14:11;14:20;14:20;14:30;14:30;14:40;14:40;14:50;14:50;15:00;15:02;15:10;15:10;15:20;15:20;15:30;15:31;15:40;15:40;15:50;15:50;16:00;16:00;16:10;16:10;16:20;16:20;16:30;16:30;16:40;16:41;16:50;16:50;17:00;17:00;17:10;17:10;17:20;17:20;17:30;17:30;17:40;17:43;17:50;17:50;18:00;18:00;18:10;18:10;18:20;18:20;18:30;18:31;18:40;18:40;18:50;18:54;19:00;19:00;19:15;19:15;19:17;19:23;19:30;19:30;19:45;19:45;20:00;20:01;20:15;20:15;20:30;20:30;20:45;20:45;21:00;21:00;21:15;21:16;21:30;21:30;21:45;21:46;22:00;22:00;22:15;22:15;22:24;22:24;22:38;22:41;22:54;22:54;23:24;23:24;23:54;23:54
Weißestraße;00:25;00:25;00:43;00:42;01:13;01:13;;;;;;;04:55;04:55;05:25;05:25;05:55;05:55;06:25;06:25;06:55;06:55;07:25;07:25;;;07:55;07:55;08:16;08:16;;;08:31;08:32;08:46;08:46;09:01;09:01;09:16;09:16;09:31;09:32;09:46;09:47;10:01;10:01;;;10:11;10:12;10:21;10:22;10:31;10:31;10:41;10:42;10:51;10:52;11:01;11:01;11:11;11:11;11:21;11:22;11:31;11:31;11:41;11:44;11:51;11:52;12:01;12:01;12:11;12:11;12:21;12:22;12:31;12:32;12:41;12:41;12:51;12:51;13:01;13:01;13:11;13:11;13:21;13:23;13:31;13:32;13:41;13:41;13:51;13:52;14:01;14:02;14:11;14:12;14:21;14:21;14:31;14:31;14:41;14:41;14:51;14:51;15:01;15:03;15:11;15:11;15:21;15:21;15:31;15:32;15:41;15:41;15:51;15:51;16:01;16:01;16:11;16:13;16:21;16:21;16:31;16:31;16:41;16:42;16:51;16:52;17:01;17:01;17:11;17:11;17:21;17:21;17:31;17:31;17:41;17:44;17:51;17:51;18:01;18:01;18:11;18:11;18:21;18:21;18:31;18:32;18:41;18:41;18:51;18:55;19:01;19:01;19:16;19:17;19:18;19:24;19:31;19:31;19:46;19:47;20:01;20:02;20:16;20:16;20:31;20:31;20:46;20:46;21:01;21:01;21:16;21:17;21:31;21:31;21:46;21:47;22:01;22:01;22:16;22:16;22:25;22:25;22:39;22:42;22:55;22:55;23:25;23:25;23:55;23:55
Breslauer Straße;00:26;00:26;00:44;00:43;01:14;01:14;;;;;;;04:56;04:56;05:26;05:26;05:56;05:56;06:26;06:26;06:56;06:57;07:26;07:27;;;07:56;07:56;08:17;08:17;;;08:32;08:33;08:47;08:47;09:02;09:02;09:17;09:17;09:32;09:33;09:47;09:48;10:02;10:02;;;10:12;10:13;10:22;10:23;10:32;10:32;10:42;10:43;10:52;10:53;11:02;11:02;11:12;11:13;11:22;11:23;11:32;11:32;11:42;11:46;11:52;11:53;12:02;12:02;12:12;12:12;12:22;12:23;12:32;12:33;12:42;12:42;12:52;12:52;13:02;13:02;13:12;13:12;13:22;13:25;13:32;13:33;13:42;13:43;13:52;13:53;14:02;14:03;14:12;14:13;14:22;14:23;14:32;14:32;14:42;14:42;14:52;14:52;15:02;15:04;15:12;15:12;15:22;15:22;15:32;15:33;15:42;15:42;15:52;15:52;16:02;16:02;16:12;16:14;16:22;16:22;16:32;16:33;16:42;16:43;16:52;16:53;17:02;17:02;17:12;17:13;17:22;17:22;17:32;17:32;17:42;17:45;17:52;17:53;18:02;18:03;18:12;18:13;18:22;18:23;18:32;18:33;18:42;18:42;18:52;18:56;19:02;19:03;19:17;19:18;19:19;19:25;19:32;19:32;19:47;19:48;20:02;20:03;20:17;20:17;20:32;20:33;20:47;20:47;21:02;21:03;21:17;21:18;21:32;21:33;21:47;21:48;22:02;22:02;22:17;22:17;22:26;22:27;22:40;22:43;22:56;22:57;23:26;23:27;23:56;23:56
S-Bf. Stötteritz;00:27;00:27;00:45;00:44;01:15;01:14;;;;;;;04:57;04:57;05:27;05:27;05:57;05:57;06:27;06:27;06:57;06:58;07:27;07:28;;;07:57;07:57;08:18;08:18;;;08:33;08:34;08:48;08:48;09:03;09:03;09:18;09:18;09:33;09:34;09:48;09:49;10:03;10:03;;;10:13;10:14;10:23;10:24;10:33;10:33;10:43;10:44;10:53;10:54;11:03;11:03;11:13;11:13;11:23;11:24;11:33;11:33;11:43;11:47;11:53;11:54;12:03;12:03;12:13;12:13;12:23;12:24;12:33;12:34;12:43;12:43;12:53;12:53;13:03;13:03;13:13;13:13;13:23;13:26;13:33;13:34;13:43;13:44;13:53;13:54;14:03;14:04;14:13;14:14;14:23;14:24;14:33;14:33;14:43;14:43;14:53;14:52;15:03;15:06;15:13;15:13;15:23;15:24;15:33;15:34;15:43;15:44;15:53;15:53;16:03;16:03;16:13;16:15;16:23;16:23;16:33;16:34;16:43;16:44;16:53;16:54;17:03;17:03;17:13;17:14;17:23;17:24;17:33;17:33;17:43;17:46;17:53;17:54;18:03;18:04;18:13;18:14;18:23;18:24;18:33;18:34;18:43;18:43;18:53;18:57;19:03;19:04;19:18;19:19;19:20;19:26;19:33;19:33;19:48;19:49;20:03;20:04;20:18;20:18;20:33;20:34;20:48;20:49;21:03;21:04;21:18;21:19;21:33;21:34;21:48;21:49;22:03;22:03;22:18;22:18;22:27;22:28;22:41;22:45;22:57;22:58;23:27;23:28;23:57;23:57
Riebeck-/Stötteritzer S.;00:28;00:29;00:46;00:46;01:16;01:16;;;;;;;04:58;04:59;05:28;05:29;05:58;05:58;06:28;06:29;06:58;06:59;07:28;07:29;;;07:58;07:58;08:19;08:20;;;08:34;08:35;08:49;08:49;09:04;09:04;09:19;09:20;09:34;09:35;09:49;09:50;10:04;10:05;;;10:15;10:16;10:25;10:26;10:35;10:35;10:45;10:45;10:55;10:55;11:05;11:05;11:15;11:15;11:25;11:25;11:35;11:35;11:45;11:48;11:55;11:55;12:05;12:05;12:15;12:14;12:25;12:25;12:35;12:35;12:45;12:44;12:55;12:55;13:05;13:04;13:15;13:15;13:25;13:27;13:35;13:36;13:45;13:45;13:55;13:55;14:05;14:05;14:15;14:15;14:25;14:25;14:35;14:35;14:45;14:44;14:55;14:54;15:05;15:07;15:15;15:14;15:25;15:25;15:35;15:36;15:45;15:45;15:55;15:55;16:05;16:04;16:15;16:16;16:25;16:25;16:35;16:35;16:45;16:45;16:55;16:55;17:05;17:05;17:15;17:15;17:25;17:25;17:35;17:35;17:45;17:48;17:55;17:55;18:05;18:05;18:15;18:15;18:25;18:25;18:35;18:35;18:45;18:44;18:55;18:58;19:04;19:05;19:19;19:21;19:21;19:28;19:34;19:35;19:49;19:50;20:04;20:05;20:19;20:19;20:34;20:35;20:49;20:50;21:04;21:05;21:19;21:20;21:34;21:35;21:49;21:50;22:04;22:05;22:19;22:19;22:28;22:29;22:42;22:46;22:58;22:59;23:28;23:29;23:58;23:58
Riebeck-/Oststraße;00:29;00:30;00:47;00:47;01:17;01:17;;;;;;;04:59;05:00;05:29;05:30;05:59;05:59;06:29;06:30;06:59;07:00;07:29;07:30;;;07:59;08:00;08:20;08:21;;;08:35;08:36;08:50;08:51;09:05;09:06;09:20;09:21;09:35;09:37;09:50;09:52;10:05;10:06;;;10:16;10:18;10:26;10:27;10:36;10:36;10:46;10:46;10:56;10:56;11:06;11:06;11:16;11:16;11:26;11:26;11:36;11:36;11:46;11:49;11:56;11:57;12:06;12:06;12:16;12:16;12:26;12:27;12:36;12:37;12:46;12:46;12:56;12:57;13:06;13:06;13:16;13:17;13:26;13:28;13:36;13:37;13:46;13:47;13:56;13:57;14:06;14:07;14:16;14:17;14:26;14:27;14:36;14:36;14:46;14:46;14:56;14:55;15:06;15:09;15:16;15:16;15:26;15:26;15:36;15:37;15:46;15:46;15:56;15:56;16:06;16:06;16:16;16:17;16:26;16:26;16:36;16:37;16:46;16:47;16:56;16:56;17:06;17:07;17:16;17:16;17:26;17:26;17:36;17:36;17:46;17:50;17:56;17:57;18:06;18:06;18:16;18:17;18:26;18:27;18:36;18:37;18:46;18:46;18:56;19:00;19:05;19:07;19:20;19:22;19:22;19:29;19:35;19:37;19:50;19:51;20:05;20:07;20:20;20:21;20:35;20:37;20:50;20:51;21:05;21:07;21:20;21:22;21:35;21:36;21:50;21:51;22:05;22:06;22:20;22:21;22:29;22:30;22:43;22:47;22:59;23:00;23:29;23:30;23:59;23:59
Breite Straße;00:31;00:32;00:49;00:49;01:19;01:18;;;;;;;05:01;05:01;05:31;05:31;06:01;06:01;06:31;06:31;07:01;07:02;07:31;07:33;;;08:01;08:01;08:22;08:23;;;08:37;08:39;08:52;08:52;09:07;09:07;09:22;09:23;09:37;09:39;09:52;09:53;10:07;10:07;;;10:18;10:19;10:28;10:29;10:38;10:39;10:48;10:48;10:58;10:58;11:08;11:08;11:18;11:19;11:28;11:28;11:38;11:39;11:48;11:52;11:58;11:58;12:08;12:08;12:18;12:18;12:28;12:28;12:38;12:38;12:48;12:48;12:58;12:58;13:08;13:07;13:18;13:18;13:28;13:30;13:38;13:38;13:48;13:48;13:58;13:58;14:08;14:08;14:18;14:19;14:28;14:29;14:38;14:38;14:48;14:48;14:58;14:57;15:08;15:10;15:18;15:17;15:28;15:27;15:38;15:39;15:48;15:48;15:58;15:59;16:08;16:07;16:18;16:19;16:28;16:27;16:38;16:38;16:48;16:48;16:58;16:58;17:08;17:09;17:18;17:18;17:28;17:27;17:38;17:38;17:48;17:53;17:58;18:00;18:08;18:09;18:18;18:18;18:28;18:28;18:38;18:40;18:48;18:47;18:58;19:02;19:07;19:09;19:22;19:25;19:24;19:31;19:37;19:38;19:52;19:53;20:07;20:08;20:22;20:23;20:37;20:38;20:52;20:53;21:07;21:08;21:22;21:24;21:37;21:38;21:52;21:53;22:07;22:08;22:22;22:22;22:31;22:32;22:45;22:49;23:01;23:02;23:31;23:32;00:01;00:01
