Kurs:;80;;99;;99;;99;;99;;91;;93;;82;;83;;81;;91;;93;;94;;95;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;93;;95;;31;;85;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lipsiusstraße;00:04;00:05;00:55;00:55;02:06;02:06;03:17;03:17;04:28;04:28;05:04;05:04;05:34;05:34;06:04;06:04;06:34;06:34;07:04;07:04;07:34;07:34;08:04;08:05;08:24;08:24;08:39;08:39;08:54;08:54;09:09;09:09;09:24;09:24;09:39;09:40;09:54;09:54;10:09;10:09;10:21;10:21;10:36;10:36;10:51;10:51;11:06;11:07;11:21;11:21;11:36;11:36;11:51;11:51;12:06;12:06;12:21;12:21;12:36;12:36;12:51;12:51;13:06;13:06;13:21;13:21;13:36;13:36;13:51;13:51;14:06;14:06;14:21;14:21;14:36;14:36;14:51;14:51;15:06;15:05;15:21;15:21;15:36;15:36;15:51;15:51;16:06;16:06;16:21;16:20;16:36;16:36;16:51;16:51;17:06;17:06;17:21;17:21;17:36;17:36;17:51;17:50;18:06;18:06;18:21;18:22;18:39;18:39;18:54;18:54;19:09;19:09;19:24;19:24;19:39;19:40;19:54;19:54;20:09;20:09;20:24;20:24;20:39;20:40;20:55;20:55;21:10;21:10;21:25;21:26;21:40;Grob;22:10;22:10;22:34;22:37;23:04;Grob;23:34;23:34
Holsteinstraße;00:05;00:06;00:56;00:55;02:07;02:07;03:18;03:18;04:29;04:28;05:05;05:05;05:35;05:35;06:05;06:04;06:35;06:34;07:05;07:05;07:35;07:35;08:05;08:06;08:25;08:25;08:40;08:40;08:55;08:55;09:10;09:10;09:25;09:25;09:40;09:41;09:55;09:55;10:10;10:10;10:22;10:22;10:37;10:37;10:52;10:52;11:07;11:08;11:22;11:22;11:37;11:37;11:52;11:52;12:07;12:07;12:22;12:22;12:37;12:37;12:52;12:52;13:07;13:07;13:22;13:22;13:37;13:37;13:52;13:51;14:07;14:07;14:22;14:22;14:37;14:37;14:52;14:52;15:07;15:06;15:22;15:23;15:37;15:38;15:52;15:52;16:07;16:07;16:22;16:22;16:37;16:38;16:52;16:53;17:07;17:07;17:22;17:22;17:37;17:37;17:52;17:51;18:07;18:07;18:22;18:23;18:40;18:40;18:55;18:56;19:10;19:10;19:25;19:26;19:40;19:41;19:55;19:56;20:10;20:11;20:25;20:25;20:40;20:41;20:56;20:57;21:11;21:10;21:26;21:26;21:41;21:42;22:11;22:11;22:35;22:39;23:05;23:05;23:35;23:35
Riebeck-/Oststraße;00:06;00:07;00:57;00:56;02:08;02:07;03:19;03:18;04:30;04:29;05:06;05:06;05:36;05:36;06:06;06:05;06:36;06:36;07:06;07:07;07:36;07:37;08:06;08:08;08:26;08:27;08:41;08:41;08:56;08:56;09:11;09:11;09:26;09:26;09:41;09:43;09:56;09:56;10:11;10:12;10:23;10:23;10:38;10:39;10:53;10:53;11:08;11:10;11:23;11:23;11:38;11:39;11:53;11:53;12:08;12:09;12:23;12:23;12:38;12:39;12:53;12:53;13:08;13:08;13:23;13:24;13:38;13:39;13:53;13:53;14:08;14:08;14:23;14:23;14:38;14:38;14:53;14:54;15:08;15:07;15:23;15:24;15:38;15:39;15:53;15:54;16:08;16:08;16:23;16:24;16:38;16:40;16:53;16:54;17:08;17:09;17:23;17:24;17:38;17:39;17:53;17:53;18:08;18:09;18:23;18:25;18:41;18:42;18:56;18:57;19:11;19:11;19:26;19:28;19:41;19:42;19:56;19:57;20:11;20:12;20:26;20:26;20:41;20:42;20:57;20:58;21:12;21:12;21:27;21:28;21:42;21:44;22:12;22:13;22:36;22:41;23:06;23:06;23:36;23:37
Schulze-Boysen-Straße;00:07;00:08;00:58;00:57;02:09;02:09;03:20;03:19;04:31;04:30;05:07;05:08;05:37;05:37;06:07;06:06;06:37;06:37;07:07;07:07;07:37;07:38;08:07;08:09;08:27;08:28;08:42;08:43;08:57;08:57;09:12;09:12;09:27;09:27;09:42;09:44;09:57;09:57;10:12;10:12;10:24;10:24;10:39;10:40;10:54;10:54;11:09;11:11;11:24;11:24;11:39;11:40;11:54;11:54;12:09;12:10;12:24;12:25;12:39;12:40;12:54;12:54;13:09;13:09;13:24;13:25;13:39;13:40;13:54;13:54;14:09;14:10;14:24;14:24;14:39;14:39;14:54;14:55;15:09;15:08;15:24;15:25;15:39;15:39;15:54;15:55;16:09;16:09;16:24;16:25;16:39;16:41;16:54;16:55;17:09;17:10;17:24;17:25;17:39;17:40;17:54;17:54;18:09;18:10;18:24;18:26;18:42;18:43;18:57;18:59;19:12;19:11;19:27;19:28;19:42;19:43;19:57;19:58;20:12;20:13;20:27;20:28;20:42;20:43;20:58;20:59;21:13;21:13;21:28;21:29;21:43;21:45;22:13;22:14;22:37;22:42;23:07;23:07;23:37;23:38
Ostplatz;00:08;00:09;00:59;00:58;02:10;02:10;03:21;03:21;04:32;04:32;05:08;05:08;05:38;05:38;06:08;06:07;06:38;06:39;07:08;07:08;07:38;07:38;08:08;08:10;08:28;08:29;08:43;08:43;08:58;08:58;09:13;09:13;09:28;09:29;09:43;09:45;09:58;09:58;10:13;10:13;10:25;10:26;10:40;10:41;10:55;10:55;11:10;11:13;11:25;11:25;11:40;11:41;11:55;11:55;12:10;12:11;12:25;12:26;12:40;12:41;12:55;12:55;13:10;13:10;13:25;13:25;13:40;13:41;13:55;13:54;14:10;14:10;14:25;14:25;14:40;14:40;14:55;14:56;15:10;15:09;15:25;15:26;15:40;15:41;15:55;15:56;16:10;16:10;16:25;16:26;16:40;16:42;16:55;16:56;17:10;17:10;17:25;17:26;17:40;17:41;17:55;17:55;18:10;18:11;18:25;18:27;18:43;18:44;18:58;19:00;19:13;19:13;19:28;19:29;19:43;19:44;19:58;19:59;20:13;20:14;20:28;20:28;20:43;20:44;20:59;21:01;21:14;21:14;21:29;21:30;21:44;21:46;22:14;22:15;22:38;22:43;23:08;23:09;23:38;23:39
Liebigstraße;00:09;00:10;01:00;01:00;02:11;02:11;03:22;03:21;04:33;04:33;05:09;05:10;05:39;05:39;06:09;06:08;06:39;06:42;07:09;07:09;07:39;07:39;08:09;08:11;08:30;08:30;08:45;08:44;09:00;08:59;09:15;09:14;09:30;09:30;09:45;09:47;10:00;09:58;10:15;10:14;10:27;10:27;10:42;10:42;10:57;10:57;11:12;11:13;11:27;11:27;11:42;11:43;11:57;11:56;12:12;12:12;12:27;12:27;12:42;12:42;12:57;12:56;13:12;13:11;13:27;13:27;13:42;13:42;13:57;13:56;14:12;14:12;14:27;14:25;14:42;14:41;14:57;14:57;15:12;15:12;15:27;15:27;15:42;15:42;15:57;15:58;16:12;16:12;16:27;16:28;16:42;16:43;16:57;16:57;17:12;17:11;17:27;17:27;17:42;17:42;17:57;17:56;18:12;18:13;18:27;18:28;18:45;18:45;19:00;19:02;19:15;19:14;19:30;19:30;19:45;19:45;20:00;20:00;20:15;20:15;20:30;20:31;20:45;20:45;21:00;21:01;21:15;21:15;21:30;21:30;21:45;21:47;22:15;22:17;22:39;22:44;23:09;23:11;23:39;23:40
Johannisallee;00:10;00:11;01:01;01:01;02:12;02:11;03:23;03:22;04:34;04:34;05:10;05:11;05:40;05:39;06:10;06:09;06:40;06:42;07:10;07:10;07:40;07:40;08:10;08:12;08:31;08:31;08:46;08:45;09:01;09:00;09:16;09:15;09:31;09:30;09:46;09:48;10:01;10:00;10:16;10:15;10:28;10:28;10:43;10:43;10:58;10:58;11:13;11:14;11:28;11:28;11:43;11:44;11:58;11:57;12:13;12:13;12:28;12:28;12:43;12:43;12:58;12:57;13:13;13:12;13:28;13:28;13:43;13:43;13:58;13:57;14:13;14:13;14:28;14:26;14:43;14:42;14:58;14:58;15:13;15:13;15:28;15:28;15:43;15:43;15:58;15:59;16:13;16:13;16:28;16:28;16:43;16:44;16:58;16:58;17:13;17:12;17:28;17:28;17:43;17:43;17:58;17:57;18:13;18:14;18:28;18:29;18:46;18:46;19:01;19:03;19:16;19:14;19:31;19:31;19:46;19:46;20:01;20:01;20:16;20:16;20:31;20:31;20:46;20:46;21:01;21:02;21:16;21:16;21:31;21:31;21:46;21:47;22:16;22:17;22:40;22:45;23:10;23:12;23:40;23:41
Bayerischer Bahnhof;00:12;00:14;01:03;01:03;02:14;02:14;03:25;03:25;04:36;04:37;05:12;05:13;05:42;05:43;06:12;06:11;06:42;06:44;07:12;07:13;07:42;07:43;08:12;08:14;08:33;08:34;08:48;08:49;09:03;09:04;09:18;09:19;09:33;09:34;09:48;09:50;10:03;10:02;10:18;10:18;10:31;10:31;10:46;10:46;11:01;11:01;11:16;11:17;11:31;11:31;11:46;11:46;12:01;12:00;12:16;12:16;12:31;12:31;12:46;12:46;13:01;13:00;13:16;13:15;13:31;13:31;13:46;13:46;14:01;14:00;14:16;14:16;14:31;14:30;14:46;14:46;15:01;15:02;15:16;15:15;15:31;15:31;15:46;15:46;16:01;16:02;16:16;16:16;16:31;16:31;16:46;16:47;17:01;17:01;17:16;17:16;17:31;17:31;17:46;17:46;18:01;18:00;18:16;18:18;18:31;18:32;18:48;18:49;19:03;19:05;19:18;19:17;19:33;19:34;19:48;19:49;20:03;20:04;20:18;20:19;20:33;20:34;20:48;20:49;21:03;21:05;21:18;21:19;21:33;21:34;21:48;21:50;22:18;22:20;22:42;22:48;23:12;23:14;23:42;23:45
Körnerstraße;00:14;00:16;01:05;01:04;02:16;02:16;03:27;03:26;04:38;04:38;05:14;05:13;05:44;05:44;06:14;06:12;06:44;06:45;07:14;07:14;07:44;07:44;08:14;08:16;08:35;08:35;08:50;08:50;09:05;09:05;09:20;09:20;09:35;09:35;09:50;09:52;10:05;10:04;10:20;10:19;10:33;10:32;10:48;10:47;11:03;11:03;11:18;11:19;11:33;11:32;11:48;11:47;12:03;12:02;12:18;12:17;12:33;12:33;12:48;12:48;13:03;13:02;13:18;13:16;13:33;13:33;13:48;13:47;14:03;14:02;14:18;14:18;14:33;14:32;14:48;14:48;15:03;15:03;15:18;15:17;15:33;15:32;15:48;15:47;16:03;16:04;16:18;16:17;16:33;16:32;16:48;16:49;17:03;17:03;17:18;17:18;17:33;17:32;17:48;17:47;18:03;18:02;18:18;18:20;18:33;18:34;18:50;18:51;19:05;19:07;19:20;19:19;19:35;19:36;19:50;19:50;20:05;20:05;20:20;20:21;20:35;20:35;20:50;20:50;21:05;21:07;21:20;21:20;21:35;21:35;21:50;21:51;22:20;22:22;22:44;22:49;23:14;23:16;23:44;23:46
