Kurs:;99;;99;;99;;91;;93;;82;;83;;81;;91;;93;;94;;95;;91;;92;;93;;94;;95;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;93;;95;;31;;85;;84;;99;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Dr.-H.-Duncker-Straße;;;;;;;;;;;;;;;;;;;;;;;;;08:18;08:18;08:33;08:33;08:48;08:48;09:03;09:04;09:18;09:18;09:33;09:33;09:48;09:48;10:03;10:03;10:18;10:18;10:33;10:33;10:48;10:49;11:03;11:03;11:18;11:18;11:33;11:33;11:48;11:48;12:03;12:03;12:18;12:18;12:33;12:33;12:48;12:48;13:03;13:03;13:18;13:18;13:33;13:33;13:48;13:48;14:03;14:03;14:18;14:18;14:33;14:33;14:48;14:48;15:03;15:03;15:18;15:18;15:33;15:33;15:48;15:47;16:03;16:03;16:18;16:18;16:33;16:32;16:48;16:48;17:03;17:02;17:18;17:18;17:33;17:33;17:48;17:48;18:03;18:03;18:18;18:18;18:33;18:32;18:48;18:48;19:03;19:03;19:18;19:18;19:33;19:34;19:48;19:48;20:03;20:03;20:18;20:18;20:33;20:33;20:48;20:49;21:04;21:04;21:34;21:34;22:02;22:03;22:22;22:22;;;;;;
Morgensternstraße;;;;;;;;;;;;;;;;;;;;;;;;;08:19;08:19;08:34;08:34;08:49;08:50;09:04;09:05;09:19;09:19;09:34;09:34;09:49;09:49;10:04;10:05;10:19;10:20;10:34;10:35;10:49;10:51;11:04;11:04;11:19;11:19;11:34;11:34;11:49;11:50;12:04;12:04;12:19;12:19;12:34;12:34;12:49;12:49;13:04;13:04;13:19;13:20;13:34;13:34;13:49;13:50;14:04;14:04;14:19;14:19;14:34;14:34;14:49;14:50;15:04;15:04;15:19;15:19;15:34;15:34;15:49;15:48;16:04;16:04;16:19;16:20;16:34;16:34;16:49;16:49;17:04;17:04;17:19;17:20;17:34;17:35;17:49;17:50;18:04;18:05;18:19;18:19;18:34;18:33;18:49;18:49;19:04;19:05;19:19;19:19;19:34;19:36;19:49;19:50;20:04;20:04;20:19;20:19;20:34;20:34;20:49;20:50;21:05;21:05;21:35;21:35;22:03;22:04;22:23;22:23;;;;;;
Gröpplerstraße;;;;;;;;;;;;;;;;;;;;;;;;;08:20;08:20;08:35;08:35;08:50;08:51;09:05;09:06;09:20;09:20;09:35;09:35;09:50;09:50;10:05;10:06;10:20;10:21;10:35;10:36;10:50;10:51;11:05;11:05;11:20;11:20;11:35;11:36;11:50;11:51;12:05;12:05;12:20;12:21;12:35;12:34;12:50;12:50;13:05;13:05;13:20;13:20;13:35;13:35;13:50;13:51;14:05;14:05;14:20;14:20;14:35;14:35;14:50;14:51;15:05;15:05;15:20;15:20;15:35;15:35;15:50;15:48;16:05;16:05;16:20;16:20;16:35;16:35;16:50;16:50;17:05;17:05;17:20;17:21;17:35;17:36;17:50;17:50;18:05;18:06;18:20;18:20;18:35;18:35;18:50;18:50;19:05;19:06;19:20;19:20;19:35;19:36;19:50;19:50;20:05;20:05;20:20;20:20;20:35;20:35;20:50;20:51;21:06;21:06;21:36;21:36;22:04;22:05;22:24;22:24;;;;;;
Lindenau, Bushof;01:26;01:26;02:37;02:37;03:48;03:48;04:26;04:24;04:56;04:57;05:26;05:26;05:56;05:56;06:26;06:27;06:56;06:57;07:26;07:27;07:56;07:57;08:07;08:06;08:22;08:22;08:37;08:37;08:52;08:53;09:07;09:08;09:22;09:22;09:37;09:37;09:52;09:52;10:07;10:10;10:22;10:24;10:37;10:37;10:52;10:54;11:07;11:07;11:22;11:23;11:37;11:39;11:52;11:54;12:07;12:07;12:22;12:23;12:37;12:37;12:52;12:52;13:07;13:08;13:22;13:23;13:37;13:37;13:52;13:54;14:07;14:07;14:22;14:25;14:37;14:37;14:52;14:54;15:07;15:07;15:22;15:22;15:37;15:39;15:52;15:52;16:07;16:08;16:22;16:24;16:37;16:37;16:52;16:53;17:07;17:07;17:22;17:23;17:37;17:39;17:52;17:53;18:07;18:08;18:22;18:22;18:37;18:37;18:52;18:53;19:07;19:08;19:22;19:23;19:37;19:39;19:52;19:52;20:07;20:07;20:22;20:22;20:37;20:37;20:52;20:52;21:08;21:08;21:38;21:38;22:06;22:09;22:26;22:26;22:56;22:57;23:26;23:30;23:56;23:57
S-Bf. Plagwitz;01:27;01:27;02:38;02:39;03:49;03:49;04:27;04:27;04:57;04:59;05:27;05:27;05:57;05:58;06:27;06:29;06:57;06:59;07:27;07:29;07:57;07:59;08:08;08:08;08:23;08:23;08:38;08:38;08:53;08:55;09:08;09:10;09:23;09:23;09:38;09:39;09:53;09:53;10:08;10:11;10:24;10:26;10:39;10:39;10:54;10:57;11:09;11:09;11:24;11:25;11:39;11:40;11:54;11:56;12:09;12:09;12:24;12:25;12:39;12:39;12:54;12:54;13:09;13:10;13:24;13:26;13:39;13:39;13:54;13:56;14:09;14:08;14:24;14:26;14:39;14:39;14:54;14:56;15:09;15:09;15:24;15:24;15:39;15:40;15:54;15:54;16:09;16:10;16:24;16:25;16:39;16:39;16:54;16:55;17:09;17:09;17:24;17:25;17:39;17:40;17:54;17:55;18:09;18:10;18:24;18:24;18:39;18:39;18:53;18:54;19:08;19:10;19:23;19:25;19:38;19:41;19:53;19:54;20:08;20:09;20:23;20:24;20:38;20:39;20:53;20:54;21:09;21:10;21:39;21:40;22:07;22:11;22:27;22:27;22:57;22:59;23:27;23:32;23:57;23:59
Zollschuppenstraße;01:28;01:28;02:39;02:39;03:50;03:49;04:28;04:28;04:58;04:59;05:28;05:27;05:58;05:58;06:28;06:29;06:58;06:59;07:28;07:30;07:58;07:59;08:09;08:08;08:24;08:23;08:39;08:39;08:54;08:55;09:09;09:10;09:24;09:24;09:39;09:39;09:54;09:54;10:09;10:12;10:25;10:26;10:40;10:39;10:55;10:57;11:10;11:09;11:25;11:25;11:40;11:41;11:55;11:57;12:10;12:09;12:25;12:25;12:40;12:39;12:55;12:54;13:10;13:10;13:25;13:26;13:40;13:39;13:55;13:57;14:10;14:08;14:25;14:26;14:40;14:39;14:55;14:56;15:10;15:09;15:25;15:24;15:40;15:41;15:55;15:54;16:10;16:10;16:25;16:25;16:40;16:40;16:55;16:55;17:10;17:10;17:25;17:25;17:40;17:41;17:55;17:56;18:10;18:11;18:25;18:25;18:40;18:39;18:54;18:55;19:09;19:11;19:24;19:25;19:39;19:42;19:54;19:55;20:09;20:09;20:24;20:25;20:39;20:39;20:54;20:54;21:10;21:10;21:40;21:40;22:08;22:11;22:28;22:28;22:58;22:59;23:28;23:33;23:58;00:00
Naumburger Straße;01:29;01:29;02:40;02:39;03:51;03:50;04:29;04:28;04:59;05:00;05:29;05:28;05:59;05:59;06:29;06:30;06:59;07:00;07:29;07:31;07:59;08:00;08:10;08:09;08:25;08:25;08:40;08:39;08:55;08:56;09:10;09:12;09:25;09:24;09:40;09:40;09:55;09:55;10:10;10:13;10:26;10:27;10:41;10:40;10:56;10:58;11:11;11:10;11:26;11:26;11:41;11:42;11:56;11:58;12:11;12:10;12:26;12:26;12:41;12:41;12:56;12:55;13:11;13:11;13:26;13:27;13:41;13:40;13:56;13:58;14:11;14:10;14:26;14:28;14:41;14:40;14:56;14:58;15:11;15:11;15:26;15:26;15:41;15:42;15:56;15:56;16:11;16:12;16:26;16:27;16:41;16:41;16:56;16:56;17:11;17:11;17:26;17:26;17:41;17:41;17:56;17:57;18:11;18:12;18:26;18:26;18:41;18:40;18:55;18:56;19:10;19:12;19:25;19:26;19:40;19:44;19:55;19:56;20:10;20:10;20:25;20:26;20:40;20:40;20:55;20:56;21:11;21:11;21:41;21:42;22:09;22:13;22:29;22:29;22:59;23:00;23:29;23:34;23:59;00:01
Siemensstraße;01:30;01:30;02:41;02:40;03:52;03:52;04:30;04:30;05:00;05:02;05:30;05:30;06:00;06:00;06:30;06:31;07:00;07:01;07:30;07:32;08:00;08:00;08:11;08:11;08:26;08:26;08:41;08:40;08:56;08:57;09:11;09:12;09:26;09:25;09:41;09:41;09:56;09:55;10:11;10:14;10:27;10:28;10:42;10:41;10:57;10:59;11:12;11:11;11:27;11:27;11:42;11:43;11:57;11:59;12:12;12:11;12:27;12:27;12:42;12:42;12:57;12:56;13:12;13:13;13:27;13:28;13:42;13:41;13:57;13:59;14:12;14:11;14:27;14:29;14:42;14:41;14:57;14:59;15:12;15:12;15:27;15:27;15:42;15:43;15:57;15:56;16:12;16:13;16:27;16:29;16:42;16:42;16:57;16:57;17:12;17:12;17:27;17:27;17:42;17:43;17:57;17:58;18:12;18:13;18:27;18:27;18:42;18:41;18:56;18:57;19:11;19:13;19:26;19:27;19:41;19:45;19:56;19:57;20:11;20:11;20:26;20:27;20:41;20:41;20:56;20:56;21:12;21:12;21:42;21:43;22:10;22:14;22:30;22:30;23:00;23:01;23:30;23:35;00:00;00:02
Adler;01:32;01:32;02:43;02:43;03:54;03:54;04:32;04:31;05:02;05:04;05:32;05:32;06:02;06:01;06:32;06:33;07:02;07:03;07:32;07:33;08:02;08:03;08:13;08:13;08:28;08:28;08:43;08:43;08:58;09:00;09:13;09:15;09:28;09:29;09:43;09:44;09:58;09:59;10:13;10:17;10:30;10:30;10:45;10:44;11:00;11:02;11:15;11:14;11:30;11:30;11:45;11:45;12:00;12:02;12:15;12:14;12:30;12:30;12:45;12:44;13:00;13:00;13:15;13:15;13:30;13:31;13:45;13:43;14:00;14:01;14:15;14:13;14:30;14:32;14:45;14:44;15:00;15:01;15:15;15:15;15:30;15:30;15:45;15:45;16:00;15:59;16:15;16:17;16:30;16:32;16:45;16:44;17:00;16:59;17:15;17:15;17:30;17:30;17:45;17:45;18:00;18:00;18:15;18:15;18:30;18:29;18:45;18:44;18:58;18:59;19:13;19:15;19:28;19:30;19:43;19:47;19:58;19:59;20:13;20:13;20:28;20:30;20:43;20:44;20:58;20:59;21:14;21:15;21:44;21:45;22:12;22:16;22:32;22:32;23:02;23:03;23:32;23:37;00:02;00:05
