Kurs:;77;;83;;72;;84;;33;;91;;31;;36;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;33;;31;;37;;38;;93;;36;;38;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Hauptbahnhof;00:02;00:03;05:02;05:03;06:02;06:03;07:02;07:03;08:02;08:04;08:24;08:25;08:54;08:56;09:24;09:24;09:54;09:55;10:21;10:22;10:41;10:42;11:01;11:05;11:21;11:22;11:41;11:43;12:01;12:01;12:21;12:23;12:41;12:41;13:01;13:02;13:21;13:22;13:41;13:43;14:01;14:03;14:21;14:22;14:41;14:44;15:01;15:03;15:21;15:24;15:41;15:42;16:01;16:03;16:21;16:23;16:41;16:42;17:01;17:01;17:21;17:21;17:41;17:43;18:01;18:03;18:21;18:22;18:41;18:43;19:01;19:03;19:24;19:25;19:54;19:56;20:24;20:25;20:54;20:55;21:24;21:24;21:54;21:56;22:24;22:24;23:02;23:04
Hofmeisterstraße;00:04;00:04;05:04;05:04;06:04;06:04;07:04;07:05;08:04;08:05;08:26;08:27;08:56;08:58;09:26;09:25;09:56;09:57;10:23;10:24;10:43;10:43;11:03;11:05;11:23;11:23;11:43;11:45;12:03;12:03;12:23;12:24;12:43;12:43;13:03;13:03;13:23;13:24;13:43;13:45;14:03;14:04;14:23;14:24;14:43;14:45;15:03;15:04;15:23;15:25;15:43;15:43;16:03;16:04;16:23;16:24;16:43;16:43;17:03;17:03;17:23;17:22;17:43;17:45;18:03;18:04;18:23;18:24;18:43;18:44;19:03;19:04;19:26;19:27;19:56;19:58;20:26;20:27;20:56;20:57;21:26;21:25;21:56;21:57;22:26;22:25;23:04;23:05
Friedrich-List-Platz;00:05;00:05;05:05;05:05;06:05;06:05;07:05;07:06;08:05;08:06;08:27;08:29;08:57;08:59;09:27;09:27;09:57;09:59;10:24;10:26;10:44;10:45;11:04;11:08;11:24;11:26;11:44;11:47;12:04;12:05;12:24;12:26;12:44;12:44;13:04;13:05;13:24;13:26;13:44;13:47;14:04;14:05;14:24;14:26;14:44;14:47;15:04;15:06;15:24;15:27;15:44;15:45;16:04;16:06;16:24;16:26;16:44;16:45;17:04;17:05;17:24;17:24;17:44;17:47;18:04;18:06;18:24;18:26;18:44;18:46;19:04;19:06;19:27;19:29;19:57;20:00;20:27;20:29;20:57;20:59;21:27;21:27;21:57;21:59;22:27;22:27;23:05;23:06
Elsastraße;00:07;00:06;05:07;05:06;06:07;06:07;07:07;07:08;08:07;08:07;08:29;08:30;08:59;09:00;09:29;09:29;09:59;10:00;10:26;10:27;10:46;10:47;11:06;11:09;11:26;11:27;11:46;11:48;12:06;12:06;12:26;12:27;12:46;12:45;13:06;13:06;13:26;13:27;13:46;13:48;14:06;14:06;14:26;14:27;14:46;14:48;15:06;15:08;15:26;15:29;15:46;15:47;16:06;16:08;16:26;16:27;16:46;16:47;17:06;17:06;17:26;17:26;17:46;17:48;18:06;18:08;18:26;18:27;18:46;18:47;19:06;19:08;19:29;19:30;19:59;20:02;20:29;20:30;20:59;21:00;21:29;21:29;21:59;22:00;22:29;22:29;23:07;23:07
Reudnitz, Koehlerstraße;00:09;00:08;05:09;05:09;06:09;06:09;07:09;07:10;08:09;08:10;08:31;08:33;09:01;09:04;09:31;09:31;10:01;10:02;10:28;10:29;10:48;10:49;11:08;11:11;11:28;11:29;11:48;11:50;12:08;12:08;12:28;12:29;12:48;12:47;13:08;13:08;13:28;13:30;13:48;13:50;14:08;14:08;14:28;14:30;14:48;14:51;15:08;15:10;15:28;15:32;15:48;15:49;16:08;16:10;16:28;16:29;16:48;16:49;17:08;17:10;17:28;17:28;17:48;17:51;18:08;18:10;18:28;18:29;18:48;18:50;19:08;19:10;19:31;19:33;20:01;20:04;20:31;20:32;21:01;21:03;21:31;21:32;22:01;22:01;22:31;22:31;23:09;23:09
Breite Straße;00:11;00:10;05:11;05:10;06:11;06:10;07:11;07:12;08:11;08:12;08:33;08:35;09:03;09:05;09:33;09:33;10:03;10:04;10:30;10:31;10:50;10:51;11:10;11:13;11:30;11:31;11:50;11:52;12:10;12:10;12:30;12:31;12:50;12:49;13:10;13:11;13:30;13:32;13:50;13:53;14:10;14:10;14:30;14:32;14:50;14:53;15:10;15:12;15:30;15:34;15:50;15:50;16:10;16:13;16:30;16:32;16:50;16:51;17:10;17:12;17:30;17:30;17:50;17:54;18:10;18:12;18:30;18:32;18:50;18:52;19:10;19:12;19:33;19:35;20:03;20:06;20:33;20:34;21:03;21:05;21:33;21:34;22:03;22:04;22:33;22:33;23:11;23:11
Martinstraße;00:12;00:11;05:12;05:11;06:12;06:12;07:12;07:13;08:12;08:13;08:34;08:35;09:04;09:06;09:34;09:34;10:04;10:05;10:31;10:32;10:51;10:52;11:11;11:14;11:31;11:32;11:51;11:53;12:11;12:11;12:31;12:32;12:51;12:50;13:11;13:12;13:31;13:33;13:51;13:54;14:11;14:11;14:31;14:34;14:51;14:54;15:11;15:13;15:31;15:35;15:51;15:51;16:11;16:14;16:31;16:33;16:51;16:52;17:11;17:13;17:31;17:31;17:51;17:55;18:11;18:13;18:31;18:33;18:51;18:53;19:11;19:13;19:34;19:36;20:04;20:07;20:34;20:35;21:04;21:06;21:34;21:35;22:04;22:05;22:34;22:34;23:12;23:12
S-Bf. Anger-Crottendorf;00:13;00:12;05:13;05:13;06:13;06:13;07:13;07:14;08:13;08:14;08:35;08:36;09:05;09:07;09:35;09:35;10:05;10:07;10:32;10:33;10:52;10:53;11:12;11:15;11:32;11:34;11:52;11:54;12:12;12:12;12:32;12:33;12:52;12:52;13:12;13:13;13:32;13:35;13:52;13:56;14:12;14:12;14:32;14:35;14:52;14:55;15:12;15:15;15:32;15:36;15:52;15:53;16:12;16:15;16:32;16:34;16:52;16:53;17:12;17:14;17:32;17:33;17:52;17:56;18:12;18:15;18:32;18:34;18:52;18:54;19:12;19:14;19:35;19:37;20:05;20:08;20:35;20:36;21:05;21:08;21:35;21:37;22:05;22:06;22:35;22:36;23:13;23:14
Ostfriedhof;00:14;00:13;05:14;05:13;06:14;06:13;07:14;07:15;08:14;08:15;08:36;08:37;09:06;09:07;09:36;09:36;10:06;10:07;10:33;10:33;10:53;10:53;11:13;11:16;11:33;11:34;11:53;11:55;12:13;12:13;12:33;12:34;12:53;12:52;13:13;13:14;13:33;13:35;13:53;13:56;14:13;14:13;14:33;14:36;14:53;14:56;15:13;15:15;15:33;15:37;15:53;15:53;16:13;16:16;16:33;16:35;16:53;16:54;17:13;17:14;17:33;17:33;17:53;17:56;18:13;18:15;18:33;18:34;18:53;18:55;19:13;19:15;19:36;19:38;20:06;20:09;20:36;20:37;21:06;21:08;21:36;21:37;22:06;22:06;22:36;22:36;23:14;23:14
