Kurs:;31;;31;;31;;31;;36;;38;;34;;35;;33;;32;;91;;35;;31;;33;;32;;91;;35;;31;;33;;32;;91;;35;;31;;33;;32;;91;;35;;31;;33;;32;;91;;35;;31;;33;;32;;31;;37;;38;;93;;36;;33;;75;;75;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Sommerfeld;;;;;;;;;;;;;;;09:48;09:48;;;10:50;;;;;;11:50;11:50;;;;;12:50;12:50;;;;;13:50;13:50;;;;;14:50;14:49;;;;;15:50;15:49;;;;;16:50;16:50;;;;;17:50;17:50;;;;;18:48;18:48;;;;;;;;;;;;;;;;;;
Sternenstraße;;;;;;;;;;;;;;;09:51;09:51;;;10:53;10:53;;;;;11:53;11:51;;;;;12:53;12:52;;;;;13:53;13:52;;;;;14:53;14:52;;;;;15:53;15:54;;;;;16:53;16:53;;;;;17:53;17:52;;;;;18:51;18:51;;;;;;;;;;;;;;;;;;
Sabinenstraße;;;;;;;;;;;;;;;09:52;09:52;;;10:54;10:53;;;;;11:54;11:53;;;;;12:54;12:53;;;;;13:54;13:52;;;;;14:54;14:52;;;;;15:54;15:54;;;;;16:54;16:55;;;;;17:54;17:53;;;;;18:52;18:52;;;;;;;;;;;;;;;;;;
Abzw. Dreiecksiedlung;;;;;;;;;;;;;;;09:53;09:53;;;10:55;10:55;;;;;11:55;11:55;;;;;12:55;12:55;;;;;13:55;13:55;;;;;14:55;14:54;;;;;15:55;15:56;;;;;16:55;16:56;;;;;17:55;17:55;;;;;18:53;18:54;;;;;;;;;;;;;;;;;;
Althen, Oertgering;;;;;;;;;;;;;;;09:55;09:54;;;10:57;10:57;;;;;11:57;11:57;;;;;12:57;12:57;;;;;13:57;13:56;;;;;14:57;14:56;;;;;15:57;15:58;;;;;16:57;16:58;;;;;17:57;17:56;;;;;18:55;18:56;;;;;;;;;;;;;;;;;;
Althener Anger;;;;;;;;;;;;;;;09:57;09:56;;;10:59;11:00;;;;;11:59;11:59;;;;;12:59;12:59;;;;;13:59;13:58;;;;;14:59;14:58;;;;;15:59;15:59;;;;;16:59;17:00;;;;;17:59;17:58;;;;;18:57;18:58;;;;;;;;;;;;;;;;;;
Althen, Freundschaftsr.;;;;;;;;;;;;;;;09:58;09:57;;;11:00;11:01;;;;;12:00;12:00;;;;;13:00;13:00;;;;;14:00;13:59;;;;;15:00;14:59;;;;;16:00;16:00;;;;;17:00;17:00;;;;;18:00;17:59;;;;;18:58;18:59;;;;;;;;;;;;;;;;;;
Hirschfeld;;;;;;;;;;;;;;;10:01;10:00;;;11:03;11:03;;;;;12:03;12:03;;;;;13:03;13:03;;;;;14:03;14:02;;;;;15:03;15:02;;;;;16:03;16:03;;;;;17:03;17:03;;;;;18:03;18:02;;;;;19:01;19:02;;;;;;;;;;;;;;;;;;
Kleinpösna;;;;;;;;;;;;;;;10:04;10:02;;;11:06;11:05;;;;;12:06;12:05;;;;;13:06;13:05;;;;;14:06;14:04;;;;;15:06;15:04;;;;;16:06;16:06;;;;;17:06;17:06;;;;;18:06;18:05;;;;;19:04;19:05;;;;;;;;;;;;;;;;;;
Zaucheweg;;;;;;;;;;;;;;;10:07;10:06;;;11:09;11:08;;;;;12:09;12:08;;;;;13:09;13:09;;;;;14:09;14:08;;;;;15:09;15:08;;;;;16:09;16:10;;;;;17:09;17:09;;;;;18:09;18:08;;;;;19:07;19:08;;;;;;;;;;;;;;;;;;
Baalsdorf, Kirchweg;04:57;04:57;05:57;05:57;06:57;07:00;08:09;08:09;08:39;08:41;09:09;09:09;09:39;09:39;10:09;10:08;10:31;10:31;11:11;11:10;10:51;10:51;11:31;11:30;12:11;12:10;11:51;11:51;12:31;12:31;13:11;13:11;12:51;12:50;13:31;13:31;14:11;14:11;13:51;13:51;14:31;14:31;15:11;15:10;14:51;14:51;15:31;15:31;16:11;16:11;15:51;15:51;16:31;16:33;17:11;17:11;16:51;16:51;17:31;17:30;18:11;18:10;17:51;17:51;18:31;18:32;19:09;19:10;18:51;18:50;19:39;19:41;20:09;20:10;20:39;20:39;21:09;21:10;21:39;21:39;22:10;22:10;22:57;23:01;23:57;00:00
