Kurs:;81;;31;;31;;31;;38;;34;;33;;91;;31;;35;;33;;91;;32;;35;;33;;31;;32;;35;;91;;31;;32;;33;;91;;31;;35;;33;;91;;32;;35;;33;;31;;32;;35;;91;;31;;37;;38;;93;;36;;33;;31;;37;;75;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Hauptbahnhof;00:32;00:34;05:32;05:33;06:32;06:33;07:32;07:34;08:39;08:40;09:09;09:09;09:39;09:39;10:09;10:09;10:31;10:31;10:51;10:51;11:11;11:11;11:31;11:31;11:51;11:51;12:11;12:12;12:31;12:30;12:51;12:51;13:11;13:12;13:31;13:33;13:51;13:53;14:11;14:12;14:31;14:33;14:51;14:51;15:11;15:12;15:31;15:31;15:51;15:55;16:11;16:12;16:31;16:33;16:51;16:52;17:11;17:12;17:31;17:33;17:51;17:53;18:11;18:12;18:31;18:33;18:51;18:53;19:11;19:12;19:39;19:40;20:09;20:09;20:39;20:39;21:09;21:09;21:39;21:40;22:09;22:09;22:39;22:47;23:32;23:34
Hofmeisterstraße;00:34;00:35;05:34;05:34;06:34;06:34;07:34;07:35;08:41;08:42;09:11;09:10;09:41;09:41;10:11;10:11;10:33;10:33;10:53;10:52;11:13;11:12;11:33;11:33;11:53;11:52;12:13;12:13;12:33;12:33;12:53;12:53;13:13;13:13;13:33;13:34;13:53;13:54;14:13;14:13;14:33;14:34;14:53;14:52;15:13;15:13;15:33;15:33;15:53;15:57;16:13;16:14;16:33;16:34;16:53;16:54;17:13;17:13;17:33;17:34;17:53;17:55;18:13;18:13;18:33;18:34;18:53;18:55;19:13;19:13;19:41;19:42;20:11;20:11;20:41;20:41;21:11;21:10;21:41;21:42;22:11;22:10;22:41;22:49;23:34;23:36
Friedrich-List-Platz;00:35;00:36;05:35;05:36;06:35;06:35;07:35;07:36;08:42;08:44;09:12;09:12;09:42;09:42;10:12;10:14;10:34;10:35;10:54;10:54;11:14;11:14;11:34;11:35;11:54;11:54;12:14;12:15;12:34;12:35;12:54;12:54;13:14;13:15;13:34;13:35;13:54;13:56;14:14;14:15;14:34;14:36;14:54;14:54;15:14;15:15;15:34;15:35;15:54;15:59;16:14;16:17;16:34;16:36;16:54;16:56;17:14;17:15;17:34;17:36;17:54;17:57;18:14;18:15;18:34;18:36;18:54;18:57;19:14;19:15;19:42;19:44;20:12;20:12;20:42;20:44;21:12;21:12;21:42;21:44;22:12;22:12;22:42;22:50;23:35;23:38
Elsastraße;00:37;00:38;05:37;05:37;06:37;06:36;07:37;07:37;08:44;08:45;09:14;09:14;09:44;09:43;10:14;10:15;10:36;10:36;10:56;10:55;11:16;11:15;11:36;11:36;11:56;11:56;12:16;12:17;12:36;12:36;12:56;12:56;13:16;13:17;13:36;13:36;13:56;13:57;14:16;14:16;14:36;14:38;14:56;14:56;15:16;15:17;15:36;15:36;15:56;16:00;16:16;16:18;16:36;16:37;16:56;16:57;17:16;17:17;17:36;17:37;17:56;17:58;18:16;18:17;18:36;18:37;18:56;18:58;19:16;19:16;19:44;19:45;20:14;20:14;20:44;20:45;21:14;21:14;21:44;21:45;22:14;22:14;22:44;22:51;23:37;23:39
Reudnitz, Koehlerstraße;00:39;00:39;05:39;05:39;06:39;06:39;07:39;07:40;08:46;08:48;09:16;09:16;09:46;09:46;10:16;10:18;10:38;10:39;10:58;10:57;11:18;11:18;11:38;11:38;11:58;11:58;12:18;12:19;12:38;12:38;12:58;12:58;13:18;13:19;13:38;13:39;13:58;14:00;14:18;14:19;14:38;14:41;14:58;14:57;15:18;15:19;15:38;15:39;15:58;16:02;16:18;16:21;16:38;16:39;16:58;17:00;17:18;17:19;17:38;17:40;17:58;18:01;18:18;18:18;18:38;18:39;18:58;19:02;19:18;19:18;19:46;19:47;20:16;20:16;20:46;20:47;21:16;21:16;21:46;21:47;22:16;22:16;22:46;22:53;23:39;23:41
Breite Straße;00:41;00:41;05:41;05:41;06:41;06:40;07:41;07:42;08:48;08:50;09:18;09:18;09:48;09:47;10:18;10:20;10:40;10:42;11:00;10:59;11:20;11:20;11:40;11:41;12:00;12:00;12:20;12:20;12:40;12:41;13:00;13:01;13:20;13:21;13:40;13:41;14:00;14:03;14:20;14:21;14:40;14:44;15:00;15:00;15:20;15:21;15:40;15:42;16:00;16:04;16:20;16:23;16:40;16:41;17:00;17:01;17:20;17:21;17:40;17:42;18:00;18:03;18:20;18:20;18:40;18:41;19:00;19:04;19:20;19:20;19:48;19:49;20:18;20:18;20:48;20:50;21:18;21:18;21:48;21:49;22:18;22:18;22:48;22:55;23:41;23:43
Martinstraße;00:42;00:42;05:42;05:42;06:42;06:41;07:42;07:43;08:49;08:51;09:19;09:19;09:49;09:48;10:19;10:21;10:41;10:43;11:01;11:00;11:21;11:21;11:41;11:42;12:01;12:01;12:21;12:21;12:41;12:42;13:01;13:02;13:21;13:22;13:41;13:42;14:01;14:04;14:21;14:23;14:41;14:45;15:01;15:00;15:21;15:22;15:41;15:43;16:01;16:05;16:21;16:24;16:41;16:42;17:01;17:03;17:21;17:22;17:41;17:43;18:01;18:04;18:21;18:22;18:41;18:42;19:01;19:05;19:21;19:21;19:49;19:50;20:19;20:19;20:49;20:51;21:19;21:19;21:49;21:50;22:19;22:19;22:49;22:56;23:42;23:44
S-Bf. Anger-Crottendorf;00:43;00:43;05:43;05:43;06:43;06:44;07:43;07:44;08:50;08:53;09:20;09:21;09:50;09:49;10:20;10:23;10:42;10:44;11:02;11:01;11:22;11:23;11:42;11:43;12:02;12:03;12:22;12:22;12:42;12:43;13:02;13:03;13:22;13:24;13:42;13:43;14:02;14:05;14:22;14:24;14:42;14:46;15:02;15:02;15:22;15:23;15:42;15:45;16:02;16:07;16:22;16:25;16:42;16:44;17:02;17:05;17:22;17:24;17:42;17:44;18:02;18:05;18:22;18:23;18:42;18:43;19:02;19:06;19:22;19:22;19:50;19:51;20:20;20:21;20:50;20:52;21:20;21:20;21:50;21:51;22:20;22:20;22:50;22:57;23:43;23:45
Ostfriedhof;00:44;00:44;05:44;05:44;06:44;06:44;07:44;07:44;08:51;08:54;09:21;09:21;09:51;09:50;10:21;10:23;10:43;10:45;11:03;11:02;11:23;11:23;11:43;11:44;12:03;12:03;12:23;12:23;12:43;12:44;13:03;13:04;13:23;13:24;13:43;13:43;14:03;14:06;14:23;14:24;14:43;14:47;15:03;15:03;15:23;15:24;15:43;15:45;16:03;16:07;16:23;16:25;16:43;16:44;17:03;17:05;17:23;17:24;17:43;17:44;18:03;18:06;18:23;18:23;18:43;18:44;19:03;19:06;19:23;19:23;19:51;19:52;20:21;20:21;20:51;20:52;21:21;21:21;21:51;21:51;22:21;22:20;22:51;22:57;23:44;23:45
