Kurs:;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Thekla;08:00;08:00;08:30;08:31;09:00;09:02;09:30;09:31;10:00;10:01;10:29;10:30;10:59;10:59;11:29;11:30;11:59;12:00;12:29;12:30;12:59;12:59;13:29;13:29;13:59;13:59;14:29;14:29;14:59;14:59;15:29;15:29;15:59;15:59;16:29;16:29;16:59;17:00;17:29;17:29;17:59;18:02;18:29;18:29;19:00;19:03;19:30;19:32;20:00;20:00;20:30;20:30
Lidicestraße;08:01;08:01;08:31;08:33;09:01;09:03;09:31;09:32;10:01;10:02;10:30;10:31;11:00;11:01;11:30;11:32;12:00;12:00;12:30;12:31;13:00;13:00;13:30;13:30;14:00;14:00;14:30;14:31;15:00;15:00;15:30;15:30;16:00;16:00;16:30;16:30;17:00;17:01;17:30;17:30;18:00;18:03;18:30;18:31;19:01;19:04;19:31;19:33;20:01;20:01;20:31;20:31
S-Bf. Thekla;08:02;08:03;08:32;08:34;09:02;09:05;09:32;09:34;10:02;10:04;10:31;10:32;11:01;11:02;11:31;11:33;12:01;12:02;12:31;12:33;13:01;13:01;13:31;13:32;14:01;14:01;14:31;14:33;15:01;15:01;15:31;15:32;16:01;16:01;16:31;16:31;17:01;17:04;17:31;17:32;18:01;18:04;18:31;18:32;19:02;19:05;19:32;19:35;20:02;20:02;20:32;20:33
Heiterblickstraße;08:03;08:03;08:33;08:35;09:03;09:05;09:33;09:35;10:03;10:04;10:32;10:33;11:02;11:03;11:32;11:33;12:02;12:03;12:32;12:34;13:02;13:02;13:32;13:33;14:02;14:02;14:32;14:33;15:02;15:02;15:32;15:32;16:02;16:02;16:32;16:32;17:02;17:05;17:32;17:33;18:02;18:05;18:32;18:33;19:03;19:06;19:33;19:35;20:03;20:02;20:33;20:34
Abtnaundorf;08:04;08:04;08:34;08:35;09:04;09:06;09:34;09:35;10:04;10:05;10:33;10:34;11:03;11:04;11:33;11:34;12:03;12:04;12:33;12:35;13:03;13:03;13:33;13:33;14:03;14:03;14:33;14:34;15:03;15:03;15:33;15:33;16:03;16:03;16:33;16:33;17:03;17:06;17:33;17:34;18:03;18:06;18:33;18:33;19:04;19:06;19:34;19:36;20:04;20:03;20:34;20:34
Stöhrer-/Braunstraße;08:05;08:05;08:35;08:36;09:05;09:07;09:35;09:37;10:05;10:06;10:34;10:35;11:04;11:05;11:34;11:35;12:04;12:05;12:34;12:36;13:04;13:04;13:34;13:34;14:04;14:04;14:34;14:35;15:04;15:04;15:34;15:34;16:04;16:04;16:34;16:34;17:04;17:07;17:34;17:34;18:04;18:07;18:34;18:34;19:05;19:13;19:35;19:38;20:05;20:04;20:35;20:35
Brahestraße;08:06;08:06;08:36;08:37;09:06;09:08;09:36;09:38;10:06;10:06;10:35;10:35;11:05;11:06;11:35;11:35;12:05;12:05;12:35;12:37;13:05;13:05;13:35;13:35;14:05;14:04;14:35;14:36;15:05;15:04;15:35;15:35;16:05;16:05;16:35;16:35;17:05;17:07;17:35;17:35;18:05;18:08;18:35;18:35;19:06;19:14;19:36;19:39;20:06;20:05;20:36;20:36
Leupoldstraße;08:07;08:07;08:37;08:38;09:07;09:08;09:37;09:38;10:07;10:07;10:36;10:36;11:06;11:06;11:36;11:36;12:06;12:06;12:36;12:38;13:06;13:06;13:36;13:35;14:06;14:05;14:36;14:37;15:06;15:06;15:36;15:36;16:06;16:05;16:36;16:35;17:06;17:08;17:36;17:36;18:06;18:09;18:36;18:36;19:07;19:14;19:37;19:39;20:07;20:06;20:37;20:37
Hohentichelnstraße;08:08;08:09;08:38;08:39;09:08;09:09;09:38;09:39;10:08;10:08;10:37;10:37;11:07;11:08;11:37;11:38;12:07;12:06;12:37;12:39;13:07;13:07;13:37;13:38;14:07;14:06;14:37;14:38;15:07;15:08;15:37;15:38;16:07;16:06;16:37;16:36;17:07;17:09;17:37;17:38;18:07;18:11;18:37;18:38;19:08;19:15;19:38;19:41;20:08;20:08;20:38;20:38
Paunsdorf, Friedhof;08:09;08:10;08:39;08:40;09:09;09:10;09:39;09:40;10:09;10:09;10:38;10:37;11:08;11:08;11:38;11:38;12:08;12:07;12:38;12:40;13:08;13:07;13:38;13:38;14:08;14:07;14:38;14:38;15:08;15:08;15:38;15:38;16:08;16:07;16:38;16:37;17:08;17:10;17:38;17:38;18:08;18:11;18:38;18:38;19:09;19:16;19:39;19:42;20:09;20:08;20:39;20:39
Permoser-/Hohentichelns.;08:10;08:11;08:40;08:41;09:10;09:11;09:40;09:41;10:10;10:09;10:39;10:38;11:09;11:10;11:39;11:40;12:09;12:09;12:39;12:41;13:09;13:08;13:39;13:39;14:09;14:09;14:39;14:39;15:09;15:09;15:39;15:39;16:09;16:08;16:39;16:38;17:09;17:11;17:39;17:39;18:09;18:12;18:39;18:39;19:10;19:16;19:40;19:43;20:10;20:09;20:40;20:40
Theodor-Heuss-Straße;08:11;08:13;08:41;08:42;09:11;09:12;09:41;09:42;10:11;10:11;10:40;10:40;11:10;11:11;11:40;11:41;12:10;12:11;12:40;12:43;13:10;13:09;13:40;13:40;14:10;14:11;14:40;14:41;15:10;15:11;15:40;15:41;16:10;16:10;16:40;16:41;17:10;17:12;17:40;17:41;18:10;18:14;18:40;18:41;19:11;19:18;19:41;19:45;20:11;20:11;20:41;20:42
Bf. Paunsdorf;08:12;08:13;08:42;08:43;09:12;09:13;09:42;09:43;10:12;10:12;10:41;10:42;11:11;11:12;11:41;11:42;12:11;12:12;12:41;12:45;13:11;13:10;13:41;13:42;14:11;14:12;14:41;14:42;15:11;15:12;15:41;15:42;16:11;16:10;16:41;16:42;17:11;17:13;17:41;17:42;18:11;18:15;18:41;18:42;19:12;19:19;19:42;19:45;20:12;20:12;20:42;20:43
Geithainer Straße;08:12;08:14;08:42;08:44;09:12;09:13;09:42;09:43;10:12;10:12;10:41;10:42;11:11;11:13;11:41;11:42;12:11;12:12;12:41;12:45;13:11;13:11;13:41;13:42;14:11;14:13;14:41;14:42;15:11;15:12;15:41;15:42;16:11;16:11;16:41;16:42;17:11;17:14;17:41;17:42;18:11;18:15;18:41;18:42;19:12;19:20;19:42;19:45;20:12;20:12;20:42;20:44
