Kurs:;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
S-Bf. Connewitz;07:47;07:47;08:17;08:15;08:47;08:47;09:17;09:18;09:47;09:47;10:17;10:17;10:42;10:42;11:12;11:12;11:42;11:42;12:12;12:12;12:42;12:43;13:12;13:13;13:42;13:42;14:12;14:12;14:42;14:42;15:12;15:12;15:42;15:42;16:12;16:12;16:42;16:43;17:12;17:14;17:42;17:42;18:12;18:12;18:47;18:49;19:17;19:17;19:47;19:47;20:17;20:19
Raschwitzer Straße;07:49;07:49;08:19;08:19;08:49;08:49;09:19;09:20;09:49;09:49;10:19;10:19;10:44;10:44;11:14;11:14;11:44;11:44;12:14;12:14;12:44;12:44;13:14;13:15;13:44;13:44;14:14;14:14;14:44;14:44;15:14;15:14;15:44;15:44;16:14;16:14;16:44;16:45;17:14;17:15;17:44;17:43;18:14;18:14;18:49;18:50;19:19;19:19;19:49;19:49;20:19;20:21
Dürrstraße;07:50;07:50;08:20;08:20;08:50;08:49;09:20;09:21;09:50;09:50;10:20;10:20;10:45;10:44;11:15;11:15;11:45;11:45;12:15;12:14;12:45;12:45;13:15;13:16;13:45;13:44;14:15;14:14;14:45;14:44;15:15;15:14;15:45;15:45;16:15;16:15;16:45;16:45;17:15;17:16;17:45;17:44;18:15;18:14;18:50;18:51;19:20;19:19;19:50;19:49;20:20;20:22
Dankwartstraße;07:51;07:51;08:21;08:22;08:51;08:51;09:21;09:21;09:51;09:50;10:21;10:21;10:46;10:45;11:16;11:15;11:46;11:46;12:16;12:15;12:46;12:46;13:16;13:17;13:46;13:45;14:16;14:15;14:46;14:45;15:16;15:15;15:46;15:45;16:16;16:16;16:46;16:46;17:16;17:17;17:46;17:45;18:16;18:15;18:51;18:52;19:21;19:20;19:51;19:50;20:21;20:23
Moritz Hof;07:52;07:53;08:22;08:23;08:52;08:52;09:22;09:23;09:52;09:52;10:22;10:23;10:47;10:47;11:17;11:17;11:47;11:47;12:17;12:17;12:47;12:48;13:17;13:19;13:47;13:47;14:17;14:17;14:47;14:47;15:17;15:17;15:47;15:47;16:17;16:17;16:47;16:47;17:17;17:19;17:47;17:47;18:17;18:16;18:52;18:53;19:22;19:24;19:52;19:51;20:22;20:24
Probsth./W.-Bredel-Str.;07:53;07:54;08:23;08:24;08:53;08:53;09:23;09:24;09:53;09:53;10:23;10:24;10:48;10:49;11:18;11:19;11:48;11:49;12:18;12:18;12:48;12:49;13:18;13:20;13:48;13:48;14:18;14:18;14:48;14:49;15:18;15:18;15:48;15:48;16:18;16:19;16:48;16:49;17:18;17:20;17:48;17:48;18:18;18:18;18:53;18:54;19:23;19:25;19:53;19:52;20:23;20:26
Connewitzer Straße;07:55;07:55;08:25;08:26;08:55;08:55;09:25;09:25;09:55;09:55;10:25;10:26;10:50;10:51;11:20;11:20;11:50;11:51;12:20;12:20;12:50;12:51;13:20;13:22;13:50;13:50;14:20;14:20;14:50;14:51;15:20;15:20;15:50;15:49;16:20;16:21;16:50;16:51;17:20;17:21;17:50;17:50;18:20;18:20;18:55;18:56;19:25;19:26;19:55;19:54;20:25;20:28
Probstheida;07:58;07:58;08:28;08:28;08:58;08:58;09:28;09:28;09:58;09:58;10:28;10:29;10:53;10:53;11:23;11:23;11:53;11:53;12:23;12:23;12:53;12:54;13:23;13:25;13:53;13:53;14:23;14:23;14:53;14:53;15:23;15:23;15:53;15:53;16:23;16:23;16:53;16:53;17:23;17:24;17:53;17:52;18:23;18:23;18:58;19:00;19:28;19:28;19:58;19:58;20:28;20:30
Prager/Russenstraße;08:00;07:59;08:30;08:30;09:00;08:59;09:30;09:29;10:00;09:59;10:30;10:31;10:55;10:54;11:25;11:24;11:55;11:55;12:25;12:25;12:55;12:55;13:25;13:26;13:55;13:55;14:25;14:24;14:55;14:54;15:25;15:25;15:55;15:54;16:25;16:24;16:55;16:54;17:25;17:26;17:55;17:54;18:25;18:24;19:00;19:02;19:30;19:30;20:00;19:59;20:30;20:32
Südfriedhof;08:01;08:01;08:31;08:31;09:01;09:01;09:31;09:31;10:01;10:01;10:31;10:32;10:56;10:56;11:26;11:27;11:56;11:56;12:26;12:27;12:56;12:57;13:26;13:28;13:56;13:56;14:26;14:26;14:56;14:56;15:26;15:27;15:56;15:55;16:26;16:26;16:56;16:57;17:26;17:28;17:56;17:57;18:26;18:26;19:01;19:04;19:31;19:32;20:01;20:02;20:31;20:34
Kommandant-Prendel-Allee;08:02;08:01;08:32;08:32;09:02;09:02;09:32;09:31;10:02;10:01;10:32;10:33;10:57;10:56;11:27;11:28;11:57;11:57;12:27;12:27;12:57;12:57;13:27;13:29;13:57;13:57;14:27;14:27;14:57;14:57;15:27;15:27;15:57;15:56;16:27;16:27;16:57;16:57;17:27;17:28;17:57;17:57;18:27;18:27;19:02;19:04;19:32;19:32;20:02;20:02;20:32;20:34
Schwimmhalle Südost;08:03;08:02;08:33;08:33;09:03;09:03;09:33;09:32;10:03;10:02;10:33;10:34;10:58;10:57;11:28;11:28;11:58;11:58;12:28;12:28;12:58;12:58;13:28;13:29;13:58;13:58;14:28;14:27;14:58;14:58;15:28;15:28;15:58;15:57;16:28;16:28;16:58;16:58;17:28;17:29;17:58;17:58;18:28;18:28;19:03;19:05;19:33;19:33;20:03;20:03;20:33;20:35
Kolmstraße;08:04;08:04;08:34;08:34;09:04;09:04;09:34;09:34;10:04;10:03;10:34;10:37;10:59;10:59;11:29;11:29;11:59;12:00;12:29;12:30;12:59;13:00;13:29;13:31;13:59;14:00;14:29;14:29;14:59;15:00;15:29;15:30;15:59;15:59;16:29;16:30;16:59;16:59;17:29;17:31;17:59;18:00;18:29;18:29;19:04;19:06;19:34;19:34;20:04;20:04;20:34;20:37
Oberdorfstraße;08:05;08:04;08:35;08:35;09:05;09:05;09:35;09:35;10:05;10:04;10:35;10:37;11:00;11:00;11:30;11:30;12:00;12:01;12:30;12:30;13:00;13:01;13:30;13:31;14:00;14:00;14:30;14:30;15:00;15:01;15:30;15:31;16:00;16:00;16:30;16:32;17:00;17:00;17:30;17:31;18:00;18:01;18:30;18:30;19:05;19:07;19:35;19:35;20:05;20:05;20:35;20:38
Handwerkerhof;08:06;08:06;08:36;08:36;09:06;09:06;09:36;09:36;10:06;10:05;10:36;10:38;11:01;11:01;11:31;11:31;12:01;12:02;12:31;12:31;13:01;13:02;13:31;13:32;14:01;14:01;14:31;14:31;15:01;15:02;15:31;15:32;16:01;16:01;16:31;16:33;17:01;17:01;17:31;17:32;18:01;18:02;18:31;18:31;19:06;19:08;19:36;19:36;20:06;20:06;20:36;20:38
Mölkau, Gemeindeamt;08:07;08:07;08:37;08:38;09:07;09:07;09:37;09:37;10:07;10:06;10:37;10:40;11:02;11:02;11:32;11:33;12:02;12:03;12:32;12:33;13:02;13:03;13:32;13:34;14:02;14:02;14:32;14:34;15:02;15:03;15:32;15:33;16:02;16:02;16:32;16:35;17:02;17:02;17:32;17:34;18:02;18:03;18:32;18:33;19:07;19:11;19:37;19:37;20:07;20:07;20:37;20:40
Paunsdorfer Straße;08:08;08:08;08:38;08:38;09:08;09:08;09:38;09:38;10:08;10:08;10:38;10:42;11:03;11:03;11:33;11:34;12:03;12:05;12:33;12:34;13:03;13:04;13:33;13:34;14:03;14:04;14:33;14:36;15:03;15:05;15:33;15:35;16:03;16:03;16:33;16:36;17:03;17:04;17:33;17:36;18:03;18:04;18:33;18:34;19:08;19:12;19:38;19:38;20:08;20:09;20:38;20:41
Uhlandweg;08:09;08:08;08:39;08:39;09:09;09:09;09:39;09:39;10:09;10:09;10:39;10:42;11:04;11:03;11:34;11:35;12:04;12:05;12:34;12:34;13:04;13:05;13:34;13:35;14:04;14:05;14:34;14:37;15:04;15:06;15:34;15:36;16:04;16:04;16:34;16:37;17:04;17:05;17:34;17:36;18:04;18:05;18:34;18:35;19:09;19:12;19:39;19:39;20:09;20:09;20:39;20:42
Geithainer Straße;08:10;08:10;08:40;08:40;09:10;09:10;09:40;09:40;10:10;10:10;10:40;10:43;11:05;11:04;11:35;11:36;12:05;12:06;12:35;12:35;13:05;13:06;13:35;13:36;14:05;14:06;14:35;14:38;15:05;15:07;15:35;15:36;16:05;16:05;16:35;16:37;17:05;17:05;17:35;17:37;18:05;18:06;18:35;18:35;19:10;19:13;19:40;19:40;20:10;20:10;20:40;20:43
Bf. Paunsdorf;08:11;08:10;08:41;08:40;09:11;09:12;09:41;09:40;10:11;10:10;10:41;10:44;11:06;11:05;11:36;11:36;12:06;12:07;12:36;12:36;13:06;13:06;13:36;13:37;14:06;14:06;14:36;14:38;15:06;15:07;15:36;15:37;16:06;16:05;16:36;16:38;17:06;17:06;17:36;17:38;18:06;18:06;18:36;18:36;19:11;19:14;19:41;19:40;20:11;20:11;20:41;20:43
Theodor-Heuss-Straße;08:12;08:12;08:42;08:41;09:12;09:12;09:42;09:42;10:12;10:11;10:42;10:45;11:07;11:06;11:37;11:38;12:07;12:08;12:37;12:37;13:07;13:08;13:37;13:38;14:07;14:09;14:37;14:40;15:07;15:09;15:37;15:38;16:07;16:06;16:37;16:39;17:07;17:08;17:37;17:39;18:07;18:08;18:37;18:38;19:12;19:15;19:42;19:42;20:12;20:12;20:42;20:44
Permoser-/Hohentichelns.;08:13;08:15;08:43;08:42;09:13;09:13;09:43;09:44;10:13;10:12;10:43;10:47;11:08;11:08;11:38;11:39;12:08;12:10;12:38;12:39;13:08;13:09;13:38;13:40;14:08;14:11;14:38;14:41;15:08;15:11;15:38;15:40;16:08;16:08;16:38;16:41;17:08;17:09;17:38;17:41;18:08;18:09;18:38;18:40;19:13;19:17;19:43;19:44;20:13;20:13;20:43;20:45
Paunsdorf, Friedhof;08:14;08:16;08:44;08:43;09:14;09:13;09:44;09:45;10:14;10:14;10:44;10:48;11:09;11:09;11:39;11:40;12:09;12:11;12:39;12:39;13:09;13:10;13:39;13:41;14:09;14:12;14:39;14:42;15:09;15:12;15:39;15:40;16:09;16:09;16:39;16:42;17:09;17:10;17:39;17:42;18:09;18:10;18:39;18:41;19:14;19:18;19:44;19:45;20:14;20:14;20:44;20:46
Hohentichelnstraße;08:15;08:17;08:45;08:45;09:15;09:15;09:45;09:46;10:15;10:15;10:45;10:49;11:10;11:10;11:40;11:41;12:10;12:13;12:40;12:41;13:10;13:12;13:40;13:43;14:10;14:13;14:40;14:44;15:10;15:13;15:40;15:41;16:10;16:10;16:40;16:43;17:10;17:11;17:40;17:43;18:10;18:11;18:40;18:43;19:15;19:19;19:45;19:45;20:15;20:15;20:45;20:47
Leupoldstraße;08:16;08:18;08:46;08:45;09:16;09:15;09:46;09:46;10:16;10:16;10:46;10:49;11:11;11:10;11:41;11:42;12:11;12:13;12:41;12:42;13:11;13:12;13:41;13:43;14:11;14:13;14:41;14:45;15:11;15:13;15:41;15:42;16:11;16:10;16:41;16:43;17:11;17:12;17:41;17:43;18:11;18:11;18:41;18:43;19:16;19:19;19:46;19:46;20:16;20:16;20:46;20:48
Brahestraße;08:17;08:19;08:47;08:46;09:17;09:16;09:47;09:47;10:17;10:17;10:47;10:50;11:12;11:11;11:42;11:43;12:12;12:14;12:42;12:43;13:12;13:13;13:42;13:44;14:12;14:14;14:42;14:46;15:12;15:14;15:42;15:43;16:12;16:11;16:42;16:44;17:12;17:13;17:42;17:44;18:12;18:12;18:42;18:44;19:17;19:20;19:47;19:47;20:17;20:17;20:47;20:49
Stöhrer-/Braunstraße;08:18;08:20;08:48;08:48;09:18;09:17;09:48;09:48;10:18;10:18;10:48;10:51;11:13;11:12;11:43;11:43;12:13;12:15;12:43;12:44;13:13;13:14;13:43;13:45;14:13;14:15;14:43;14:46;15:13;15:15;15:43;15:43;16:13;16:12;16:43;16:45;17:13;17:14;17:43;17:45;18:13;18:13;18:43;18:45;19:18;19:21;19:48;19:48;20:18;20:18;20:48;20:50
Abtnaundorf;08:19;08:21;08:49;08:49;09:19;09:19;09:49;09:49;10:19;10:18;10:49;10:51;11:14;11:13;11:44;11:44;12:14;12:16;12:44;12:44;13:14;13:14;13:44;13:45;14:14;14:15;14:44;14:47;15:14;15:16;15:44;15:44;16:14;16:13;16:44;16:46;17:14;17:14;17:44;17:45;18:14;18:14;18:44;18:46;19:19;19:22;19:49;19:48;20:19;20:19;20:49;20:51
Heiterblickstraße;08:20;08:22;08:50;08:49;09:20;09:19;09:50;09:49;10:20;10:19;10:50;10:53;11:15;11:14;11:45;11:45;12:15;12:17;12:45;12:45;13:15;13:15;13:45;13:46;14:15;14:17;14:45;14:48;15:15;15:17;15:45;15:45;16:15;16:14;16:45;16:47;17:15;17:15;17:45;17:46;18:15;18:15;18:45;18:47;19:20;19:23;19:50;19:49;20:20;20:19;20:50;20:52
S-Bf. Thekla;08:21;08:23;08:51;08:50;09:21;09:21;09:51;09:51;10:21;10:21;10:51;10:54;11:16;11:16;11:46;11:46;12:16;12:19;12:46;12:45;13:16;13:16;13:46;13:47;14:16;14:17;14:46;14:50;15:16;15:18;15:46;15:46;16:16;16:15;16:46;16:47;17:16;17:16;17:46;17:47;18:16;18:16;18:46;18:48;19:21;19:24;19:51;19:51;20:21;20:20;20:51;20:54
Lidicestraße;08:22;08:24;08:52;08:51;09:22;09:22;09:52;09:52;10:22;10:22;10:52;10:55;11:17;11:17;11:47;11:47;12:17;12:20;12:47;12:47;13:17;13:17;13:47;13:48;14:17;14:19;14:47;14:51;15:17;15:19;15:47;15:47;16:17;16:16;16:47;16:48;17:17;17:17;17:47;17:48;18:17;18:17;18:47;18:49;19:22;19:25;19:52;19:51;20:22;20:21;20:52;20:54
Thekla;08:23;08:25;08:53;08:52;09:23;09:24;09:53;09:53;10:23;10:24;10:53;10:56;11:18;11:18;11:48;11:48;12:18;12:21;12:48;12:48;13:18;13:18;13:48;13:49;14:18;14:20;14:48;14:52;15:18;15:20;15:48;15:48;16:18;16:17;16:48;16:50;17:18;17:18;17:48;17:49;18:18;18:19;18:48;18:50;19:23;19:26;19:53;19:52;20:23;20:23;20:53;20:56
