Kurs:;81;;83;;81;;91;;93;;82;;83;;81;;85;;82;;86;;83;;31;;32;;81;;82;;85;;31;;84;;81;;83;;85;;86;;84;;82;;83;;32;;86;;81;;82;;31;;32;;84;;81;;85;;31;;86;;84;;83;;85;;32;;86;;82;;83;;31;;32;;81;;82;;85;;31;;84;;83;;81;;85;;86;;84;;82;;32;;81;;85;;84;;32;;81;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lindenau, Bushof;03:55;03:55;04:30;04:30;05:00;04:37;05:30;05:32;06:00;06:01;06:30;06:30;07:00;06:59;07:30;07:31;07:57;07:57;08:12;08:12;08:27;08:27;08:57;08:57;;;09:27;09:28;;;09:57;09:57;;;10:24;10:24;;;10:54;10:54;;;11:24;11:24;;;11:54;11:55;;;12:24;12:24;;;12:54;12:54;;;13:24;13:25;;;13:54;13:54;;;14:24;14:24;;;14:54;Grob;;;15:24;15:24;;;15:54;15:54;;;16:24;16:25;;;16:54;16:55;;;17:24;17:25;;;17:54;17:54;;;18:24;18:25;;;;;18:57;18:57;19:27;19:28;;;19:57;19:59;;;20:27;20:29;20:57;20:57;21:27;Grob;21:57;21:59;22:30;22:30;23:00;23:02
Credéstraße;03:57;03:56;04:32;04:31;05:02;05:01;05:32;05:33;06:02;06:02;06:32;06:31;07:02;07:01;07:32;07:32;07:59;07:58;08:14;08:14;08:29;08:28;08:59;08:59;;;09:29;09:29;;;09:59;09:59;;;10:26;10:25;;;10:56;10:55;;;11:26;11:25;;;11:56;11:57;;;12:26;12:26;;;12:56;12:57;;;13:26;13:26;;;13:56;13:56;;;14:26;14:25;;;14:56;14:55;;;15:26;15:26;;;15:56;15:57;;;16:26;16:26;;;16:56;16:57;;;17:26;17:26;;;17:56;17:57;;;18:26;18:26;;;;;18:59;18:59;19:29;19:30;;;19:59;20:01;;;20:29;20:31;20:59;20:58;21:29;21:29;21:59;22:01;22:32;22:32;23:02;23:03
Demmeringstraße;03:58;03:58;04:33;04:32;05:03;05:03;05:33;05:35;06:03;06:04;06:33;06:32;07:03;07:03;07:33;07:33;08:00;07:59;08:15;08:15;08:30;08:29;09:00;09:00;;;09:30;09:31;;;10:00;10:00;;;10:27;10:27;;;10:57;10:58;;;11:27;11:27;;;11:57;11:58;;;12:27;12:27;;;12:57;12:59;;;13:27;13:27;;;13:57;13:58;;;14:27;14:27;;;14:57;14:56;;;15:27;15:28;;;15:57;15:58;;;16:27;16:28;;;16:57;16:58;;;17:27;17:27;;;17:57;17:59;;;18:27;18:28;;;;;19:00;19:00;19:30;19:31;;;20:00;20:01;;;20:30;20:32;21:00;21:00;21:30;21:30;22:00;22:03;22:33;22:34;23:03;23:03
Dr.-H.-Duncker-Straße;03:58;03:58;04:33;04:33;05:03;05:04;05:33;05:35;06:03;06:04;06:33;06:33;07:03;07:03;07:33;07:33;08:01;08:00;08:16;08:15;08:31;08:29;09:01;09:01;;;09:31;09:32;;;10:01;10:01;;;10:28;10:27;;;10:58;10:58;;;11:28;11:28;;;11:58;11:59;;;12:28;12:28;;;12:58;13:00;;;13:28;13:28;;;13:58;13:59;;;14:28;14:28;;;14:58;14:57;;;15:28;15:29;;;15:58;15:59;;;16:28;16:28;;;16:58;16:59;;;17:28;17:28;;;17:58;17:59;;;18:28;18:28;;;;;19:01;19:00;19:31;19:32;;;20:01;20:02;;;20:31;20:32;21:01;21:01;21:31;21:31;22:01;22:04;22:33;22:34;23:03;23:04
Plaut-/Schomburgkstr.;03:59;03:59;04:34;04:34;05:04;05:04;05:34;05:36;06:04;06:05;06:34;06:34;07:04;07:04;07:34;07:34;08:02;08:01;08:17;08:16;08:32;08:30;09:02;09:02;;;09:32;09:33;;;10:02;10:02;;;10:29;10:28;;;10:59;10:59;;;11:29;11:29;;;11:59;12:00;;;12:29;12:29;;;12:59;13:01;;;13:29;13:29;;;13:59;14:00;;;14:29;14:28;;;14:59;14:58;;;15:29;15:29;;;15:59;16:00;;;16:29;16:29;;;16:59;17:00;;;17:29;17:29;;;17:59;18:00;;;18:29;18:29;;;;;19:02;19:02;19:32;19:33;;;20:02;20:03;;;20:32;20:33;21:02;21:01;21:32;21:32;22:02;22:05;22:34;22:35;23:04;23:05
Ernst-Keil-Straße;04:00;04:00;04:35;04:34;05:05;05:05;05:35;05:37;06:05;06:06;06:35;06:35;07:05;07:04;07:35;07:35;08:03;08:02;08:18;08:17;08:33;08:31;09:03;09:03;;;09:33;09:33;;;10:03;10:03;;;10:30;10:29;;;11:00;11:00;;;11:30;11:30;;;12:00;12:00;;;12:30;12:30;;;13:00;13:02;;;13:30;13:30;;;14:00;14:01;;;14:30;14:29;;;15:00;14:59;;;15:30;15:30;;;16:00;16:01;;;16:30;16:30;;;17:00;17:01;;;17:30;17:30;;;18:00;18:01;;;18:30;18:30;;;;;19:03;19:02;19:33;19:34;;;20:03;20:03;;;20:33;20:34;21:03;21:02;21:33;21:33;22:03;22:05;22:35;22:36;23:05;23:06
Merseburger/Schomburgks.;04:01;04:01;04:36;04:36;05:06;05:07;05:36;05:38;06:06;06:07;06:36;06:36;07:06;07:05;07:36;07:36;08:04;08:03;08:19;08:18;08:34;08:33;09:04;09:05;;;09:34;09:35;;;10:04;10:04;;;10:31;10:31;;;11:01;11:01;;;11:31;11:32;;;12:01;12:02;;;12:31;12:31;;;13:01;13:04;;;13:31;13:32;;;14:01;14:02;;;14:31;14:31;;;15:01;15:00;;;15:31;15:32;;;16:01;16:02;;;16:31;16:31;;;17:01;17:02;;;17:31;17:31;;;18:01;18:02;;;18:31;18:31;;;;;19:04;19:04;19:34;19:35;;;20:04;20:05;;;20:34;20:35;21:04;21:03;21:34;21:35;22:04;22:06;22:36;22:37;23:06;23:07
Wittestraße;04:02;04:02;04:37;04:36;05:07;05:07;05:37;05:39;06:07;06:08;06:37;06:37;07:07;07:06;07:37;07:38;08:05;08:04;08:20;08:20;08:35;08:34;09:05;09:05;;;09:35;09:37;;;10:05;10:04;;;10:32;10:32;;;11:02;11:01;;;11:32;11:33;;;12:02;12:03;;;12:32;12:32;;;13:02;13:05;;;13:32;13:33;;;14:02;14:03;;;14:32;14:31;;;15:02;15:02;;;15:32;15:33;;;16:02;16:03;;;16:32;16:32;;;17:02;17:03;;;17:32;17:32;;;18:02;18:03;;;18:32;18:32;;;;;19:05;19:05;19:35;19:36;;;20:05;20:06;;;20:35;20:36;21:05;21:04;21:35;21:36;22:05;22:07;22:37;22:37;23:07;23:08
S-Bf. Leutzsch;04:03;04:03;04:38;04:38;05:08;05:08;05:38;05:41;06:08;06:10;06:38;06:38;07:08;07:07;07:38;07:39;08:06;08:05;08:21;08:21;08:36;08:35;09:06;09:07;;;09:36;09:38;;;10:06;10:06;;;10:33;10:34;;;11:03;11:03;;;11:33;11:34;;;12:03;12:06;;;12:33;12:33;;;13:03;13:06;;;13:33;13:34;;;14:03;14:05;;;14:33;14:32;;;15:03;15:03;;;15:33;15:34;;;16:03;16:05;;;16:33;16:34;;;17:03;17:05;;;17:33;17:34;;;18:03;18:05;;;18:33;18:33;;;;;19:06;19:06;19:36;19:37;;;20:06;20:07;;;20:36;20:37;21:06;21:05;21:36;21:38;22:06;22:08;22:38;22:39;23:08;23:09
