Kurs:;33;;11;;11;;14;;56;;33;;11;;14;;56;;32;;33;;51;;52;;53;;54;;56;;32;;31;;33;;34;;51;;52;;53;;54;;55;;56;;31;;32;;33;;34;;51;;52;;53;;54;;55;;56;;31;;32;;33;;34;;51;;52;;53;;54;;55;;56;;31;;32;;33;;34;;51;;52;;53;;54;;55;;56;;31;;32;;33;;34;;51;;52;;53;;54;;55;;56;;31;;32;;33;;34;;51;;52;;53;;54;;55;;31;;32;;34;;51;;52;;54;;55;;31;;18;;34;;51;;52;;54;;31;;34;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
S-Bf. Connewitz;;;04:23;04:24;;;;;;;;;;;;;;;;;;;08:07;08:07;08:22;08:23;08:37;08:39;08:52;08:52;09:07;09:07;09:22;09:22;;;09:37;09:37;;;09:52;09:51;10:07;10:07;10:20;10:20;10:30;10:30;10:40;10:40;10:50;10:49;11:00;11:00;11:10;11:10;11:20;11:20;11:30;11:30;11:40;11:39;11:50;11:50;12:00;12:00;12:10;12:10;12:20;12:19;12:30;12:29;12:40;12:39;12:50;12:49;13:00;12:59;13:10;13:10;13:20;13:19;13:30;13:29;13:40;13:39;13:50;13:50;14:00;13:59;14:10;14:09;14:20;14:19;14:30;14:29;14:40;14:40;14:50;14:50;15:00;15:00;15:10;15:09;15:20;15:19;15:30;15:30;15:40;15:40;15:50;15:49;16:00;15:59;16:10;Grob;16:20;16:19;16:30;16:29;16:40;16:39;16:50;16:49;17:00;16:59;17:10;17:10;17:20;17:20;17:30;17:30;17:40;17:39;17:50;17:50;18:00;18:00;18:10;18:09;18:20;18:20;18:30;18:30;18:40;18:39;18:52;18:52;19:07;19:06;19:22;19:22;19:37;19:37;19:52;19:51;20:07;20:07;20:22;20:22;20:37;20:37;20:52;20:51;21:07;21:07;;;;;;;;;;;;;;;;
Hildebrandstraße;;;04:24;04:25;;;;;;;;;;;;;;;;;;;08:08;08:08;08:23;08:23;08:38;08:40;08:53;08:53;09:08;09:09;09:23;09:23;;;09:38;09:39;;;09:53;09:53;10:08;10:09;10:21;10:22;10:31;10:32;10:41;10:41;10:51;10:51;11:01;11:01;11:11;11:12;11:21;11:22;11:31;11:31;11:41;11:41;11:51;11:52;12:01;12:02;12:11;12:12;12:21;12:20;12:31;12:31;12:41;12:41;12:51;12:51;13:01;13:01;13:11;13:12;13:21;13:21;13:31;13:31;13:41;13:41;13:51;13:51;14:01;14:01;14:11;14:11;14:21;14:21;14:31;14:31;14:41;14:41;14:51;14:52;15:01;15:02;15:11;15:11;15:21;15:21;15:31;15:31;15:41;15:41;15:51;15:51;16:01;16:01;16:11;16:12;16:21;16:21;16:31;16:31;16:41;16:41;16:51;16:51;17:01;17:01;17:11;17:12;17:21;17:22;17:31;17:32;17:41;17:41;17:51;17:52;18:01;18:01;18:11;18:11;18:21;18:22;18:31;18:31;18:41;18:41;18:53;18:54;19:08;19:08;19:23;19:25;19:38;19:39;19:53;19:53;20:08;20:09;20:23;20:23;20:38;20:38;20:53;20:53;21:08;21:09;;;;;;;;;;;;;;;;
Pfeffingerstraße;;;04:26;04:27;;;;;;;;;;;;;;;;;;;08:10;08:09;08:25;08:25;08:40;08:42;08:55;08:54;09:10;09:10;09:25;09:25;;;09:40;09:40;;;09:55;09:54;10:10;10:10;10:23;10:23;10:33;10:33;10:43;10:43;10:53;10:52;11:03;11:02;11:13;11:13;11:23;11:23;11:33;11:33;11:43;11:42;11:53;11:53;12:03;12:03;12:13;12:13;12:23;12:22;12:33;12:33;12:43;12:42;12:53;12:52;13:03;13:02;13:13;13:13;13:23;13:23;13:33;13:33;13:43;13:43;13:53;13:53;14:03;14:02;14:13;14:12;14:23;14:22;14:33;14:32;14:43;14:43;14:53;14:53;15:03;15:03;15:13;15:12;15:23;15:23;15:33;15:33;15:43;15:42;15:53;15:52;16:03;16:02;16:13;16:13;16:23;16:22;16:33;16:33;16:43;16:42;16:53;16:53;17:03;17:03;17:13;17:13;17:23;17:23;17:33;17:33;17:43;17:43;17:53;17:53;18:03;18:03;18:13;18:13;18:23;18:23;18:33;18:32;18:43;18:42;18:55;18:55;19:10;19:09;19:25;19:27;19:40;19:41;19:55;19:54;20:10;20:10;20:25;20:25;20:40;20:40;20:55;20:54;21:10;21:28;;;;;;;;;;;;;;;;
Connewitz Kreuz;;;04:28;04:28;;;04:55;04:55;05:25;05:25;05:55;05:54;06:25;06:25;06:55;06:54;07:25;07:25;;;07:55;07:54;08:12;08:12;08:27;08:27;08:42;08:43;08:57;08:57;09:12;09:12;09:27;09:27;;;09:42;09:42;;;09:57;09:56;10:12;10:12;10:25;10:25;10:35;10:35;10:45;10:45;10:55;10:55;11:05;11:04;11:15;11:15;11:25;11:25;11:35;11:35;11:45;11:45;11:55;11:55;12:05;12:05;12:15;12:15;12:25;12:24;12:35;12:34;12:45;12:44;12:55;12:54;13:05;13:05;13:15;13:15;13:25;13:25;13:35;13:35;13:45;13:45;13:55;13:55;14:05;14:04;14:15;14:14;14:25;14:24;14:35;14:35;14:45;14:44;14:55;14:55;15:05;15:05;15:15;15:14;15:25;15:25;15:35;15:35;15:45;15:44;15:55;15:54;16:05;16:04;16:15;16:15;16:25;16:24;16:35;16:35;16:45;16:44;16:55;16:54;17:05;17:04;17:15;17:15;17:25;17:25;17:35;17:36;17:45;17:45;17:55;17:55;18:05;18:05;18:15;18:15;18:25;18:24;18:35;18:34;18:45;18:44;18:57;18:57;19:12;19:11;19:27;19:28;19:42;19:42;19:57;19:56;20:12;20:12;20:27;20:27;20:42;20:42;20:57;20:55;21:12;21:30;21:27;21:27;21:42;21:42;21:57;21:57;22:12;22:11;22:25;22:23;22:55;22:54;23:25;23:24;23:55;23:54
Richard-Lehmann-Straße, HTWK;;;04:29;04:30;;;04:56;04:56;05:26;05:26;05:56;05:56;06:26;06:26;06:56;06:56;07:26;07:27;;;07:56;07:56;08:13;08:13;08:28;08:28;08:43;08:44;08:58;08:59;09:13;09:14;09:28;09:29;;;09:43;09:44;;;09:58;09:58;10:13;10:15;10:26;10:27;10:36;10:37;10:46;10:47;10:56;10:56;11:06;11:07;11:16;11:16;11:26;11:27;11:36;11:37;11:46;11:47;11:56;11:57;12:06;12:07;12:16;12:17;12:26;12:25;12:36;12:36;12:46;12:46;12:56;12:56;13:06;13:07;13:16;13:16;13:26;13:27;13:36;13:37;13:46;13:47;13:56;13:56;14:06;14:06;14:16;14:16;14:26;14:26;14:36;14:36;14:46;14:46;14:56;14:56;15:06;15:07;15:16;15:16;15:26;15:27;15:36;15:36;15:46;15:45;15:56;15:56;16:06;16:06;16:16;16:18;16:26;16:25;16:36;16:36;16:46;16:45;16:56;16:56;17:06;17:07;17:16;17:17;17:26;17:27;17:36;17:37;17:46;17:47;17:56;17:56;18:06;18:07;18:16;18:16;18:26;18:27;18:36;18:36;18:46;18:46;18:58;18:59;19:13;19:12;19:28;19:29;19:43;19:44;19:58;19:58;20:13;20:14;20:28;20:29;20:43;20:44;20:58;20:57;21:13;21:31;21:28;21:28;21:43;21:45;21:58;21:58;22:13;22:13;22:26;22:25;22:56;22:56;23:26;23:26;23:56;23:56
A.-Hoffm./R.-Lehm.-Str.;;;04:30;04:30;;;04:57;04:57;05:27;05:27;05:57;05:57;06:27;06:27;06:57;06:56;07:27;07:28;;;07:57;07:56;08:14;08:14;08:29;08:29;08:44;08:45;08:59;08:59;09:14;09:15;09:29;09:30;;;09:44;09:46;;;09:59;10:00;10:14;10:16;10:27;10:28;10:37;10:38;10:47;10:48;10:57;10:57;11:07;11:08;11:17;11:18;11:27;11:28;11:37;11:38;11:47;11:47;11:57;11:58;12:07;12:08;12:17;12:18;12:27;12:26;12:37;12:37;12:47;12:47;12:57;12:57;13:07;13:08;13:17;13:17;13:27;13:28;13:37;13:38;13:47;13:47;13:57;13:58;14:07;14:07;14:17;14:17;14:27;14:27;14:37;14:38;14:47;14:47;14:57;14:57;15:07;15:08;15:17;15:17;15:27;15:27;15:37;15:37;15:47;15:46;15:57;15:57;16:07;16:07;16:17;16:19;16:27;16:26;16:37;16:37;16:47;16:46;16:57;16:57;17:07;17:08;17:17;17:18;17:27;17:28;17:37;17:39;17:47;17:48;17:57;17:58;18:07;18:08;18:17;18:17;18:27;18:27;18:37;18:37;18:47;18:47;18:59;18:59;19:14;19:13;19:29;19:30;19:44;19:45;19:59;19:59;20:14;20:14;20:29;20:29;20:44;20:45;20:59;20:57;21:14;21:32;21:29;21:30;21:44;21:45;21:59;21:59;22:14;22:14;22:27;22:26;22:57;22:56;23:27;23:27;23:57;23:56
Steinplatz;;;04:31;04:31;;;04:58;04:57;05:28;05:28;05:58;05:58;06:28;06:28;06:58;06:57;07:28;07:29;;;07:58;07:57;08:15;08:15;08:30;08:30;08:45;08:46;09:00;09:00;09:15;09:16;09:30;09:31;;;09:45;09:47;;;10:00;10:01;10:15;10:16;10:28;10:29;10:38;10:39;10:48;10:49;10:58;10:58;11:08;11:09;11:18;11:19;11:28;11:29;11:38;11:39;11:48;11:48;11:58;11:59;12:08;12:09;12:18;12:19;12:28;12:27;12:38;12:38;12:48;12:48;12:58;12:58;13:08;13:08;13:18;13:18;13:28;13:29;13:38;13:39;13:48;13:48;13:58;13:59;14:08;14:08;14:18;14:18;14:28;14:28;14:38;14:39;14:48;14:48;14:58;14:58;15:08;15:09;15:18;15:18;15:28;15:28;15:38;15:38;15:48;15:47;15:58;15:58;16:08;16:08;16:18;16:20;16:28;16:27;16:38;16:38;16:48;16:47;16:58;16:58;17:08;17:08;17:18;17:19;17:28;17:28;17:38;17:40;17:48;17:49;17:58;17:59;18:08;18:08;18:18;18:18;18:28;18:28;18:38;18:38;18:48;18:48;19:00;19:01;19:15;19:14;19:30;19:31;19:45;19:46;20:00;20:00;20:15;20:15;20:30;20:30;20:45;20:46;21:00;20:59;21:15;21:33;21:30;21:31;21:45;21:46;22:00;22:00;22:15;22:14;22:28;22:27;22:58;22:57;23:28;23:28;23:58;23:57
K.-Eisner-/A.-Hoffm.-S.;;;04:32;04:32;;;04:59;04:59;05:29;05:29;05:59;06:00;06:29;06:29;06:59;06:58;07:29;07:31;;;07:59;07:59;08:16;08:16;08:31;08:30;08:46;08:47;09:01;09:01;09:16;09:17;09:31;09:32;;;09:46;09:48;;;10:01;10:02;10:16;10:17;10:29;10:30;10:39;10:40;10:49;10:51;10:59;10:59;11:09;11:11;11:19;11:20;11:29;11:29;11:39;11:40;11:49;11:49;11:59;12:00;12:09;12:10;12:19;12:20;12:29;12:28;12:39;12:39;12:49;12:49;12:59;12:59;13:09;13:09;13:19;13:19;13:29;13:30;13:39;13:40;13:49;13:49;13:59;14:00;14:09;14:09;14:19;14:19;14:29;14:29;14:39;14:40;14:49;14:49;14:59;14:59;15:09;15:10;15:19;15:19;15:29;15:29;15:39;15:39;15:49;15:48;15:59;15:59;16:09;16:09;16:19;16:21;16:29;16:28;16:39;16:39;16:49;16:48;16:59;16:59;17:09;17:09;17:19;17:20;17:29;17:29;17:39;17:41;17:49;17:49;17:59;18:00;18:09;18:09;18:19;18:19;18:29;18:30;18:39;18:39;18:49;18:49;19:01;19:02;19:16;19:15;19:31;19:32;19:46;19:47;20:01;20:01;20:16;20:16;20:31;20:32;20:46;20:48;21:01;21:00;21:16;21:35;21:31;21:32;21:46;21:47;22:01;22:01;22:16;22:16;22:29;22:28;22:59;22:59;23:29;23:29;23:59;23:59
Körnerstraße;;;04:33;04:33;;;05:00;05:00;05:30;05:30;06:00;06:01;06:30;06:30;07:00;06:59;07:30;07:32;;;08:00;08:00;08:17;08:17;08:32;08:32;08:47;08:48;09:02;09:02;09:17;09:19;09:32;09:33;;;09:47;09:49;;;10:02;10:03;10:17;10:19;10:30;10:31;10:40;10:41;10:50;10:52;11:00;11:00;11:10;11:12;11:20;11:21;11:30;11:31;11:40;11:41;11:50;11:50;12:00;12:02;12:10;12:11;12:20;12:21;12:30;12:29;12:40;12:40;12:50;12:51;13:00;13:00;13:10;13:10;13:20;13:20;13:30;13:31;13:40;13:41;13:50;13:51;14:00;14:01;14:10;14:10;14:20;14:20;14:30;14:31;14:40;14:42;14:50;14:50;15:00;15:00;15:10;15:11;15:20;15:20;15:30;15:31;15:40;15:40;15:50;15:49;16:00;16:00;16:10;16:11;16:20;16:23;16:30;16:29;16:40;16:40;16:50;16:49;17:00;17:00;17:10;17:11;17:20;17:21;17:30;17:31;17:40;17:43;17:50;17:51;18:00;18:01;18:10;18:11;18:20;18:20;18:30;18:31;18:40;18:40;18:50;18:50;19:02;19:03;19:17;19:16;19:32;19:33;19:47;19:48;20:02;20:02;20:17;20:17;20:32;20:33;20:47;20:49;21:02;21:01;21:17;21:35;21:32;21:33;21:47;21:48;22:02;22:02;22:17;22:17;22:30;22:29;23:00;23:00;23:30;23:30;00:00;00:00
Bayerischer Bahnhof;;;04:34;04:35;;;05:01;05:02;05:31;05:32;06:01;06:04;06:31;06:32;07:01;07:02;07:31;07:34;;;08:01;08:02;08:18;08:19;08:33;08:34;08:48;08:50;09:03;09:04;09:18;09:20;09:33;09:35;;;09:48;09:52;;;10:03;10:05;10:18;10:20;10:32;10:34;10:42;10:43;10:52;10:55;11:02;11:02;11:12;11:14;11:22;11:23;11:32;11:32;11:42;11:43;11:52;11:52;12:02;12:04;12:12;12:13;12:22;12:23;12:32;12:31;12:42;12:42;12:52;12:53;13:02;13:02;13:12;13:13;13:22;13:22;13:32;13:34;13:42;13:43;13:52;13:53;14:02;14:04;14:12;14:13;14:22;14:22;14:32;14:32;14:42;14:44;14:52;14:52;15:02;15:02;15:12;15:13;15:22;15:22;15:32;15:32;15:42;15:43;15:52;15:52;16:02;16:02;16:12;16:13;16:22;16:25;16:32;16:31;16:42;16:43;16:52;16:51;17:02;17:02;17:12;17:13;17:22;17:23;17:32;17:32;17:42;17:44;17:52;17:53;18:02;18:03;18:12;18:13;18:22;18:22;18:32;18:32;18:42;18:41;18:52;18:53;19:03;19:05;19:18;19:17;19:33;19:35;19:48;19:50;20:03;20:04;20:18;20:19;20:33;20:35;20:48;20:52;21:03;21:02;21:18;21:37;21:33;21:35;21:48;21:50;22:03;22:04;22:18;22:19;22:31;22:31;23:01;23:02;23:31;23:32;00:01;00:02
