Kurs:;54;;31;;70;;70;;70;;56;;52;;53;;54;;56;;52;;53;;54;;55;;56;;15;;52;;41;;24;;13;;14;;15;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;56;;51;;52;;53;;31;;54;;15;;56;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Wahren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:26;12:26;12:41;12:41;12:56;12:57;13:11;13:11;13:26;13:26;13:41;13:41;13:56;13:56;14:11;14:11;14:26;14:26;14:41;14:42;14:56;14:56;15:11;15:11;15:26;15:27;15:41;15:41;15:56;15:56;16:11;16:11;16:26;16:27;16:41;16:42;16:56;16:56;17:11;17:11;17:26;17:26;17:41;17:41;17:56;17:57;18:11;18:12;18:26;18:26;18:41;18:41;18:56;18:55;19:11;19:11;19:26;19:26;19:41;19:43;19:56;19:57;20:11;20:11;20:26;20:26;;;;;;;;;;;;;;;;;;
Annaberger Straße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:28;12:27;12:43;12:42;12:58;12:58;13:13;13:13;13:28;13:27;13:43;13:43;13:58;13:57;14:13;14:12;14:28;14:28;14:43;14:44;14:58;14:57;15:13;15:12;15:28;15:28;15:43;15:42;15:58;15:58;16:13;16:13;16:28;16:29;16:43;16:43;16:58;16:57;17:13;17:12;17:28;17:28;17:43;17:43;17:58;17:58;18:13;18:13;18:28;18:27;18:43;18:42;18:58;18:57;19:13;19:13;19:28;19:28;19:43;19:44;19:58;19:58;20:13;20:13;20:28;20:27;;;;;;;;;;;;;;;;;;
Möckern, Hist. Strbf.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:30;12:29;12:45;12:44;13:00;13:00;13:15;13:14;13:30;13:29;13:45;13:44;14:00;13:59;14:15;14:14;14:30;14:29;14:45;14:45;15:00;15:00;15:15;15:14;15:30;15:29;15:45;15:44;16:00;15:59;16:15;16:14;16:30;16:30;16:45;16:45;17:00;16:58;17:15;17:13;17:30;17:29;17:45;17:44;18:00;17:59;18:15;18:14;18:30;18:29;18:45;18:44;19:00;18:58;19:15;19:14;19:30;19:29;19:45;19:45;20:00;19:59;20:15;20:14;20:30;20:29;;;;;;;;;;;;;;;;;;
Dantestraße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:31;12:30;12:46;12:45;13:01;13:02;13:16;13:16;13:31;13:30;13:46;13:45;14:01;14:00;14:16;14:15;14:31;14:30;14:46;14:47;15:01;15:01;15:16;15:15;15:31;15:30;15:46;15:45;16:01;16:01;16:16;16:15;16:31;16:32;16:46;16:46;17:01;17:00;17:16;17:15;17:31;17:31;17:46;17:45;18:01;18:01;18:16;18:15;18:31;18:31;18:46;18:45;19:01;19:00;19:16;19:15;19:31;19:30;19:46;19:47;20:01;20:00;20:16;20:15;20:31;20:30;;;;;;;;;;;;;;;;;;
S-Bf. Möckern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:32;12:31;12:47;12:46;13:02;13:03;13:17;13:17;13:32;13:31;13:47;13:46;14:02;14:01;14:17;14:16;14:32;14:31;14:47;14:48;15:02;15:02;15:17;15:16;15:32;15:31;15:47;15:46;16:02;16:02;16:17;16:16;16:32;16:33;16:47;16:47;17:02;17:01;17:17;17:16;17:32;17:32;17:47;17:46;18:02;18:02;18:17;18:16;18:32;18:32;18:47;18:46;19:02;19:01;19:17;19:16;19:32;19:31;19:47;19:47;20:02;20:01;20:17;20:16;20:32;20:32;;;;;;;;;;;;;;;;;;
Wiederitzscher Straße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:33;12:32;12:48;12:48;13:03;13:04;13:18;13:18;13:33;13:32;13:48;13:47;14:03;14:02;14:18;14:18;14:33;14:32;14:48;14:49;15:03;15:04;15:18;15:17;15:33;15:33;15:48;15:47;16:03;16:03;16:18;16:17;16:33;16:34;16:48;16:48;17:03;17:02;17:18;17:17;17:33;17:33;17:48;17:47;18:03;18:03;18:18;18:17;18:33;18:34;18:48;18:48;19:03;19:02;19:18;19:18;19:33;19:33;19:48;19:49;20:03;20:03;20:18;20:18;20:33;20:33;;;;;;;;;;;;;;;;;;
G-Schumann-/Lindenth. S.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:34;12:34;12:49;12:49;13:04;13:05;13:19;13:20;13:34;13:34;13:49;13:49;14:04;14:04;14:19;14:19;14:34;14:34;14:49;14:50;15:04;15:05;15:19;15:19;15:34;15:34;15:49;15:49;16:04;16:05;16:19;16:19;16:34;16:36;16:49;16:50;17:04;17:04;17:19;17:19;17:34;17:34;17:49;17:49;18:04;18:05;18:19;18:19;18:34;18:35;18:49;18:49;19:04;19:04;19:19;19:19;19:34;19:34;19:49;19:50;20:04;20:05;20:19;20:19;20:34;20:35;;;;;;;;;;;;;;;;;;
G.-Schumann-/Lützowstr.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:36;12:35;12:51;12:50;13:06;13:07;13:21;13:21;13:36;13:35;13:51;13:50;14:06;14:05;14:21;14:20;14:36;14:35;14:51;14:52;15:06;15:07;15:21;15:20;15:36;15:35;15:51;15:50;16:06;16:06;16:21;16:20;16:36;16:37;16:51;16:52;17:06;17:05;17:21;17:20;17:36;17:35;17:51;17:50;18:06;18:07;18:21;18:20;18:36;18:37;18:51;18:51;19:06;19:05;19:21;19:20;19:36;19:35;19:51;19:51;20:06;20:07;20:21;20:20;20:36;20:36;;;;;;;;;;;;;;;;;;
Chausseehaus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:38;12:37;12:53;12:52;13:08;13:08;13:23;13:25;13:38;13:37;13:53;13:52;14:08;14:07;14:23;14:22;14:38;14:37;14:53;14:53;15:08;15:09;15:23;15:22;15:38;15:37;15:53;15:52;16:08;16:08;16:23;16:22;16:38;16:39;16:53;16:53;17:08;17:07;17:23;17:22;17:38;17:37;17:53;17:52;18:08;18:09;18:23;18:22;18:38;18:38;18:53;18:53;19:08;19:07;19:23;19:22;19:38;19:37;19:53;19:53;20:08;20:09;20:23;20:22;20:38;20:39;;;;;;;;;;;;;;;;;;
