Kurs:;54;;31;;70;;70;;70;;54;;56;;52;;53;;54;;56;;52;;53;;54;;55;;56;;13;;14;;15;;11;;12;;13;;14;;15;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;21;;22;;23;;12;;41;;24;;15;;56;;51;;52;;53;;31;;54;;15;;56;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lößnig;00:14;00:15;00:43;00:42;01:46;01:46;02:57;02:57;04:13;04:13;04:44;04:44;05:14;05:14;05:44;05:45;06:14;06:14;06:44;06:44;07:14;07:14;07:44;Grob;08:14;08:14;08:44;08:45;09:03;09:03;09:18;09:18;09:36;09:35;09:51;09:51;10:06;10:06;10:21;10:21;10:36;10:36;10:51;10:50;11:06;11:06;11:21;11:20;11:36;11:36;11:51;11:37;12:06;12:06;12:21;12:21;12:36;12:36;12:51;12:51;13:06;13:06;13:21;13:21;13:36;13:36;13:51;13:52;14:06;14:06;14:21;14:20;14:36;14:36;14:51;14:51;15:06;15:06;15:21;15:21;15:36;15:36;15:51;15:51;16:06;16:05;16:21;16:20;16:36;16:36;16:51;16:51;17:06;17:06;17:21;17:21;17:36;17:36;17:51;17:51;18:06;18:06;18:21;18:21;18:36;18:36;18:51;18:51;19:06;19:06;19:21;19:21;19:36;19:36;19:51;19:51;20:06;20:07;20:21;20:21;20:36;20:36;20:51;20:50;21:06;21:05;21:18;21:18;21:33;21:33;21:48;21:48;22:03;22:03;22:14;22:14;22:29;22:28;22:44;22:44;22:59;22:59;23:14;23:14;23:44;23:44
Moritz Hof;00:15;00:15;00:44;00:43;01:47;01:48;02:58;02:58;04:14;04:14;04:45;04:46;05:15;05:15;05:45;05:46;06:15;06:15;06:45;06:45;07:15;07:15;07:45;07:46;08:15;08:15;08:45;08:47;09:04;09:04;09:19;09:19;09:37;09:37;09:52;09:53;10:07;10:07;10:22;10:22;10:37;10:37;10:52;10:52;11:07;11:07;11:22;11:22;11:37;11:37;11:52;11:52;12:07;12:08;12:22;12:22;12:37;12:37;12:52;12:53;13:07;13:07;13:22;13:22;13:37;13:37;13:52;13:53;14:07;14:07;14:22;14:22;14:37;14:38;14:52;14:52;15:07;15:08;15:22;15:22;15:37;15:38;15:52;15:52;16:07;16:07;16:22;16:22;16:37;16:37;16:52;16:52;17:07;17:07;17:22;17:22;17:37;17:37;17:52;17:53;18:07;18:07;18:22;18:22;18:37;18:37;18:52;18:52;19:07;19:07;19:22;19:22;19:37;19:38;19:52;19:52;20:07;20:08;20:22;20:22;20:37;20:37;20:52;20:52;21:07;21:06;21:19;21:19;21:34;21:34;21:49;21:49;22:04;22:04;22:15;22:15;22:30;22:30;22:45;22:45;23:00;23:00;23:15;23:15;23:45;23:45
An der Märchenwiese;00:16;00:16;00:45;00:44;01:48;01:49;02:59;02:59;04:15;04:15;04:46;04:47;05:16;05:17;05:46;05:47;06:16;06:16;06:46;06:46;07:16;07:16;07:46;07:47;08:16;08:16;08:46;08:48;09:05;09:05;09:20;09:20;09:38;09:38;09:53;09:54;10:08;10:08;10:23;10:23;10:38;10:38;10:53;10:53;11:08;11:08;11:23;11:23;11:38;11:38;11:53;11:53;12:08;12:09;12:23;12:23;12:38;12:38;12:53;12:54;13:08;13:08;13:23;13:23;13:38;13:38;13:53;13:54;14:08;14:08;14:23;14:23;14:38;14:39;14:53;14:54;15:08;15:09;15:23;15:23;15:38;15:39;15:53;15:53;16:08;16:08;16:23;16:23;16:38;16:38;16:53;16:53;17:08;17:08;17:23;17:24;17:38;17:38;17:53;17:54;18:08;18:08;18:23;18:24;18:38;18:38;18:53;18:53;19:08;19:08;19:23;19:23;19:38;19:39;19:53;19:53;20:08;20:09;20:23;20:23;20:38;20:38;20:53;20:53;21:08;21:07;21:20;21:20;21:35;21:35;21:50;21:51;22:05;22:05;22:16;22:16;22:31;22:31;22:46;22:46;23:01;23:01;23:16;23:16;23:46;23:47
Triftweg;00:17;00:18;00:46;00:46;01:49;01:50;03:00;03:00;04:16;04:16;04:47;04:49;05:17;05:19;05:47;05:48;06:17;06:17;06:47;06:47;07:17;07:18;07:47;07:49;08:17;08:18;08:47;08:49;09:06;09:07;09:21;09:21;09:39;09:39;09:54;09:55;10:09;10:09;10:24;10:24;10:39;10:39;10:54;10:54;11:09;11:09;11:24;11:24;11:39;11:39;11:54;11:54;12:09;12:10;12:24;12:24;12:39;12:39;12:54;12:55;13:09;13:09;13:24;13:24;13:39;13:40;13:54;13:55;14:09;14:10;14:24;14:25;14:39;14:40;14:54;14:56;15:09;15:10;15:24;15:25;15:39;15:40;15:54;15:54;16:09;16:09;16:24;16:24;16:39;16:40;16:54;16:55;17:09;17:10;17:24;17:25;17:39;17:40;17:54;17:56;18:09;18:09;18:24;18:25;18:39;18:39;18:54;18:54;19:09;19:09;19:24;19:24;19:39;19:40;19:54;19:54;20:09;20:10;20:24;20:25;20:39;20:39;20:54;20:54;21:09;21:08;21:21;21:21;21:36;21:37;21:51;21:52;22:06;22:07;22:17;22:18;22:32;22:32;22:47;22:47;23:02;23:02;23:17;23:18;23:47;23:48
Meusdorfer Straße;00:19;00:20;00:48;00:48;01:51;01:51;03:02;03:02;04:18;04:17;04:49;04:50;05:19;05:20;05:49;05:50;06:19;06:19;06:49;06:49;07:19;07:20;07:49;07:50;08:19;08:19;08:49;08:51;09:08;09:08;09:23;09:22;09:41;09:40;09:56;09:56;10:11;10:11;10:26;10:26;10:41;10:41;10:56;10:55;11:11;11:10;11:26;11:25;11:41;11:41;11:56;11:55;12:11;12:12;12:26;12:25;12:41;12:40;12:56;12:57;13:11;13:11;13:26;13:26;13:41;13:41;13:56;13:57;14:11;14:12;14:26;14:26;14:41;14:42;14:56;14:57;15:11;15:12;15:26;15:26;15:41;15:42;15:56;15:55;16:11;16:10;16:26;16:26;16:41;16:41;16:56;16:56;17:11;17:12;17:26;17:26;17:41;17:41;17:56;17:57;18:11;18:10;18:26;18:26;18:41;18:41;18:56;18:56;19:11;19:11;19:26;19:26;19:41;19:42;19:56;19:56;20:11;20:12;20:26;20:26;20:41;20:41;20:56;20:56;21:11;21:10;21:23;21:23;21:38;21:39;21:53;21:54;22:08;22:09;22:19;22:19;22:34;22:33;22:49;22:49;23:04;23:04;23:19;23:19;23:49;23:49
A.-Nitzsche-/A-Hoffm.-S.;00:20;00:20;00:49;00:49;01:52;01:53;03:03;03:03;04:19;04:19;04:50;04:51;05:20;05:21;05:50;05:51;06:20;06:20;06:50;06:49;07:20;07:21;07:50;07:51;08:20;08:20;08:50;08:52;09:09;09:09;09:24;09:23;09:42;09:41;09:57;09:58;10:12;10:12;10:27;10:27;10:42;10:42;10:57;10:56;11:12;11:11;11:27;11:27;11:42;11:42;11:57;11:56;12:12;12:13;12:27;12:26;12:42;12:41;12:57;12:58;13:12;13:12;13:27;13:27;13:42;13:42;13:57;13:58;14:12;14:13;14:27;14:27;14:42;14:43;14:57;14:58;15:12;15:13;15:27;15:27;15:42;15:43;15:57;15:56;16:12;16:11;16:27;16:27;16:42;16:42;16:57;16:57;17:12;17:13;17:27;17:28;17:42;17:42;17:57;17:59;18:12;18:12;18:27;18:28;18:42;18:42;18:57;18:57;19:12;19:12;19:27;19:27;19:42;19:43;19:57;19:57;20:12;20:13;20:27;20:27;20:42;20:42;20:57;20:57;21:12;21:11;21:24;21:24;21:39;21:40;21:54;21:55;22:09;22:10;22:20;22:21;22:35;22:34;22:50;22:50;23:05;23:05;23:20;23:20;23:50;23:51
Wiedebachplatz;00:21;00:21;00:50;00:49;01:53;01:54;03:04;03:04;04:20;04:20;04:51;04:52;05:21;05:22;05:51;05:52;06:21;06:21;06:51;06:51;07:21;07:22;07:51;07:52;08:21;08:21;08:51;08:53;09:10;09:10;09:25;09:24;09:43;09:42;09:58;09:58;10:13;10:13;10:28;10:28;10:43;10:43;10:58;10:57;11:13;11:13;11:28;11:28;11:43;11:43;11:58;11:57;12:13;12:14;12:28;12:27;12:43;12:42;12:58;12:59;13:13;13:13;13:28;13:28;13:43;13:43;13:58;13:59;14:13;14:14;14:28;14:28;14:43;14:44;14:58;14:59;15:13;15:14;15:28;15:28;15:43;15:44;15:58;15:57;16:13;16:12;16:28;16:28;16:43;16:43;16:58;16:58;17:13;17:14;17:28;17:29;17:43;17:43;17:58;18:00;18:13;18:12;18:28;18:29;18:43;18:43;18:58;18:58;19:13;19:13;19:28;19:28;19:43;19:44;19:58;19:58;20:13;20:14;20:28;20:28;20:43;20:43;20:58;20:58;21:13;21:12;21:25;21:25;21:40;21:40;21:55;21:56;22:10;22:11;22:21;22:21;22:36;22:35;22:51;22:51;23:06;23:06;23:21;23:21;23:51;23:52
Connewitz  Kreuz;;;;;01:55;01:56;03:06;03:06;04:22;04:21;04:53;04:54;05:23;05:23;05:53;05:53;06:23;06:22;06:53;06:52;07:23;07:23;07:53;07:53;08:23;08:22;08:53;08:54;09:12;09:11;09:27;09:25;09:45;09:44;10:00;10:00;10:15;10:15;10:30;10:30;10:45;10:45;11:00;10:59;11:15;11:14;11:30;11:29;11:45;11:45;12:00;11:59;12:15;12:16;12:30;12:30;12:45;12:45;13:00;13:01;13:15;13:15;13:30;13:29;13:45;13:44;14:00;14:01;14:15;14:15;14:30;14:30;14:45;14:46;15:00;15:02;15:15;15:16;15:30;15:30;15:45;15:46;16:00;16:00;16:15;16:14;16:30;16:29;16:45;16:45;17:00;17:00;17:15;17:16;17:30;17:30;17:45;17:45;18:00;18:01;18:15;18:14;18:30;18:30;18:45;18:46;19:00;19:11;19:15;19:15;19:30;19:30;19:45;19:45;20:00;20:00;20:15;20:21;20:30;20:30;20:45;20:45;21:00;20:59;21:15;21:13;21:27;21:26;21:42;21:41;21:57;21:57;22:12;22:12;22:23;22:22;22:38;22:37;22:53;22:52;23:08;23:08;23:23;23:22;23:53;23:53
Richard-Lehmann-Straße, HTWK;;;;;01:56;01:57;03:07;03:08;04:23;04:23;;;;;;;;;;;;;;;;;;;;;;;09:46;09:45;10:01;10:03;10:16;10:17;10:31;10:31;10:46;10:46;11:01;11:00;11:16;11:16;11:31;11:31;11:46;11:47;12:01;12:01;12:16;12:18;12:31;12:31;12:46;12:46;13:01;13:02;13:16;13:16;13:31;13:31;13:46;13:46;14:01;14:03;14:16;14:17;14:31;14:31;14:46;14:47;15:01;15:03;15:16;15:18;15:31;15:31;15:46;15:47;16:01;16:02;16:16;16:16;16:31;16:31;16:46;16:47;17:01;17:02;17:16;17:18;17:31;17:32;17:46;17:47;18:01;18:03;18:16;18:15;18:31;18:32;18:46;18:48;19:01;19:13;19:16;19:16;19:31;19:31;19:46;19:48;20:01;20:01;20:16;20:22;20:31;20:32;20:46;20:46;21:01;21:01;21:16;21:15;;;;;;;;;;;;;;;;;;;;
