Kurs:;41;;21;;31;;20;;41;;28;;42;;43;;29;;26;;21;;25;;27;;41;;20;;42;;28;;29;;43;;21;;26;;27;;25;;23;;41;;24;;42;;43;;29;;26;;21;;25;;41;;23;;42;;24;;29;;43;;25;;22;;21;;23;;41;;24;;42;;43;;29;;22;;25;;23;;21;;24;;41;;43;;42;;22;;29;;23;;25;;24;;21;;43;;41;;22;;42;;23;;29;;24;;25;;43;;21;;22;;41;;23;;42;;24;;29;;43;;25;;22;;49;;21;;23;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Schkeuditz, Rathausplatz;00:22;00:22;00:42;00:43;01:08;01:08;04:22;04:22;;;04:52;04:52;;;05:22;05:22;;;05:52;05:53;;;06:22;06:23;;;06:52;06:52;;;07:22;07:22;;;07:52;07:52;;;08:22;08:22;;;08:48;08:47;;;09:18;09:18;;;09:48;09:48;;;10:18;10:18;;;10:38;10:38;10:48;10:48;;;11:18;11:17;;;11:48;11:48;;;12:18;12:17;;;12:48;12:48;;;13:18;13:18;;;13:48;13:48;;;14:18;14:17;;;14:48;14:48;;;15:18;15:18;;;15:48;15:48;;;16:18;16:17;;;16:48;16:47;;;17:18;17:18;;;17:48;17:48;;;18:18;18:18;;;18:48;18:48;;;19:18;19:17;;;19:48;19:48;;;20:18;20:18;;;20:48;20:48;;;21:18;21:18;;;21:48;21:48;;;22:22;22:22;;;22:52;22:52;;;23:22;23:24;;;23:52;23:52;;
Altscherbitz;00:24;00:23;00:44;00:45;01:10;01:10;04:24;04:24;;;04:54;04:53;;;05:24;05:24;;;05:54;05:55;;;06:24;06:25;;;06:54;06:54;;;07:24;07:24;;;07:54;07:53;;;08:24;08:24;;;08:50;08:49;;;09:20;09:19;;;09:50;09:50;;;10:20;10:20;;;10:40;10:39;10:50;10:49;;;11:20;11:19;;;11:50;11:50;;;12:20;12:19;;;12:50;12:49;;;13:20;13:20;;;13:50;13:50;;;14:20;14:19;;;14:50;14:49;;;15:20;15:19;;;15:50;15:50;;;16:20;16:19;;;16:50;16:49;;;17:20;17:19;;;17:50;17:50;;;18:20;18:20;;;18:50;18:50;;;19:20;19:19;;;19:50;19:49;;;20:20;20:20;;;20:50;20:50;;;21:20;21:20;;;21:50;21:50;;;22:24;22:24;;;22:54;22:54;;;23:24;23:26;;;23:54;23:54;;
Schkeuditz, Paetzstraße;00:25;00:25;00:45;00:46;01:11;01:11;04:25;04:25;;;04:55;04:55;;;05:25;05:25;;;05:55;05:56;;;06:25;06:26;;;06:55;06:55;;;07:25;07:25;;;07:55;07:55;;;08:25;08:25;;;08:51;08:51;;;09:21;09:21;;;09:51;09:51;;;10:21;10:21;;;10:41;10:41;10:51;10:51;;;11:21;11:20;;;11:51;11:51;;;12:21;12:20;;;12:51;12:51;;;13:21;13:21;;;13:51;13:51;;;14:21;14:21;;;14:51;14:51;;;15:21;15:21;;;15:51;15:52;;;16:21;16:21;;;16:51;16:51;;;17:21;17:21;;;17:51;17:51;;;18:21;18:21;;;18:51;18:51;;;19:21;19:21;;;19:51;19:50;;;20:21;20:21;;;20:51;20:52;;;21:21;21:21;;;21:51;21:51;;;22:25;22:25;;;22:55;22:55;;;23:25;23:27;;;23:55;23:55;;
Schkeuditz, Gartenstadt;00:26;00:25;00:46;00:46;01:12;01:12;04:26;04:26;;;04:56;04:55;;;05:26;05:26;;;05:56;05:57;;;06:26;06:27;;;06:56;06:56;;;07:26;07:26;;;07:56;07:55;;;08:26;08:26;;;08:52;08:51;;;09:22;09:22;;;09:52;09:52;;;10:22;10:22;;;10:42;10:42;10:52;10:52;;;11:22;11:21;;;11:52;11:52;;;12:22;12:21;;;12:52;12:52;;;13:22;13:22;;;13:52;13:52;;;14:22;14:22;;;14:52;14:52;;;15:22;15:21;;;15:52;15:52;;;16:22;16:22;;;16:52;16:52;;;17:22;17:22;;;17:52;17:52;;;18:22;18:22;;;18:52;18:52;;;19:22;19:22;;;19:52;19:51;;;20:22;20:22;;;20:52;20:52;;;21:22;21:22;;;21:52;21:52;;;22:26;22:26;;;22:56;22:56;;;23:26;23:28;;;23:56;23:56;;
Modelwitz;00:27;00:26;00:47;00:47;01:13;01:13;04:27;04:27;;;04:57;04:56;;;05:27;05:27;;;05:57;05:58;;;06:27;06:28;;;06:57;06:57;;;07:27;07:27;;;07:57;07:57;;;08:27;08:27;;;08:53;08:52;;;09:23;09:23;;;09:53;09:53;;;10:23;10:23;;;10:43;10:43;10:53;10:53;;;11:23;11:22;;;11:53;11:53;;;12:23;12:22;;;12:53;12:53;;;13:23;13:23;;;13:53;13:53;;;14:23;14:23;;;14:53;14:53;;;15:23;15:22;;;15:53;15:53;;;16:23;16:23;;;16:53;16:53;;;17:23;17:23;;;17:53;17:54;;;18:23;18:23;;;18:53;18:53;;;19:23;19:23;;;19:53;19:52;;;20:23;20:23;;;20:53;20:53;;;21:23;21:23;;;21:53;21:53;;;22:27;22:27;;;22:57;22:57;;;23:27;23:29;;;23:57;23:57;;
Hänichen, Bismarckturm;00:29;00:28;00:49;00:49;01:15;01:15;04:29;04:29;;;04:59;04:58;;;05:29;05:28;;;05:59;05:59;;;06:29;06:29;;;06:59;06:59;;;07:29;07:29;;;07:59;07:58;;;08:29;08:28;;;08:55;08:54;;;09:25;09:24;;;09:55;09:54;;;10:25;10:25;;;10:45;10:44;10:55;10:54;;;11:25;11:23;;;11:55;11:55;;;12:25;12:24;;;12:55;12:54;;;13:25;13:25;;;13:55;13:55;;;14:25;14:24;;;14:55;14:55;;;15:25;15:24;;;15:55;15:55;;;16:25;16:25;;;16:55;16:55;;;17:25;17:24;;;17:55;17:55;;;18:25;18:24;;;18:55;18:55;;;19:25;19:25;;;19:55;19:54;;;20:25;20:25;;;20:55;20:55;;;21:25;21:25;;;21:55;21:55;;;22:29;22:29;;;22:59;22:58;;;23:29;23:31;;;23:59;23:58;;
Freirodaer Weg;00:30;00:29;00:50;00:50;01:16;01:16;04:30;04:30;;;05:00;04:59;;;05:30;05:29;;;06:00;06:00;;;06:30;06:30;;;07:00;07:00;;;07:30;07:30;;;08:00;07:59;;;08:30;08:29;;;08:56;08:55;;;09:26;09:25;;;09:56;09:55;;;10:26;10:26;;;10:46;10:45;10:56;10:55;;;11:26;11:24;;;11:56;11:56;;;12:26;12:25;;;12:56;12:55;;;13:26;13:26;;;13:56;13:56;;;14:26;14:25;;;14:56;14:55;;;15:26;15:25;;;15:56;15:56;;;16:26;16:26;;;16:56;16:56;;;17:26;17:25;;;17:56;17:56;;;18:26;18:25;;;18:56;18:56;;;19:26;19:25;;;19:56;19:55;;;20:26;20:26;;;20:56;20:56;;;21:26;21:26;;;21:56;21:56;;;22:30;22:30;;;23:00;22:59;;;23:30;23:31;;;00:00;23:59;;
Lützschena;00:31;00:30;00:51;00:51;01:17;01:17;04:31;04:31;;;05:01;05:00;;;05:31;05:30;;;06:01;06:02;;;06:31;06:31;;;07:01;07:02;;;07:31;07:31;;;08:01;08:00;;;08:31;08:31;;;08:57;08:56;;;09:27;09:27;;;09:57;09:56;;;10:27;10:27;;;10:47;10:47;10:57;10:56;;;11:27;11:26;;;11:57;11:57;;;12:27;12:26;;;12:57;12:57;;;13:27;13:27;;;13:57;13:57;;;14:27;14:27;;;14:57;14:57;;;15:27;15:26;;;15:57;15:57;;;16:27;16:27;;;16:57;16:57;;;17:27;17:27;;;17:57;17:58;;;18:27;18:27;;;18:57;18:57;;;19:27;19:27;;;19:57;19:56;;;20:27;20:27;;;20:57;20:57;;;21:27;21:27;;;21:57;21:57;;;22:31;22:31;;;23:01;23:00;;;23:31;23:33;;;00:01;00:01;;
Stahmelner Allee;00:33;00:32;00:53;00:52;01:19;01:19;04:33;04:33;;;05:03;05:02;;;05:33;05:32;;;06:03;06:04;;;06:33;06:33;;;07:03;07:03;;;07:33;07:33;;;08:03;08:02;;;08:33;08:32;;;08:59;08:58;;;09:29;09:28;;;09:59;09:58;;;10:29;10:29;;;10:49;10:48;10:59;10:58;;;11:29;11:27;;;11:59;11:59;;;12:29;12:28;;;12:59;12:58;;;13:29;13:29;;;13:59;13:59;;;14:29;14:29;;;14:59;14:59;;;15:29;15:28;;;15:59;15:59;;;16:29;16:29;;;16:59;16:59;;;17:29;17:28;;;17:59;17:59;;;18:29;18:29;;;18:59;18:59;;;19:29;19:29;;;19:59;19:58;;;20:29;20:29;;;20:59;20:59;;;21:29;21:29;;;21:59;21:59;;;22:33;22:32;;;23:03;23:02;;;23:33;23:34;;;00:03;00:03;;
