Kurs:;54;;56;;51;;54;;51;;54;;51;;54;;51;;54;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;54;;53;;51;;52;;53;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Gohlis-Nord;00:10;00:10;00:39;00:39;04:40;04:40;05:10;05:10;05:40;05:40;06:10;06:10;06:40;06:40;07:10;07:10;07:40;07:40;08:10;08:10;08:40;08:40;09:06;09:06;09:21;09:21;09:36;09:36;09:51;09:51;10:06;10:07;10:21;10:20;10:36;10:36;10:51;10:50;11:06;11:06;11:21;11:20;11:36;11:37;11:51;11:52;12:06;12:07;12:21;12:21;12:36;12:36;12:51;12:51;13:06;13:07;13:21;13:21;13:36;13:36;13:51;13:51;14:06;14:06;14:21;14:21;14:36;14:36;14:51;14:50;15:06;15:06;15:21;15:21;15:36;15:36;15:51;15:50;16:06;16:06;16:21;16:21;16:36;16:36;16:51;16:50;17:06;17:06;17:21;17:21;17:36;17:36;17:51;17:51;18:06;18:06;18:21;18:21;18:36;18:36;18:51;18:51;19:06;19:05;19:21;19:21;19:36;19:36;19:51;19:50;20:06;20:06;20:21;20:21;20:36;20:36;20:51;20:52;21:06;21:06;21:21;21:22;21:36;21:36;21:51;21:52;22:06;22:06;22:21;22:21;22:40;22:40;22:48;22:48;23:10;23:10;23:40;23:40
Gottschallstraße;00:11;00:11;00:40;00:40;04:41;04:41;05:11;05:11;05:41;05:41;06:11;06:11;06:41;06:41;07:11;07:11;07:41;07:41;08:11;08:11;08:41;08:41;09:07;09:07;09:22;09:22;09:37;09:37;09:52;09:52;10:07;10:08;10:22;10:22;10:37;10:37;10:52;10:52;11:07;11:07;11:22;11:22;11:37;11:38;11:52;11:53;12:07;12:08;12:22;12:22;12:37;12:38;12:52;12:52;13:07;13:08;13:22;13:22;13:37;13:37;13:52;13:53;14:07;14:07;14:22;14:22;14:37;14:37;14:52;14:52;15:07;15:07;15:22;15:22;15:37;15:37;15:52;15:52;16:07;16:07;16:22;16:22;16:37;16:37;16:52;16:52;17:07;17:07;17:22;17:22;17:37;17:37;17:52;17:52;18:07;18:07;18:22;18:22;18:37;18:37;18:52;18:53;19:07;19:06;19:22;19:22;19:37;19:37;19:52;19:52;20:07;20:08;20:22;20:22;20:37;20:37;20:52;20:53;21:07;21:07;21:22;21:23;21:37;21:37;21:52;21:53;22:07;22:08;22:22;22:22;22:41;22:41;22:49;22:50;23:11;23:11;23:41;23:41
Virchow-/Coppistraße;00:12;00:12;00:41;00:40;04:42;04:42;05:12;05:12;05:42;05:42;06:12;06:12;06:42;06:42;07:12;07:12;07:42;07:42;08:12;08:12;08:42;08:42;09:08;09:08;09:23;09:23;09:38;09:38;09:53;09:53;10:08;10:09;10:23;10:23;10:38;10:39;10:53;10:53;11:08;11:09;11:23;11:23;11:38;11:40;11:53;11:54;12:08;12:09;12:23;12:23;12:38;12:39;12:53;12:53;13:08;13:09;13:23;13:24;13:38;13:38;13:53;13:53;14:08;14:08;14:23;14:23;14:38;14:39;14:53;14:53;15:08;15:08;15:23;15:23;15:38;15:39;15:53;15:53;16:08;16:08;16:23;16:24;16:38;16:38;16:53;16:52;17:08;17:09;17:23;17:24;17:38;17:38;17:53;17:54;18:08;18:08;18:23;18:24;18:38;18:39;18:53;18:54;19:08;19:07;19:23;19:23;19:38;19:38;19:53;19:52;20:08;20:08;20:23;20:23;20:38;20:38;20:53;20:54;21:08;21:08;21:23;21:24;21:38;21:38;21:53;21:54;22:08;22:08;22:23;22:23;22:42;22:42;22:50;22:50;23:12;23:12;23:42;23:42
S-Bf. Gohlis;00:13;00:13;00:42;00:41;04:43;04:44;05:13;05:14;05:43;05:43;06:13;06:13;06:43;06:43;07:13;07:14;07:43;07:44;08:13;08:13;08:43;08:43;09:09;09:10;09:24;09:24;09:39;09:40;09:54;09:55;10:09;10:10;10:24;10:24;10:39;10:40;10:54;10:54;11:09;11:10;11:24;11:25;11:39;11:41;11:54;11:56;12:09;12:10;12:24;12:24;12:39;12:40;12:54;12:54;13:09;13:10;13:24;13:25;13:39;13:39;13:54;13:55;14:09;14:10;14:24;14:24;14:39;14:40;14:54;14:54;15:09;15:09;15:24;15:24;15:39;15:40;15:54;15:55;16:09;16:10;16:24;16:25;16:39;16:39;16:54;16:54;17:09;17:10;17:24;17:25;17:39;17:40;17:54;17:55;18:09;18:09;18:24;18:25;18:39;18:40;18:54;18:55;19:09;19:08;19:24;19:24;19:39;19:39;19:54;19:54;20:09;20:10;20:24;20:24;20:39;20:39;20:54;20:55;21:09;21:09;21:24;21:25;21:39;21:39;21:54;21:55;22:09;22:09;22:24;22:25;22:43;22:43;22:51;22:52;23:13;23:13;23:43;23:43
G.-Schumann-/Lützowstr.;00:14;00:15;00:43;00:42;04:44;04:45;05:14;05:15;05:44;05:45;06:14;06:15;06:44;06:45;07:14;07:15;07:44;07:45;08:14;08:14;08:44;08:44;09:10;09:11;09:25;09:25;09:40;09:41;09:55;09:56;10:10;10:11;10:25;10:26;10:40;10:41;10:55;10:56;11:10;11:11;11:25;11:26;11:40;11:43;11:55;11:56;12:10;12:11;12:25;12:25;12:40;12:41;12:55;12:56;13:10;13:11;13:25;13:26;13:40;13:40;13:55;13:56;14:10;14:11;14:25;14:26;14:40;14:41;14:55;14:55;15:10;15:10;15:25;15:26;15:40;15:41;15:55;15:56;16:10;16:11;16:25;16:26;16:40;16:40;16:55;16:55;17:10;17:11;17:25;17:26;17:40;17:41;17:55;17:56;18:10;18:11;18:25;18:26;18:40;18:41;18:55;18:56;19:10;19:10;19:25;19:25;19:40;19:40;19:55;19:55;20:10;20:11;20:25;20:26;20:40;20:40;20:55;20:56;21:10;21:10;21:25;21:26;21:40;21:40;21:55;21:56;22:10;22:10;22:25;22:26;22:44;22:44;22:52;22:53;23:14;23:14;23:44;23:44
Fritz-Seger-Straße;00:16;00:16;00:45;00:44;04:46;04:46;05:16;05:17;05:46;05:47;06:16;06:17;06:46;06:47;07:16;07:17;07:46;07:47;08:16;08:16;08:46;08:46;09:12;09:13;09:27;09:27;09:42;09:43;09:57;09:58;10:12;10:13;10:27;10:28;10:42;10:43;10:57;10:58;11:12;11:13;11:27;11:28;11:42;11:44;11:57;11:58;12:12;12:13;12:27;12:27;12:42;12:43;12:57;12:58;13:12;13:13;13:27;13:28;13:42;13:42;13:57;13:58;14:12;14:13;14:27;14:28;14:42;14:43;14:57;14:57;15:12;15:12;15:27;15:28;15:42;15:42;15:57;15:58;16:12;16:13;16:27;16:29;16:42;16:41;16:57;16:56;17:12;17:13;17:27;17:28;17:42;17:43;17:57;17:58;18:12;18:13;18:27;18:28;18:42;18:43;18:57;18:58;19:12;19:11;19:27;19:26;19:42;19:41;19:57;19:56;20:12;20:12;20:27;20:28;20:42;20:41;20:57;20:58;21:12;21:11;21:27;21:28;21:42;21:42;21:57;21:58;22:12;22:12;22:27;22:28;22:46;22:46;22:54;22:54;23:16;23:16;23:46;23:46
Springerstraße;00:17;00:17;00:46;00:45;04:47;04:47;05:17;05:17;05:47;05:47;06:17;06:17;06:47;06:47;07:17;07:17;07:47;07:48;08:17;08:17;08:47;08:47;09:13;09:14;09:28;09:28;09:43;09:44;09:58;09:59;10:13;10:14;10:28;10:29;10:43;10:44;10:58;10:59;11:13;11:14;11:28;11:29;11:43;11:45;11:58;11:59;12:13;12:14;12:28;12:28;12:43;12:44;12:58;12:59;13:13;13:14;13:28;13:29;13:43;13:43;13:58;13:59;14:13;14:14;14:28;14:29;14:43;14:43;14:58;14:57;15:13;15:13;15:28;15:29;15:43;15:43;15:58;15:59;16:13;16:13;16:28;16:29;16:43;16:42;16:58;16:57;17:13;17:14;17:28;17:29;17:43;17:44;17:58;17:59;18:13;18:13;18:28;18:29;18:43;18:44;18:58;18:58;19:13;19:12;19:28;19:27;19:43;19:42;19:58;19:57;20:13;20:13;20:28;20:28;20:43;20:42;20:58;20:59;21:13;21:12;21:28;21:28;21:43;21:43;21:58;21:58;22:13;22:12;22:28;22:28;22:47;22:47;22:55;22:55;23:17;23:17;23:47;23:46
Nordplatz;00:18;00:18;00:47;00:46;04:48;04:48;05:18;05:18;05:48;05:48;06:18;06:18;06:48;06:48;07:18;07:18;07:48;07:48;08:18;08:18;08:48;08:48;09:14;09:14;09:29;09:29;09:44;09:45;09:59;10:00;10:14;10:15;10:29;10:30;10:44;10:45;10:59;11:00;11:14;11:15;11:29;11:30;11:44;11:46;11:59;12:00;12:14;12:15;12:29;12:29;12:44;12:45;12:59;13:00;13:14;13:15;13:29;13:30;13:44;13:43;13:59;13:59;14:14;14:15;14:29;14:30;14:44;14:44;14:59;14:58;15:14;15:14;15:29;15:30;15:44;15:44;15:59;16:00;16:14;16:14;16:29;16:31;16:44;16:43;16:59;16:58;17:14;17:14;17:29;17:30;17:44;17:44;17:59;18:00;18:14;18:14;18:29;18:30;18:44;18:44;18:59;18:59;19:14;19:13;19:29;19:28;19:44;19:43;19:59;19:58;20:14;20:14;20:29;20:29;20:44;20:43;20:59;20:59;21:14;21:13;21:29;21:29;21:44;21:43;21:59;21:59;22:14;22:13;22:29;22:29;22:48;22:47;22:56;22:56;23:18;23:17;23:48;23:47
Zoo;00:19;00:19;00:48;00:47;04:49;04:49;05:19;05:20;05:49;05:49;06:19;06:19;06:49;06:50;07:19;07:20;07:49;07:50;08:19;08:19;08:49;08:50;09:15;09:16;09:30;09:30;09:45;09:46;10:00;10:02;10:15;10:16;10:30;10:31;10:45;10:46;11:00;11:01;11:15;11:16;11:30;11:31;11:45;11:47;12:00;12:01;12:15;12:16;12:30;12:30;12:45;12:46;13:00;13:01;13:15;13:16;13:30;13:31;13:45;13:45;14:00;14:01;14:15;14:17;14:30;14:31;14:45;14:46;15:00;15:00;15:15;15:15;15:30;15:31;15:45;15:45;16:00;16:01;16:15;16:16;16:30;16:32;16:45;16:45;17:00;17:00;17:15;17:16;17:30;17:32;17:45;17:46;18:00;18:01;18:15;18:15;18:30;18:31;18:45;18:46;19:00;19:01;19:15;19:14;19:30;19:29;19:45;19:44;20:00;19:59;20:15;20:15;20:30;20:30;20:45;20:44;21:00;21:00;21:15;21:14;21:30;21:31;21:45;21:45;22:00;22:00;22:15;22:14;22:30;22:30;22:49;22:49;22:57;22:57;23:19;23:19;23:49;23:49
