Kurs:;42;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;;42;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
S-Bf. Plagwitz;00:13;00:12;04:43;04:43;05:13;05:13;05:43;05:43;06:13;06:13;06:43;06:43;07:13;07:13;07:43;07:43;08:13;08:14;08:43;08:45;09:10;09:09;09:30;09:30;09:50;09:50;10:10;10:10;10:30;10:30;10:50;10:50;11:10;11:10;11:30;11:30;11:50;11:50;12:10;12:10;12:30;12:30;12:50;12:50;13:10;13:10;13:30;13:30;13:50;13:50;14:10;14:10;14:30;14:30;14:50;14:50;15:10;15:10;15:30;15:30;15:50;15:50;16:10;16:10;16:30;16:29;16:50;16:51;17:10;17:09;17:30;17:30;17:50;17:49;18:10;18:10;18:30;18:30;18:50;18:50;19:10;19:10;19:30;19:30;19:50;19:50;20:10;20:10;20:30;20:30;20:50;20:51;21:10;21:10;21:30;21:30;21:50;21:50;22:20;22:20;22:43;22:43;23:13;23:13;23:43;23:44
K.-Heine-/Gießerstr.;00:14;00:14;04:44;04:44;05:14;05:14;05:44;05:44;06:14;06:14;06:44;06:44;07:14;07:14;07:44;07:44;08:14;08:15;08:44;08:46;09:11;09:11;09:31;09:31;09:51;09:51;10:11;10:11;10:31;10:31;10:51;10:51;11:11;11:11;11:31;11:31;11:51;11:51;12:11;12:11;12:31;12:31;12:51;12:51;13:11;13:11;13:31;13:31;13:51;13:51;14:11;14:12;14:31;14:31;14:51;14:51;15:11;15:11;15:31;15:31;15:51;15:51;16:11;16:12;16:31;16:31;16:51;16:52;17:11;17:11;17:31;17:32;17:51;17:51;18:11;18:12;18:31;18:31;18:51;18:51;19:11;19:11;19:31;19:31;19:51;19:51;20:11;20:11;20:31;20:31;20:51;20:52;21:11;21:11;21:31;21:31;21:51;21:51;22:21;22:21;22:44;22:44;23:14;23:14;23:44;23:45
K.-Heine/Merseburger S.;00:15;00:15;04:45;04:45;05:15;05:16;05:45;05:45;06:15;06:16;06:45;06:45;07:15;07:16;07:45;07:46;08:15;08:16;08:45;08:47;09:12;09:12;09:32;09:32;09:52;09:52;10:12;10:12;10:32;10:32;10:52;10:52;11:12;11:12;11:32;11:32;11:52;11:52;12:12;12:12;12:32;12:32;12:52;12:52;13:12;13:12;13:32;13:32;13:52;13:52;14:12;14:13;14:32;14:32;14:52;14:53;15:12;15:13;15:32;15:32;15:52;15:52;16:12;16:13;16:32;16:32;16:52;16:53;17:12;17:12;17:32;17:33;17:52;17:52;18:12;18:13;18:32;18:32;18:52;18:52;19:12;19:12;19:32;19:32;19:52;19:52;20:12;20:12;20:32;20:32;20:52;20:53;21:12;21:12;21:32;21:32;21:52;21:52;22:22;22:22;22:45;22:45;23:15;23:16;23:45;23:46
Felsenkeller;00:16;00:17;04:46;04:47;05:16;05:17;05:46;05:47;06:16;06:17;06:46;06:47;07:16;07:18;07:46;07:47;08:16;08:17;08:46;08:48;09:13;09:14;09:33;09:33;09:53;09:53;10:13;10:13;10:33;10:33;10:53;10:53;11:13;11:13;11:33;11:33;11:53;11:54;12:13;12:13;12:33;12:33;12:53;12:53;13:13;13:14;13:33;13:33;13:53;13:54;14:13;14:15;14:33;14:33;14:53;14:54;15:13;15:14;15:33;15:34;15:53;15:53;16:13;16:14;16:33;16:33;16:53;16:54;17:13;17:13;17:33;17:34;17:53;17:53;18:13;18:14;18:33;18:33;18:53;18:53;19:13;19:13;19:33;19:33;19:53;19:53;20:13;20:13;20:33;20:33;20:53;20:54;21:13;21:14;21:33;21:33;21:53;21:54;22:23;22:24;22:46;22:47;23:16;23:17;23:46;23:47
Nonnenstraße;00:17;00:18;04:47;04:48;05:17;05:19;05:47;05:48;06:17;06:19;06:47;06:49;07:17;07:19;07:47;07:48;08:17;08:19;08:47;08:50;09:14;09:15;09:34;09:35;09:54;09:55;10:14;10:15;10:34;10:35;10:54;10:55;11:14;11:15;11:34;11:35;11:54;11:55;12:14;12:15;12:34;12:35;12:54;12:55;13:14;13:15;13:34;13:35;13:54;13:55;14:14;14:16;14:34;14:35;14:54;14:55;15:14;15:16;15:34;15:35;15:54;15:54;16:14;16:16;16:34;16:35;16:54;16:56;17:14;17:15;17:34;17:35;17:54;17:55;18:14;18:16;18:34;18:35;18:54;18:55;19:14;19:15;19:34;19:35;19:54;19:55;20:14;20:15;20:34;20:35;20:54;20:56;21:14;21:15;21:34;21:35;21:54;21:55;22:24;22:25;22:47;22:49;23:17;23:19;23:47;23:48
Marschnerstraße;00:19;00:20;04:49;04:51;05:19;05:21;05:49;05:50;06:19;06:21;06:49;06:51;07:19;07:21;07:49;07:50;08:19;08:21;08:49;08:52;09:16;09:17;09:36;09:37;09:56;09:57;10:16;10:17;10:36;10:37;10:56;10:57;11:16;11:17;11:36;11:37;11:56;11:57;12:16;12:17;12:36;12:37;12:56;12:58;13:16;13:17;13:36;13:38;13:56;13:57;14:16;14:19;14:36;14:36;14:56;14:58;15:16;15:18;15:36;15:37;15:56;15:56;16:16;16:18;16:36;16:36;16:56;16:58;17:16;17:17;17:36;17:38;17:56;17:57;18:16;18:17;18:36;18:37;18:56;18:57;19:16;19:17;19:36;19:37;19:56;19:57;20:16;20:17;20:36;20:37;20:56;20:59;21:16;21:17;21:36;21:37;21:56;21:57;22:26;22:28;22:49;22:51;23:19;23:21;23:49;23:51
Westplatz;00:21;00:22;04:51;04:52;05:21;05:22;05:51;05:52;06:21;06:23;06:51;06:52;07:21;07:22;07:51;07:52;08:21;08:22;08:51;08:54;09:18;09:19;09:38;09:38;09:58;09:59;10:18;10:18;10:38;10:39;10:58;10:59;11:18;11:19;11:38;11:39;11:58;11:58;12:18;12:19;12:38;12:39;12:58;13:00;13:18;13:19;13:38;13:39;13:58;13:59;14:18;14:20;14:38;14:38;14:58;14:59;15:18;15:20;15:38;15:39;15:58;15:58;16:18;16:20;16:38;16:38;16:58;17:00;17:18;17:18;17:38;17:39;17:58;17:58;18:18;18:19;18:38;18:38;18:58;18:59;19:18;19:18;19:38;19:39;19:58;19:59;20:18;20:19;20:38;20:39;20:58;21:00;21:18;21:18;21:38;21:38;21:58;21:59;22:28;22:29;22:51;22:53;23:21;23:22;23:51;23:52
Gottschedstraße;00:22;00:24;04:52;04:54;05:22;05:24;05:52;05:53;06:22;06:24;06:52;06:54;07:22;07:23;07:52;07:53;08:22;08:23;08:52;08:55;09:19;09:20;09:39;09:40;09:59;10:00;10:19;10:20;10:39;10:40;10:59;11:01;11:19;11:20;11:39;11:40;11:59;12:00;12:19;12:20;12:39;12:40;12:59;13:01;13:19;13:20;13:39;13:41;13:59;14:00;14:19;14:21;14:39;14:39;14:59;15:01;15:19;15:22;15:39;15:40;15:59;15:59;16:19;16:21;16:39;16:39;16:59;17:01;17:19;17:19;17:39;17:41;17:59;17:59;18:19;18:20;18:39;18:39;18:59;19:00;19:19;19:19;19:39;19:40;19:59;20:00;20:19;20:20;20:39;20:40;20:59;21:01;21:19;21:20;21:39;21:40;21:59;22:00;22:29;22:30;22:52;22:54;23:22;23:23;23:52;23:53
Goerdelerring;00:24;00:26;04:54;04:56;05:24;05:26;05:54;05:55;06:24;06:26;06:54;06:56;07:24;07:25;07:54;07:55;08:24;08:26;08:54;08:57;09:21;09:23;09:41;09:43;10:01;10:02;10:21;10:21;10:41;10:43;11:01;11:03;11:21;11:23;11:41;11:42;12:01;12:02;12:21;12:22;12:41;12:43;13:01;13:03;13:21;13:23;13:41;13:43;14:01;14:02;14:21;14:24;14:41;14:41;15:01;15:03;15:21;15:24;15:41;15:42;16:01;16:01;16:21;16:23;16:41;16:42;17:01;17:03;17:21;17:22;17:41;17:42;18:01;18:03;18:21;18:23;18:41;18:42;19:01;19:02;19:21;19:22;19:41;19:42;20:01;20:03;20:21;20:21;20:41;20:42;21:01;21:03;21:21;21:21;21:41;21:42;22:01;22:02;22:31;22:32;22:54;22:56;23:24;23:26;23:54;23:56
