Kurs:;45;;49;;52;;43;;46;;44;;48;;41;;43;;44;;46;;48;;41;;43;;42;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;40;;47;;48;;41;;42;;43;;44;;45;;40;;47;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Miltitz;00:37;00:38;00:50;00:50;01:18;01:17;;;04:39;04:39;;;05:09;05:09;05:39;05:39;06:09;06:09;06:39;06:39;07:09;07:09;07:39;07:39;08:09;08:09;08:39;08:39;;;09:00;09:00;09:15;09:15;09:30;09:30;09:45;09:45;10:00;09:59;10:15;10:15;10:30;10:30;10:45;10:45;11:00;11:00;11:15;11:15;11:30;11:30;11:45;11:45;12:00;12:00;12:15;12:15;12:30;12:30;12:45;12:44;13:00;13:00;13:15;13:15;13:30;13:30;13:45;13:45;14:00;14:01;14:15;14:15;14:30;14:29;14:45;14:44;15:00;15:00;15:15;15:15;15:30;15:30;15:45;15:45;16:00;16:00;16:15;16:15;16:30;16:29;16:45;16:45;17:00;16:59;17:15;17:15;17:30;17:30;17:45;17:46;18:00;18:00;18:15;18:15;18:30;18:29;18:45;18:45;19:00;18:59;19:15;19:15;19:30;19:30;19:45;19:45;20:00;20:00;20:15;20:15;20:30;20:30;20:45;20:45;21:00;21:00;21:15;21:15;21:30;21:29;;;21:45;21:45;22:00;21:59;22:09;22:09;22:19;22:19;22:39;22:39;22:49;22:49;23:09;23:09;23:39;23:39;23:49;23:49
Saturnstraße;00:38;00:39;00:51;00:51;01:19;01:18;;;04:40;04:40;;;05:10;05:09;05:40;05:40;06:10;06:10;06:40;06:40;07:10;07:10;07:40;07:39;08:10;08:10;08:40;08:40;;;09:01;09:01;09:16;09:16;09:31;09:31;09:46;09:46;10:01;10:00;10:16;10:16;10:31;10:31;10:46;10:46;11:01;11:01;11:16;11:16;11:31;11:31;11:46;11:46;12:01;12:00;12:16;12:16;12:31;12:31;12:46;12:45;13:01;13:01;13:16;13:16;13:31;13:31;13:46;13:46;14:01;14:01;14:16;14:15;14:31;14:30;14:46;14:45;15:01;15:01;15:16;15:16;15:31;15:31;15:46;15:46;16:01;16:01;16:16;16:16;16:31;16:30;16:46;16:46;17:01;17:00;17:16;17:16;17:31;17:31;17:46;17:47;18:01;18:01;18:16;18:15;18:31;18:30;18:46;18:46;19:01;19:00;19:16;19:15;19:31;19:31;19:46;19:46;20:01;20:01;20:16;20:16;20:31;20:31;20:46;20:46;21:01;21:01;21:16;21:16;21:31;21:30;;;21:46;21:46;22:01;22:00;22:10;22:09;22:20;22:20;22:40;22:40;22:50;22:50;23:10;23:10;23:40;23:39;23:50;23:50
Jupiterstraße;00:39;00:39;00:52;00:52;01:20;01:20;;;04:41;04:41;;;05:11;05:10;05:41;05:41;06:11;06:11;06:41;06:41;07:11;07:11;07:41;07:40;08:11;08:11;08:41;08:41;;;09:02;09:02;09:17;09:17;09:32;09:32;09:47;09:47;10:02;10:01;10:17;10:17;10:32;10:31;10:47;10:47;11:02;11:02;11:17;11:17;11:32;11:32;11:47;11:47;12:02;12:02;12:17;12:17;12:32;12:31;12:47;12:46;13:02;13:02;13:17;13:17;13:32;13:32;13:47;13:47;14:02;14:02;14:17;14:16;14:32;14:31;14:47;14:46;15:02;15:02;15:17;15:17;15:32;15:32;15:47;15:47;16:02;16:02;16:17;16:17;16:32;16:31;16:47;16:47;17:02;17:01;17:17;17:17;17:32;17:32;17:47;17:48;18:02;18:02;18:17;18:16;18:32;18:31;18:47;18:47;19:02;19:01;19:17;19:16;19:32;19:32;19:47;19:47;20:02;20:01;20:17;20:17;20:32;20:32;20:47;20:47;21:02;21:02;21:17;21:17;21:32;21:31;;;21:47;21:47;22:02;22:01;22:11;22:10;22:21;22:20;22:41;22:41;22:51;22:51;23:11;23:11;23:41;23:41;23:51;23:51
Plovdiver Straße;00:40;00:41;00:53;00:53;01:21;01:21;;;04:42;04:42;;;05:12;05:12;05:42;05:42;06:12;06:12;06:42;06:42;07:12;07:12;07:42;07:42;08:12;08:12;08:42;08:42;;;09:03;09:03;09:18;09:18;09:33;09:33;09:48;09:48;10:03;10:03;10:18;10:18;10:33;10:33;10:48;10:48;11:03;11:03;11:18;11:18;11:33;11:33;11:48;11:48;12:03;12:03;12:18;12:18;12:33;12:33;12:48;12:48;13:03;13:03;13:18;13:18;13:33;13:33;13:48;13:48;14:03;14:03;14:18;14:17;14:33;14:32;14:48;14:48;15:03;15:03;15:18;15:18;15:33;15:33;15:48;15:48;16:03;16:03;16:18;16:18;16:33;16:33;16:48;16:48;17:03;17:02;17:18;17:18;17:33;17:33;17:48;17:49;18:03;18:04;18:18;18:18;18:33;18:32;18:48;18:48;19:03;19:02;19:18;19:17;19:33;19:33;19:48;19:48;20:03;20:03;20:18;20:18;20:33;20:33;20:48;20:48;21:03;21:03;21:18;21:18;21:33;21:32;;;21:48;21:48;22:03;22:02;22:12;22:11;22:22;22:21;22:42;22:42;22:52;22:52;23:12;23:12;23:42;23:42;23:52;23:52
Kiewer Straße;00:41;00:42;00:54;00:54;01:22;01:22;;;04:43;04:44;;;05:13;05:13;05:43;05:43;06:13;06:14;06:43;06:43;07:13;07:13;07:43;07:43;08:13;08:13;08:43;08:44;;;09:04;09:04;09:19;09:20;09:34;09:35;09:49;09:50;10:04;10:04;10:19;10:19;10:34;10:34;10:49;10:50;11:04;11:04;11:19;11:20;11:34;11:34;11:49;11:49;12:04;12:04;12:19;12:20;12:34;12:34;12:49;12:49;13:04;13:04;13:19;13:20;13:34;13:34;13:49;13:50;14:04;14:05;14:19;14:20;14:34;14:34;14:49;14:49;15:04;15:05;15:19;15:19;15:34;15:34;15:49;15:50;16:04;16:04;16:19;16:19;16:34;16:34;16:49;16:50;17:04;17:04;17:19;17:20;17:34;17:34;17:49;17:50;18:04;18:05;18:19;18:19;18:34;18:34;18:49;18:50;19:04;19:04;19:19;19:19;19:34;19:34;19:49;19:50;20:04;20:05;20:19;20:20;20:34;20:34;20:49;20:50;21:04;21:04;21:19;21:20;21:34;21:33;;;21:49;21:49;22:04;22:04;22:13;22:13;22:23;22:23;22:43;22:43;22:53;22:53;23:13;23:13;23:43;23:43;23:53;23:53
Am Kirschberg;00:43;00:43;00:56;00:55;01:24;01:23;;;04:45;04:45;;;05:15;05:14;05:45;05:45;06:15;06:15;06:45;06:45;07:15;07:15;07:45;07:44;08:15;08:15;08:45;08:45;;;09:06;09:06;09:21;09:21;09:36;09:36;09:51;09:51;10:06;10:06;10:21;10:21;10:36;10:36;10:51;10:51;11:06;11:06;11:21;11:21;11:36;11:36;11:51;11:51;12:06;12:06;12:21;12:21;12:36;12:36;12:51;12:51;13:06;13:06;13:21;13:21;13:36;13:36;13:51;13:52;14:06;14:06;14:21;14:21;14:36;14:35;14:51;14:51;15:06;15:06;15:21;15:21;15:36;15:36;15:51;15:51;16:06;16:06;16:21;16:21;16:36;16:35;16:51;16:51;17:06;17:05;17:21;17:21;17:36;17:36;17:51;17:52;18:06;18:07;18:21;18:21;18:36;18:35;18:51;18:51;19:06;19:05;19:21;19:20;19:36;19:36;19:51;19:51;20:06;20:06;20:21;20:21;20:36;20:36;20:51;20:51;21:06;21:06;21:21;21:21;21:36;21:35;;;21:51;21:51;22:06;22:05;22:15;22:14;22:25;22:24;22:45;22:45;22:55;22:54;23:15;23:14;23:45;23:44;23:55;23:55
Schönauer Ring;00:44;00:45;00:57;00:56;01:25;01:24;;;04:46;04:46;;;05:16;05:16;05:46;05:46;06:16;06:16;06:46;06:46;07:16;07:16;07:46;07:46;08:16;08:16;08:46;08:47;;;09:07;09:07;09:22;09:23;09:37;09:38;09:52;09:53;10:07;10:07;10:22;10:22;10:37;10:37;10:52;10:53;11:07;11:07;11:22;11:23;11:37;11:37;11:52;11:53;12:07;12:07;12:22;12:23;12:37;12:37;12:52;12:52;13:07;13:07;13:22;13:23;13:37;13:37;13:52;13:53;14:07;14:08;14:22;14:23;14:37;14:36;14:52;14:53;15:07;15:07;15:22;15:22;15:37;15:37;15:52;15:53;16:07;16:07;16:22;16:22;16:37;16:36;16:52;16:53;17:07;17:06;17:22;17:23;17:37;17:37;17:52;17:53;18:07;18:08;18:22;18:24;18:37;18:36;18:52;18:53;19:07;19:06;19:22;19:21;19:37;19:37;19:52;19:52;20:07;20:08;20:22;20:22;20:37;20:37;20:52;20:53;21:07;21:07;21:22;21:22;21:37;21:36;;;21:52;21:52;22:07;22:06;22:16;22:15;22:26;22:25;22:46;22:46;22:56;22:55;23:16;23:16;23:46;23:46;23:56;23:56
Parkallee;00:45;00:46;00:58;00:58;01:26;01:25;;;04:47;04:47;;;05:17;05:17;05:47;05:47;06:17;06:17;06:47;06:47;07:17;07:17;07:47;07:47;08:17;08:17;08:47;08:49;;;09:08;09:08;09:23;09:24;09:38;09:39;09:53;09:54;10:08;10:09;10:23;10:23;10:38;10:38;10:53;10:54;11:08;11:08;11:23;11:24;11:38;11:38;11:53;11:54;12:08;12:08;12:23;12:24;12:38;12:38;12:53;12:53;13:08;13:08;13:23;13:24;13:38;13:38;13:53;13:54;14:08;14:09;14:23;14:25;14:38;14:37;14:53;14:54;15:08;15:08;15:23;15:24;15:38;15:38;15:53;15:54;16:08;16:08;16:23;16:23;16:38;16:38;16:53;16:54;17:08;17:07;17:23;17:24;17:38;17:38;17:53;17:54;18:08;18:10;18:23;18:25;18:38;18:38;18:53;18:54;19:08;19:08;19:23;19:23;19:38;19:38;19:53;19:53;20:08;20:09;20:23;20:23;20:38;20:38;20:53;20:54;21:08;21:08;21:23;21:23;21:38;21:37;;;21:53;21:53;22:08;22:07;22:17;22:17;22:27;22:26;22:47;22:47;22:57;22:57;23:17;23:17;23:47;23:47;23:57;23:57
Grünauer Allee;00:46;00:47;00:59;00:58;01:27;01:26;;;04:48;04:49;;;05:18;05:18;05:48;05:49;06:18;06:19;06:48;06:48;07:18;07:19;07:48;07:48;08:18;08:18;08:48;08:50;;;09:09;09:10;09:24;09:25;09:39;09:40;09:54;09:55;10:09;10:10;10:24;10:24;10:39;10:39;10:54;10:55;11:09;11:09;11:24;11:25;11:39;11:39;11:54;11:55;12:09;12:09;12:24;12:25;12:39;12:39;12:54;12:55;13:09;13:09;13:24;13:25;13:39;13:39;13:54;13:56;14:09;14:11;14:24;14:26;14:39;14:39;14:54;14:56;15:09;15:09;15:24;15:25;15:39;15:40;15:54;15:55;16:09;16:09;16:24;16:24;16:39;16:39;16:54;16:55;17:09;17:08;17:24;17:25;17:39;17:39;17:54;17:55;18:09;18:11;18:24;18:26;18:39;18:39;18:54;18:55;19:09;19:09;19:24;19:24;19:39;19:39;19:54;19:54;20:09;20:10;20:24;20:24;20:39;20:39;20:54;20:55;21:09;21:10;21:24;21:24;21:39;21:38;;;21:54;21:54;22:09;22:09;22:18;22:18;22:28;22:27;22:48;22:49;22:58;22:58;23:18;23:18;23:48;23:48;23:58;23:58
