Kurs:;52;;40;;46;;48;;41;;43;;44;;46;;48;;41;;43;;44;;46;;48;;45;;41;;47;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;40;;46;;47;;48;;41;;43;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Meusdorf;00:19;00:19;00:39;00:40;;;;;;;04:49;04:51;05:19;05:19;05:49;05:49;06:19;06:18;06:49;06:49;07:19;07:19;07:49;07:49;08:19;08:19;08:49;08:48;;;09:10;09:10;;;09:25;09:28;09:40;09:40;09:55;09:55;10:10;10:10;10:25;10:24;10:40;10:40;10:55;10:54;11:10;11:10;11:25;11:25;11:40;11:40;11:55;11:55;12:10;12:10;12:25;12:25;12:40;12:40;12:55;12:55;13:10;13:10;13:25;13:25;13:40;13:39;13:55;13:55;14:10;14:10;14:25;14:25;14:40;14:40;14:55;14:55;15:10;15:10;15:25;15:24;15:40;15:41;15:55;15:55;16:10;16:10;16:25;16:25;16:40;16:40;16:55;16:56;17:10;17:10;17:25;17:24;17:40;17:40;17:55;17:55;18:10;18:10;18:25;18:26;18:40;18:40;18:55;18:55;19:10;19:10;19:25;19:25;19:40;19:40;19:55;19:55;20:10;20:09;20:25;20:25;20:40;20:40;20:55;20:55;21:10;21:10;21:25;21:25;21:40;21:40;21:55;21:55;22:10;22:10;22:19;22:19;22:29;22:28;22:49;22:49;22:59;22:59;23:19;23:18;23:49;23:49
Roseggerstraße;00:20;00:20;00:40;00:41;;;;;;;04:50;04:52;05:20;05:20;05:50;05:50;06:20;06:20;06:50;06:50;07:20;07:20;07:50;07:50;08:20;08:20;08:50;08:49;;;09:11;09:11;;;09:26;09:29;09:41;09:41;09:56;09:56;10:11;10:11;10:26;10:25;10:41;10:41;10:56;10:55;11:11;11:11;11:26;11:26;11:41;11:41;11:56;11:56;12:11;12:11;12:26;12:26;12:41;12:41;12:56;12:56;13:11;13:11;13:26;13:26;13:41;13:41;13:56;13:55;14:11;14:11;14:26;14:26;14:41;14:41;14:56;14:56;15:11;15:11;15:26;15:26;15:41;15:42;15:56;15:56;16:11;16:11;16:26;16:26;16:41;16:41;16:56;16:58;17:11;17:11;17:26;17:25;17:41;17:41;17:56;17:56;18:11;18:11;18:26;18:27;18:41;18:41;18:56;18:56;19:11;19:11;19:26;19:26;19:41;19:41;19:56;19:55;20:11;20:11;20:26;20:26;20:41;20:41;20:56;20:55;21:11;21:11;21:26;21:26;21:41;21:41;21:56;21:56;22:11;22:11;22:20;22:20;22:30;22:29;22:50;22:50;23:00;23:00;23:20;23:19;23:50;23:50
Franzosenallee;00:21;00:21;00:41;00:42;;;;;;;04:51;04:53;05:21;05:21;05:51;05:52;06:21;06:21;06:51;06:51;07:21;07:21;07:51;07:51;08:21;08:21;08:51;08:51;;;09:12;09:12;;;09:27;09:30;09:42;09:42;09:57;09:57;10:12;10:12;10:27;10:26;10:42;10:42;10:57;10:57;11:12;11:12;11:27;11:27;11:42;11:42;11:57;11:57;12:12;12:12;12:27;12:27;12:42;12:42;12:57;12:57;13:12;13:12;13:27;13:27;13:42;13:42;13:57;13:57;14:12;14:13;14:27;14:27;14:42;14:42;14:57;14:57;15:12;15:12;15:27;15:27;15:42;15:43;15:57;15:57;16:12;16:12;16:27;16:27;16:42;16:42;16:57;16:59;17:12;17:12;17:27;17:27;17:42;17:42;17:57;17:57;18:12;18:13;18:27;18:29;18:42;18:42;18:57;18:57;19:12;19:13;19:27;19:27;19:42;19:42;19:57;19:57;20:12;20:12;20:27;20:27;20:42;20:42;20:57;20:56;21:12;21:12;21:27;21:27;21:42;21:43;21:57;21:57;22:12;22:12;22:21;22:21;22:31;22:30;22:51;22:51;23:01;23:00;23:21;23:20;23:51;23:51
Probstheida;00:22;00:22;00:42;00:43;;;;;;;04:52;04:55;05:22;05:22;05:52;05:53;06:22;06:22;06:52;06:52;07:22;07:22;07:52;07:52;08:22;08:22;08:52;08:52;;;09:13;09:13;;;09:28;09:31;09:43;09:43;09:58;09:59;10:13;10:13;10:28;10:28;10:43;10:43;10:58;10:58;11:13;11:13;11:28;11:28;11:43;11:43;11:58;11:59;12:13;12:13;12:28;12:28;12:43;12:43;12:58;12:59;13:13;13:13;13:28;13:28;13:43;13:43;13:58;13:58;14:13;14:14;14:28;14:28;14:43;14:43;14:58;14:58;15:13;15:13;15:28;15:28;15:43;15:45;15:58;15:58;16:13;16:13;16:28;16:28;16:43;16:44;16:58;17:00;17:13;17:13;17:28;17:28;17:43;17:44;17:58;17:58;18:13;18:14;18:28;18:30;18:43;18:44;18:58;18:58;19:13;19:14;19:28;19:28;19:43;19:43;19:58;19:58;20:13;20:13;20:28;20:28;20:43;20:43;20:58;20:58;21:13;21:13;21:28;21:29;21:43;21:44;21:58;21:58;22:13;22:13;22:22;22:22;22:32;22:32;22:52;22:53;23:02;23:02;23:22;23:22;23:52;23:53
Prager/Russenstraße;00:23;00:23;00:43;00:44;;;;;;;04:53;04:55;05:23;05:23;05:53;05:53;06:23;06:23;06:53;06:53;07:23;07:23;07:53;07:53;08:23;08:23;08:53;08:53;;;09:14;09:14;;;09:29;09:32;09:44;09:44;09:59;10:00;10:14;10:14;10:29;10:29;10:44;10:46;10:59;10:59;11:14;11:14;11:29;11:29;11:44;11:44;11:59;11:59;12:14;12:14;12:29;12:29;12:44;12:44;12:59;13:00;13:14;13:14;13:29;13:29;13:44;13:44;13:59;13:59;14:14;14:15;14:29;14:29;14:44;14:44;14:59;14:59;15:14;15:14;15:29;15:29;15:44;15:46;15:59;15:59;16:14;16:14;16:29;16:29;16:44;16:45;16:59;17:01;17:14;17:14;17:29;17:29;17:44;17:44;17:59;17:59;18:14;18:14;18:29;18:31;18:44;18:45;18:59;18:59;19:14;19:15;19:29;19:29;19:44;19:44;19:59;19:59;20:14;20:14;20:29;20:29;20:44;20:44;20:59;20:59;21:14;21:14;21:29;21:29;21:44;21:45;21:59;21:59;22:14;22:13;22:23;22:23;22:33;22:33;22:53;22:53;23:03;23:03;23:23;23:23;23:53;23:54
Südfriedhof;00:24;00:25;00:44;00:46;;;;;;;04:54;04:57;05:24;05:24;05:54;05:55;06:24;06:25;06:54;06:55;07:24;07:25;07:54;07:54;08:24;08:24;08:54;08:55;;;09:15;09:15;;;09:30;09:33;09:45;09:46;10:00;10:02;10:15;10:16;10:30;10:30;10:45;10:47;11:00;11:01;11:15;11:16;11:30;11:31;11:45;11:45;12:00;12:01;12:15;12:16;12:30;12:31;12:45;12:46;13:00;13:01;13:15;13:16;13:30;13:31;13:45;13:46;14:00;14:01;14:15;14:17;14:30;14:31;14:45;14:46;15:00;15:01;15:15;15:16;15:30;15:31;15:45;15:47;16:00;16:01;16:15;16:16;16:30;16:31;16:45;16:46;17:00;17:03;17:15;17:16;17:30;17:31;17:45;17:46;18:00;18:01;18:15;18:16;18:30;18:32;18:45;18:46;19:00;19:01;19:15;19:17;19:30;19:31;19:45;19:46;20:00;20:00;20:15;20:15;20:30;20:31;20:45;20:46;21:00;21:00;21:15;21:16;21:30;21:31;21:45;21:47;22:00;22:00;22:15;22:15;22:24;22:24;22:34;22:34;22:54;22:55;23:04;23:04;23:24;23:24;23:54;23:55
Völkerschlachtdenkmal;00:26;00:26;00:46;00:47;;;;;;;04:56;04:59;05:26;05:26;05:56;05:56;06:26;06:26;06:56;06:56;07:26;07:26;07:56;07:55;08:26;08:26;08:56;08:56;;;09:17;09:16;;;09:32;09:34;09:47;09:47;10:02;10:03;10:17;10:17;10:32;10:31;10:47;10:49;11:02;11:02;11:17;11:17;11:32;11:32;11:47;11:46;12:02;12:02;12:17;12:17;12:32;12:32;12:47;12:47;13:02;13:02;13:17;13:17;13:32;13:32;13:47;13:47;14:02;14:03;14:17;14:18;14:32;14:32;14:47;14:47;15:02;15:02;15:17;15:17;15:32;15:32;15:47;15:49;16:02;16:02;16:17;16:17;16:32;16:32;16:47;16:47;17:02;17:04;17:17;17:17;17:32;17:32;17:47;17:47;18:02;18:02;18:17;18:17;18:32;18:34;18:47;18:47;19:02;19:02;19:17;19:18;19:32;19:32;19:47;19:47;20:02;20:02;20:17;20:17;20:32;20:32;20:47;20:47;21:02;21:01;21:17;21:17;21:32;21:32;21:47;21:48;22:02;22:02;22:17;22:16;22:26;22:25;22:36;22:35;22:56;22:56;23:06;23:05;23:26;23:25;23:56;23:56
Naunhofer Straße;00:27;00:27;00:47;00:48;;;;;;;04:57;05:00;05:27;05:27;05:57;05:57;06:27;06:27;06:57;06:57;07:27;07:28;07:57;07:56;08:27;08:27;08:57;08:58;;;09:18;09:17;;;09:33;09:35;09:48;09:48;10:03;10:04;10:18;10:18;10:33;10:33;10:48;10:50;11:03;11:04;11:18;11:19;11:33;11:34;11:48;11:48;12:03;12:04;12:18;12:19;12:33;12:34;12:48;12:49;13:03;13:03;13:18;13:18;13:33;13:33;13:48;13:49;14:03;14:04;14:18;14:19;14:33;14:33;14:48;14:48;15:03;15:04;15:18;15:18;15:33;15:34;15:48;15:50;16:03;16:03;16:18;16:19;16:33;16:34;16:48;16:50;17:03;17:05;17:18;17:18;17:33;17:33;17:48;17:49;18:03;18:03;18:18;18:18;18:33;18:35;18:48;18:48;19:03;19:04;19:18;19:19;19:33;19:33;19:48;19:49;20:03;20:03;20:18;20:18;20:33;20:33;20:48;20:48;21:03;21:02;21:18;21:18;21:33;21:33;21:48;21:49;22:03;22:03;22:18;22:17;22:27;22:26;22:37;22:36;22:57;22:57;23:07;23:06;23:27;23:26;23:57;23:58
Altes Messegelände;00:28;00:28;00:48;00:50;;;;;;;04:58;05:02;05:28;05:28;05:58;05:59;06:28;06:28;06:58;06:59;07:28;07:29;07:58;07:57;08:28;08:29;08:58;08:59;;;09:19;09:19;;;09:34;09:36;09:49;09:49;10:04;10:05;10:19;10:20;10:34;10:35;10:49;10:52;11:04;11:05;11:19;11:20;11:34;11:35;11:49;11:50;12:04;12:05;12:19;12:21;12:34;12:35;12:49;12:50;13:04;13:05;13:19;13:20;13:34;13:34;13:49;13:50;14:04;14:05;14:19;14:20;14:34;14:35;14:49;14:50;15:04;15:05;15:19;15:20;15:34;15:35;15:49;15:52;16:04;16:05;16:19;16:22;16:34;16:35;16:49;16:51;17:04;17:07;17:19;17:19;17:34;17:35;17:49;17:50;18:04;18:05;18:19;18:20;18:34;18:36;18:49;18:50;19:04;19:05;19:19;19:21;19:34;19:35;19:49;19:50;20:04;20:04;20:19;20:20;20:34;20:35;20:49;20:49;21:04;21:03;21:19;21:19;21:34;21:35;21:49;21:51;22:04;22:04;22:19;22:18;22:28;22:27;22:38;22:38;22:58;22:59;23:08;23:07;23:28;23:27;23:58;23:59
