Kurs:;10;;12;;15;;13;;14;;11;;12;;13;;14;;11;;12;;13;;14;;42;;11;;12;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;16;;17;;11;;42;;13;;14;;16;;17;;11;;42;;13;;14;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Messegelände;00:04;00:04;00:40;00:40;01:00;01:00;04:34;04:34;05:04;05:04;05:34;05:34;06:04;06:04;06:34;06:34;07:04;07:04;07:34;07:34;08:04;08:03;08:34;08:33;09:03;09:03;09:18;09:18;09:33;09:33;09:48;09:48;10:03;10:03;10:18;10:18;10:33;10:34;10:48;10:47;11:03;11:03;11:18;11:18;11:33;11:33;11:48;11:48;12:03;12:03;12:18;12:18;12:33;12:33;12:48;12:48;13:03;13:03;13:18;13:18;13:33;13:33;13:48;13:48;14:03;14:03;14:18;14:18;14:33;14:33;14:48;14:48;15:03;15:03;15:18;15:19;15:33;15:34;15:48;15:48;16:03;16:03;16:18;16:18;16:33;16:32;16:48;16:48;17:03;17:03;17:18;17:18;17:33;17:33;17:48;17:48;18:03;18:03;18:18;18:17;18:33;18:32;18:48;18:48;19:03;19:03;19:18;19:18;19:33;19:33;19:48;19:48;20:03;20:02;20:18;20:18;20:33;20:33;20:48;20:48;21:03;21:03;21:18;21:18;21:33;21:33;21:48;21:49;22:03;22:03;22:14;22:16;22:34;22:34;22:49;22:49;23:04;23:04;23:34;23:34
S-Bf. Messe;00:05;00:05;00:41;00:41;01:01;01:01;04:35;04:35;05:05;05:06;05:35;05:35;06:05;06:05;06:35;06:35;07:05;07:05;07:35;07:35;08:05;08:05;08:35;08:35;09:04;09:04;09:19;09:20;09:34;09:34;09:49;09:49;10:04;10:04;10:19;10:19;10:34;10:35;10:49;10:49;11:04;11:04;11:19;11:19;11:34;11:34;11:49;11:49;12:04;12:05;12:19;12:19;12:34;12:34;12:49;12:49;13:04;13:04;13:19;13:19;13:34;13:34;13:49;13:50;14:04;14:04;14:19;14:19;14:34;14:34;14:49;14:49;15:04;15:05;15:19;15:21;15:34;15:35;15:49;15:49;16:04;16:04;16:19;16:19;16:34;16:34;16:49;16:49;17:04;17:05;17:19;17:19;17:34;17:35;17:49;17:49;18:04;18:04;18:19;18:19;18:34;18:34;18:49;18:49;19:04;19:04;19:19;19:19;19:34;19:34;19:49;19:49;20:04;20:04;20:19;20:19;20:34;20:34;20:49;20:49;21:04;21:04;21:19;21:19;21:34;21:34;21:49;21:49;22:04;22:04;22:15;22:17;22:35;22:35;22:50;22:50;23:05;23:05;23:35;23:35
Georg-Herwegh-Straße;00:06;00:06;00:42;00:42;01:02;01:02;04:36;04:36;05:06;05:07;05:36;05:36;06:06;06:06;06:36;06:36;07:06;07:06;07:36;07:36;08:06;08:05;08:36;08:35;09:05;09:05;09:20;09:20;09:35;09:35;09:50;09:49;10:05;10:05;10:20;10:20;10:35;10:36;10:50;10:50;11:05;11:05;11:20;11:20;11:35;11:35;11:50;11:50;12:05;12:06;12:20;12:20;12:35;12:35;12:50;12:50;13:05;13:05;13:20;13:20;13:35;13:35;13:50;13:51;14:05;14:05;14:20;14:20;14:35;14:35;14:50;14:50;15:05;15:06;15:20;15:22;15:35;15:36;15:50;15:50;16:05;16:05;16:20;16:20;16:35;16:35;16:50;16:50;17:05;17:05;17:20;17:20;17:35;17:35;17:50;17:50;18:05;18:05;18:20;18:20;18:35;18:35;18:50;18:50;19:05;19:05;19:20;19:20;19:35;19:35;19:50;19:50;20:05;20:05;20:20;20:19;20:35;20:35;20:50;20:50;21:05;21:05;21:20;21:20;21:35;21:35;21:50;21:50;22:05;22:05;22:16;22:18;22:36;22:35;22:51;22:51;23:06;23:06;23:36;23:35
Wiederitzsch-Mitte;00:07;00:07;00:43;00:43;01:03;01:03;04:37;04:37;05:07;05:08;05:37;05:37;06:07;06:07;06:37;06:37;07:07;07:08;07:37;07:37;08:07;08:07;08:37;08:37;09:06;09:07;09:21;09:22;09:36;09:36;09:51;09:51;10:06;10:06;10:21;10:21;10:36;10:37;10:51;10:51;11:06;11:06;11:21;11:21;11:36;11:36;11:51;11:51;12:06;12:07;12:21;12:21;12:36;12:36;12:51;12:51;13:06;13:07;13:21;13:21;13:36;13:36;13:51;13:52;14:06;14:06;14:21;14:21;14:36;14:36;14:51;14:51;15:06;15:07;15:21;15:23;15:36;15:37;15:51;15:51;16:06;16:06;16:21;16:21;16:36;16:36;16:51;16:51;17:06;17:07;17:21;17:21;17:36;17:37;17:51;17:52;18:06;18:07;18:21;18:21;18:36;18:36;18:51;18:51;19:06;19:06;19:21;19:21;19:36;19:36;19:51;19:51;20:06;20:06;20:21;20:20;20:36;20:36;20:51;20:51;21:06;21:06;21:21;21:21;21:36;21:36;21:51;21:51;22:06;22:06;22:17;22:19;22:37;22:37;22:52;22:52;23:07;23:07;23:37;23:36
Dachauer Straße;00:08;00:08;00:44;00:44;01:04;01:04;04:38;04:38;05:08;05:09;05:38;05:38;06:08;06:08;06:38;06:38;07:08;07:09;07:38;07:38;08:08;08:08;08:38;08:37;09:07;09:08;09:22;09:23;09:37;09:37;09:52;09:52;10:07;10:07;10:22;10:22;10:37;10:38;10:52;10:52;11:07;11:07;11:22;11:22;11:37;11:38;11:52;11:52;12:07;12:08;12:22;12:23;12:37;12:37;12:52;12:53;13:07;13:08;13:22;13:23;13:37;13:38;13:52;13:53;14:07;14:07;14:22;14:23;14:37;14:37;14:52;14:53;15:07;15:08;15:22;15:24;15:37;15:38;15:52;15:52;16:07;16:08;16:22;16:22;16:37;16:38;16:52;16:52;17:07;17:08;17:22;17:23;17:37;17:38;17:52;17:53;18:07;18:08;18:22;18:22;18:37;18:37;18:52;18:52;19:07;19:07;19:22;19:23;19:37;19:37;19:52;19:52;20:07;20:07;20:22;20:21;20:37;20:37;20:52;20:52;21:07;21:07;21:22;21:22;21:37;21:37;21:52;21:52;22:07;22:07;22:18;22:20;22:38;22:38;22:53;22:53;23:08;23:08;23:38;23:37
Klinikum St. Georg;00:10;00:10;00:46;00:46;01:06;01:06;04:40;04:39;05:10;05:11;05:40;05:40;06:10;06:10;06:40;06:39;07:10;07:11;07:40;07:39;08:10;08:09;08:40;08:39;09:09;09:10;09:24;09:24;09:39;09:39;09:54;09:53;10:09;10:09;10:24;10:24;10:39;10:40;10:54;10:54;11:09;11:09;11:24;11:24;11:39;11:40;11:54;11:54;12:09;12:10;12:24;12:25;12:39;12:39;12:54;12:55;13:09;13:10;13:24;13:24;13:39;13:40;13:54;13:55;14:09;14:09;14:24;14:24;14:39;14:39;14:54;14:55;15:09;15:10;15:24;15:26;15:39;15:40;15:54;15:54;16:09;16:10;16:24;16:24;16:39;16:40;16:54;16:54;17:09;17:10;17:24;17:24;17:39;17:40;17:54;17:55;18:09;18:10;18:24;18:24;18:39;18:39;18:54;18:54;19:09;19:09;19:24;19:24;19:39;19:39;19:54;19:54;20:09;20:09;20:24;20:23;20:39;20:39;20:54;20:54;21:09;21:09;21:24;21:24;21:39;21:38;21:54;21:54;22:09;22:09;22:20;22:22;22:40;22:40;22:55;22:55;23:10;23:10;23:40;23:39
Hornbach Baumarkt;00:11;00:11;00:47;00:47;01:07;01:07;04:41;04:40;05:11;05:12;05:41;05:41;06:11;06:11;06:41;06:40;07:11;07:12;07:41;07:40;08:11;08:10;08:41;08:40;09:10;09:11;09:25;09:25;09:40;09:40;09:55;09:54;10:10;10:10;10:25;10:25;10:40;10:41;10:55;10:55;11:10;11:10;11:25;11:25;11:40;11:41;11:55;11:55;12:10;12:11;12:25;12:26;12:40;12:40;12:55;12:56;13:10;13:11;13:25;13:25;13:40;13:41;13:55;13:56;14:10;14:10;14:25;14:25;14:40;14:40;14:55;14:56;15:10;15:11;15:25;15:27;15:40;15:41;15:55;15:55;16:10;16:11;16:25;16:25;16:40;16:41;16:55;16:55;17:10;17:11;17:25;17:25;17:40;17:41;17:55;17:56;18:10;18:11;18:25;18:25;18:40;18:40;18:55;18:54;19:10;19:10;19:25;19:25;19:40;19:40;19:55;19:55;20:10;20:10;20:25;20:24;20:40;20:40;20:55;20:55;21:10;21:10;21:25;21:25;21:40;21:39;21:55;21:54;22:10;22:09;22:21;22:22;22:41;22:40;22:56;22:56;23:11;23:11;23:41;23:40
Delitzscher/Essener Str.;00:12;00:12;00:48;00:48;01:08;01:08;04:42;04:41;05:12;05:13;05:42;05:42;06:12;06:12;06:42;06:41;07:12;07:14;07:42;07:41;08:12;08:12;08:42;08:41;09:11;09:12;09:26;09:27;09:41;09:41;09:56;09:55;10:11;10:11;10:26;10:26;10:41;10:42;10:56;10:56;11:11;11:11;11:26;11:26;11:41;11:42;11:56;11:56;12:11;12:12;12:26;12:27;12:41;12:41;12:56;12:57;13:11;13:12;13:26;13:26;13:41;13:42;13:56;13:57;14:11;14:11;14:26;14:26;14:41;14:42;14:56;14:57;15:11;15:13;15:26;15:29;15:41;15:42;15:56;15:56;16:11;16:12;16:26;16:26;16:41;16:42;16:56;16:56;17:11;17:12;17:26;17:26;17:41;17:42;17:56;17:57;18:11;18:12;18:26;18:26;18:41;18:41;18:56;18:55;19:11;19:11;19:26;19:26;19:41;19:41;19:56;19:56;20:11;20:11;20:26;20:25;20:41;20:41;20:56;20:56;21:11;21:11;21:26;21:26;21:41;21:41;21:56;21:55;22:11;22:10;22:22;22:23;22:42;22:41;22:57;22:57;23:12;23:12;23:42;23:41
Mosenthinstraße;00:13;00:13;00:49;00:49;01:09;01:08;04:43;04:42;05:13;05:14;05:43;05:43;06:13;06:12;06:43;06:42;07:13;07:15;07:43;07:42;08:13;08:13;08:43;08:42;09:12;09:13;09:27;09:28;09:42;09:42;09:57;09:56;10:12;10:12;10:27;10:27;10:42;10:43;10:57;10:57;11:12;11:12;11:27;11:27;11:42;11:43;11:57;11:57;12:12;12:13;12:27;12:28;12:42;12:42;12:57;12:58;13:12;13:13;13:27;13:27;13:42;13:43;13:57;13:58;14:12;14:12;14:27;14:27;14:42;14:42;14:57;14:58;15:12;15:14;15:27;15:30;15:42;15:43;15:57;15:57;16:12;16:13;16:27;16:27;16:42;16:43;16:57;16:57;17:12;17:13;17:27;17:27;17:42;17:43;17:57;17:58;18:12;18:13;18:27;18:27;18:42;18:42;18:57;18:56;19:12;19:12;19:27;19:27;19:42;19:42;19:57;19:57;20:12;20:12;20:27;20:26;20:42;20:42;20:57;20:57;21:12;21:12;21:27;21:27;21:42;21:42;21:57;21:56;22:12;22:11;22:23;22:24;22:43;22:42;22:58;22:58;23:13;23:13;23:43;23:42
