Kurs:;15;;17;;13;;11;;14;;12;;13;;14;;11;;12;;13;;14;;11;;42;;12;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;16;;17;;11;;42;;13;;14;;16;;17;;11;;42;;13;;14;;17;;11;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lößnig;00:07;00:07;00:37;00:37;;;04:37;04:37;;;05:07;05:07;05:37;05:37;06:07;06:07;06:37;06:37;07:07;07:06;07:37;07:37;08:07;08:07;08:37;08:37;;;09:02;09:01;09:17;09:18;09:32;09:33;09:47;09:47;10:02;10:02;10:17;10:17;10:32;10:32;10:47;10:48;11:02;11:02;11:17;11:18;11:32;11:31;11:47;11:47;12:02;12:02;12:17;12:17;12:32;12:32;12:47;12:47;13:02;13:02;13:17;13:17;13:32;13:32;13:47;13:47;14:02;14:02;14:17;14:17;14:32;14:32;14:47;14:47;15:02;15:02;15:17;15:17;15:32;15:32;15:47;15:47;16:02;16:02;16:17;16:17;16:32;16:33;16:47;16:47;17:02;17:02;17:17;17:18;17:32;17:32;17:47;17:47;18:02;18:03;18:17;18:17;18:32;18:33;18:47;18:48;19:02;19:02;19:17;19:17;19:32;19:32;19:47;19:47;20:02;20:02;20:17;20:17;20:32;20:32;20:47;20:47;21:02;21:02;21:17;21:16;21:32;21:32;21:47;21:47;22:02;22:02;22:17;22:17;22:37;22:36;23:07;23:07;23:37;23:37
Moritz Hof;00:08;00:09;00:38;00:38;;;04:38;04:38;;;05:08;05:08;05:38;05:38;06:08;06:09;06:38;06:38;07:08;07:08;07:38;07:38;08:08;08:09;08:38;08:38;;;09:03;09:03;09:18;09:20;09:33;09:34;09:48;09:49;10:03;10:03;10:18;10:18;10:33;10:33;10:48;10:49;11:03;11:03;11:18;11:19;11:33;11:33;11:48;11:48;12:03;12:03;12:18;12:18;12:33;12:34;12:48;12:48;13:03;13:03;13:18;13:19;13:33;13:33;13:48;13:49;14:03;14:03;14:18;14:19;14:33;14:34;14:48;14:48;15:03;15:03;15:18;15:18;15:33;15:33;15:48;15:48;16:03;16:04;16:18;16:19;16:33;16:34;16:48;16:49;17:03;17:03;17:18;17:19;17:33;17:33;17:48;17:48;18:03;18:04;18:18;18:18;18:33;18:34;18:48;18:49;19:03;19:03;19:18;19:18;19:33;19:33;19:48;19:48;20:03;20:03;20:18;20:18;20:33;20:33;20:48;20:49;21:03;21:03;21:18;21:18;21:33;21:33;21:48;21:48;22:03;22:03;22:18;22:18;22:38;22:38;23:08;23:08;23:38;23:38
An der Märchenwiese;00:09;00:10;00:39;00:39;;;04:39;04:39;;;05:09;05:09;05:39;05:39;06:09;06:10;06:39;06:39;07:09;07:09;07:39;07:39;08:09;08:10;08:39;08:39;;;09:04;09:04;09:19;09:21;09:34;09:35;09:49;09:50;10:04;10:04;10:19;10:19;10:34;10:34;10:49;10:50;11:04;11:04;11:19;11:21;11:34;11:34;11:49;11:49;12:04;12:04;12:19;12:19;12:34;12:34;12:49;12:49;13:04;13:05;13:19;13:20;13:34;13:34;13:49;13:50;14:04;14:04;14:19;14:20;14:34;14:35;14:49;14:49;15:04;15:05;15:19;15:19;15:34;15:34;15:49;15:49;16:04;16:05;16:19;16:20;16:34;16:36;16:49;16:50;17:04;17:05;17:19;17:20;17:34;17:34;17:49;17:49;18:04;18:05;18:19;18:19;18:34;18:35;18:49;18:50;19:04;19:04;19:19;19:19;19:34;19:34;19:49;19:49;20:04;20:04;20:19;20:19;20:34;20:34;20:49;20:50;21:04;21:04;21:19;21:19;21:34;21:34;21:49;21:49;22:04;22:04;22:19;22:19;22:39;22:39;23:09;23:10;23:39;23:39
Triftweg;00:10;00:11;00:40;00:40;;;04:40;04:40;;;05:10;05:10;05:40;05:40;06:10;06:11;06:40;06:40;07:10;07:10;07:40;07:40;08:10;08:11;08:40;08:41;;;09:05;09:05;09:20;09:22;09:35;09:36;09:50;09:51;10:05;10:05;10:20;10:20;10:35;10:35;10:50;10:52;11:05;11:05;11:20;11:22;11:35;11:36;11:50;11:50;12:05;12:06;12:20;12:21;12:35;12:35;12:50;12:50;13:05;13:06;13:20;13:21;13:35;13:36;13:50;13:51;14:05;14:05;14:20;14:21;14:35;14:36;14:50;14:50;15:05;15:06;15:20;15:20;15:35;15:35;15:50;15:51;16:05;16:06;16:20;16:21;16:35;16:37;16:50;16:51;17:05;17:06;17:20;17:22;17:35;17:35;17:50;17:50;18:05;18:07;18:20;18:20;18:35;18:36;18:50;18:51;19:05;19:05;19:20;19:21;19:35;19:35;19:50;19:50;20:05;20:06;20:20;20:21;20:35;20:35;20:50;20:51;21:05;21:05;21:20;21:20;21:35;21:35;21:50;21:50;22:05;22:05;22:20;22:20;22:40;22:40;23:10;23:10;23:40;23:40
R.-Lehmann-/Zwickauer S.;00:11;00:12;00:41;00:41;;;04:41;04:41;;;05:11;05:11;05:41;05:41;06:11;06:13;06:41;06:41;07:11;07:11;07:41;07:41;08:11;08:12;08:41;08:42;;;09:06;09:06;09:21;09:23;09:36;09:37;09:51;09:52;10:06;10:06;10:21;10:21;10:36;10:37;10:51;10:53;11:06;11:06;11:21;11:23;11:36;11:37;11:51;11:52;12:06;12:07;12:21;12:22;12:36;12:36;12:51;12:51;13:06;13:07;13:21;13:23;13:36;13:37;13:51;13:53;14:06;14:06;14:21;14:23;14:36;14:37;14:51;14:52;15:06;15:07;15:21;15:21;15:36;15:36;15:51;15:52;16:06;16:08;16:21;16:23;16:36;16:38;16:51;16:52;17:06;17:07;17:21;17:23;17:36;17:36;17:51;17:52;18:06;18:08;18:21;18:22;18:36;18:38;18:51;18:53;19:06;19:07;19:21;19:22;19:36;19:36;19:51;19:52;20:06;20:07;20:21;20:22;20:36;20:37;20:51;20:51;21:06;21:07;21:21;21:21;21:36;21:36;21:51;21:51;22:06;22:06;22:21;22:22;22:41;22:41;23:11;23:11;23:41;23:42
An den Tierkliniken;00:12;00:13;00:42;00:42;;;04:42;04:42;;;05:12;05:13;05:42;05:42;06:12;06:14;06:42;06:42;07:12;07:12;07:42;07:42;08:12;08:14;08:42;08:43;;;09:07;09:08;09:22;09:25;09:37;09:38;09:52;09:53;10:07;10:07;10:22;10:22;10:37;10:38;10:52;10:54;11:07;11:07;11:22;11:25;11:37;11:38;11:52;11:53;12:07;12:08;12:22;12:23;12:37;12:37;12:52;12:53;13:07;13:08;13:22;13:24;13:37;13:38;13:52;13:54;14:07;14:08;14:22;14:24;14:37;14:38;14:52;14:53;15:07;15:08;15:22;15:22;15:37;15:38;15:52;15:53;16:07;16:09;16:22;16:24;16:37;16:39;16:52;16:53;17:07;17:08;17:22;17:24;17:37;17:37;17:52;17:53;18:07;18:09;18:22;18:23;18:37;18:39;18:52;18:54;19:07;19:08;19:22;19:23;19:37;19:37;19:52;19:53;20:07;20:08;20:22;20:23;20:37;20:38;20:52;20:53;21:07;21:08;21:22;21:22;21:37;21:38;21:52;21:52;22:07;22:08;22:22;22:23;22:42;22:42;23:12;23:12;23:42;23:42
Dt. Nationalbibliothek;00:14;00:15;00:44;00:44;;;04:44;04:43;;;05:14;05:14;05:44;05:44;06:14;06:16;06:44;06:44;07:14;07:14;07:44;07:44;08:14;08:16;08:44;08:45;;;09:09;09:09;09:24;09:26;09:39;09:40;09:54;09:55;10:09;10:09;10:24;10:24;10:39;10:40;10:54;10:56;11:09;11:09;11:24;11:26;11:39;11:40;11:54;11:54;12:09;12:10;12:24;12:24;12:39;12:39;12:54;12:54;13:09;13:10;13:24;13:26;13:39;13:40;13:54;13:55;14:09;14:09;14:24;14:26;14:39;14:40;14:54;14:54;15:09;15:10;15:24;15:24;15:39;15:39;15:54;15:55;16:09;16:10;16:24;16:26;16:39;16:40;16:54;16:55;17:09;17:10;17:24;17:26;17:39;17:39;17:54;17:54;18:09;18:11;18:24;18:25;18:39;18:40;18:54;18:55;19:09;19:10;19:24;19:24;19:39;19:38;19:54;19:54;20:09;20:10;20:24;20:25;20:39;20:39;20:54;20:54;21:09;21:10;21:24;21:24;21:39;21:39;21:54;21:53;22:09;22:09;22:24;22:24;22:44;22:43;23:14;23:14;23:44;23:44
Johannisallee;00:16;00:16;00:46;00:45;;;04:46;04:45;;;05:16;05:16;05:46;05:45;06:16;06:17;06:46;06:46;07:16;07:16;07:46;07:45;08:16;08:17;08:46;08:46;;;09:11;09:11;09:26;09:28;09:41;09:42;09:56;09:57;10:11;10:11;10:26;10:25;10:41;10:41;10:56;10:58;11:11;11:10;11:26;11:28;11:41;11:41;11:56;11:56;12:11;12:12;12:26;12:26;12:41;12:41;12:56;12:56;13:11;13:12;13:26;13:27;13:41;13:41;13:56;13:57;14:11;14:11;14:26;14:27;14:41;14:42;14:56;14:56;15:11;15:11;15:26;15:26;15:41;15:41;15:56;15:57;16:11;16:12;16:26;16:27;16:41;16:42;16:56;16:57;17:11;17:11;17:26;17:28;17:41;17:41;17:56;17:56;18:11;18:12;18:26;18:27;18:41;18:42;18:56;18:57;19:11;19:12;19:26;19:26;19:41;19:40;19:56;19:56;20:11;20:12;20:26;20:27;20:41;20:41;20:56;20:56;21:11;21:12;21:26;21:25;21:41;21:41;21:56;21:55;22:11;22:11;22:26;22:25;22:46;22:45;23:16;23:15;23:46;23:45
Bayerischer Bahnhof;00:17;00:18;00:47;00:47;;;04:47;04:48;;;05:17;05:18;05:47;05:47;06:17;06:20;06:47;06:47;07:17;07:17;07:47;07:47;08:17;08:20;08:47;08:48;;;09:12;09:12;09:27;09:30;09:42;09:44;09:57;09:59;10:12;10:12;10:27;10:27;10:42;10:44;10:57;11:00;11:12;11:12;11:27;11:29;11:42;11:43;11:57;11:57;12:12;12:14;12:27;12:29;12:42;12:42;12:57;12:57;13:12;13:14;13:27;13:29;13:42;13:43;13:57;13:59;14:12;14:12;14:27;14:29;14:42;14:44;14:57;14:58;15:12;15:14;15:27;15:27;15:42;15:42;15:57;15:59;16:12;16:14;16:27;16:29;16:42;16:44;16:57;16:59;17:12;17:13;17:27;17:29;17:42;17:42;17:57;17:58;18:12;18:14;18:27;18:29;18:42;18:44;18:57;18:59;19:12;19:14;19:27;19:27;19:42;19:42;19:57;19:57;20:12;20:14;20:27;20:29;20:42;20:42;20:57;20:57;21:12;21:14;21:27;21:27;21:42;21:42;21:57;21:57;22:12;22:12;22:27;22:27;22:47;22:47;23:17;23:17;23:47;23:47
