Kurs:;62;;65;;64;;41;;61;;72;;41;;65;;64;;61;;72;;41;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;;62;;63;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Soll;Ist;Soll;Ist
Mockau, Post;00:21;00:20;;;04:51;04:50;;;05:21;05:20;05:51;05:50;06:21;06:21;06:51;06:51;07:21;07:21;07:51;07:50;08:21;08:21;08:51;08:51;09:06;09:07;09:21;09:20;09:36;09:36;09:51;09:51;10:06;10:05;10:21;10:21;10:36;10:36;10:51;10:50;11:06;11:07;11:21;11:20;11:36;11:36;11:51;11:50;12:06;12:05;12:21;12:21;12:36;12:36;12:51;12:50;13:06;13:05;13:21;13:21;13:36;13:36;13:51;13:52;14:06;14:06;14:21;14:20;14:36;14:36;14:51;14:51;15:06;15:04;15:21;15:21;15:36;15:37;15:51;15:52;16:06;16:06;16:21;16:20;16:36;16:35;16:51;16:52;17:06;17:05;17:21;17:21;17:36;17:35;17:51;17:50;18:06;18:05;18:21;18:20;18:36;18:35;18:51;18:51;19:06;19:05;19:21;19:20;19:36;19:35;19:51;19:51;20:06;20:05;20:21;20:21;20:36;20:35;20:51;20:51;21:06;21:06;21:21;21:20;21:36;21:35;21:51;21:52;22:06;22:05;22:21;22:20;22:43;22:43;22:51;22:51;22:51;23:21;23:21;23:51;23:50
Döringstraße;00:22;00:21;;;04:52;04:51;;;05:22;05:22;05:52;05:51;06:22;06:22;06:52;06:52;07:22;07:22;07:52;07:51;08:22;08:22;08:52;08:52;09:07;09:08;09:22;09:22;09:37;09:37;09:52;09:52;10:07;10:07;10:22;10:22;10:37;10:37;10:52;10:52;11:07;11:08;11:22;11:21;11:37;11:37;11:52;11:52;12:07;12:06;12:22;12:22;12:37;12:37;12:52;12:51;13:07;13:06;13:22;13:22;13:37;13:37;13:52;13:53;14:07;14:08;14:22;14:21;14:37;14:37;14:52;14:52;15:07;15:06;15:22;15:22;15:37;15:38;15:52;15:53;16:07;16:07;16:22;16:21;16:37;16:37;16:52;16:53;17:07;17:06;17:22;17:22;17:37;17:36;17:52;17:51;18:07;18:06;18:22;18:22;18:37;18:37;18:52;18:52;19:07;19:07;19:22;19:21;19:37;19:36;19:52;19:52;20:07;20:06;20:22;20:22;20:37;20:37;20:52;20:52;21:07;21:07;21:22;21:21;21:37;21:36;21:52;21:53;22:07;22:06;22:22;22:21;22:44;22:44;22:52;22:52;22:52;23:22;23:22;23:52;23:51
Friedrichshafner Straße;00:23;00:22;;;04:53;04:52;;;05:23;05:23;05:53;05:52;06:23;06:23;06:53;06:53;07:23;07:23;07:53;07:52;08:23;08:23;08:53;08:53;09:08;09:08;09:23;09:22;09:38;09:38;09:53;09:53;10:08;10:08;10:23;10:22;10:38;10:38;10:53;10:53;11:08;11:09;11:23;11:22;11:38;11:38;11:53;11:53;12:08;12:07;12:23;12:23;12:38;12:39;12:53;12:52;13:08;13:07;13:23;13:23;13:38;13:38;13:53;13:55;14:08;14:09;14:23;14:22;14:38;14:38;14:53;14:53;15:08;15:07;15:23;15:23;15:38;15:39;15:53;15:55;16:08;16:08;16:23;16:23;16:38;16:38;16:53;16:54;17:08;17:07;17:23;17:23;17:38;17:38;17:53;17:53;18:08;18:07;18:23;18:23;18:38;18:38;18:53;18:53;19:08;19:07;19:23;19:22;19:38;19:38;19:53;19:53;20:08;20:07;20:23;20:23;20:38;20:38;20:53;20:53;21:08;21:08;21:23;21:22;21:38;21:37;21:53;21:54;22:08;22:07;22:23;22:22;22:45;22:45;22:53;22:53;22:53;23:23;23:23;23:53;23:52
Mockauer/Volbedingstraße;00:25;00:23;;;04:55;04:55;;;05:25;05:24;05:55;05:54;06:25;06:24;06:55;06:55;07:25;07:25;07:55;07:54;08:25;08:25;08:55;08:54;09:10;09:10;09:25;09:25;09:40;09:40;09:55;09:55;10:10;10:10;10:25;10:24;10:40;10:39;10:55;10:55;11:10;11:11;11:25;11:25;11:40;11:39;11:55;11:55;12:10;12:09;12:25;12:24;12:40;12:41;12:55;12:54;13:10;13:10;13:25;13:24;13:40;13:40;13:55;13:56;14:10;14:10;14:25;14:25;14:40;14:40;14:55;14:55;15:10;15:10;15:25;15:24;15:40;15:41;15:55;15:56;16:10;16:10;16:25;16:25;16:40;16:39;16:55;16:56;17:10;17:08;17:25;17:24;17:40;17:40;17:55;17:55;18:10;18:10;18:25;18:25;18:40;18:39;18:55;18:55;19:10;19:09;19:25;19:24;19:40;19:40;19:55;19:55;20:10;20:10;20:25;20:24;20:40;20:40;20:55;20:55;21:10;21:10;21:25;21:24;21:40;21:39;21:55;21:56;22:10;22:09;22:25;22:24;22:47;22:46;22:55;22:55;22:55;23:25;23:25;23:55;23:54
Schönefeld, Volbedings.;00:27;00:25;;;04:57;04:56;;;05:27;05:26;05:57;05:56;06:27;06:26;06:57;06:57;07:27;07:26;07:57;07:56;08:27;08:26;08:57;08:56;09:12;09:13;09:27;09:26;09:42;09:41;09:57;09:57;10:12;10:11;10:27;10:26;10:42;10:41;10:57;10:56;11:12;11:13;11:27;11:26;11:42;11:41;11:57;11:56;12:12;12:12;12:27;12:26;12:42;12:43;12:57;12:56;13:12;13:11;13:27;13:26;13:42;13:42;13:57;13:58;14:12;14:13;14:27;14:26;14:42;14:42;14:57;14:56;15:12;15:11;15:27;15:26;15:42;15:43;15:57;15:58;16:12;16:11;16:27;16:26;16:42;16:41;16:57;16:58;17:12;17:10;17:27;17:27;17:42;17:41;17:57;17:56;18:12;18:11;18:27;18:27;18:42;18:41;18:57;18:57;19:12;19:11;19:27;19:26;19:42;19:41;19:57;19:58;20:12;20:11;20:27;20:26;20:42;20:41;20:57;20:56;21:12;21:12;21:27;21:26;21:42;21:41;21:57;21:58;22:12;22:11;22:27;22:26;22:49;22:48;22:57;22:57;22:57;23:27;23:27;23:57;23:55
Rathaus Schönefeld;00:28;00:26;;;04:58;04:57;;;05:28;05:27;05:58;05:57;06:28;06:27;06:58;06:58;07:28;07:27;07:58;07:57;08:28;08:28;08:58;08:57;09:13;09:13;09:28;09:27;09:43;09:42;09:58;09:57;10:13;10:12;10:28;10:27;10:43;10:42;10:58;10:57;11:13;11:14;11:28;11:27;11:43;11:42;11:58;11:57;12:13;12:12;12:28;12:27;12:43;12:44;12:58;12:57;13:13;13:12;13:28;13:27;13:43;13:43;13:58;13:59;14:13;14:14;14:28;14:27;14:43;14:42;14:58;14:57;15:13;15:12;15:28;15:27;15:43;15:44;15:58;15:59;16:13;16:12;16:28;16:27;16:43;16:42;16:58;16:59;17:13;17:11;17:28;17:27;17:43;17:42;17:58;17:57;18:13;18:12;18:28;18:27;18:43;18:42;18:58;18:58;19:13;19:12;19:28;19:27;19:43;19:42;19:58;19:59;20:13;20:12;20:28;20:27;20:43;20:42;20:58;20:57;21:13;21:12;21:28;21:27;21:43;21:42;21:58;21:59;22:13;22:12;22:28;22:27;22:50;22:49;22:58;22:58;22:58;23:28;23:27;23:58;23:57
Ossietzky-/Gorkistraße;00:29;00:27;;;04:59;04:58;;;05:29;05:28;05:59;05:58;06:29;06:28;06:59;06:59;07:29;07:28;07:59;07:58;08:29;08:29;08:59;08:58;09:14;09:14;09:29;09:28;09:44;09:43;09:59;09:58;10:14;10:13;10:29;10:28;10:44;10:43;10:59;10:58;11:14;11:15;11:29;11:28;11:44;11:43;11:59;11:58;12:14;12:13;12:29;12:28;12:44;12:45;12:59;12:58;13:14;13:13;13:29;13:28;13:44;13:44;13:59;14:00;14:14;14:15;14:29;14:28;14:44;14:43;14:59;14:58;15:14;15:13;15:29;15:28;15:44;15:45;15:59;16:00;16:14;16:13;16:29;16:28;16:44;16:43;16:59;17:00;17:14;17:12;17:29;17:28;17:44;17:43;17:59;17:58;18:14;18:13;18:29;18:28;18:44;18:43;18:59;18:58;19:14;19:13;19:29;19:28;19:44;19:43;19:59;20:00;20:14;20:13;20:29;20:28;20:44;20:43;20:59;20:58;21:14;21:13;21:29;21:28;21:44;21:43;21:59;21:59;22:14;22:12;22:29;22:29;22:51;22:50;22:59;22:58;22:59;23:29;23:28;23:59;23:58
Löbauer Straße;00:30;00:29;;;05:00;05:00;;;05:30;05:30;06:00;06:00;06:30;06:29;07:00;07:00;07:30;07:30;08:00;08:00;08:30;08:30;09:00;09:00;09:15;09:16;09:30;09:30;09:45;09:45;10:00;10:00;10:15;10:15;10:30;10:29;10:45;10:45;11:00;11:00;11:15;11:16;11:30;11:30;11:45;11:45;12:00;12:00;12:15;12:15;12:30;12:29;12:45;12:46;13:00;12:59;13:15;13:14;13:30;13:30;13:45;13:45;14:00;14:01;14:15;14:17;14:30;14:29;14:45;14:45;15:00;15:00;15:15;15:14;15:30;15:29;15:45;15:46;16:00;16:01;16:15;16:15;16:30;16:29;16:45;16:45;17:00;17:01;17:15;17:14;17:30;17:30;17:45;17:45;18:00;18:00;18:15;18:14;18:30;18:30;18:45;18:45;19:00;19:00;19:15;19:15;19:30;19:29;19:45;19:44;20:00;20:01;20:15;20:14;20:30;20:30;20:45;20:44;21:00;21:00;21:15;21:15;21:30;21:29;21:45;21:45;22:00;22:01;22:15;22:14;22:30;22:30;22:52;22:51;23:00;23:00;23:00;23:30;23:30;00:00;23:59
Stöckelstraße;00:31;00:30;;;05:01;05:01;;;05:31;05:31;06:01;06:01;06:31;06:31;07:01;07:02;07:31;07:31;08:01;08:01;08:31;08:32;09:01;09:01;09:16;09:17;09:31;09:31;09:46;09:46;10:01;10:01;10:16;10:16;10:31;10:31;10:46;10:46;11:01;11:01;11:16;11:17;11:31;11:31;11:46;11:46;12:01;12:01;12:16;12:16;12:31;12:31;12:46;12:47;13:01;13:01;13:16;13:16;13:31;13:31;13:46;13:47;14:01;14:02;14:16;14:18;14:31;14:31;14:46;14:47;15:01;15:01;15:16;15:15;15:31;15:31;15:46;15:47;16:01;16:02;16:16;16:16;16:31;16:31;16:46;16:46;17:01;17:03;17:16;17:15;17:31;17:31;17:46;17:46;18:01;18:02;18:16;18:16;18:31;18:32;18:46;18:46;19:01;19:02;19:16;19:16;19:31;19:30;19:46;19:46;20:01;20:03;20:16;20:16;20:31;20:31;20:46;20:46;21:01;21:01;21:16;21:16;21:31;21:30;21:46;21:46;22:01;22:02;22:16;22:15;22:31;22:31;22:53;22:52;23:01;23:01;23:01;23:31;23:31;00:01;00:00
