Kurs:;45;;41;;46;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Altes Messegelände;;;12:11;12:11;;;12:26;12:26;12:41;12:41;12:56;12:57;13:11;13:12;13:26;13:27;13:41;13:42;13:56;13:56;14:11;14:11;14:26;14:27;14:41;14:42;14:56;14:56;15:11;15:17;15:26;15:26;15:41;15:41;15:56;15:57;16:11;16:11;16:26;16:26;16:41;16:41;16:56;16:56;17:11;17:11;17:26;17:27;17:41;17:43;17:56;17:57;18:11;18:14
Dt. Nationalbibliothek;;;12:13;12:13;;;12:28;12:27;12:43;12:43;12:58;12:59;13:13;13:14;13:28;13:29;13:43;13:44;13:58;13:58;14:13;14:13;14:28;14:30;14:43;14:44;14:58;14:57;15:13;15:19;15:28;15:28;15:43;15:42;15:58;15:59;16:13;16:13;16:28;16:29;16:43;16:43;16:58;16:58;17:13;17:12;17:28;17:29;17:43;17:44;17:58;17:59;18:13;18:15
Johannisallee;;;12:15;12:15;;;12:30;12:29;12:45;12:45;13:00;13:00;13:15;13:15;13:30;13:30;13:45;13:46;14:00;14:00;14:15;14:15;14:30;14:31;14:45;14:45;15:00;14:59;15:15;15:21;15:30;15:30;15:45;15:44;16:00;16:01;16:15;16:15;16:30;16:30;16:45;16:45;17:00;16:59;17:15;17:14;17:30;17:30;17:45;17:46;18:00;18:00;18:15;18:17
Bayerischer Bahnhof;;;12:16;12:17;;;12:31;12:31;12:46;12:47;13:01;13:02;13:16;13:17;13:31;13:32;13:46;13:48;14:01;14:02;14:16;14:17;14:31;14:34;14:46;14:47;15:01;15:01;15:16;15:23;15:31;15:32;15:46;15:46;16:01;16:02;16:16;16:17;16:31;16:32;16:46;16:47;17:01;17:01;17:16;17:16;17:31;17:32;17:46;17:48;18:01;18:02;18:16;18:18
Härtelstraße;;;12:18;12:18;;;12:33;12:32;12:48;12:48;13:03;13:03;13:18;13:18;13:33;13:33;13:48;13:50;14:03;14:03;14:18;14:18;14:33;14:35;14:48;14:48;15:03;15:02;15:18;15:24;15:33;15:33;15:48;15:47;16:03;16:03;16:18;16:18;16:33;16:33;16:48;16:48;17:03;17:02;17:18;17:17;17:33;17:33;17:48;17:49;18:03;18:03;18:18;18:20
Roßplatz;;;12:19;12:21;;;12:34;12:33;12:49;12:49;13:04;13:04;13:19;13:19;13:34;13:34;13:49;13:51;14:04;14:04;14:19;14:19;14:34;14:36;14:49;14:51;15:04;15:04;15:19;15:25;15:34;15:34;15:49;15:49;16:04;16:06;16:19;16:19;16:34;16:36;16:49;16:49;17:04;17:03;17:19;17:19;17:34;17:34;17:49;17:51;18:04;18:04;18:19;18:22
Wilhelm-Leuschner-Platz;;;12:21;12:22;;;12:36;12:35;12:51;12:51;13:06;13:06;13:21;13:21;13:36;13:36;13:51;13:52;14:06;14:05;14:21;14:21;14:36;14:37;14:51;14:52;15:06;15:05;15:21;15:27;15:36;15:36;15:51;15:51;16:06;16:07;16:21;16:21;16:36;16:37;16:51;16:51;17:06;17:04;17:21;17:21;17:36;17:36;17:51;17:52;18:06;18:06;18:21;18:24
Neues Rathaus;;;12:23;12:24;;;12:38;12:37;12:53;12:53;13:08;13:08;13:23;13:23;13:38;13:38;13:53;13:54;14:08;14:08;14:23;14:23;14:38;14:40;14:53;14:54;15:08;15:08;15:23;15:29;15:38;15:38;15:53;15:53;16:08;16:09;16:23;16:23;16:38;16:39;16:53;16:53;17:08;17:06;17:23;17:23;17:38;17:38;17:53;17:54;18:08;18:08;18:23;18:26
Westplatz;;;12:25;12:26;;;12:40;12:38;12:55;12:54;13:10;13:09;13:25;13:25;13:40;13:39;13:55;13:56;14:10;14:09;14:25;14:25;14:40;14:42;14:55;14:56;15:10;15:09;15:25;15:31;15:40;15:39;15:55;15:55;16:10;16:11;16:25;16:24;16:40;16:41;16:55;16:54;17:10;17:08;17:25;17:24;17:40;17:39;17:55;17:56;18:10;18:10;18:25;18:28
Marschnerstraße;;;12:26;12:27;;;12:41;12:40;12:56;12:56;13:11;13:11;13:26;13:26;13:41;13:41;13:56;13:57;14:11;14:11;14:26;14:26;14:41;14:43;14:56;14:57;15:11;15:11;15:26;15:33;15:41;15:44;15:56;15:56;16:11;16:13;16:26;16:26;16:41;16:43;16:56;16:56;17:11;17:10;17:26;17:26;17:41;17:41;17:56;17:58;18:11;18:11;18:26;18:29
Klingerweg;;;12:28;12:29;;;12:43;12:42;12:58;12:57;13:13;13:13;13:28;13:27;13:43;13:43;13:58;13:59;14:13;14:13;14:28;14:28;14:43;14:45;14:58;15:00;15:13;15:12;15:28;15:34;15:43;15:46;15:58;15:58;16:13;16:15;16:28;16:27;16:43;16:45;16:58;16:58;17:13;17:12;17:28;17:28;17:43;17:43;17:58;18:00;18:13;18:13;18:28;18:31
Holbeinstraße;;;12:30;12:31;;;12:45;12:44;13:00;12:59;13:15;13:15;13:30;13:29;13:45;13:45;14:00;14:01;14:15;14:15;14:30;14:30;14:45;14:46;15:00;15:01;15:15;15:14;15:30;15:36;15:45;15:48;16:00;16:00;16:15;16:16;16:30;16:29;16:45;16:46;17:00;17:00;17:15;17:13;17:30;17:30;17:45;17:45;18:00;18:02;18:15;18:15;18:30;18:33
Stieglitzstraße;;;12:31;12:32;;;12:46;12:45;13:01;13:00;13:16;13:16;13:31;13:30;13:46;13:46;14:01;14:02;14:16;14:16;14:31;14:31;14:46;14:48;15:01;15:02;15:16;15:15;15:31;15:37;15:46;15:49;16:01;16:01;16:16;16:18;16:31;16:30;16:46;16:48;17:01;17:02;17:16;17:15;17:31;17:31;17:46;17:47;18:01;18:03;18:16;18:16;18:31;18:35
Rödelstraße;;;12:32;12:33;;;12:47;12:47;13:02;13:02;13:17;13:17;13:32;13:32;13:47;13:48;14:02;14:04;14:17;14:17;14:32;14:33;14:47;14:49;15:02;15:04;15:17;15:17;15:32;15:39;15:47;15:51;16:02;16:02;16:17;16:19;16:32;16:32;16:47;16:49;17:02;17:04;17:17;17:17;17:32;17:32;17:47;17:49;18:02;18:05;18:17;18:17;18:32;18:37
