Kurs:;41;;42;;43;;45;;44;;46;;41;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Ratzelbogen;;;;;;;12:29;12:29;;;12:44;12:44;12:59;12:59;13:14;13:14;13:29;13:29;13:44;13:44;13:59;13:59;14:14;14:14;14:29;14:31;14:44;14:43;14:59;14:59;15:14;15:14;15:29;15:29;15:44;15:44;15:59;15:59;16:14;16:14;16:29;16:28;16:44;16:44;16:59;16:59;17:14;17:14;17:29;17:31;17:40;17:39;17:55;17:54;18:10;18:10;18:25;18:25;18:40;18:40;18:55;18:55
Stuttgarter Allee;;;;;;;12:30;12:30;;;12:45;12:45;13:00;13:00;13:15;13:15;13:30;13:30;13:45;13:46;14:00;14:00;14:15;14:15;14:30;14:33;14:45;14:45;15:00;15:00;15:15;15:16;15:30;15:30;15:45;15:45;16:00;16:01;16:15;16:15;16:30;16:30;16:45;16:46;17:00;17:01;17:15;17:15;17:30;17:33;17:41;17:41;17:56;17:56;18:11;18:11;18:26;18:26;18:41;18:41;18:56;18:57
Schönauer/Ratzelstraße;;;;;;;12:31;12:32;;;12:46;12:47;13:01;13:02;13:16;13:17;13:31;13:31;13:46;13:47;14:01;14:02;14:16;14:17;14:31;14:34;14:46;14:46;15:01;15:02;15:16;15:17;15:31;15:31;15:46;15:46;16:01;16:02;16:16;16:17;16:31;16:31;16:46;16:47;17:01;17:02;17:16;17:17;17:31;17:35;17:42;17:42;17:57;17:57;18:12;18:12;18:27;18:28;18:42;18:43;18:57;18:58
Herrmann-Meyer-Straße;;;;;;;12:33;12:33;;;12:48;12:48;13:03;13:04;13:18;13:18;13:33;13:33;13:48;13:49;14:03;14:03;14:18;14:19;14:33;14:36;14:48;14:47;15:03;15:04;15:18;15:18;15:33;15:33;15:48;15:48;16:03;16:04;16:18;16:18;16:33;16:34;16:48;16:49;17:03;17:04;17:18;17:18;17:33;17:37;17:44;17:44;17:59;17:59;18:14;18:14;18:29;18:29;18:44;18:45;18:59;19:00
Kurt-Kresse-Straße;;;;;;;12:35;12:35;;;12:50;12:50;13:05;13:05;13:20;13:19;13:35;13:34;13:50;13:50;14:05;14:04;14:20;14:20;14:35;14:37;14:50;14:49;15:05;15:05;15:20;15:20;15:35;15:34;15:50;15:49;16:05;16:05;16:20;16:20;16:35;16:35;16:50;16:50;17:05;17:05;17:20;17:20;17:35;17:38;17:46;17:45;18:01;18:00;18:16;18:15;18:31;18:31;18:46;18:46;19:01;19:02
Diezmannstraße;;;;;;;12:36;12:36;;;12:51;12:51;13:06;13:07;13:21;13:21;13:36;13:36;13:51;13:52;14:06;14:06;14:21;14:21;14:36;14:40;14:51;14:50;15:06;15:06;15:21;15:21;15:36;15:36;15:51;15:51;16:06;16:06;16:21;16:21;16:36;16:36;16:51;16:51;17:06;17:07;17:21;17:21;17:36;17:40;17:47;17:47;18:02;18:01;18:17;18:17;18:32;18:32;18:47;18:48;19:02;19:03
Antonien-/Gießerstraße;;;;;;;12:38;12:37;;;12:53;12:53;13:08;13:08;13:23;13:22;13:38;13:38;13:53;13:54;14:08;14:07;14:23;14:23;14:38;14:41;14:53;14:51;15:08;15:08;15:23;15:23;15:38;15:37;15:53;15:52;16:08;16:08;16:23;16:22;16:38;16:37;16:53;16:53;17:08;17:09;17:23;17:23;17:38;17:41;17:49;17:48;18:04;18:03;18:19;18:18;18:34;18:34;18:49;18:49;19:04;19:04
Adler;;;;;;;12:40;12:39;;;12:55;12:54;13:10;13:09;13:25;13:24;13:40;13:39;13:55;13:55;14:10;14:08;14:25;14:24;14:40;14:43;14:55;14:54;15:10;15:09;15:25;15:24;15:40;15:39;15:55;15:53;16:10;16:09;16:25;16:24;16:40;16:39;16:55;16:55;17:10;17:10;17:25;17:25;17:40;17:42;17:51;17:49;18:06;18:04;18:21;18:20;18:36;18:36;18:51;18:51;19:06;19:06
Rödelstraße;;;;;;;12:42;12:41;;;12:57;12:56;13:12;13:12;13:27;13:26;13:42;13:41;13:57;13:57;14:12;14:12;14:27;14:26;14:42;14:45;14:57;14:56;15:12;15:12;15:27;15:26;15:42;15:41;15:57;15:56;16:12;16:11;16:27;16:26;16:42;16:41;16:57;16:58;17:12;17:13;17:27;17:28;17:42;17:44;;;;;;;;;;;;
