Kurs:;46;;13;;15;;42;;44;;31;;41;;32;;42;;44;;41;;31;;32;;42;;44;;43;;12;;41;;13;;31;;11;;32;;42;;43;;44;;12;;41;;13;;31;;11;;32;;42;;43;;44;;12;;41;;13;;31;;11;;32;;42;;43;;44;;12;;41;;13;;31;;11;;32;;42;;43;;44;;12;;41;;13;;31;;11;;32;;42;;43;;44;;12;;41;;13;;31;;11;;32;;42;;43;;44;;41;;31;;11;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Taucha, An d. Bürgerruhe;00:02;00:02;00:32;00:32;01:00;01:02;;;;;04:32;04:31;;;05:02;05:02;05:32;05:32;06:02;06:02;06:32;06:32;07:02;07:01;07:32;07:32;08:02;08:02;08:32;08:32;;;;;09:09;09:09;;;09:39;09:38;;;10:09;10:09;;;10:39;10:39;;;11:09;11:09;;;11:39;11:39;;;12:09;12:09;;;12:39;12:38;;;13:09;13:09;;;13:39;13:39;;;14:09;14:10;;;14:39;14:39;;;15:09;15:08;;;15:39;15:39;;;16:09;16:09;;;16:39;16:39;;;17:09;17:09;;;17:39;17:39;;;18:09;18:09;;;18:39;18:39;;;19:09;19:11;;;19:39;19:39;;;20:09;20:09;;;20:39;20:39;;;21:09;21:09;;;21:39;21:39;;;22:09;22:09;22:32;22:32;23:02;23:02;23:32;23:32
Taucha, Freiligrathstr.;00:03;00:03;00:33;00:33;01:01;01:04;;;;;04:33;04:33;;;05:03;05:03;05:33;05:33;06:03;06:03;06:33;06:33;07:03;07:02;07:33;07:33;08:03;08:03;08:33;08:33;;;;;09:10;09:10;;;09:40;09:40;;;10:10;10:10;;;10:40;10:40;;;11:10;11:10;;;11:40;11:40;;;12:10;12:10;;;12:40;12:40;;;13:10;13:10;;;13:40;13:41;;;14:10;14:11;;;14:40;14:40;;;15:10;15:10;;;15:40;15:40;;;16:10;16:11;;;16:40;16:40;;;17:10;17:11;;;17:40;17:40;;;18:10;18:11;;;18:40;18:40;;;19:10;19:13;;;19:40;19:40;;;20:10;20:10;;;20:40;20:40;;;21:10;21:10;;;21:40;21:40;;;22:10;22:11;22:33;22:33;23:03;23:03;23:33;23:33
Taucha, Th.-Körner-Str.;00:04;00:04;00:34;00:34;01:02;01:04;;;;;04:34;04:33;;;05:04;05:04;05:34;05:34;06:04;06:04;06:34;06:34;07:04;07:03;07:34;07:34;08:04;08:04;08:34;08:34;;;;;09:11;09:11;;;09:41;09:41;;;10:11;10:11;;;10:41;10:41;;;11:11;11:11;;;11:41;11:41;;;12:11;12:11;;;12:41;12:41;;;13:11;13:11;;;13:41;13:41;;;14:11;14:12;;;14:41;14:41;;;15:11;15:11;;;15:41;15:41;;;16:11;16:12;;;16:41;16:41;;;17:11;17:12;;;17:41;17:41;;;18:11;18:12;;;18:41;18:41;;;19:11;19:13;;;19:41;19:41;;;20:11;20:11;;;20:41;20:41;;;21:11;21:11;;;21:41;21:41;;;22:11;22:11;22:34;22:34;23:04;23:04;23:34;23:34
Taucha, O.-Schmidt-Str.;00:05;00:06;00:35;00:36;01:03;01:06;;;;;04:35;04:35;;;05:05;05:05;05:35;05:36;06:05;06:05;06:35;06:35;07:05;07:05;07:35;07:36;08:05;08:05;08:35;08:35;;;;;09:12;09:12;;;09:42;09:42;;;10:12;10:12;;;10:42;10:42;;;11:12;11:12;;;11:42;11:42;;;12:12;12:13;;;12:42;12:42;;;13:12;13:12;;;13:42;13:43;;;14:12;14:14;;;14:42;14:42;;;15:12;15:12;;;15:42;15:42;;;16:12;16:13;;;16:42;16:42;;;17:12;17:13;;;17:42;17:42;;;18:12;18:13;;;18:42;18:42;;;19:12;19:15;;;19:42;19:43;;;20:12;20:13;;;20:42;20:42;;;21:12;21:13;;;21:42;21:42;;;22:12;22:13;22:35;22:36;23:05;23:05;23:35;23:36
Portitzer Allee;00:07;00:08;00:37;00:38;01:05;01:08;;;;;04:37;04:36;;;05:07;05:08;05:37;05:38;06:07;06:07;06:37;06:38;07:07;07:07;07:37;07:38;08:07;08:07;08:37;08:38;;;08:59;09:00;09:14;09:15;09:29;09:30;09:44;09:44;09:59;09:59;10:14;10:14;10:29;10:28;10:44;10:44;10:59;10:59;11:14;11:14;11:29;11:29;11:44;11:44;11:59;11:59;12:14;12:15;12:29;12:29;12:44;12:44;12:59;12:59;13:14;13:15;13:29;13:29;13:44;13:45;13:59;13:59;14:14;14:16;14:29;14:29;14:44;14:44;14:59;14:59;15:14;15:14;15:29;15:29;15:44;15:44;15:59;15:59;16:14;16:15;16:29;16:29;16:44;16:45;16:59;16:59;17:14;17:15;17:29;17:29;17:44;17:45;17:59;17:59;18:14;18:15;18:29;18:29;18:44;18:44;18:59;18:59;19:14;19:17;19:29;19:28;19:44;19:45;19:59;19:58;20:14;20:15;20:29;20:29;20:44;20:44;20:59;20:59;21:14;21:15;21:29;21:29;21:44;21:44;21:59;21:59;22:14;22:15;22:37;22:38;23:07;23:07;23:37;23:38
Heiterblick, Teslastraße;00:09;00:10;00:39;00:40;;;;;;;04:39;04:38;;;05:09;05:09;05:39;05:40;06:09;06:09;06:39;06:39;07:09;07:09;07:39;07:39;08:09;08:09;08:39;08:40;;;09:01;09:02;09:16;09:17;09:31;09:31;09:46;09:45;10:01;10:01;10:16;10:16;10:31;10:30;10:46;10:46;11:01;11:01;11:16;11:16;11:31;11:31;11:46;11:46;12:01;12:00;12:16;12:17;12:31;12:31;12:46;12:45;13:01;13:00;13:16;13:17;13:31;13:30;13:46;13:47;14:01;14:02;14:16;14:17;14:31;14:30;14:46;14:46;15:01;15:00;15:16;15:16;15:31;15:30;15:46;15:46;16:01;16:00;16:16;16:17;16:31;16:31;16:46;16:47;17:01;17:00;17:16;17:17;17:31;17:30;17:46;17:47;18:01;18:01;18:16;18:17;18:31;18:31;18:46;18:46;19:01;19:01;19:16;19:19;19:31;19:30;19:46;19:46;20:01;20:00;20:16;20:16;20:31;20:31;20:46;20:46;21:01;21:00;21:16;21:16;21:31;21:31;21:46;21:46;22:01;22:02;22:16;22:17;22:39;22:40;23:09;23:08;23:39;23:40
Arcus Park;00:10;00:11;00:40;00:40;;;;;;;04:40;04:39;;;05:10;05:10;05:40;05:41;06:10;06:10;06:40;06:40;07:10;07:10;07:40;07:40;08:10;08:11;08:40;08:41;;;09:02;09:03;09:17;09:19;09:32;09:32;09:47;09:46;10:02;10:02;10:17;10:17;10:32;10:31;10:47;10:47;11:02;11:02;11:17;11:17;11:32;11:32;11:47;11:47;12:02;12:01;12:17;12:18;12:32;12:32;12:47;12:47;13:02;13:02;13:17;13:19;13:32;13:32;13:47;13:49;14:02;14:04;14:17;14:19;14:32;14:32;14:47;14:47;15:02;15:02;15:17;15:17;15:32;15:32;15:47;15:47;16:02;16:02;16:17;16:19;16:32;16:32;16:47;16:49;17:02;17:02;17:17;17:19;17:32;17:32;17:47;17:49;18:02;18:02;18:17;18:19;18:32;18:32;18:47;18:47;19:02;19:02;19:17;19:20;19:32;19:31;19:47;19:47;20:02;20:01;20:17;20:17;20:32;20:32;20:47;20:47;21:02;21:01;21:17;21:17;21:32;21:32;21:47;21:47;22:02;22:04;22:17;22:18;22:40;22:41;23:10;23:10;23:40;23:41
Hohentichelnstraße;00:11;00:11;00:41;00:41;;;;;;;04:41;04:40;;;05:11;05:11;05:41;05:41;06:11;06:11;06:41;06:41;07:11;07:11;07:41;07:41;08:11;08:12;08:41;08:42;;;09:03;09:04;09:18;09:19;09:33;09:33;09:48;09:48;10:03;10:03;10:18;10:18;10:33;10:31;10:48;10:48;11:03;11:03;11:18;11:18;11:33;11:33;11:48;11:48;12:03;12:02;12:18;12:18;12:33;12:33;12:48;12:48;13:03;13:03;13:18;13:20;13:33;13:33;13:48;13:49;14:03;14:04;14:18;14:19;14:33;14:33;14:48;14:48;15:03;15:03;15:18;15:18;15:33;15:33;15:48;15:48;16:03;16:03;16:18;16:19;16:33;16:33;16:48;16:51;17:03;17:03;17:18;17:19;17:33;17:33;17:48;17:50;18:03;18:03;18:18;18:19;18:33;18:33;18:48;18:48;19:03;19:03;19:18;19:21;19:33;19:31;19:48;19:48;20:03;20:02;20:18;20:18;20:33;20:33;20:48;20:48;21:03;21:03;21:18;21:18;21:33;21:33;21:48;21:48;22:03;22:04;22:18;22:18;22:41;22:42;23:11;23:10;23:41;23:42
Bautzner Straße;00:12;00:14;00:42;00:43;;;;;;;04:42;04:44;;;05:12;05:12;05:42;05:43;06:12;06:12;06:42;06:42;07:12;07:13;07:42;07:43;08:12;08:13;08:42;08:43;;;09:04;09:05;09:19;09:21;09:34;09:34;09:49;09:49;10:04;10:05;10:19;10:19;10:34;10:33;10:49;10:50;11:04;11:04;11:19;11:19;11:34;11:35;11:49;11:49;12:04;12:04;12:19;12:20;12:34;12:35;12:49;12:49;13:04;13:04;13:19;13:21;13:34;13:35;13:49;13:51;14:04;14:06;14:19;14:21;14:34;14:34;14:49;14:49;15:04;15:04;15:19;15:19;15:34;15:34;15:49;15:50;16:04;16:04;16:19;16:21;16:34;16:34;16:49;16:52;17:04;17:04;17:19;17:21;17:34;17:34;17:49;17:51;18:04;18:05;18:19;18:21;18:34;18:35;18:49;18:49;19:04;19:05;19:19;19:22;19:34;19:33;19:49;19:50;20:04;20:03;20:19;20:20;20:34;20:34;20:49;20:49;21:04;21:04;21:19;21:20;21:34;21:35;21:49;21:49;22:04;22:06;22:19;22:20;22:42;22:44;23:12;23:12;23:42;23:44
