Kurs:;36;;42;;43;;42;;43;;31;;34;;42;;43;;31;;34;;42;;43;;31;;41;;34;;33;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;43;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Stötteritz, Holzh. Str.;00:22;00:22;00:40;00:40;01:10;01:10;;;;;;;04:52;04:53;05:22;05:22;05:52;05:52;06:22;06:22;06:52;06:52;07:22;07:22;07:52;07:52;08:22;08:22;;;08:52;08:52;;;09:13;09:13;09:28;09:28;09:43;09:43;09:58;09:58;10:13;10:13;10:28;10:27;10:43;10:43;10:58;10:58;11:13;11:13;11:28;11:28;11:43;11:43;11:58;11:58;12:13;12:12;12:28;12:28;12:43;12:43;12:58;12:58;13:13;13:13;13:28;13:28;13:43;13:43;13:58;13:58;14:13;14:13;14:28;14:28;14:43;14:43;14:58;14:58;15:13;15:13;15:28;15:28;15:43;15:43;15:58;15:58;16:13;16:13;16:28;16:28;16:43;16:43;16:58;16:58;17:13;17:13;17:28;17:28;17:43;17:43;17:58;17:58;18:13;18:13;18:28;18:28;18:43;18:43;18:58;18:58;19:13;19:13;19:28;19:28;19:43;19:43;19:58;19:58;20:13;20:13;20:28;20:28;20:43;20:43;20:58;20:58;21:13;21:13;21:28;21:28;21:43;21:43;21:58;21:53;22:06;22:06;22:22;22:23;22:36;22:36;22:52;22:52;23:22;23:22;23:52;23:52
Kolmstraße;00:23;00:23;00:41;00:41;01:11;01:11;;;;;;;04:53;04:54;05:23;05:23;05:53;05:53;06:23;06:23;06:53;06:53;07:23;07:23;07:53;07:53;08:23;08:23;;;08:53;08:53;;;09:14;09:14;09:29;09:29;09:44;09:45;09:59;09:59;10:14;10:14;10:29;10:29;10:44;10:44;10:59;10:59;11:14;11:14;11:29;11:29;11:44;11:44;11:59;11:59;12:14;12:13;12:29;12:29;12:44;12:44;12:59;12:59;13:14;13:14;13:29;13:29;13:44;13:44;13:59;14:00;14:14;14:14;14:29;14:29;14:44;14:44;14:59;14:59;15:14;15:15;15:29;15:29;15:44;15:44;15:59;15:59;16:14;16:14;16:29;16:29;16:44;16:44;16:59;16:59;17:14;17:14;17:29;17:29;17:44;17:44;17:59;17:59;18:14;18:14;18:29;18:29;18:44;18:44;18:59;18:59;19:14;19:14;19:29;19:29;19:44;19:44;19:59;19:59;20:14;20:14;20:29;20:29;20:44;20:44;20:59;20:59;21:14;21:14;21:29;21:29;21:44;21:44;21:59;21:59;22:07;22:07;22:23;22:24;22:37;22:37;22:53;22:53;23:23;23:23;23:53;23:53
Rathaus Stötteritz;00:24;00:24;00:42;00:42;01:12;01:12;;;;;;;04:54;04:55;05:24;05:24;05:54;05:54;06:24;06:24;06:54;06:54;07:24;07:24;07:54;07:54;08:24;08:24;;;08:54;08:55;;;09:15;09:16;09:30;09:30;09:45;09:46;10:00;10:01;10:15;10:15;10:30;10:30;10:45;10:46;11:00;11:00;11:15;11:15;11:30;11:30;11:45;11:45;12:00;12:00;12:15;12:15;12:30;12:30;12:45;12:45;13:00;13:00;13:15;13:16;13:30;13:31;13:45;13:45;14:00;14:02;14:15;14:15;14:30;14:30;14:45;14:45;15:00;15:00;15:15;15:16;15:30;15:30;15:45;15:46;16:00;16:00;16:15;16:15;16:30;16:30;16:45;16:45;17:00;17:00;17:15;17:15;17:30;17:30;17:45;17:45;18:00;18:00;18:15;18:15;18:30;18:30;18:45;18:45;19:00;19:00;19:15;19:15;19:30;19:30;19:45;19:45;20:00;20:00;20:15;20:15;20:30;20:30;20:45;20:45;21:00;21:00;21:15;21:16;21:30;21:30;21:45;21:45;22:00;22:00;22:08;22:08;22:24;22:25;22:38;22:38;22:54;22:54;23:24;23:24;23:54;23:54
Weißestraße;00:25;00:25;00:43;00:43;01:13;01:13;;;;;;;04:55;04:56;05:25;05:25;05:55;05:55;06:25;06:25;06:55;06:56;07:25;07:25;07:55;07:55;08:25;08:25;;;08:55;08:56;;;09:16;09:17;09:31;09:31;09:46;09:47;10:01;10:02;10:16;10:16;10:31;10:31;10:46;10:47;11:01;11:01;11:16;11:16;11:31;11:31;11:46;11:47;12:01;12:01;12:16;12:16;12:31;12:32;12:46;12:46;13:01;13:02;13:16;13:17;13:31;13:32;13:46;13:46;14:01;14:03;14:16;14:16;14:31;14:31;14:46;14:46;15:01;15:01;15:16;15:17;15:31;15:32;15:46;15:47;16:01;16:01;16:16;16:16;16:31;16:31;16:46;16:46;17:01;17:01;17:16;17:16;17:31;17:32;17:46;17:46;18:01;18:01;18:16;18:16;18:31;18:31;18:46;18:46;19:01;19:01;19:16;19:17;19:31;19:31;19:46;19:46;20:01;20:01;20:16;20:16;20:31;20:31;20:46;20:46;21:01;21:01;21:16;21:17;21:31;21:31;21:46;21:46;22:01;22:01;22:09;22:09;22:25;22:26;22:39;22:39;22:55;22:55;23:25;23:25;23:55;23:55
Breslauer Straße;00:26;00:27;00:44;00:44;01:14;01:14;;;;;;;04:56;04:57;05:26;05:27;05:56;05:57;06:26;06:27;06:56;06:57;07:26;07:26;07:56;07:57;08:26;08:26;;;08:56;08:57;;;09:17;09:18;09:32;09:33;09:47;09:48;10:02;10:03;10:17;10:17;10:32;10:32;10:47;10:48;11:02;11:02;11:17;11:18;11:32;11:32;11:47;11:48;12:02;12:02;12:17;12:17;12:32;12:33;12:47;12:48;13:02;13:03;13:17;13:18;13:32;13:33;13:47;13:48;14:02;14:04;14:17;14:17;14:32;14:33;14:47;14:48;15:02;15:03;15:17;15:18;15:32;15:33;15:47;15:48;16:02;16:02;16:17;16:17;16:32;16:32;16:47;16:47;17:02;17:03;17:17;17:17;17:32;17:33;17:47;17:47;18:02;18:02;18:17;18:18;18:32;18:32;18:47;18:47;19:02;19:02;19:17;19:18;19:32;19:32;19:47;19:47;20:02;20:03;20:17;20:17;20:32;20:32;20:47;20:47;21:02;21:03;21:17;21:18;21:32;21:33;21:47;21:47;22:02;22:02;22:10;22:10;22:26;22:27;22:40;22:41;22:56;22:56;23:26;23:26;23:56;23:56
S-Bf. Stötteritz;00:27;00:28;00:45;00:45;01:15;01:15;;;;;;;04:57;04:58;05:27;05:28;05:57;05:58;06:27;06:28;06:57;06:58;07:27;07:28;07:57;07:58;08:27;08:27;;;08:57;08:58;;;09:18;09:19;09:33;09:34;09:48;09:50;10:03;10:04;10:18;10:18;10:33;10:33;10:48;10:50;11:03;11:03;11:18;11:19;11:33;11:33;11:48;11:49;12:03;12:03;12:18;12:18;12:33;12:34;12:48;12:49;13:03;13:04;13:18;13:19;13:33;13:34;13:48;13:49;14:03;14:05;14:18;14:18;14:33;14:34;14:48;14:49;15:03;15:04;15:18;15:19;15:33;15:34;15:48;15:49;16:03;16:03;16:18;16:18;16:33;16:33;16:48;16:48;17:03;17:04;17:18;17:18;17:33;17:34;17:48;17:48;18:03;18:03;18:18;18:19;18:33;18:33;18:48;18:48;19:03;19:03;19:18;19:19;19:33;19:33;19:48;19:48;20:03;20:04;20:18;20:18;20:33;20:33;20:48;20:48;21:03;21:04;21:18;21:19;21:33;21:34;21:48;21:49;22:03;22:03;22:11;22:11;22:27;22:28;22:41;22:42;22:57;22:57;23:27;23:27;23:57;23:57
Riebeck-/Stötteritzer S.;00:28;00:29;00:46;00:47;01:16;01:16;;;;;;;04:58;04:59;05:28;05:29;05:58;05:59;06:28;06:29;06:58;06:59;07:28;07:29;07:58;07:59;08:28;08:29;;;08:58;09:00;;;09:19;09:21;09:34;09:35;09:49;09:51;10:04;10:06;10:19;10:19;10:34;10:34;10:49;10:51;11:04;11:05;11:19;11:20;11:34;11:35;11:49;11:50;12:04;12:04;12:19;12:19;12:34;12:36;12:49;12:50;13:04;13:06;13:19;13:22;13:34;13:36;13:49;13:50;14:04;14:07;14:19;14:19;14:34;14:35;14:49;14:50;15:04;15:05;15:19;15:21;15:34;15:35;15:49;15:51;16:04;16:05;16:19;16:19;16:34;16:34;16:49;16:49;17:04;17:05;17:19;17:19;17:34;17:35;17:49;17:50;18:04;18:04;18:19;18:20;18:34;18:34;18:49;18:50;19:04;19:04;19:19;19:20;19:34;19:34;19:49;19:49;20:04;20:06;20:19;20:19;20:34;20:34;20:49;20:49;21:04;21:05;21:19;21:20;21:34;21:35;21:49;21:50;22:04;22:05;22:12;22:12;22:28;22:30;22:42;22:43;22:58;22:58;23:28;23:29;23:58;23:59
Riebeck-/Oststraße;00:29;00:30;00:47;00:48;01:17;01:17;;;;;;;04:59;05:00;05:29;05:30;05:59;06:00;06:29;06:30;06:59;07:00;07:29;07:30;07:59;08:00;08:29;08:30;;;08:59;09:02;;;09:20;09:22;09:35;09:36;09:50;09:52;10:05;10:07;10:20;10:21;10:35;10:36;10:50;10:53;11:05;11:07;11:20;11:21;11:35;11:36;11:50;11:51;12:05;12:05;12:20;12:21;12:35;12:37;12:50;12:51;13:05;13:07;13:20;13:23;13:35;13:37;13:50;13:53;14:05;14:08;14:20;14:20;14:35;14:37;14:50;14:51;15:05;15:07;15:20;15:22;15:35;15:37;15:50;15:52;16:05;16:06;16:20;16:21;16:35;16:36;16:50;16:51;17:05;17:07;17:20;17:20;17:35;17:37;17:50;17:51;18:05;18:06;18:20;18:21;18:35;18:35;18:50;18:51;19:05;19:05;19:20;19:22;19:35;19:36;19:50;19:50;20:05;20:07;20:20;20:21;20:35;20:36;20:50;20:50;21:05;21:07;21:20;21:22;21:35;21:36;21:50;21:51;22:05;22:06;22:13;22:13;22:29;22:32;22:43;22:45;22:59;22:59;23:29;23:30;23:59;00:00
Breite Straße;00:31;00:33;00:49;00:49;01:19;01:18;;;;;;;05:01;05:02;05:31;05:32;06:01;06:02;06:31;06:32;07:01;07:01;07:31;07:32;08:01;08:02;08:31;08:32;;;09:01;09:04;;;09:22;09:24;09:37;09:38;09:52;09:54;10:07;10:09;10:22;10:22;10:37;10:37;10:52;10:55;11:07;11:08;11:22;11:23;11:37;11:38;11:52;11:53;12:07;12:07;12:22;12:23;12:37;12:39;12:52;12:53;13:07;13:09;13:22;13:25;13:37;13:39;13:52;13:55;14:07;14:10;14:22;14:22;14:37;14:38;14:52;14:53;15:07;15:09;15:22;15:24;15:37;15:39;15:52;15:53;16:07;16:08;16:22;16:22;16:37;16:38;16:52;16:52;17:07;17:08;17:22;17:22;17:37;17:39;17:52;17:52;18:07;18:07;18:22;18:23;18:37;18:37;18:52;18:53;19:07;19:07;19:22;19:24;19:37;19:37;19:52;19:52;20:07;20:09;20:22;20:22;20:37;20:37;20:52;20:53;21:07;21:09;21:22;21:23;21:37;21:38;21:52;21:53;22:07;22:07;22:15;22:14;22:31;22:33;22:45;22:46;23:01;23:01;23:31;23:32;00:01;00:02
Reudnitz, Koehlerstraße;00:33;00:35;;;;;;;;;;;05:03;05:05;05:33;05:33;06:03;06:04;06:33;06:34;07:03;07:03;07:33;07:34;08:03;08:04;08:33;08:35;;;09:03;09:06;;;09:24;09:26;09:39;09:41;09:54;09:57;10:09;10:11;10:24;10:24;10:39;10:39;10:54;10:57;11:09;11:11;11:24;11:25;11:39;11:40;11:54;11:55;12:09;12:08;12:24;12:25;12:39;12:41;12:54;12:56;13:09;13:11;13:24;13:27;13:39;13:41;13:54;13:57;14:09;14:12;14:24;14:24;14:39;14:40;14:54;14:56;15:09;15:10;15:24;15:26;15:39;15:41;15:54;15:56;16:09;16:10;16:24;16:25;16:39;16:41;16:54;16:55;17:09;17:11;17:24;17:24;17:39;17:41;17:54;17:55;18:09;18:09;18:24;18:25;18:39;18:40;18:54;18:55;19:09;19:09;19:24;19:26;19:39;19:40;19:54;19:54;20:09;20:12;20:24;20:24;20:39;20:40;20:54;20:54;21:09;21:12;21:24;21:26;21:39;21:40;21:54;21:56;22:09;22:09;;;22:33;22:35;;;23:03;23:03;23:33;23:33;00:03;00:03
Gerichtsweg;00:35;00:36;;;;;;;;;;;05:05;05:06;05:35;05:35;06:05;06:05;06:35;06:37;07:05;07:05;07:35;07:35;08:05;08:06;08:35;08:36;;;09:05;09:08;;;09:26;09:28;09:41;09:42;09:56;09:58;10:11;10:13;10:26;10:25;10:41;10:42;10:56;10:58;11:11;11:12;11:26;11:27;11:41;11:42;11:56;11:57;12:11;12:10;12:26;12:27;12:41;12:43;12:56;12:57;13:11;13:13;13:26;13:29;13:41;13:43;13:56;13:58;14:11;14:13;14:26;14:25;14:41;14:42;14:56;14:58;15:11;15:12;15:26;15:28;15:41;15:42;15:56;15:58;16:11;16:12;16:26;16:26;16:41;16:42;16:56;16:57;17:11;17:12;17:26;17:25;17:41;17:43;17:56;17:57;18:11;18:11;18:26;18:27;18:41;18:43;18:56;18:57;19:11;19:10;19:26;19:27;19:41;19:42;19:56;19:55;20:11;20:13;20:26;20:25;20:41;20:41;20:56;20:56;21:11;21:13;21:26;21:27;21:41;21:42;21:56;21:57;22:11;22:11;;;22:35;22:36;;;23:05;23:04;23:35;23:36;00:05;00:05
Johannisplatz;00:37;00:39;;;;;;;;;;;05:07;05:08;05:37;05:37;06:07;06:07;06:37;06:38;07:07;07:07;07:37;07:37;08:07;08:08;08:37;08:38;;;09:07;09:10;;;09:28;09:30;09:43;09:44;09:58;10:01;10:13;10:16;10:28;10:28;10:43;10:44;10:58;11:01;11:13;11:14;11:28;11:28;11:43;11:44;11:58;12:00;12:13;12:13;12:28;12:29;12:43;12:46;12:58;13:00;13:13;13:14;13:28;13:31;13:43;13:46;13:58;14:01;14:13;14:16;14:28;14:28;14:43;14:45;14:58;15:01;15:13;15:14;15:28;15:31;15:43;15:45;15:58;16:01;16:13;16:15;16:28;16:29;16:43;16:44;16:58;17:00;17:13;17:15;17:28;17:28;17:43;17:46;17:58;17:59;18:13;18:15;18:28;18:29;18:43;18:44;18:58;18:58;19:13;19:12;19:28;19:29;19:43;19:43;19:58;19:58;20:13;20:15;20:28;20:28;20:43;20:43;20:58;20:58;21:13;21:16;21:28;21:29;21:43;21:44;21:58;21:59;22:13;22:13;;;22:37;22:38;;;23:07;23:06;23:37;23:37;00:07;00:07
