Kurs:;43;;32;;42;;34;;43;;31;;34;;42;;43;;31;;34;;42;;43;;32;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;31;;34;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Gohlis, Landsberger Str.;00:18;00:18;00:43;00:42;04:18;04:18;;;04:48;04:48;05:18;05:18;05:48;05:48;06:18;06:18;06:48;06:48;07:18;07:17;07:48;07:48;08:18;08:18;08:48;08:48;;;09:05;09:05;09:20;09:21;09:35;09:35;09:50;09:50;10:05;10:05;10:20;10:20;10:35;10:35;10:50;10:50;11:05;11:05;11:20;11:19;11:35;11:35;11:50;11:50;12:05;12:05;12:20;12:20;12:35;12:35;12:50;12:50;13:05;13:04;13:20;13:20;13:35;13:35;13:50;13:50;14:05;14:05;14:20;14:20;14:35;14:35;14:50;14:50;15:05;15:05;15:20;15:20;15:35;15:35;15:50;15:50;16:05;16:05;16:20;16:20;16:35;16:35;16:50;16:50;17:05;17:05;17:20;17:20;17:35;17:35;17:50;17:50;18:05;18:05;18:20;18:20;18:35;18:35;18:50;18:50;19:05;19:05;19:20;19:20;19:35;19:35;19:50;19:50;20:05;20:05;20:20;20:20;20:35;20:35;20:50;20:50;21:05;21:05;21:20;21:20;21:35;21:35;21:50;21:50;22:05;22:05;22:18;22:18;22:29;22:29;22:48;22:48;23:18;23:18;23:48;23:48
Beyerleinstraße;00:19;00:19;00:44;00:44;04:19;04:19;;;04:49;04:49;05:19;05:19;05:49;05:49;06:19;06:19;06:49;06:49;07:19;07:19;07:49;07:49;08:19;08:19;08:49;08:49;;;09:06;09:06;09:21;09:22;09:36;09:36;09:51;09:51;10:06;10:06;10:21;10:21;10:36;10:36;10:51;10:51;11:06;11:06;11:21;11:21;11:36;11:36;11:51;11:51;12:06;12:06;12:21;12:21;12:36;12:36;12:51;12:51;13:06;13:06;13:21;13:21;13:36;13:36;13:51;13:52;14:06;14:07;14:21;14:21;14:36;14:36;14:51;14:51;15:06;15:06;15:21;15:22;15:36;15:36;15:51;15:51;16:06;16:06;16:21;16:21;16:36;16:36;16:51;16:51;17:06;17:06;17:21;17:21;17:36;17:36;17:51;17:51;18:06;18:06;18:21;18:21;18:36;18:36;18:51;18:51;19:06;19:06;19:21;19:21;19:36;19:36;19:51;19:51;20:06;20:06;20:21;20:21;20:36;20:36;20:51;20:51;21:06;21:07;21:21;21:21;21:36;21:36;21:51;21:51;22:06;22:06;22:19;22:19;22:30;22:30;22:49;22:49;23:19;23:19;23:49;23:49
Landsb./M.-Lieberm.-Str.;00:20;00:20;00:45;00:45;04:20;04:20;;;04:50;04:50;05:20;05:20;05:50;05:50;06:20;06:20;06:50;06:50;07:20;07:20;07:50;07:50;08:20;08:20;08:50;08:50;;;09:07;09:08;09:22;09:23;09:37;09:37;09:52;09:52;10:07;10:07;10:22;10:22;10:37;10:37;10:52;10:52;11:07;11:08;11:22;11:22;11:37;11:37;11:52;11:52;12:07;12:07;12:22;12:22;12:37;12:37;12:52;12:53;13:07;13:06;13:22;13:22;13:37;13:37;13:52;13:53;14:07;14:08;14:22;14:22;14:37;14:37;14:52;14:52;15:07;15:07;15:22;15:22;15:37;15:37;15:52;15:52;16:07;16:07;16:22;16:22;16:37;16:37;16:52;16:53;17:07;17:07;17:22;17:22;17:37;17:38;17:52;17:52;18:07;18:07;18:22;18:22;18:37;18:37;18:52;18:52;19:07;19:07;19:22;19:22;19:37;19:37;19:52;19:52;20:07;20:07;20:22;20:22;20:37;20:37;20:52;20:52;21:07;21:08;21:22;21:22;21:37;21:37;21:52;21:53;22:07;22:08;22:20;22:20;22:31;22:31;22:50;22:50;23:20;23:21;23:50;23:50
Viertelsweg;00:21;00:21;00:46;00:46;04:21;04:21;;;04:51;04:51;05:21;05:21;05:51;05:52;06:21;06:21;06:51;06:52;07:21;07:21;07:51;07:52;08:21;08:21;08:51;08:51;;;09:08;09:09;09:23;09:24;09:38;09:38;09:53;09:54;10:08;10:09;10:23;10:23;10:38;10:39;10:53;10:53;11:08;11:09;11:23;11:23;11:38;11:39;11:53;11:53;12:08;12:08;12:23;12:24;12:38;12:39;12:53;12:54;13:08;13:08;13:23;13:23;13:38;13:39;13:53;13:54;14:08;14:09;14:23;14:23;14:38;14:39;14:53;14:54;15:08;15:08;15:23;15:24;15:38;15:39;15:53;15:54;16:08;16:09;16:23;16:23;16:38;16:38;16:53;16:54;17:08;17:08;17:23;17:24;17:38;17:39;17:53;17:53;18:08;18:08;18:23;18:24;18:38;18:39;18:53;18:53;19:08;19:08;19:23;19:23;19:38;19:38;19:53;19:53;20:08;20:08;20:23;20:23;20:38;20:38;20:53;20:54;21:08;21:09;21:23;21:23;21:38;21:38;21:53;21:54;22:08;22:09;22:21;22:21;22:32;22:32;22:51;22:51;23:21;23:22;23:51;23:51
S-Bf. Coppiplatz;00:22;00:22;00:47;00:47;04:22;04:22;;;04:52;04:53;05:22;05:22;05:52;05:53;06:22;06:22;06:52;06:53;07:22;07:22;07:52;07:53;08:22;08:22;08:52;08:52;;;09:09;09:10;09:24;09:25;09:39;09:39;09:54;09:55;10:09;10:10;10:24;10:25;10:39;10:40;10:54;10:54;11:09;11:10;11:24;11:24;11:39;11:40;11:54;11:54;12:09;12:10;12:24;12:25;12:39;12:40;12:54;12:55;13:09;13:09;13:24;13:24;13:39;13:40;13:54;13:55;14:09;14:10;14:24;14:25;14:39;14:40;14:54;14:55;15:09;15:09;15:24;15:25;15:39;15:40;15:54;15:55;16:09;16:10;16:24;16:24;16:39;16:40;16:54;16:55;17:09;17:09;17:24;17:27;17:39;17:40;17:54;17:54;18:09;18:10;18:24;18:25;18:39;18:40;18:54;18:54;19:09;19:09;19:24;19:24;19:39;19:39;19:54;19:54;20:09;20:09;20:24;20:25;20:39;20:40;20:54;20:55;21:09;21:10;21:24;21:24;21:39;21:39;21:54;21:55;22:09;22:10;22:22;22:22;22:33;22:34;22:52;22:52;23:22;23:23;23:52;23:52
G-Schumann-/Lindenth. S.;00:24;00:24;00:49;00:48;04:24;04:24;;;04:54;04:54;05:24;05:23;05:54;05:54;06:24;06:24;06:54;06:55;07:24;07:24;07:54;07:55;08:24;08:24;08:54;08:54;;;09:11;09:11;09:26;09:27;09:41;09:41;09:56;09:57;10:11;10:11;10:26;10:26;10:41;10:41;10:56;10:56;11:11;11:12;11:26;11:26;11:41;11:41;11:56;11:56;12:11;12:11;12:26;12:26;12:41;12:41;12:56;12:57;13:11;13:11;13:26;13:26;13:41;13:41;13:56;13:57;14:11;14:12;14:26;14:26;14:41;14:41;14:56;14:56;15:11;15:11;15:26;15:27;15:41;15:41;15:56;15:57;16:11;16:11;16:26;16:26;16:41;16:41;16:56;16:57;17:11;17:11;17:26;17:29;17:41;17:41;17:56;17:56;18:11;18:11;18:26;18:26;18:41;18:41;18:56;18:56;19:11;19:11;19:26;19:26;19:41;19:41;19:56;19:56;20:11;20:11;20:26;20:26;20:41;20:41;20:56;20:56;21:11;21:12;21:26;21:26;21:41;21:41;21:56;21:57;22:11;22:11;22:24;22:24;22:35;22:35;22:54;22:54;23:24;23:24;23:54;23:54
Menckestraße;00:26;00:26;00:51;00:50;04:26;04:25;;;04:56;04:56;05:26;05:25;05:56;05:56;06:26;06:26;06:56;06:57;07:26;07:26;07:56;07:56;08:26;08:26;08:56;08:56;;;09:13;09:13;09:28;09:30;09:43;09:43;09:58;10:00;10:13;10:13;10:28;10:28;10:43;10:43;10:58;10:58;11:13;11:14;11:28;11:28;11:43;11:43;11:58;11:58;12:13;12:13;12:28;12:28;12:43;12:43;12:58;12:59;13:13;13:13;13:28;13:28;13:43;13:43;13:58;13:59;14:13;14:14;14:28;14:28;14:43;14:43;14:58;14:58;15:13;15:13;15:28;15:29;15:43;15:43;15:58;16:00;16:13;16:13;16:28;16:28;16:43;16:43;16:58;16:59;17:13;17:13;17:28;17:31;17:43;17:43;17:58;17:58;18:13;18:13;18:28;18:28;18:43;18:43;18:58;18:58;19:13;19:13;19:28;19:28;19:43;19:43;19:58;19:58;20:13;20:13;20:28;20:28;20:43;20:43;20:58;20:58;21:13;21:14;21:28;21:28;21:43;21:43;21:58;22:00;22:13;22:13;22:26;22:26;22:37;22:37;22:56;22:56;23:26;23:26;23:56;23:56
Stallbaumstraße;00:27;00:27;00:52;00:51;04:27;04:26;;;04:57;04:57;05:27;05:26;05:57;05:57;06:27;06:27;06:57;06:58;07:27;07:27;07:57;07:57;08:27;08:27;08:57;08:57;;;09:14;09:14;09:29;09:31;09:44;09:44;09:59;10:01;10:14;10:14;10:29;10:29;10:44;10:44;10:59;10:59;11:14;11:15;11:29;11:29;11:44;11:44;11:59;11:59;12:14;12:14;12:29;12:29;12:44;12:44;12:59;13:00;13:14;13:14;13:29;13:29;13:44;13:44;13:59;14:01;14:14;14:15;14:29;14:29;14:44;14:44;14:59;14:59;15:14;15:14;15:29;15:31;15:44;15:44;15:59;16:00;16:14;16:14;16:29;16:29;16:44;16:44;16:59;17:00;17:14;17:14;17:29;17:32;17:44;17:44;17:59;17:59;18:14;18:14;18:29;18:29;18:44;18:44;18:59;18:59;19:14;19:14;19:29;19:29;19:44;19:44;19:59;19:59;20:14;20:14;20:29;20:29;20:44;20:44;20:59;20:59;21:14;21:15;21:29;21:29;21:44;21:44;21:59;22:01;22:14;22:14;22:27;22:27;22:38;22:38;22:57;22:57;23:27;23:27;23:57;23:57
Am Mückenschlösschen;00:29;00:30;00:54;00:53;04:29;04:28;;;04:59;04:59;05:29;05:29;05:59;05:59;06:29;06:29;06:59;07:00;07:29;07:29;07:59;08:00;08:29;08:30;08:59;09:00;;;09:16;09:16;09:31;09:33;09:46;09:46;10:01;10:04;10:16;10:16;10:31;10:31;10:46;10:46;11:01;11:01;11:16;11:18;11:31;11:31;11:46;11:47;12:01;12:01;12:16;12:17;12:31;12:32;12:46;12:47;13:01;13:03;13:16;13:16;13:31;13:32;13:46;13:46;14:01;14:03;14:16;14:18;14:31;14:32;14:46;14:46;15:01;15:02;15:16;15:16;15:31;15:33;15:46;15:46;16:01;16:03;16:16;16:16;16:31;16:32;16:46;16:47;17:01;17:02;17:16;17:16;17:31;17:34;17:46;17:46;18:01;18:01;18:16;18:16;18:31;18:32;18:46;18:46;19:01;19:01;19:16;19:16;19:31;19:31;19:46;19:46;20:01;20:01;20:16;20:16;20:31;20:31;20:46;20:46;21:01;21:02;21:16;21:18;21:31;21:31;21:46;21:46;22:01;22:03;22:16;22:16;22:29;22:30;22:40;22:40;22:59;23:00;23:29;23:30;23:59;23:59
