Kurs:;84;;99;;99;;99;;99;;83;;81;;92;;94;;82;;83;;81;;92;;94;;95;;91;;92;;93;;94;;95;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;92;;93;;94;;95;;92;;94;;95;;84;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lipsiusstraße;00:04;00:04;00:55;00:56;02:06;02:06;03:17;03:18;04:28;04:28;05:04;05:04;05:34;Grob;06:04;06:04;06:34;06:34;07:04;07:04;07:34;07:34;08:04;08:04;08:34;08:34;09:04;09:04;09:24;09:24;09:39;09:39;09:54;09:54;10:09;10:09;10:24;10:24;10:39;10:39;10:54;10:54;11:09;11:09;11:24;11:24;11:39;11:39;11:54;11:54;12:09;12:17;12:24;12:24;12:39;12:39;12:54;12:54;13:09;13:09;13:24;13:24;13:39;13:39;13:54;13:54;14:09;14:09;14:24;14:24;14:39;14:39;14:54;14:54;15:09;15:09;15:24;15:24;15:39;15:39;15:54;15:54;16:09;16:09;16:24;16:24;16:39;16:39;16:54;16:54;17:09;17:09;17:24;17:24;17:39;17:39;17:54;17:54;18:09;18:10;18:24;18:24;18:39;18:39;18:54;18:54;19:09;19:09;19:24;19:24;19:39;19:39;19:54;19:54;20:09;20:11;20:24;20:27;20:39;20:39;20:55;20:55;21:10;21:10;21:25;21:26;21:40;21:41;22:10;22:10;22:34;22:39;23:04;23:05;23:34;23:34
Holsteinstraße;00:05;00:05;00:56;00:56;02:07;02:07;03:18;03:18;04:29;04:29;05:05;05:05;05:35;05:35;06:05;06:04;06:35;06:35;07:05;07:04;07:35;07:35;08:05;08:05;08:35;08:35;09:05;09:05;09:25;09:26;09:40;09:40;09:55;09:55;10:10;10:10;10:25;10:24;10:40;10:40;10:55;10:55;11:10;11:10;11:25;11:25;11:40;11:40;11:55;11:55;12:10;12:18;12:25;12:25;12:40;12:40;12:55;12:55;13:10;13:10;13:25;13:25;13:40;13:40;13:55;13:55;14:10;14:11;14:25;14:25;14:40;14:40;14:55;14:55;15:10;15:10;15:25;15:24;15:40;15:41;15:55;15:56;16:10;16:09;16:25;16:25;16:40;16:40;16:55;16:55;17:10;17:09;17:25;17:25;17:40;17:40;17:55;17:55;18:10;18:11;18:25;18:25;18:40;18:40;18:55;18:55;19:10;19:10;19:25;19:25;19:40;19:40;19:55;19:55;20:10;20:12;20:25;20:27;20:40;20:40;20:56;20:56;21:11;21:11;21:26;21:26;21:41;21:42;22:11;22:11;22:35;22:39;23:05;23:06;23:35;23:34
Riebeck-/Oststraße;00:06;00:07;00:57;00:57;02:08;02:09;03:19;03:20;04:30;04:31;05:06;05:06;05:36;05:37;06:06;06:05;06:36;06:36;07:06;07:05;07:36;07:37;08:06;08:07;08:36;08:36;09:06;09:06;09:26;09:28;09:41;09:42;09:56;09:56;10:11;10:12;10:26;10:26;10:41;10:42;10:56;10:57;11:11;11:11;11:26;11:26;11:41;11:41;11:56;11:57;12:11;12:20;12:26;12:25;12:41;12:41;12:56;12:57;13:11;13:11;13:26;13:27;13:41;13:41;13:56;13:56;14:11;14:13;14:26;14:26;14:41;14:42;14:56;14:56;15:11;15:12;15:26;15:26;15:41;15:43;15:56;15:57;16:11;16:10;16:26;16:26;16:41;16:42;16:56;16:56;17:11;17:11;17:26;17:26;17:41;17:41;17:56;17:56;18:11;18:12;18:26;18:28;18:41;18:42;18:56;18:57;19:11;19:11;19:26;19:27;19:41;19:41;19:56;19:57;20:11;20:14;20:26;20:28;20:41;20:41;20:57;20:57;21:12;21:13;21:27;21:27;21:42;21:44;22:12;22:12;22:36;22:40;23:06;23:07;23:36;23:36
Schulze-Boysen-Straße;00:07;00:08;00:58;00:58;02:09;02:10;03:20;03:21;04:31;04:32;05:07;05:07;05:37;05:38;06:07;06:06;06:37;06:37;07:07;07:06;07:37;07:37;08:07;08:08;08:37;08:37;09:07;09:07;09:27;09:28;09:42;09:43;09:57;09:57;10:12;10:13;10:27;10:27;10:42;10:43;10:57;10:57;11:12;11:12;11:27;11:27;11:42;11:42;11:57;11:58;12:12;12:21;12:27;12:26;12:42;12:42;12:57;12:58;13:12;13:12;13:27;13:28;13:42;13:42;13:57;13:57;14:12;14:14;14:27;14:27;14:42;14:43;14:57;14:57;15:12;15:12;15:27;15:27;15:42;15:44;15:57;15:58;16:12;16:12;16:27;16:27;16:42;16:43;16:57;16:57;17:12;17:12;17:27;17:27;17:42;17:42;17:57;17:57;18:12;18:13;18:27;18:29;18:42;18:43;18:57;18:58;19:12;19:12;19:27;19:28;19:42;19:42;19:57;19:58;20:12;20:15;20:27;20:30;20:42;20:42;20:58;20:58;21:13;21:14;21:28;21:28;21:43;21:45;22:13;22:14;22:37;22:41;23:07;23:08;23:37;23:37
Ostplatz;00:08;00:10;00:59;00:59;02:10;02:11;03:21;03:22;04:32;04:33;05:08;05:07;05:38;05:38;06:08;06:07;06:38;06:38;07:08;07:07;07:38;07:38;08:08;08:09;08:38;08:38;09:08;09:08;09:28;09:29;09:43;09:44;09:58;09:58;10:13;10:14;10:28;10:28;10:43;10:44;10:58;10:58;11:13;11:13;11:28;11:29;11:43;11:43;11:58;11:58;12:13;12:21;12:28;12:27;12:43;12:43;12:58;12:59;13:13;13:13;13:28;13:29;13:43;13:43;13:58;13:57;14:13;14:15;14:28;14:28;14:43;14:44;14:58;14:58;15:13;15:13;15:28;15:27;15:43;15:45;15:58;15:59;16:13;16:13;16:28;16:28;16:43;16:44;16:58;16:58;17:13;17:13;17:28;17:28;17:43;17:43;17:58;17:58;18:13;18:14;18:28;18:29;18:43;18:44;18:58;18:59;19:13;19:13;19:28;19:29;19:43;19:42;19:58;19:59;20:13;20:16;20:28;20:30;20:43;20:44;20:59;20:58;21:14;21:15;21:29;21:29;21:44;21:46;22:14;22:15;22:38;22:43;23:08;23:09;23:38;23:38
Liebigstraße;00:09;00:11;01:00;01:00;02:11;02:12;03:22;03:23;04:33;04:33;05:09;05:08;05:39;05:39;06:09;06:09;06:39;06:39;07:09;07:08;07:39;07:39;08:09;08:10;08:39;08:39;09:09;09:09;09:30;09:30;09:45;09:45;10:00;09:59;10:15;10:15;10:30;10:29;10:45;10:45;11:00;11:00;11:15;11:14;11:30;11:30;11:45;11:43;12:00;12:00;12:15;12:23;12:30;12:28;12:45;12:45;13:00;13:00;13:15;13:14;13:30;13:30;13:45;13:44;14:00;13:59;14:15;14:15;14:30;14:30;14:45;14:45;15:00;14:59;15:15;15:15;15:30;15:29;15:45;15:47;16:00;16:00;16:15;16:14;16:30;16:29;16:45;16:45;17:00;17:00;17:15;17:13;17:30;17:30;17:45;17:44;18:00;18:00;18:15;18:15;18:30;18:30;18:45;18:45;19:00;19:00;19:15;19:14;19:30;19:30;19:45;19:44;20:00;20:00;20:15;20:17;20:30;20:32;20:45;20:45;21:00;21:00;21:15;21:16;21:30;21:30;21:45;21:47;22:15;22:16;22:39;22:44;23:09;23:11;23:39;23:39
Johannisallee;00:10;00:12;01:01;01:01;02:12;02:13;03:23;03:23;04:34;04:34;05:10;05:09;05:40;05:40;06:10;06:09;06:40;06:40;07:10;07:09;07:40;07:39;08:10;08:11;08:40;08:40;09:10;09:10;09:31;09:31;09:46;09:46;10:01;10:00;10:16;10:16;10:31;10:30;10:46;10:46;11:01;11:00;11:16;11:15;11:31;11:31;11:46;11:46;12:01;12:01;12:16;12:23;12:31;12:29;12:46;12:46;13:01;13:01;13:16;13:15;13:31;13:31;13:46;13:45;14:01;13:59;14:16;14:16;14:31;14:31;14:46;14:46;15:01;15:00;15:16;15:16;15:31;15:29;15:46;15:48;16:01;16:01;16:16;16:15;16:31;16:30;16:46;16:46;17:01;17:01;17:16;17:14;17:31;17:31;17:46;17:45;18:01;18:01;18:16;18:16;18:31;18:31;18:46;18:46;19:01;19:01;19:16;19:14;19:31;19:32;19:46;19:46;20:01;20:01;20:16;20:18;20:31;20:32;20:46;20:45;21:01;21:01;21:16;21:16;21:31;21:31;21:46;21:47;22:16;22:16;22:40;22:44;23:10;23:11;23:40;23:39
Bayerischer Bahnhof;00:12;00:15;01:03;01:04;02:14;02:16;03:25;03:26;04:36;04:36;05:12;05:12;05:42;05:42;06:12;06:13;06:42;06:43;07:12;07:11;07:42;07:41;08:12;08:15;08:42;08:43;09:12;09:13;09:33;09:34;09:48;09:49;10:03;10:02;10:18;10:19;10:33;10:34;10:48;10:49;11:03;11:03;11:18;11:17;11:33;11:34;11:48;11:49;12:03;12:03;12:18;12:27;12:33;12:32;12:48;12:50;13:03;13:04;13:18;13:18;13:33;13:34;13:48;13:49;14:03;14:02;14:18;14:19;14:33;14:34;14:48;14:49;15:03;15:02;15:18;15:19;15:33;15:32;15:48;15:50;16:03;16:04;16:18;16:17;16:33;16:32;16:48;16:49;17:03;17:04;17:18;17:18;17:33;17:34;17:48;17:48;18:03;18:04;18:18;18:19;18:33;18:34;18:48;18:49;19:03;19:04;19:18;19:18;19:33;19:34;19:48;19:49;20:03;20:04;20:18;20:20;20:33;20:35;20:48;20:47;21:03;21:04;21:18;21:19;21:33;21:34;21:48;21:50;22:18;22:19;22:42;22:47;23:12;23:14;23:42;23:41
Körnerstraße;00:14;00:16;01:05;01:05;02:16;02:17;03:27;03:27;04:38;04:37;05:14;05:14;05:44;05:43;06:14;06:14;06:44;06:45;07:14;07:12;07:44;07:43;08:14;08:16;08:44;08:44;09:14;09:14;09:35;09:35;09:50;09:50;10:05;10:04;10:20;10:20;10:35;10:35;10:50;10:51;11:05;11:04;11:20;11:19;11:35;11:35;11:50;11:50;12:05;12:04;12:20;12:28;12:35;12:34;12:50;12:52;13:05;13:05;13:20;13:19;13:35;13:35;13:50;13:51;14:05;14:04;14:20;14:21;14:35;14:35;14:50;14:50;15:05;15:04;15:20;15:21;15:35;15:33;15:50;15:52;16:05;16:05;16:20;16:19;16:35;16:34;16:50;16:50;17:05;17:05;17:20;17:19;17:35;17:35;17:50;17:49;18:05;18:05;18:20;18:21;18:35;18:36;18:50;18:50;19:05;19:05;19:20;19:19;19:35;19:36;19:50;19:51;20:05;20:05;20:20;20:22;20:35;20:37;20:50;20:49;21:05;21:05;21:20;21:20;21:35;21:35;21:50;21:51;22:20;22:20;22:44;22:48;23:14;23:16;23:44;23:43
