Kurs:;91;;91;;92;;91;;92;;93;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;93;;91;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Markr. Schkeuditzer Str;04:26;04:28;04:58;04:58;05:28;05:29;05:58;05:58;06:28;06:28;06:58;06:58;07:28;07:29;07:58;07:58;08:28;08:28;08:47;08:47;09:17;09:17;09:47;09:47;10:17;10:17;10:47;10:47;11:17;11:17;11:47;11:47;12:17;12:18;12:47;12:47;13:17;13:17;13:47;13:47;14:17;14:17;14:47;14:48;15:17;15:17;15:47;15:47;16:17;16:17;16:47;16:47;17:17;17:17;17:47;17:47;18:17;18:20;18:47;18:47;19:17;19:17;19:47;19:47;20:17;20:19;20:47;20:47;21:17;21:17;21:32;21:32;21:58;21:58;22:28;22:28;22:58;23:01;23:28;23:28;23:58;00:01
Markr. Robert-Koch-Str.;04:28;04:29;05:00;04:59;05:30;05:30;06:00;06:00;06:30;06:30;07:00;06:59;07:30;07:30;08:00;08:05;08:30;08:29;08:49;08:48;09:19;09:18;09:49;09:50;10:19;10:18;10:49;10:48;11:19;11:19;11:49;11:49;12:19;12:19;12:49;12:49;13:19;13:18;13:49;13:48;14:19;14:17;14:49;14:49;15:19;15:18;15:49;15:48;16:19;16:18;16:49;16:49;17:19;17:18;17:49;17:48;18:19;18:21;18:49;18:48;19:19;19:18;19:49;19:48;20:19;20:20;20:49;20:48;21:19;21:18;21:34;21:33;22:00;21:59;22:30;22:30;23:00;23:02;23:30;23:29;00:00;00:02
Markr. Bahnhof;04:29;04:30;05:01;05:01;05:31;05:32;06:01;06:00;06:31;06:32;07:01;07:00;07:31;07:33;08:01;08:06;08:31;08:30;08:50;08:49;09:20;09:19;09:50;09:51;10:20;10:19;10:50;10:49;11:20;11:20;11:50;11:50;12:20;12:20;12:50;12:49;13:20;13:19;13:50;13:50;14:20;14:19;14:50;14:50;15:20;15:19;15:50;15:50;16:20;16:19;16:50;16:50;17:20;17:20;17:50;17:50;18:20;18:22;18:50;18:50;19:20;19:20;19:50;19:48;20:20;20:21;20:50;20:50;21:20;21:20;21:35;21:33;22:01;22:00;22:31;22:30;23:01;23:02;23:31;23:30;00:01;00:04
Markr. An d.Schachtbahn;04:30;04:31;05:02;05:01;05:32;05:33;06:02;06:01;06:32;06:33;07:02;07:00;07:32;07:34;08:02;08:06;08:32;08:31;08:51;08:50;09:21;09:20;09:51;09:53;10:21;10:19;10:51;10:49;11:21;11:21;11:51;11:50;12:21;12:20;12:51;12:50;13:21;13:20;13:51;13:50;14:21;14:20;14:51;14:51;15:21;15:19;15:51;15:50;16:21;16:20;16:51;16:51;17:21;17:21;17:51;17:51;18:21;18:23;18:51;18:51;19:21;19:20;19:51;19:51;20:21;20:22;20:51;20:50;21:21;21:21;21:36;21:34;22:02;22:01;22:32;22:31;23:02;23:03;23:32;23:31;00:02;00:04
Markr. Am Anger;04:31;04:32;05:03;05:02;05:33;05:34;06:03;06:03;06:33;06:33;07:03;07:02;07:33;07:34;08:03;08:07;08:33;08:32;08:52;08:51;09:22;09:21;09:52;09:53;10:22;10:20;10:52;10:50;11:22;11:22;11:52;11:51;12:22;12:21;12:52;12:51;13:22;13:21;13:52;13:51;14:22;14:21;14:52;14:52;15:22;15:20;15:52;15:51;16:22;16:20;16:52;16:51;17:22;17:22;17:52;17:52;18:22;18:23;18:52;18:51;19:22;19:21;19:52;19:52;20:22;20:23;20:52;20:52;21:22;21:22;21:37;21:37;22:03;22:02;22:33;22:33;23:03;23:03;23:33;23:32;00:03;00:05
Markr. Ostsiedlung;04:31;04:33;05:03;05:02;05:33;05:34;06:03;06:03;06:33;06:34;07:03;07:02;07:33;07:34;08:03;08:07;08:33;08:32;08:52;08:52;09:22;09:21;09:52;09:53;10:22;10:21;10:52;10:50;11:22;11:22;11:52;11:52;12:22;12:22;12:52;12:52;13:22;13:22;13:52;13:52;14:22;14:22;14:52;14:53;15:22;15:21;15:52;15:52;16:22;16:21;16:52;16:51;17:22;17:23;17:52;17:53;18:22;18:23;18:52;18:52;19:22;19:21;19:52;19:52;20:22;20:23;20:52;20:52;21:22;21:22;21:37;21:37;22:03;22:03;22:33;22:33;23:03;23:04;23:33;23:33;00:03;00:05
Miltitz, Friedhof;04:33;04:35;05:05;05:05;05:35;05:37;06:05;06:06;06:35;06:36;07:05;07:05;07:35;07:37;08:05;08:10;08:35;08:35;08:54;08:54;09:24;09:23;09:54;09:56;10:24;10:23;10:54;10:53;11:24;11:24;11:54;11:54;12:24;12:24;12:54;12:54;13:24;13:24;13:54;13:54;14:24;14:24;14:54;14:56;15:24;15:23;15:54;15:54;16:24;16:23;16:54;16:54;17:24;17:25;17:54;17:55;18:24;18:25;18:54;18:54;19:24;19:24;19:54;19:55;20:24;20:25;20:54;20:55;21:24;21:24;21:39;21:39;22:05;22:06;22:35;22:36;23:05;23:06;23:35;23:35;00:05;00:07
Geschwister-Scholl-Straße;04:34;04:36;05:06;05:06;05:36;05:37;06:06;06:07;06:36;06:37;07:06;07:06;07:36;07:37;08:06;08:10;08:36;08:35;08:55;08:54;09:25;09:24;09:55;09:57;10:25;10:24;10:55;10:53;11:25;11:25;11:55;11:55;12:25;12:25;12:55;12:56;13:25;13:25;13:55;13:55;14:25;14:25;14:55;14:57;15:25;15:24;15:55;15:55;16:25;16:24;16:55;16:55;17:25;17:26;17:55;17:56;18:25;18:27;18:55;18:55;19:25;19:25;19:55;19:56;20:25;20:26;20:55;20:56;21:25;21:25;21:40;21:40;22:06;22:07;22:36;22:36;23:06;23:07;23:36;23:36;00:06;00:07
Großmiltitzer Straße;04:35;04:37;05:07;05:07;05:37;05:38;06:07;06:08;06:37;06:38;07:07;07:06;07:37;07:38;08:07;08:11;08:37;08:36;08:56;08:55;09:26;09:25;09:56;09:58;10:26;10:25;10:56;10:54;11:26;11:26;11:56;11:56;12:26;12:26;12:56;12:57;13:26;13:26;13:56;13:56;14:26;14:26;14:56;14:57;15:26;15:25;15:56;15:56;16:26;16:25;16:56;16:56;17:26;17:27;17:56;17:57;18:26;18:27;18:56;18:56;19:26;19:26;19:56;19:56;20:26;20:27;20:56;20:56;21:26;21:26;21:41;21:40;22:07;22:07;22:37;22:38;23:07;23:08;23:37;23:37;00:07;00:08
