Kurs:;91;;95;;92;;91;;92;;93;;91;;92;;93;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;92;;93;;94;;91;;93;;91;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Markkl. S-Bf.;;;;;;;;;;;;;;;;;;;;;;;;;09:43;09:44;10:13;10:15;10:43;10:47;11:13;11:14;11:43;11:44;12:13;12:13;12:43;12:46;13:13;13:13;13:43;13:44;14:13;14:13;14:43;14:43;15:13;15:13;15:43;15:44;16:13;16:13;16:43;16:43;17:13;17:16;17:43;17:43;18:13;18:13;18:43;18:43;19:13;19:16;19:43;19:43;20:13;20:13;20:43;20:44;21:13;21:16;21:43;21:46;22:13;22:13;;;;
Markkl. Parkstraße;;;;;;;;;;;;;;;;;;;;;;;;;09:44;09:46;10:14;10:16;10:44;10:48;11:14;11:15;11:44;11:45;12:14;12:13;12:44;12:46;13:14;13:14;13:44;13:45;14:14;14:14;14:44;14:44;15:14;15:13;15:44;15:46;16:14;16:14;16:44;16:44;17:14;17:17;17:44;17:44;18:14;18:14;18:44;18:43;19:14;19:17;19:44;19:44;20:14;20:14;20:44;20:45;21:14;21:17;21:44;21:47;22:14;22:13;;;;
Markkl. Energiestr.;;;;;;;;;;;;;;;;;;;;;;;;;09:45;09:47;10:15;10:16;10:45;10:49;11:15;11:16;11:45;11:46;12:15;12:14;12:45;12:47;13:15;13:15;13:45;13:46;14:15;14:15;14:45;14:45;15:15;15:14;15:45;15:47;16:15;16:15;16:45;16:45;17:15;17:18;17:45;17:45;18:15;18:15;18:45;18:44;19:15;19:18;19:45;19:44;20:15;20:15;20:45;20:45;21:15;21:17;21:45;21:47;22:15;22:14;;;;
Markkl. Sonnesiedlung;;;;;;;;;;;;;;;;;;;;;;;;;09:46;09:48;10:16;10:17;10:46;10:50;11:16;11:17;11:46;11:46;12:16;12:15;12:46;12:48;13:16;13:16;13:46;13:47;14:16;14:17;14:46;14:45;15:16;15:15;15:46;15:48;16:16;16:16;16:46;16:46;17:16;17:18;17:46;17:46;18:16;18:16;18:46;18:45;19:16;19:19;19:46;19:45;20:16;20:16;20:46;20:46;21:16;21:18;21:46;21:48;22:16;22:15;;;;
Markkl. Gautzscher Pl.;;;;;;;;;;;;;;;;;;;;;;;;;09:47;09:49;10:17;10:18;10:47;10:51;11:17;11:18;11:47;11:48;12:17;12:16;12:47;12:49;13:17;13:18;13:47;13:48;14:17;14:18;14:47;14:47;15:17;15:17;15:47;15:49;16:17;16:17;16:47;16:48;17:17;17:20;17:47;17:47;18:17;18:18;18:47;18:46;19:17;19:20;19:47;19:46;20:17;20:17;20:47;20:47;21:17;21:19;21:47;21:49;22:17;22:16;;;;
Markkl. Mehringstr.;;;;;;;;;;;;;;;;;;;;;;;;;09:48;09:50;10:18;10:19;10:48;10:51;11:18;11:19;11:48;11:49;12:18;12:17;12:48;12:50;13:18;13:18;13:48;13:49;14:18;14:20;14:48;14:48;15:18;15:18;15:48;15:50;16:18;16:18;16:48;16:50;17:18;17:21;17:48;17:48;18:18;18:20;18:48;18:46;19:18;19:21;19:48;19:47;20:18;20:19;20:48;20:48;21:18;21:20;21:48;21:50;22:18;22:17;;;;
Cosp. See, Erlebnisachse;;;;;;;;;;;;;;;;;;;;;;;;;09:49;09:50;10:19;10:20;10:49;10:52;11:19;11:22;11:49;11:50;12:19;12:18;12:49;12:51;13:19;13:19;13:49;13:50;14:19;14:21;14:49;14:49;15:19;15:18;15:49;15:51;16:19;16:19;16:49;16:51;17:19;17:22;17:49;17:50;18:19;18:20;18:49;18:47;19:19;19:21;19:49;19:48;20:19;20:19;20:49;20:48;21:19;21:20;21:49;21:51;22:19;22:18;;;;
Cosp. See, Nordstrand;;;;;;;;;;;;;;;;;;;;;;;;;09:50;09:52;10:20;10:21;10:50;10:54;11:20;11:23;11:50;11:52;12:20;12:20;12:50;12:52;13:20;13:20;13:50;13:52;14:20;14:22;14:50;14:50;15:20;15:20;15:50;15:52;16:20;16:21;16:50;16:53;17:20;17:23;17:50;17:51;18:20;18:21;18:50;18:48;19:20;19:22;19:50;19:49;20:20;20:20;20:50;20:49;21:20;21:21;21:50;21:52;22:20;22:19;;;;
Cosp. See, EXPO-Pavillon;;;;;;;;;;;;;;;;;;;;;;;;;09:52;09:53;10:22;10:22;10:52;10:55;11:22;11:25;11:52;11:53;12:22;12:22;12:52;12:53;13:22;13:22;13:52;13:54;14:22;14:23;14:52;14:52;15:22;15:22;15:52;15:54;16:22;16:23;16:52;16:55;17:22;17:25;17:52;17:54;18:22;18:22;18:52;18:49;19:22;19:24;19:52;19:50;20:22;20:22;20:52;20:51;21:22;21:23;21:52;21:53;22:22;22:21;;;;
Lauerscher Weg;;;;;;;;;;;;;;;;;;;;;;;;;09:55;09:55;10:25;10:25;10:55;10:57;11:25;11:27;11:55;11:55;12:25;12:24;12:55;12:55;13:25;13:24;13:55;13:57;14:25;14:26;14:55;14:55;15:25;15:24;15:55;15:57;16:25;16:25;16:55;16:57;17:25;17:27;17:55;17:56;18:25;18:25;18:55;18:55;19:25;19:27;19:55;19:53;20:25;20:24;20:55;20:53;21:25;21:26;21:55;21:56;22:25;22:24;;;;
Huttenstraße;;;;;;;;;;;06:25;06:25;06:55;06:55;07:25;07:25;07:55;07:55;08:25;08:25;08:55;08:55;09:25;09:25;09:57;09:57;10:27;10:27;10:57;11:00;11:27;11:29;11:57;11:57;12:27;12:27;12:57;12:57;13:27;13:27;13:57;14:00;14:27;14:28;14:57;14:57;15:27;15:26;15:57;15:59;16:27;16:27;16:57;16:59;17:27;17:29;17:57;17:59;18:27;18:27;18:57;18:57;19:27;19:29;19:57;19:55;20:27;20:27;20:57;20:57;21:27;21:28;21:57;21:57;22:27;22:26;22:55;22:56;;
