Kurs:;31;;81;;33;;82;;82;;34;;63;;34;;81;;34;;62;;34;;33;;34;;82;;34;;63;;34;;31;;32;;81;;92;;62;;33;;82;;91;;63;;61;;31;;32;;81;;92;;62;;33;;82;;91;;63;;61;;31;;32;;81;;92;;62;;33;;82;;91;;63;;61;;31;;32;;81;;92;;62;;33;;82;;91;;63;;61;;31;;32;;81;;92;;62;;33;;82;;91;;63;;31;;81;;33;;62;;91;;62;;82;;31;;82;;63;;63;;33;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Mockau-West;;;;;;;05:20;05:20;;;05:50;05:50;;;06:20;06:21;;;06:50;06:51;;;07:20;07:19;;;07:50;07:49;;;08:20;08:20;;;08:50;08:50;;;09:07;09:07;09:22;09:22;09:37;09:37;09:52;09:52;10:07;10:08;10:22;10:24;10:37;10:37;10:52;10:52;11:07;11:07;11:22;11:22;11:37;11:37;11:52;11:51;12:07;12:07;12:22;12:21;12:37;12:37;12:52;12:52;13:07;13:07;13:22;13:22;13:37;13:37;13:52;13:52;14:07;14:07;14:22;14:22;14:37;14:37;14:52;14:52;15:07;15:07;15:22;15:22;15:37;15:37;15:52;15:52;16:07;16:07;16:22;16:22;16:37;16:37;16:52;16:52;17:07;17:06;17:22;17:22;17:37;17:37;17:52;17:52;18:07;18:07;18:22;18:22;18:37;18:37;18:52;18:51;19:07;19:07;19:22;19:22;19:37;19:37;19:52;19:53;20:07;20:07;20:22;20:22;20:37;20:37;20:52;20:52;21:22;21:21;21:52;21:52;;;22:20;22:20;;;;;22:50;22:53;;;;;23:20;23:20;;;23:50;23:50
Schildberger Weg;;;;;;;05:21;05:21;;;05:51;05:51;;;06:21;06:22;;;06:51;06:52;;;07:21;07:20;;;07:51;07:50;;;08:21;08:21;;;08:51;08:51;;;09:08;09:08;09:23;09:23;09:38;09:38;09:53;09:53;10:08;10:09;10:23;10:25;10:38;10:38;10:53;10:53;11:08;11:08;11:23;11:23;11:38;11:38;11:53;11:52;12:08;12:08;12:23;12:22;12:38;12:38;12:53;12:53;13:08;13:08;13:23;13:24;13:38;13:38;13:53;13:53;14:08;14:08;14:23;14:23;14:38;14:37;14:53;14:53;15:08;15:08;15:23;15:23;15:38;15:38;15:53;15:53;16:08;16:08;16:23;16:23;16:38;16:38;16:53;16:53;17:08;17:07;17:23;17:22;17:38;17:38;17:53;17:53;18:08;18:08;18:23;18:23;18:38;18:38;18:53;18:52;19:08;19:08;19:23;19:22;19:38;19:38;19:53;19:54;20:08;20:08;20:23;20:23;20:38;20:38;20:53;20:53;21:23;21:23;21:53;21:53;;;22:21;22:21;;;;;22:51;22:54;;;;;23:21;23:21;;;23:51;23:51
Otto-Michael-Straße;;;;;;;05:22;05:22;;;05:52;05:52;;;06:22;06:22;;;06:52;06:53;;;07:22;07:21;;;07:52;07:51;;;08:22;08:22;;;08:52;08:52;;;09:09;09:09;09:24;09:24;09:39;09:39;09:54;09:54;10:09;10:10;10:24;10:26;10:39;10:39;10:54;10:54;11:09;11:09;11:24;11:24;11:39;11:39;11:54;11:53;12:09;12:09;12:24;12:23;12:39;12:39;12:54;12:54;13:09;13:09;13:24;13:25;13:39;13:39;13:54;13:54;14:09;14:09;14:24;14:24;14:39;14:38;14:54;14:54;15:09;15:08;15:24;15:23;15:39;15:39;15:54;15:54;16:09;16:09;16:24;16:24;16:39;16:39;16:54;16:54;17:09;17:08;17:24;17:24;17:39;17:39;17:54;17:54;18:09;18:09;18:24;18:24;18:39;18:39;18:54;18:53;19:09;19:09;19:24;19:24;19:39;19:39;19:54;19:55;20:09;20:09;20:24;20:23;20:39;20:39;20:54;20:53;21:24;21:24;21:54;21:54;;;22:22;22:22;;;;;22:52;22:55;;;;;23:22;23:21;;;23:52;23:52
Mockau, Post;;;;;;;05:24;05:24;;;05:54;05:54;;;06:24;06:24;;;06:54;06:54;;;07:24;07:25;;;07:54;07:55;;;08:24;08:25;;;08:54;08:54;;;09:11;09:11;09:26;09:27;09:41;09:41;09:56;09:58;10:11;10:12;10:26;10:27;10:41;10:40;10:56;10:56;11:11;11:11;11:26;11:26;11:41;11:41;11:56;11:55;12:11;12:11;12:26;12:25;12:41;12:41;12:56;12:55;13:11;13:11;13:26;13:26;13:41;13:42;13:56;13:56;14:11;14:11;14:26;14:27;14:41;14:41;14:56;14:56;15:11;15:10;15:26;15:26;15:41;15:41;15:56;15:56;16:11;16:11;16:26;16:26;16:41;16:41;16:56;16:57;17:11;17:10;17:26;17:25;17:41;17:42;17:56;17:56;18:11;18:11;18:26;18:26;18:41;18:41;18:56;18:55;19:11;19:12;19:26;19:26;19:41;19:41;19:56;19:57;20:11;20:10;20:26;20:26;20:41;20:41;20:56;20:55;21:26;21:26;21:56;21:56;;;22:24;22:24;;;;;22:54;22:56;;;;;23:24;23:24;;;23:54;23:53
Samuel-Lampel-Straße;;;;;;;05:25;05:25;;;05:55;05:54;;;06:25;06:25;;;06:55;06:55;;;07:25;07:26;;;07:55;07:55;;;08:25;08:26;;;08:55;08:55;;;09:12;09:12;09:27;09:27;09:42;09:42;09:57;09:59;10:12;10:12;10:27;10:28;10:42;10:41;10:57;10:56;11:12;11:12;11:27;11:27;11:42;11:41;11:57;11:56;12:12;12:12;12:27;12:26;12:42;12:42;12:57;12:56;13:12;13:12;13:27;13:27;13:42;13:43;13:57;13:57;14:12;14:12;14:27;14:27;14:42;14:42;14:57;14:57;15:12;15:11;15:27;15:26;15:42;15:42;15:57;15:57;16:12;16:12;16:27;16:26;16:42;16:42;16:57;16:57;17:12;17:11;17:27;17:26;17:42;17:43;17:57;17:57;18:12;18:12;18:27;18:26;18:42;18:42;18:57;18:56;19:12;19:13;19:27;19:26;19:42;19:42;19:57;19:58;20:12;20:11;20:27;20:27;20:42;20:42;20:57;20:56;21:27;21:26;21:57;21:56;;;22:25;22:25;;;;;22:55;22:57;;;;;23:25;23:24;;;23:55;23:54
Mockau, Kirche;;;;;;;05:26;05:25;;;05:56;05:55;;;06:26;06:26;;;06:56;06:56;;;07:26;07:26;;;07:56;07:56;;;08:26;08:26;;;08:56;08:56;;;09:13;09:13;09:28;09:28;09:43;09:43;09:58;10:00;10:13;10:13;10:28;10:29;10:43;10:42;10:58;10:57;11:13;11:13;11:28;11:28;11:43;11:42;11:58;11:57;12:13;12:12;12:28;12:27;12:43;12:43;12:58;12:57;13:13;13:13;13:28;13:28;13:43;13:44;13:58;13:58;14:13;14:13;14:28;14:28;14:43;14:42;14:58;14:57;15:13;15:11;15:28;15:27;15:43;15:43;15:58;15:58;16:13;16:12;16:28;16:27;16:43;16:43;16:58;16:59;17:13;17:12;17:28;17:27;17:43;17:43;17:58;17:58;18:13;18:13;18:28;18:27;18:43;18:42;18:58;18:57;19:13;19:14;19:28;19:27;19:43;19:43;19:58;19:59;20:13;20:11;20:28;20:27;20:43;20:43;20:58;20:57;21:28;21:27;21:58;21:57;;;22:26;22:26;;;;;22:56;22:57;;;;;23:26;23:25;;;23:56;23:55
Thekla;;;;;05:08;05:08;05:27;05:26;05:38;05:38;05:57;05:56;06:08;06:07;06:27;06:27;06:38;06:38;06:57;06:57;07:08;07:08;07:27;07:28;07:38;07:39;07:57;07:57;08:08;08:08;08:27;08:27;08:38;08:37;08:57;08:57;08:59;09:00;09:14;09:14;09:29;09:29;09:44;09:44;09:59;10:01;10:14;10:14;10:29;10:31;10:44;10:44;10:59;10:58;11:14;11:14;11:29;11:29;11:44;11:43;11:59;11:58;12:14;12:14;12:29;12:28;12:44;12:44;12:59;12:59;13:14;13:15;13:29;13:29;13:44;13:45;13:59;13:59;14:14;14:14;14:29;14:30;14:44;14:43;14:59;14:58;15:14;15:13;15:29;15:29;15:44;15:44;15:59;16:01;16:14;16:14;16:29;16:28;16:44;16:44;16:59;17:01;17:14;17:13;17:29;17:28;17:44;17:45;17:59;17:59;18:14;18:14;18:29;18:28;18:44;18:43;18:59;18:58;19:14;19:15;19:29;19:29;19:44;19:44;19:59;20:00;20:14;20:14;20:29;20:29;20:44;20:44;20:59;20:59;21:29;21:29;21:59;21:59;;;22:27;22:27;;;22:38;22:39;22:57;22:58;;;23:08;23:09;23:27;23:27;23:38;Grob;23:57;23:56
Neutzscher Straße;;;;;05:10;05:10;;;05:40;05:39;;;06:10;06:09;;;06:40;06:41;;;07:10;07:09;;;07:40;07:40;;;08:10;08:09;;;08:40;08:39;;;09:01;09:01;09:16;09:15;09:31;09:30;09:46;09:46;10:01;10:03;10:16;10:15;10:31;10:32;10:46;10:46;11:01;11:00;11:16;11:16;11:31;11:31;11:46;11:46;12:01;12:00;12:16;12:16;12:31;12:30;12:46;12:45;13:01;13:01;13:16;13:16;13:31;13:30;13:46;13:46;14:01;14:00;14:16;14:15;14:31;14:31;14:46;14:45;15:01;15:00;15:16;15:15;15:31;15:31;15:46;15:45;16:01;16:02;16:16;16:16;16:31;16:30;16:46;16:45;17:01;17:02;17:16;17:15;17:31;17:30;17:46;17:46;18:01;18:01;18:16;18:16;18:31;18:30;18:46;18:45;19:01;19:00;19:16;19:17;19:31;19:31;19:46;19:45;20:01;20:01;20:16;20:16;20:31;20:30;20:46;20:46;21:01;21:01;21:31;21:30;22:01;22:01;;;;;;;22:40;22:40;;;;;23:10;23:10;;;23:40;23:39;;
Sosaer Straße;;;;;05:11;05:12;;;05:41;05:41;;;06:11;06:10;;;06:41;06:43;;;07:11;07:11;;;07:41;07:41;;;08:11;08:11;;;08:41;08:41;;;09:02;09:03;09:17;09:17;09:32;09:32;09:47;09:47;10:02;10:04;10:17;10:16;10:32;10:34;10:47;10:47;11:02;11:02;11:17;11:17;11:32;11:33;11:47;11:47;12:02;12:01;12:17;12:18;12:32;12:32;12:47;12:47;13:02;13:03;13:17;13:17;13:32;13:32;13:47;13:48;14:02;14:02;14:17;14:17;14:32;14:33;14:47;14:46;15:02;15:02;15:17;15:17;15:32;15:33;15:47;15:47;16:02;16:04;16:17;16:18;16:32;16:32;16:47;16:47;17:02;17:04;17:17;17:17;17:32;17:32;17:47;17:48;18:02;18:03;18:17;18:17;18:32;18:32;18:47;18:47;19:02;19:01;19:17;19:19;19:32;19:32;19:47;19:47;20:02;20:03;20:17;20:17;20:32;20:32;20:47;20:47;21:02;21:02;21:32;21:32;22:02;22:02;;;;;;;22:41;22:42;;;;;23:11;23:12;;;23:41;23:41;;
Freiberger Straße;;;;;05:12;05:13;;;05:42;05:42;;;06:12;06:11;;;06:42;06:43;;;07:12;07:12;;;07:42;07:42;;;08:12;08:11;;;08:42;08:42;;;09:03;09:03;09:18;09:18;09:33;09:33;09:48;09:48;10:03;10:05;10:18;10:18;10:33;10:35;10:48;10:48;11:03;11:03;11:18;11:19;11:33;11:34;11:48;11:48;12:03;12:02;12:18;12:19;12:33;12:33;12:48;12:48;13:03;13:04;13:18;;13:33;13:33;13:48;13:48;14:03;14:03;14:18;14:18;14:33;14:35;14:48;14:47;15:03;15:03;15:18;15:18;15:33;15:34;15:48;15:49;16:03;16:05;16:18;16:19;16:33;16:33;16:48;16:48;17:03;17:05;17:18;17:18;17:33;17:33;17:48;17:49;18:03;18:04;18:18;18:18;18:33;18:33;18:48;18:48;19:03;19:03;19:18;19:20;19:33;19:33;19:48;19:49;20:03;20:03;20:18;20:19;20:33;20:33;20:48;20:48;21:03;21:04;21:33;21:33;22:03;22:03;;;;;;;22:42;22:43;;;;;23:12;23:13;;;23:42;23:41;;
S-Bf. Thekla;;;;;05:13;05:14;;;05:43;05:44;;;06:13;06:13;;;06:43;06:44;;;07:13;07:14;;;07:43;07:44;;;08:13;08:12;;;08:43;08:43;;;09:04;09:04;09:19;09:19;09:34;09:34;09:49;09:49;10:04;10:07;10:19;10:19;10:34;10:37;10:49;10:51;11:04;11:04;11:19;11:20;11:34;11:35;11:49;11:50;12:04;12:04;12:19;12:20;12:34;12:34;12:49;12:50;13:04;13:05;13:19;13:20;13:34;13:33;13:49;13:50;14:04;14:05;14:19;14:20;14:34;14:37;14:49;14:49;15:04;15:05;15:19;15:19;15:34;15:36;15:49;15:50;16:04;16:07;16:19;16:20;16:34;16:34;16:49;16:51;17:04;17:06;17:19;17:20;17:34;17:34;17:49;17:51;18:04;18:06;18:19;18:20;18:34;18:35;18:49;18:50;19:04;19:04;19:19;19:21;19:34;19:35;19:49;19:51;20:04;20:06;20:19;20:21;20:34;20:35;20:49;20:50;21:04;21:05;21:34;21:35;22:04;22:06;;;;;;;22:43;22:44;;;;;23:13;23:15;;;23:43;23:43;;
