Kurs:;72;;83;;34;;91;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;82;;32;;91;;92;;35;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Paunsdorf, Buswendest.;05:18;05:18;06:18;06:18;07:18;07:18;08:18;08:18;08:48;08:48;09:18;09:19;09:43;09:43;10:13;10:13;10:43;10:43;11:13;11:13;11:43;11:43;12:13;12:13;12:43;12:43;13:13;13:13;13:43;13:43;14:13;14:14;14:43;14:45;15:13;15:13;15:43;15:46;16:13;16:13;16:43;16:43;17:13;17:13;17:43;17:43;18:13;18:13;18:43;18:43;19:13;19:13;19:43;19:44;20:13;20:13;20:43;20:43;21:15;21:16;21:45;21:45;22:18;22:20;23:18;23:18
Güterbahnhofstraße;05:19;05:19;06:19;06:18;07:19;07:19;08:19;08:19;08:49;08:49;09:19;09:20;09:44;09:44;10:14;10:14;10:44;10:44;11:14;11:14;11:44;11:44;12:14;12:14;12:44;12:44;13:14;13:14;13:44;13:44;14:14;14:14;14:44;14:45;15:14;15:13;15:44;15:47;16:14;16:14;16:44;16:44;17:14;17:14;17:44;17:44;18:14;18:14;18:44;18:44;19:14;19:14;19:44;19:45;20:14;20:14;20:44;20:44;21:16;21:17;21:46;21:46;22:19;22:21;23:19;23:20
Schongauerstraße;05:20;05:19;06:20;06:20;07:20;07:19;08:20;08:20;08:50;08:49;09:20;09:20;09:45;09:44;10:15;10:14;10:45;10:44;11:15;11:14;11:45;11:44;12:15;12:15;12:45;12:44;13:15;13:15;13:45;13:45;14:15;14:15;14:45;14:46;15:15;15:14;15:45;15:48;16:15;16:15;16:45;16:45;17:15;17:15;17:45;17:44;18:15;18:15;18:45;18:45;19:15;19:15;19:45;19:46;20:15;20:15;20:45;20:44;21:17;21:18;21:47;21:46;22:20;22:22;23:20;23:21
Sommerfeld;05:21;05:20;06:21;06:21;07:21;07:21;08:21;08:21;08:51;08:50;09:21;09:21;09:46;09:45;10:16;10:17;10:46;10:46;11:16;11:15;11:46;11:46;12:16;12:16;12:46;12:46;13:16;13:16;13:46;13:47;14:16;14:17;14:46;14:47;15:16;15:16;15:46;15:49;16:16;16:16;16:46;16:47;17:16;17:18;17:46;17:45;18:16;18:16;18:46;18:48;19:16;19:18;19:46;19:48;20:16;20:16;20:46;20:46;21:18;21:18;21:48;21:47;22:21;22:23;23:21;23:24
Hans-Weigel-Straße;05:22;05:21;06:22;06:22;07:22;07:22;08:22;08:22;08:52;08:51;09:22;09:21;09:47;09:46;10:17;10:17;10:47;10:47;11:17;11:17;11:47;11:46;12:17;12:17;12:47;12:47;13:17;13:18;13:47;13:48;14:17;14:18;14:47;14:48;15:17;15:17;15:47;15:50;16:17;16:17;16:47;16:48;17:17;17:18;17:47;17:46;18:17;18:17;18:47;18:48;19:17;19:19;19:47;19:49;20:17;20:17;20:47;20:48;21:19;21:19;21:49;21:48;22:22;22:24;23:22;23:25
Hugo-Aurig-Straße;05:23;05:22;06:23;06:23;07:23;07:22;08:23;08:23;08:53;08:52;09:23;09:22;09:48;09:47;10:18;10:18;10:48;10:47;11:18;11:18;11:48;11:48;12:18;12:17;12:48;12:48;13:18;13:18;13:48;13:49;14:18;14:19;14:48;14:49;15:18;15:17;15:48;15:51;16:18;16:19;16:48;16:49;17:18;17:19;17:48;17:47;18:18;18:18;18:48;18:49;19:18;19:19;19:48;19:50;20:18;20:18;20:48;20:50;21:20;21:20;21:50;21:49;22:23;22:25;23:23;23:26
Klempererstraße;05:24;05:23;06:24;06:24;07:24;07:23;08:24;08:24;08:54;08:54;09:24;09:23;09:49;09:48;10:19;10:19;10:49;10:48;11:19;11:19;11:49;11:49;12:19;12:18;12:49;12:49;13:19;13:20;13:49;13:50;14:19;14:20;14:49;14:51;15:19;15:18;15:49;15:52;16:19;16:20;16:49;16:50;17:19;17:21;17:49;17:48;18:19;18:19;18:49;18:50;19:19;19:21;19:49;19:51;20:19;20:19;20:49;20:51;21:21;21:21;21:51;21:50;22:24;22:26;23:24;23:27
Engelsdorf, Kirchweg;05:25;05:25;06:25;06:25;07:25;07:25;08:25;08:25;08:55;08:55;09:25;09:25;09:50;09:49;10:20;10:21;10:50;10:50;11:20;11:21;11:50;11:50;12:20;12:20;12:50;12:50;13:20;13:21;13:50;13:51;14:20;14:22;14:50;14:52;15:20;15:19;15:50;15:53;16:20;16:21;16:50;16:52;17:20;17:22;17:50;17:50;18:20;18:21;18:50;18:52;19:20;19:22;19:50;19:52;20:20;20:21;20:50;20:53;21:22;21:23;21:52;21:52;22:25;22:27;23:25;23:28
Engelsdorf, Kirche;05:26;05:25;06:26;06:26;07:26;07:25;08:26;08:25;08:56;08:56;09:26;09:26;09:51;09:50;10:21;10:21;10:51;10:51;11:21;11:21;11:51;11:50;12:21;12:21;12:51;12:51;13:21;13:21;13:51;13:52;14:21;14:22;14:51;14:52;15:21;15:20;15:51;15:54;16:21;16:22;16:51;16:52;17:21;17:22;17:51;17:51;18:21;18:22;18:51;18:52;19:21;19:23;19:51;19:52;20:21;20:21;20:51;20:53;21:23;21:23;21:53;21:52;22:26;22:28;23:26;23:29
Engelsdorf, Gymnasium;05:27;05:26;06:27;06:27;07:27;07:27;08:27;08:27;08:57;08:57;09:27;09:27;09:52;09:51;10:22;10:23;10:52;10:51;11:22;11:23;11:52;11:51;12:22;12:21;12:52;12:52;13:22;13:23;13:52;13:53;14:22;14:24;14:52;14:53;15:22;15:21;15:52;15:54;16:22;16:23;16:52;16:53;17:22;17:23;17:52;17:52;18:22;18:23;18:52;18:53;19:22;19:24;19:52;19:53;20:22;20:22;20:52;20:55;21:24;21:24;21:54;21:53;22:27;22:29;23:27;23:30
Arthur-Winkler-Straße;05:28;05:27;06:28;06:28;07:28;07:27;08:28;08:28;08:58;08:58;09:28;09:29;09:54;09:53;10:24;10:24;10:54;10:53;11:24;11:24;11:54;11:53;12:24;12:23;12:54;12:53;13:24;13:24;13:54;13:54;14:24;14:25;14:54;14:54;15:24;15:23;15:54;15:56;16:24;16:24;16:54;16:54;17:24;17:25;17:54;17:54;18:24;18:24;18:54;18:55;19:24;19:25;19:54;19:54;20:24;20:24;20:54;20:56;21:25;21:25;21:55;21:54;22:28;22:30;23:28;23:31
Ernst-Guhr-Straße;05:29;05:28;06:29;06:29;07:29;07:28;08:29;08:29;08:59;09:00;09:29;09:30;09:55;09:54;10:25;10:25;10:55;10:54;11:25;11:25;11:55;11:54;12:25;12:24;12:55;12:54;13:25;13:25;13:55;13:56;14:25;14:26;14:55;14:55;15:25;15:24;15:55;15:57;16:25;16:25;16:55;16:55;17:25;17:26;17:55;17:55;18:25;18:25;18:55;18:55;19:25;19:26;19:55;19:55;20:25;20:25;20:55;20:57;21:26;21:26;21:56;21:55;22:29;22:31;23:29;23:32
Werkstättenstraße;05:30;05:29;06:30;06:31;07:30;07:29;08:30;08:30;09:00;09:01;09:30;09:31;09:57;09:56;10:27;10:27;10:57;10:56;11:27;11:26;11:57;11:56;12:27;12:26;12:57;12:56;13:27;13:26;13:57;13:57;14:27;14:27;14:57;14:56;15:27;15:26;15:57;15:58;16:27;16:26;16:57;16:56;17:27;17:27;17:57;17:56;18:27;18:27;18:57;18:56;19:27;19:27;19:57;19:56;20:27;20:27;20:57;20:59;21:27;21:28;21:57;21:56;22:30;22:33;23:30;23:33
Engelsdorf, Ärztehaus;05:31;05:30;06:31;06:32;07:31;07:30;08:31;08:31;09:01;09:02;09:31;09:32;09:58;09:57;10:28;10:28;10:58;10:57;11:28;11:27;11:58;11:57;12:28;12:27;12:58;12:57;13:28;13:27;13:58;13:58;14:28;14:28;14:58;14:57;15:28;15:27;15:58;15:59;16:28;16:27;16:58;16:57;17:28;17:28;17:58;17:57;18:28;18:28;18:58;18:57;19:28;19:28;19:58;19:57;20:28;20:28;20:58;20:59;21:28;21:28;21:58;21:57;22:31;22:34;23:31;23:33
Hasenheide;05:32;05:31;06:32;06:33;07:32;07:31;08:32;08:32;09:02;09:03;09:32;09:34;09:59;09:58;10:29;10:29;10:59;10:58;11:29;11:29;11:59;11:58;12:29;12:28;12:59;12:59;13:29;13:29;13:59;13:59;14:29;14:30;14:59;14:58;15:29;15:28;15:59;16:00;16:29;16:29;16:59;16:59;17:29;17:29;17:59;17:59;18:29;18:29;18:59;18:58;19:29;19:30;19:59;19:58;20:29;20:29;20:59;21:01;21:29;21:30;21:59;21:58;22:32;22:35;23:32;23:35
Am Bahndamm;05:34;05:33;06:34;06:35;07:34;07:33;08:34;08:33;09:04;09:05;09:34;09:36;10:01;10:00;10:31;10:31;11:01;10:59;11:31;11:30;12:01;12:00;12:31;12:30;13:01;13:00;13:31;13:30;14:01;14:01;14:31;14:31;15:01;15:00;15:31;15:30;16:01;16:01;16:31;16:31;17:01;17:00;17:31;17:31;18:01;18:00;18:31;18:30;19:01;19:00;19:31;19:31;20:01;19:59;20:31;20:31;21:01;21:02;21:31;21:31;22:01;22:00;22:34;22:36;23:34;23:36
