Kurs:;36;;84;;72;;83;;34;;91;;92;;31;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;92;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Hauptbahnhof;00:02;00:03;05:02;05:06;06:02;06:06;07:02;07:03;08:02;08:03;09:02;09:06;09:24;09:26;09:54;10:24;10:24;10:54;10:54;11:24;11:24;11:54;11:55;12:24;12:25;12:54;12:55;13:24;13:25;13:54;13:55;14:24;14:24;14:54;14:55;15:24;15:25;15:54;15:54;16:24;16:25;16:54;16:54;17:24;17:25;17:54;17:55;18:24;18:26;18:54;18:54;19:24;19:24;19:54;19:55;20:24;20:25;20:54;20:54;21:24;21:26;21:54;21:54;22:24;22:24;23:02;23:06
Hofmeisterstraße;00:04;00:04;05:04;05:07;06:04;06:07;07:04;07:05;08:04;08:04;09:04;09:07;09:26;09:27;09:56;10:26;10:25;10:56;10:56;11:26;11:25;11:56;11:57;12:26;12:27;12:56;12:57;13:26;13:27;13:56;13:57;14:26;14:25;14:56;14:56;15:26;15:26;15:56;15:55;16:26;16:27;16:56;16:55;17:26;17:27;17:56;17:57;18:26;18:27;18:56;18:56;19:26;19:26;19:56;19:57;20:26;20:27;20:56;20:55;21:26;21:27;21:56;21:55;22:26;22:26;23:04;23:07
Friedrich-List-Platz;00:05;00:05;05:05;05:08;06:05;06:08;07:05;07:06;08:05;08:05;09:05;09:08;09:27;09:29;09:57;10:27;10:27;10:57;10:57;11:27;11:27;11:57;11:59;12:27;12:29;12:57;12:59;13:27;13:29;13:57;13:59;14:27;14:27;14:57;14:57;15:27;15:29;15:57;15:56;16:27;16:29;16:57;16:57;17:27;17:29;17:57;17:59;18:27;18:29;18:57;18:57;19:27;19:27;19:57;19:57;20:27;20:29;20:57;20:56;21:27;21:29;21:57;21:57;22:27;22:29;23:05;23:08
Elsastraße;00:07;00:06;05:07;05:09;06:07;06:09;07:07;07:08;08:07;08:06;09:07;09:09;09:29;09:30;09:59;10:29;10:29;10:59;10:58;11:29;11:28;11:59;12:00;12:29;12:30;12:59;13:00;13:29;13:30;13:59;14:00;14:29;14:29;14:59;14:59;15:29;15:30;15:59;15:58;16:29;16:30;16:59;16:59;17:29;17:30;17:59;18:00;18:29;18:30;18:59;18:59;19:29;19:29;19:59;19:59;20:29;20:30;20:59;20:57;21:29;21:31;21:59;21:59;22:29;22:30;23:07;23:09
Reudnitz, Koehlerstraße;00:09;00:09;05:09;05:11;06:09;06:10;07:09;07:09;08:09;08:09;09:09;09:11;09:31;09:32;10:01;10:31;10:32;11:01;11:01;11:31;11:30;12:01;12:02;12:31;12:32;13:01;13:03;13:31;13:32;14:01;14:02;14:31;14:30;15:01;15:01;15:31;15:32;16:01;16:01;16:31;16:32;17:01;17:01;17:31;17:33;18:01;18:03;18:31;18:33;19:01;19:01;19:31;19:31;20:01;20:01;20:31;20:32;21:01;21:00;21:31;21:34;22:01;22:01;22:31;22:32;23:09;23:11
Breite Straße;00:11;00:11;05:11;05:13;06:11;06:12;07:11;07:11;08:11;08:10;09:11;09:13;09:33;09:35;10:03;10:33;10:34;11:03;11:04;11:33;11:32;12:03;12:04;12:33;12:34;13:03;13:05;13:33;13:34;14:03;14:03;14:33;14:32;15:03;15:04;15:33;15:34;16:03;16:02;16:33;16:35;17:03;17:03;17:33;17:36;18:03;18:04;18:33;18:36;19:03;19:04;19:33;19:32;20:03;20:03;20:33;20:34;21:03;21:02;21:33;21:36;22:03;22:03;22:33;22:34;23:11;23:12
Martinstraße;00:12;00:12;05:12;05:14;06:12;06:13;07:12;07:12;08:12;08:11;09:12;09:14;09:34;09:36;10:04;10:34;10:34;11:04;11:05;11:34;11:33;12:04;12:05;12:34;12:35;13:04;13:06;13:34;13:35;14:04;14:04;14:34;14:33;15:04;15:05;15:34;15:35;16:04;16:03;16:34;16:36;17:04;17:03;17:34;17:37;18:04;18:05;18:34;18:37;19:04;19:05;19:34;19:33;20:04;20:04;20:34;20:35;21:04;21:03;21:34;21:37;22:04;22:03;22:34;22:35;23:12;23:13
S-Bf. Anger-Crottendorf;00:13;00:13;05:13;05:15;06:13;06:13;07:13;07:13;08:13;08:12;09:13;09:15;09:35;09:37;10:05;10:35;10:36;11:05;11:06;11:35;11:34;12:05;12:06;12:35;12:36;13:05;13:07;13:35;13:36;14:05;14:05;14:35;14:34;15:05;15:06;15:35;15:36;16:05;16:05;16:35;16:37;17:05;17:05;17:35;17:39;18:05;18:07;18:35;18:38;19:05;19:06;19:35;19:35;20:05;20:05;20:35;20:37;21:05;21:05;21:35;21:38;22:05;22:05;22:35;22:36;23:13;23:15
Ostfriedhof;00:14;00:13;05:14;05:15;06:14;06:14;07:14;07:14;08:14;08:12;09:14;09:15;09:36;09:37;10:06;10:36;10:36;11:06;11:07;11:36;11:35;12:06;12:07;12:36;12:37;13:06;13:08;13:36;13:37;14:06;14:06;14:36;14:35;15:06;15:06;15:36;15:36;16:06;16:05;16:36;16:37;17:06;17:05;17:36;17:39;18:06;18:07;18:36;18:39;19:06;19:07;19:36;19:35;20:06;20:06;20:36;20:37;21:06;21:05;21:36;21:38;22:06;22:05;22:36;22:36;23:14;23:15
Pommernstraße;00:15;00:14;05:15;05:16;06:15;06:15;07:15;07:14;08:15;08:13;09:15;09:16;09:37;09:38;10:07;10:37;10:37;11:07;11:07;11:37;11:35;12:07;12:08;12:37;12:38;13:07;13:08;13:37;13:38;14:07;14:06;14:37;14:35;15:07;15:07;15:37;15:37;16:07;16:06;16:37;16:38;17:07;17:06;17:37;17:40;18:07;18:08;18:37;18:40;19:07;19:08;19:37;19:36;20:07;20:06;20:37;20:38;21:07;21:06;21:37;21:39;22:07;22:06;22:37;22:37;23:15;23:16
Dr.-Wilhelm-Külz-Straße;00:16;00:15;05:16;05:17;06:16;06:15;07:16;07:15;08:16;08:13;09:16;09:17;09:38;09:39;10:08;10:38;10:38;11:08;11:08;11:38;11:36;12:08;12:08;12:38;12:38;13:08;13:09;13:38;13:39;14:08;14:07;14:38;14:37;15:08;15:08;15:38;15:38;16:08;16:07;16:38;16:39;17:08;17:07;17:38;17:41;18:08;18:10;18:38;18:40;19:08;19:08;19:38;19:37;20:08;20:07;20:38;20:38;21:08;21:07;21:38;21:40;22:08;22:07;22:38;22:38;23:16;23:17
Anemonenweg;00:17;00:16;05:17;05:17;06:17;06:16;07:17;07:16;08:17;08:14;09:17;09:17;09:39;09:39;10:09;10:39;10:38;11:09;11:09;11:39;11:37;12:09;12:09;12:39;12:39;13:09;13:10;13:39;13:39;14:09;14:08;14:39;14:38;15:09;15:08;15:39;15:39;16:09;16:07;16:39;16:40;17:09;17:07;17:39;17:42;18:09;18:11;18:39;18:41;19:09;19:09;19:39;19:38;20:09;20:08;20:39;20:39;21:09;21:08;21:39;21:40;22:09;22:08;22:39;22:39;23:17;23:18
Mölkau, Gemeindeamt;00:18;00:17;05:18;05:18;06:18;06:17;07:18;07:17;08:18;08:19;09:18;09:19;09:40;09:41;10:10;10:40;10:39;11:10;11:10;11:40;11:39;12:10;12:10;12:40;12:41;13:10;13:11;13:40;13:41;14:10;14:09;14:40;14:42;15:10;15:09;15:40;15:40;16:10;16:09;16:40;16:41;17:10;17:09;17:40;17:44;18:10;18:12;18:40;18:42;19:10;19:10;19:40;19:40;20:10;20:09;20:40;20:40;21:10;21:09;21:40;21:42;22:10;22:10;22:40;22:40;23:18;23:19
