Kurs:;75;;31;;31;;31;;31;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;82;;32;;91;;73;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Hauptbahnhof;00:32;00:34;05:32;05:33;06:32;06:36;07:32;07:36;08:32;08:33;09:39;09:39;10:09;10:09;10:39;10:39;11:09;11:11;11:39;11:39;12:09;12:10;12:39;12:39;13:09;13:10;13:39;13:41;14:09;14:09;14:39;14:39;15:09;15:11;15:39;15:40;16:09;16:09;16:39;16:40;17:09;17:11;17:39;17:40;18:09;18:10;18:39;18:40;19:09;19:11;19:39;19:39;20:09;20:09;20:39;20:39;21:09;21:09;21:39;21:39;22:09;22:09;22:39;22:39;23:32;23:35
Hofmeisterstraße;00:34;00:36;05:34;05:35;06:34;06:37;07:34;07:37;08:34;08:34;09:41;09:41;10:11;10:10;10:41;10:41;11:11;11:13;11:41;11:40;12:11;12:11;12:41;12:41;13:11;13:12;13:41;13:42;14:11;14:10;14:41;14:41;15:11;15:12;15:41;15:42;16:11;16:10;16:41;16:42;17:11;17:12;17:41;17:42;18:11;18:12;18:41;18:42;19:11;19:12;19:41;19:40;20:11;20:10;20:41;20:40;21:11;21:11;21:41;21:40;22:11;22:11;22:41;22:40;23:34;23:37
Friedrich-List-Platz;00:35;00:38;05:35;05:36;06:35;06:38;07:35;07:38;08:35;08:36;09:42;09:42;10:12;10:12;10:42;10:44;11:12;11:15;11:42;11:41;12:12;12:12;12:42;12:42;13:12;13:14;13:42;13:44;14:12;14:12;14:42;14:42;15:12;15:14;15:42;15:44;16:12;16:11;16:42;16:44;17:12;17:14;17:42;17:44;18:12;18:14;18:42;18:44;19:12;19:14;19:42;19:42;20:12;20:12;20:42;20:42;21:12;21:12;21:42;21:42;22:12;22:12;22:42;22:41;23:35;23:38
Elsastraße;00:37;00:39;05:37;05:38;06:37;06:39;07:37;07:39;08:37;08:38;09:44;09:44;10:14;10:14;10:44;10:45;11:14;11:17;11:44;11:43;12:14;12:14;12:44;12:44;13:14;13:15;13:44;13:45;14:14;14:14;14:44;14:44;15:14;15:15;15:44;15:45;16:14;16:13;16:44;16:45;17:14;17:15;17:44;17:45;18:14;18:15;18:44;18:45;19:14;19:15;19:44;19:43;20:14;20:14;20:44;20:44;21:14;21:14;21:44;21:44;22:14;22:13;22:44;22:42;23:37;23:39
Reudnitz, Koehlerstraße;00:39;00:40;05:39;05:39;06:39;06:41;07:39;07:40;08:39;08:39;09:46;09:47;10:16;10:18;10:46;10:47;11:16;11:19;11:46;11:45;12:16;12:16;12:46;12:46;13:16;13:16;13:46;13:46;14:16;14:16;14:46;14:46;15:16;15:18;15:46;15:47;16:16;16:15;16:46;16:48;17:16;17:17;17:46;17:47;18:16;18:18;18:46;18:47;19:16;19:17;19:46;19:46;20:16;20:16;20:46;20:46;21:16;21:16;21:46;21:47;22:16;22:16;22:46;22:46;23:39;23:41
Breite Straße;00:41;00:42;05:41;05:41;06:41;06:43;07:41;07:42;08:41;08:40;09:48;09:48;10:18;10:20;10:48;10:48;11:18;11:21;11:48;11:47;12:18;12:18;12:48;12:49;13:18;13:18;13:48;13:48;14:18;14:18;14:48;14:48;15:18;15:19;15:48;15:49;16:18;16:17;16:48;16:50;17:18;17:19;17:48;17:50;18:18;18:19;18:48;18:50;19:18;19:20;19:48;19:47;20:18;20:19;20:48;20:48;21:18;21:19;21:48;21:49;22:18;22:18;22:48;22:47;23:41;23:43
Martinstraße;00:42;00:43;05:42;05:41;06:42;06:43;07:42;07:42;08:42;08:41;09:49;09:49;10:19;10:21;10:49;10:49;11:19;11:22;11:49;11:48;12:19;12:19;12:49;12:50;13:19;13:19;13:49;13:50;14:19;14:19;14:49;14:49;15:19;15:20;15:49;15:50;16:19;16:18;16:49;16:51;17:19;17:20;17:49;17:51;18:19;18:20;18:49;18:51;19:19;19:20;19:49;19:48;20:19;20:20;20:49;20:48;21:19;21:19;21:49;21:49;22:19;22:19;22:49;22:48;23:42;23:44
S-Bf. Anger-Crottendorf;00:43;00:44;05:43;05:43;06:43;06:44;07:43;07:43;08:43;08:43;09:50;09:51;10:20;10:23;10:50;10:50;11:20;11:24;11:50;11:49;12:20;12:20;12:50;12:51;13:20;13:20;13:50;13:51;14:20;14:20;14:50;14:50;15:20;15:22;15:50;15:51;16:20;16:20;16:50;16:52;17:20;17:22;17:50;17:53;18:20;18:22;18:50;18:52;19:20;19:22;19:50;19:50;20:20;20:21;20:50;20:50;21:20;21:21;21:50;21:51;22:20;22:20;22:50;22:49;23:43;23:45
Ostfriedhof;00:44;00:44;05:44;05:43;06:44;06:45;07:44;07:44;08:44;08:43;09:51;09:51;10:21;10:23;10:51;10:51;11:21;11:24;11:51;11:50;12:21;12:21;12:51;12:52;13:21;13:21;13:51;13:52;14:21;14:21;14:51;14:51;15:21;15:22;15:51;15:52;16:21;16:20;16:51;16:52;17:21;17:22;17:51;17:53;18:21;18:22;18:51;18:53;19:21;19:22;19:51;19:50;20:21;20:21;20:51;20:50;21:21;21:21;21:51;21:51;22:21;22:20;22:51;22:50;23:44;23:45
