Kurs:;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Thekla;09:00;09:01;09:30;09:31;10:00;10:01;10:30;10:31;11:00;11:00;11:30;11:31;12:00;12:00;12:30;12:32;13:00;13:00;13:30;13:30;14:00;14:01;14:30;14:30;15:00;15:00;15:30;15:31;16:00;16:01;16:30;16:30;17:00;17:01;17:30;17:30;18:00;18:01;18:30;18:29;19:00;19:00;19:30;19:31;20:00;20:00;20:30;20:30
Lidicestraße;09:01;09:01;09:31;09:32;10:01;10:01;10:31;10:32;11:01;11:01;11:31;11:32;12:01;12:01;12:31;12:35;13:01;13:01;13:31;13:30;14:01;14:03;14:31;14:32;15:01;15:01;15:31;15:31;16:01;16:02;16:31;16:31;17:01;17:03;17:31;17:32;18:01;18:02;18:31;18:30;19:01;19:01;19:31;19:31;20:01;20:01;20:31;20:31
S-Bf. Thekla;09:02;09:03;09:32;09:34;10:02;10:02;10:32;10:33;11:02;11:03;11:32;11:33;12:02;12:02;12:32;12:36;13:02;13:02;13:32;13:32;14:02;14:05;14:32;14:34;15:02;15:04;15:32;15:33;16:02;16:04;16:32;16:32;17:02;17:05;17:32;17:33;18:02;18:03;18:32;18:32;19:02;19:03;19:32;19:33;20:02;20:03;20:32;20:32
Heiterblickstraße;09:03;09:03;09:33;09:34;10:03;10:03;10:33;10:33;11:03;11:03;11:33;11:34;12:03;12:03;12:33;12:37;13:03;13:03;13:33;13:32;14:03;14:07;14:33;14:34;15:03;15:04;15:33;15:34;16:03;16:05;16:33;16:33;17:03;17:05;17:33;17:34;18:03;18:04;18:33;18:32;19:03;19:04;19:33;19:34;20:03;20:03;20:33;20:33
Abtnaundorf;09:04;09:04;09:34;09:35;10:04;10:04;10:34;10:34;11:04;11:04;11:34;11:35;12:04;12:04;12:34;12:38;13:04;13:04;13:34;13:33;14:04;14:08;14:34;14:35;15:04;15:05;15:34;15:34;16:04;16:06;16:34;16:34;17:04;17:06;17:34;17:34;18:04;18:05;18:34;18:33;19:04;19:05;19:34;19:35;20:04;20:04;20:34;20:34
Stöhrer-/Braunstraße;09:05;09:05;09:35;09:36;10:05;10:05;10:35;10:35;11:05;11:05;11:35;11:36;12:05;12:05;12:35;12:37;13:05;13:05;13:35;13:34;14:05;14:09;14:35;14:36;15:05;15:06;15:35;15:35;16:05;16:07;16:35;16:35;17:05;17:07;17:35;17:36;18:05;18:06;18:35;18:34;19:05;19:06;19:35;19:36;20:05;20:05;20:35;20:35
Brahestraße;09:06;09:06;09:36;09:37;10:06;10:06;10:36;10:36;11:06;11:06;11:36;11:37;12:06;12:06;12:36;12:38;13:06;13:05;13:36;13:35;14:06;14:10;14:36;14:37;15:06;15:07;15:36;15:36;16:06;16:08;16:36;16:35;17:06;17:08;17:36;17:37;18:06;18:07;18:36;18:35;19:06;19:07;19:36;19:36;20:06;20:06;20:36;20:36
Leupoldstraße;09:07;09:07;09:37;09:38;10:07;10:07;10:37;10:37;11:07;11:07;11:37;11:37;12:07;12:07;12:37;12:40;13:07;13:06;13:37;13:36;14:07;14:11;14:37;14:38;15:07;15:07;15:37;15:37;16:07;16:08;16:37;16:36;17:07;17:09;17:37;17:38;18:07;18:08;18:37;18:36;19:07;19:08;19:37;19:37;20:07;20:07;20:37;20:37
Hohentichelnstraße;09:08;09:08;09:38;09:39;10:08;10:08;10:38;10:38;11:08;11:08;11:38;11:39;12:08;12:08;12:38;12:41;13:08;13:08;13:38;13:38;14:08;14:12;14:38;14:39;15:08;15:08;15:38;15:38;16:08;16:09;16:38;16:38;17:08;17:09;17:38;17:39;18:08;18:09;18:38;18:38;19:08;19:09;19:38;19:39;20:08;20:08;20:38;20:38
Paunsdorf, Friedhof;09:09;09:08;09:39;09:40;10:09;10:08;10:39;10:39;11:09;11:09;11:39;11:40;12:09;12:08;12:39;12:42;13:09;13:09;13:39;13:38;14:09;14:13;14:39;14:40;15:09;15:09;15:39;15:38;16:09;16:10;16:39;16:38;17:09;17:10;17:39;17:40;18:09;18:10;18:39;18:38;19:09;19:10;19:39;19:40;20:09;20:08;20:39;20:38
Permoser-/Hohentichelns.;09:10;09:09;09:40;09:41;10:10;10:09;10:40;10:40;11:10;11:09;11:40;11:41;12:10;12:10;12:40;12:43;13:10;13:10;13:40;13:39;14:10;14:14;14:40;14:41;15:10;15:10;15:40;15:39;16:10;16:11;16:40;16:39;17:10;17:11;17:40;17:41;18:10;18:11;18:40;18:39;19:10;19:11;19:40;19:41;20:10;20:09;20:40;20:39
Theodor-Heuss-Straße;09:11;09:12;09:41;09:42;10:11;10:11;10:41;10:41;11:11;11:11;11:41;11:42;12:11;12:10;12:41;12:44;13:11;13:12;13:41;13:42;14:11;14:15;14:41;14:42;15:11;15:12;15:41;15:41;16:11;16:12;16:41;16:42;17:11;17:12;17:41;17:42;18:11;18:14;18:41;18:41;19:11;19:12;19:41;19:42;20:11;20:12;20:41;20:41
