Kurs:;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
S-Bf. Connewitz;08:47;08:47;09:17;09:19;09:47;09:47;10:17;10:17;10:47;10:49;11:17;11:17;11:47;11:47;12:17;12:18;12:47;12:47;13:17;13:17;13:47;13:47;14:17;14:17;14:47;14:46;15:17;15:17;15:47;15:47;16:17;16:17;16:47;16:47;17:17;17:17;17:47;17:47;18:17;18:17;18:47;18:47;19:17;19:17;19:47;19:46;20:17;20:17
Raschwitzer Straße;08:49;08:49;09:19;09:20;09:49;09:49;10:19;10:18;10:49;10:50;11:19;11:19;11:49;11:48;12:19;12:20;12:49;12:49;13:19;13:18;13:49;13:49;14:19;14:20;14:49;14:48;15:19;15:19;15:49;15:49;16:19;16:18;16:49;16:48;17:19;17:19;17:49;17:49;18:19;18:19;18:49;18:49;19:19;19:19;19:49;19:48;20:19;20:19
Dürrstraße;08:50;08:50;09:20;09:21;09:50;09:50;10:20;10:19;10:50;10:51;11:20;11:19;11:50;11:49;12:20;12:21;12:50;12:50;13:20;13:19;13:50;13:49;14:20;14:21;14:50;14:48;15:20;15:19;15:50;15:49;16:20;16:19;16:50;16:49;17:20;17:19;17:50;17:50;18:20;18:20;18:50;18:49;19:20;19:19;19:50;19:49;20:20;20:19
Dankwartstraße;08:51;08:51;09:21;09:21;09:51;09:51;10:21;10:20;10:51;10:52;11:21;11:20;11:51;11:50;12:21;12:22;12:51;12:51;13:21;13:20;13:51;13:50;14:21;14:22;14:51;14:49;15:21;15:21;15:51;15:50;16:21;16:20;16:51;16:50;17:21;17:21;17:51;17:51;18:21;18:20;18:51;18:51;19:21;19:20;19:51;19:50;20:21;20:21
Moritz Hof;08:52;08:52;09:22;09:23;09:52;09:52;10:22;10:21;10:52;10:53;11:22;11:22;11:52;11:52;12:22;12:23;12:52;12:52;13:22;13:21;13:52;13:52;14:22;14:24;14:52;14:51;15:22;15:22;15:52;15:51;16:22;16:21;16:52;16:51;17:22;17:22;17:52;17:52;18:22;18:22;18:52;18:52;19:22;19:21;19:52;19:52;20:22;20:22
Probsth./W.-Bredel-Str.;08:53;08:53;09:23;09:24;09:53;09:54;10:23;10:23;10:53;10:54;11:23;11:24;11:53;11:52;12:23;12:24;12:53;12:54;13:23;13:23;13:53;13:53;14:23;14:26;14:53;14:53;15:23;15:24;15:53;15:52;16:23;16:22;16:53;16:53;17:23;17:23;17:53;17:54;18:23;18:24;18:53;18:53;19:23;19:23;19:53;19:53;20:23;20:23
Connewitzer Straße;08:55;08:55;09:25;09:26;09:55;09:55;10:25;10:25;10:55;10:56;11:25;11:26;11:55;11:54;12:25;12:26;12:55;12:56;13:25;13:24;13:55;13:55;14:25;14:28;14:55;14:55;15:25;15:26;15:55;15:54;16:25;16:24;16:55;16:54;17:25;17:26;17:55;17:56;18:25;18:25;18:55;18:55;19:25;19:25;19:55;19:55;20:25;20:25
Probstheida;08:58;08:58;09:28;09:28;09:58;09:58;10:28;10:28;10:58;10:58;11:28;11:28;11:58;11:59;12:28;12:28;12:58;12:58;13:28;13:27;13:58;13:58;14:28;14:30;14:58;14:58;15:28;15:28;15:58;15:58;16:28;16:28;16:58;16:58;17:28;17:28;17:58;17:59;18:28;18:28;18:58;18:58;19:28;19:27;19:58;19:58;20:28;20:28
Prager/Russenstraße;09:00;09:00;09:30;09:30;10:00;10:01;10:30;10:30;11:00;11:00;11:30;11:29;12:00;12:00;12:30;12:30;13:00;12:59;13:30;13:29;14:00;13:59;14:30;14:32;15:00;14:59;15:30;15:29;16:00;15:59;16:30;16:29;17:00;16:59;17:30;17:29;18:00;18:01;18:30;18:29;19:00;18:59;19:30;19:29;20:00;19:59;20:30;20:29
