Kurs:;82;;94;;82;;83;;81;;92;;94;;82;;83;;81;;84;;82;;85;;31;;83;;32;;81;;82;;84;;31;;85;;81;;83;;84;;32;;85;;82;;83;;31;;32;;81;;82;;84;;31;;85;;81;;83;;84;;32;;85;;82;;83;;31;;32;;81;;82;;84;;31;;85;;81;;83;;84;;32;;85;;82;;31;;81;;84;;85;;31;;81;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lindenau, Bushof;03:55;03:55;04:30;04:31;05:00;05:00;05:30;05:30;06:00;06:00;06:30;06:30;07:00;07:02;07:30;07:31;08:00;08:00;08:30;08:31;08:57;08:57;09:12;09:13;09:27;09:27;;;09:57;09:56;10:27;10:27;;;10:57;Grob;;;11:27;11:28;;;11:57;Grob;;;12:27;12:28;;;12:57;12:57;;;13:27;13:27;;;13:57;13:57;;;14:27;14:27;;;14:57;14:57;;;15:27;15:27;;;15:57;15:58;;;16:27;16:27;;;16:57;16:57;;;17:27;17:28;;;17:57;17:57;;;18:27;18:27;;;18:57;18:59;;;19:27;19:27;;;19:57;19:58;;;20:27;20:28;20:57;20:58;21:27;21:27;21:57;21:58;22:30;22:30;23:00;23:01
Credéstraße;03:57;03:56;04:32;04:33;05:02;05:02;05:32;05:32;06:02;06:02;06:32;06:31;07:02;07:03;07:32;07:34;08:02;08:01;08:32;08:33;08:59;08:59;09:14;09:15;09:29;09:29;;;09:59;09:58;10:29;10:29;;;10:59;10:59;;;11:29;11:29;;;11:59;12:00;;;12:29;12:29;;;12:59;13:00;;;13:29;13:30;;;13:59;13:59;;;14:29;14:29;;;14:59;14:59;;;15:29;15:29;;;15:59;16:00;;;16:29;16:29;;;16:59;16:58;;;17:29;17:30;;;17:59;17:58;;;18:29;18:29;;;18:59;19:00;;;19:29;19:28;;;19:59;19:58;;;20:29;20:29;20:59;21:00;21:29;21:29;21:59;21:59;22:32;22:32;23:02;23:03
Demmeringstraße;03:58;03:57;04:33;04:35;05:03;05:03;05:33;05:33;06:03;06:04;06:33;06:33;07:03;07:04;07:33;07:35;08:03;08:02;08:33;08:35;09:00;09:01;09:15;09:16;09:30;09:30;;;10:00;09:59;10:30;10:30;;;11:00;11:00;;;11:30;11:31;;;12:00;12:02;;;12:30;12:30;;;13:00;13:01;;;13:30;13:31;;;14:00;14:00;;;14:30;14:31;;;15:00;15:01;;;15:30;15:30;;;16:00;16:01;;;16:30;16:30;;;17:00;17:00;;;17:30;17:31;;;18:00;18:00;;;18:30;18:30;;;19:00;19:01;;;19:30;19:30;;;20:00;20:00;;;20:30;20:30;21:00;21:01;21:30;21:30;22:00;22:00;22:33;22:33;23:03;23:05
Dr.-H.-Duncker-Straße;03:58;03:57;04:33;04:36;05:03;05:04;05:33;05:33;06:03;06:04;06:33;06:33;07:03;07:05;07:33;07:35;08:03;08:03;08:33;08:35;09:01;09:01;09:16;09:16;09:31;09:31;;;10:01;10:00;10:31;10:31;;;11:01;11:01;;;11:31;11:31;;;12:01;12:02;;;12:31;12:31;;;13:01;13:02;;;13:31;13:32;;;14:01;14:01;;;14:31;14:31;;;15:01;15:01;;;15:31;15:31;;;16:01;16:01;;;16:31;16:31;;;17:01;17:00;;;17:31;17:32;;;18:01;18:01;;;18:31;18:31;;;19:01;19:02;;;19:31;19:30;;;20:01;20:00;;;20:31;20:30;21:01;21:02;21:31;21:31;22:01;22:01;22:33;22:33;23:03;23:05
Plaut-/Schomburgkstr.;03:59;03:58;04:34;04:36;05:04;05:04;05:34;05:34;06:04;06:05;06:34;06:34;07:04;07:06;07:34;07:36;08:04;08:04;08:34;08:36;09:02;09:02;09:17;09:17;09:32;09:32;;;10:02;10:01;10:32;10:32;;;11:02;11:02;;;11:32;11:32;;;12:02;12:03;;;12:32;12:32;;;13:02;13:03;;;13:32;13:33;;;14:02;14:02;;;14:32;14:32;;;15:02;15:02;;;15:32;15:32;;;16:02;16:02;;;16:32;16:32;;;17:02;17:01;;;17:32;17:33;;;18:02;18:02;;;18:32;18:32;;;19:02;19:03;;;19:32;19:31;;;20:02;20:01;;;20:32;20:31;21:02;21:02;21:32;21:31;22:02;22:02;22:34;22:34;23:04;23:06
Ernst-Keil-Straße;04:00;03:59;04:35;04:37;05:05;05:05;05:35;05:35;06:05;06:05;06:35;06:35;07:05;07:06;07:35;07:37;08:05;08:05;08:35;08:37;09:03;09:03;09:18;09:18;09:33;09:32;;;10:03;10:01;10:33;10:33;;;11:03;11:02;;;11:33;11:33;;;12:03;12:04;;;12:33;12:33;;;13:03;13:03;;;13:33;13:34;;;14:03;14:03;;;14:33;14:33;;;15:03;15:03;;;15:33;15:33;;;16:03;16:03;;;16:33;16:33;;;17:03;17:02;;;17:33;17:34;;;18:03;18:03;;;18:33;18:33;;;19:03;19:04;;;19:33;19:32;;;20:03;20:02;;;20:33;20:32;21:03;21:03;21:33;21:32;22:03;22:03;22:35;22:35;23:05;23:07
Merseburger/Schomburgks.;04:01;04:00;04:36;04:38;05:06;05:06;05:36;05:36;06:06;06:06;06:36;06:37;07:06;07:08;07:36;07:39;08:06;08:06;08:36;08:38;09:04;09:04;09:19;09:18;09:34;09:34;;;10:04;10:03;10:34;10:35;;;11:04;11:03;;;11:34;11:35;;;12:04;12:05;;;12:34;12:34;;;13:04;13:05;;;13:34;13:35;;;14:04;14:04;;;14:34;14:35;;;15:04;15:05;;;15:34;15:35;;;16:04;16:04;;;16:34;16:34;;;17:04;17:04;;;17:34;17:36;;;18:04;18:05;;;18:34;18:35;;;19:04;19:05;;;19:34;19:34;;;20:04;20:04;;;20:34;20:33;21:04;21:04;21:34;21:33;22:04;22:04;22:36;22:36;23:06;23:07
Wittestraße;04:02;04:00;04:37;04:39;05:07;05:07;05:37;05:37;06:07;06:07;06:37;06:38;07:07;07:08;07:37;07:40;08:07;08:07;08:37;08:38;09:05;09:04;09:20;09:20;09:35;09:34;;;10:05;10:04;10:35;10:36;;;11:05;11:04;;;11:35;11:36;;;12:05;12:06;;;12:35;12:35;;;13:05;13:06;;;13:35;13:36;;;14:05;14:05;;;14:35;14:36;;;15:05;15:06;;;15:35;15:36;;;16:05;16:05;;;16:35;16:35;;;17:05;17:05;;;17:35;17:36;;;18:05;18:06;;;18:35;18:36;;;19:05;19:06;;;19:35;19:35;;;20:05;20:05;;;20:35;20:34;21:05;21:06;21:35;21:34;22:05;22:05;22:37;22:36;23:07;23:08
S-Bf. Leutzsch;04:03;04:01;04:38;04:40;05:08;05:08;05:38;05:38;06:08;06:09;06:38;06:39;07:08;07:10;07:38;07:41;08:08;08:08;08:38;08:40;09:06;09:06;09:21;09:21;09:36;09:36;;;10:06;10:05;10:36;10:38;;;11:06;11:06;;;11:36;11:37;;;12:06;12:07;;;12:36;12:36;;;13:06;13:07;;;13:36;13:38;;;14:06;14:06;;;14:36;14:37;;;15:06;15:07;;;15:36;15:38;;;16:06;16:06;;;16:36;16:37;;;17:06;17:06;;;17:36;17:37;;;18:06;18:07;;;18:36;18:38;;;19:06;19:07;;;19:36;19:36;;;20:06;20:06;;;20:36;20:35;21:06;21:06;21:36;21:35;22:06;22:06;22:38;22:38;23:08;23:09
