Kurs:;43;;13;;44;;14;;45;;15;;46;;16;;43;;44;;45;;46;;13;;14;;15;;16;;43;;44;;45;;46;;13;;14;;15;;16;;43;;44;;45;;46;;14;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Paunsdorf-Nord;;;11:55;11:55;;;12:10;12:11;;;12:25;12:24;;;12:40;12:40;12:55;12:55;13:10;13:10;13:25;13:25;13:40;13:40;13:55;13:55;14:10;14:10;14:25;14:25;14:40;14:40;14:55;14:56;15:10;15:10;15:25;15:25;15:40;15:39;15:55;15:57;16:10;16:09;16:25;16:25;16:40;16:40;16:55;16:56;17:10;17:10;17:25;17:24;17:40;17:40;18:10;18:10
Ahornstraße;;;11:57;11:56;;;12:12;12:13;;;12:27;12:26;;;12:42;12:42;12:57;12:57;13:12;13:11;13:27;13:27;13:42;13:41;13:57;13:57;14:12;14:11;14:27;14:26;14:42;14:41;14:57;14:58;15:12;15:12;15:27;15:26;15:42;15:41;15:57;15:58;16:12;16:12;16:27;16:26;16:42;16:41;16:57;16:58;17:12;17:12;17:27;17:26;17:42;17:42;18:12;18:11
Am Vorwerk;;;11:58;11:58;;;12:13;12:14;;;12:28;12:27;;;12:43;12:43;12:58;12:58;13:13;13:13;13:28;13:28;13:43;13:43;13:58;13:58;14:13;14:12;14:28;14:27;14:43;14:42;14:58;14:59;15:13;15:13;15:28;15:27;15:43;15:42;15:58;15:59;16:13;16:13;16:28;16:27;16:43;16:43;16:58;16:59;17:13;17:13;17:28;17:27;17:43;17:43;18:13;18:12
Paunsdorf, Strbf.;;;12:00;11:59;;;12:15;12:16;;;12:30;12:29;;;12:45;12:44;13:00;13:00;13:15;13:14;13:30;13:30;13:45;13:44;14:00;13:59;14:15;14:14;14:30;14:29;14:45;14:44;15:00;15:01;15:15;15:14;15:30;15:29;15:45;15:44;16:00;16:00;16:15;16:14;16:30;16:29;16:45;16:44;17:00;17:01;17:15;17:14;17:30;17:29;17:45;17:44;18:15;18:14
Barbarastraße;;;12:01;12:01;;;12:16;12:17;;;12:31;12:31;;;12:46;12:46;13:01;13:01;13:16;13:16;13:31;13:31;13:46;13:46;14:01;14:01;14:16;14:16;14:31;14:31;14:46;14:45;15:01;15:02;15:16;15:16;15:31;15:30;15:46;15:45;16:01;16:02;16:16;16:16;16:31;16:31;16:46;16:46;17:01;17:03;17:16;17:16;17:31;17:30;17:46;17:46;18:16;18:16
Theodor-Heuss-Straße;;;12:03;12:02;;;12:18;12:18;;;12:33;12:32;;;12:48;12:48;13:03;13:03;13:18;13:18;13:33;13:33;13:48;13:47;14:03;14:02;14:18;14:18;14:33;14:32;14:48;14:47;15:03;15:03;15:18;15:17;15:33;15:32;15:48;15:47;16:03;16:03;16:18;16:17;16:33;16:32;16:48;16:47;17:03;17:05;17:18;17:17;17:33;17:32;17:48;17:47;18:18;18:17
Ostheimstraße;;;12:04;12:03;;;12:19;12:19;;;12:34;12:33;;;12:49;12:49;13:04;13:04;13:19;13:20;13:34;13:34;13:49;13:48;14:04;14:03;14:19;14:20;14:34;14:33;14:49;14:48;15:04;15:05;15:19;15:18;15:34;15:33;15:49;15:48;16:04;16:04;16:19;16:19;16:34;16:33;16:49;16:48;17:04;17:06;17:19;17:18;17:34;17:33;17:49;17:48;18:19;18:18
Sellerhausen;;;12:06;12:05;;;12:21;12:21;;;12:36;12:35;;;12:51;12:51;13:06;13:06;13:21;13:21;13:36;13:36;13:51;13:50;14:06;14:05;14:21;14:22;14:36;14:35;14:51;14:50;15:06;15:07;15:21;15:20;15:36;15:35;15:51;15:50;16:06;16:06;16:21;16:21;16:36;16:35;16:51;16:50;17:06;17:08;17:21;17:20;17:36;17:35;17:51;17:50;18:21;18:20
Annenstraße;;;12:07;12:06;;;12:22;12:23;;;12:37;12:36;;;12:52;12:52;13:07;13:07;13:22;13:23;13:37;13:38;13:52;13:51;14:07;14:07;14:22;14:23;14:37;14:36;14:52;14:51;15:07;15:08;15:22;15:22;15:37;15:36;15:52;15:51;16:07;16:07;16:22;16:22;16:37;16:37;16:52;16:52;17:07;17:10;17:22;17:22;17:37;17:36;17:52;17:51;18:22;18:22
