Kurs:;52;;53;;53;;54;;56;;52;;53;;54;;56;;52;;53;;54;;31;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;15;;56;;51;;52;;53;;54;;56;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
S-Bf. Connewitz;04:08;04:08;04:23;04:23;;;;;;;;;;;;;;;;;;;;;;;;;;;09:37;09:37;09:52;09:52;10:07;10:06;10:22;10:22;10:37;10:37;10:52;10:52;11:07;11:07;11:22;11:21;11:37;11:36;11:52;11:51;12:07;12:07;12:22;12:22;12:37;12:37;12:52;12:51;13:07;13:06;13:22;13:20;13:37;13:36;13:52;13:51;14:07;14:06;14:22;14:21;14:37;14:36;14:52;14:51;15:07;15:06;15:22;15:21;15:37;15:36;15:52;15:51;16:07;16:06;16:22;16:22;16:37;16:37;16:52;16:51;17:07;17:07;17:22;17:21;17:37;17:36;17:52;17:51;18:07;18:07;18:22;18:22;18:37;18:37;18:52;18:51;19:07;19:07;19:22;19:21;19:37;19:36;19:52;19:52;20:07;20:07;20:22;20:21;20:37;20:37;20:52;20:51;21:07;21:06;;;;;;;;;;;;;;;;
Hildebrandstraße;04:09;04:09;04:24;04:24;;;;;;;;;;;;;;;;;;;;;;;;;;;09:38;09:38;09:53;09:53;10:08;10:08;10:23;10:23;10:38;10:38;10:53;10:53;11:08;11:09;11:23;11:23;11:38;11:38;11:53;11:53;12:08;12:09;12:23;12:23;12:38;12:38;12:53;12:53;13:08;13:08;13:23;13:22;13:38;13:38;13:53;13:53;14:08;14:08;14:23;14:23;14:38;14:38;14:53;14:53;15:08;15:07;15:23;15:23;15:38;15:38;15:53;15:53;16:08;16:08;16:23;16:23;16:38;16:39;16:53;16:53;17:08;17:09;17:23;17:23;17:38;17:38;17:53;17:53;18:08;18:09;18:23;18:24;18:38;18:38;18:53;18:53;19:08;19:08;19:23;19:23;19:38;19:38;19:53;19:53;20:08;20:09;20:23;20:23;20:38;20:39;20:53;20:53;21:08;21:08;;;;;;;;;;;;;;;;
Pfeffingerstraße;04:11;04:10;04:26;04:26;;;;;;;;;;;;;;;;;;;;;;;;;;;09:40;09:40;09:55;09:55;10:10;10:10;10:25;10:25;10:40;10:40;10:55;10:55;11:10;11:10;11:25;11:25;11:40;11:39;11:55;11:55;12:10;12:11;12:25;12:25;12:40;12:39;12:55;12:55;13:10;13:09;13:25;13:23;13:40;13:39;13:55;13:54;14:10;14:09;14:25;14:24;14:40;14:40;14:55;14:55;15:10;15:09;15:25;15:24;15:40;15:39;15:55;15:54;16:10;16:09;16:25;16:25;16:40;16:40;16:55;16:55;17:10;17:10;17:25;17:25;17:40;17:39;17:55;17:54;18:10;18:10;18:25;18:25;18:40;18:40;18:55;18:54;19:10;19:10;19:25;19:24;19:40;19:39;19:55;19:54;20:10;20:10;20:25;20:24;20:40;20:41;20:55;20:54;21:10;21:10;;;;;;;;;;;;;;;;
Connewitz  Kreuz;04:13;04:12;04:28;04:28;;;04:55;04:55;05:25;05:25;05:55;05:55;06:25;06:24;06:55;06:55;07:25;07:25;07:55;08:04;08:25;08:25;08:55;08:55;;;09:12;09:12;09:27;09:26;09:42;09:43;09:57;09:57;10:12;10:11;10:27;10:27;10:42;10:41;10:57;10:56;11:12;11:12;11:27;11:27;11:42;11:41;11:57;11:56;12:12;12:12;12:27;12:27;12:42;12:41;12:57;12:56;13:12;13:11;13:27;13:25;13:42;13:41;13:57;13:56;14:12;14:11;14:27;14:26;14:42;14:42;14:57;14:57;15:12;15:11;15:27;15:26;15:42;15:41;15:57;15:56;16:12;16:10;16:27;16:27;16:42;16:42;16:57;16:57;17:12;17:12;17:27;17:27;17:42;17:41;17:57;17:56;18:12;18:12;18:27;18:27;18:42;18:42;18:57;18:56;19:12;19:12;19:27;19:27;19:42;19:41;19:57;19:56;20:12;20:13;20:27;20:26;20:42;20:42;20:57;20:56;21:12;21:12;21:27;21:26;21:42;21:42;21:57;21:58;22:12;22:12;22:25;22:25;22:55;22:55;23:25;23:24;23:55;23:55
Richard-Lehmann-Straße, HTWK;04:14;04:13;04:29;04:30;;;04:56;04:56;05:26;05:26;05:56;05:56;06:26;06:26;06:56;06:56;07:26;07:27;07:56;07:58;08:26;08:27;08:56;08:56;;;09:13;09:15;09:28;09:28;09:43;09:44;09:58;09:58;10:13;10:13;10:28;10:28;10:43;10:44;10:58;10:58;11:13;11:14;11:28;11:28;11:43;11:43;11:58;11:58;12:13;12:14;12:28;12:28;12:43;12:43;12:58;12:59;13:13;13:13;13:28;13:27;13:43;13:43;13:58;13:58;14:13;14:12;14:28;14:28;14:43;14:43;14:58;14:59;15:13;15:12;15:28;15:28;15:43;15:43;15:58;15:58;16:13;16:12;16:28;16:28;16:43;16:44;16:58;16:59;17:13;17:13;17:28;17:28;17:43;17:42;17:58;17:57;18:13;18:14;18:28;18:28;18:43;18:44;18:58;18:58;19:13;19:14;19:28;19:29;19:43;19:43;19:58;19:58;20:13;20:14;20:28;20:28;20:43;20:45;20:58;20:58;21:13;21:13;21:28;21:28;21:43;21:43;21:58;21:59;22:13;22:14;22:26;22:27;22:56;22:56;23:26;23:25;23:56;23:56
A.-Hoffm./R.-Lehm.-Str.;04:15;04:14;04:30;04:31;;;04:57;04:57;05:27;05:27;05:57;05:57;06:27;06:26;06:57;06:57;07:27;07:27;07:57;07:59;08:27;08:28;08:57;08:57;;;09:14;09:16;09:29;09:28;09:44;09:45;09:59;09:59;10:14;10:14;10:29;10:30;10:44;10:45;10:59;10:59;11:14;11:15;11:29;11:29;11:44;11:45;11:59;12:00;12:14;12:15;12:29;12:30;12:44;12:43;12:59;12:59;13:14;13:14;13:29;13:28;13:44;13:43;13:59;13:59;14:14;14:14;14:29;14:29;14:44;14:44;14:59;15:00;15:14;15:13;15:29;15:29;15:44;15:44;15:59;15:58;16:14;16:13;16:29;16:29;16:44;16:45;16:59;17:00;17:14;17:14;17:29;17:29;17:44;17:43;17:59;17:58;18:14;18:14;18:29;18:30;18:44;18:45;18:59;18:59;19:14;19:15;19:29;19:30;19:44;19:44;19:59;19:59;20:14;20:16;20:29;20:30;20:44;20:46;20:59;20:58;21:14;21:14;21:29;21:29;21:44;21:44;21:59;22:00;22:14;22:15;22:27;22:28;22:57;22:57;23:27;23:27;23:57;23:57
Steinplatz;04:16;04:15;04:31;04:32;;;04:58;04:58;05:28;05:28;05:58;05:58;06:28;06:27;06:58;06:58;07:28;07:28;07:58;07:59;08:28;08:29;08:58;08:58;;;09:15;09:17;09:30;09:29;09:45;09:47;10:00;09:59;10:15;10:15;10:30;10:31;10:45;10:46;11:00;11:00;11:15;11:16;11:30;11:30;11:45;11:46;12:00;12:00;12:15;12:16;12:30;12:31;12:45;12:44;13:00;13:00;13:15;13:15;13:30;13:29;13:45;13:44;14:00;14:00;14:15;14:15;14:30;14:30;14:45;14:45;15:00;15:01;15:15;15:14;15:30;15:30;15:45;15:44;16:00;15:59;16:15;16:13;16:30;16:30;16:45;16:46;17:00;17:01;17:15;17:15;17:30;17:30;17:45;17:44;18:00;17:59;18:15;18:16;18:30;18:31;18:45;18:46;19:00;19:00;19:15;19:16;19:30;19:31;19:45;19:45;20:00;20:00;20:15;20:17;20:30;20:31;20:45;20:47;21:00;20:59;21:15;21:15;21:30;21:30;21:45;21:45;22:00;22:01;22:15;22:16;22:28;22:29;22:58;22:58;23:28;23:27;23:58;23:58
K.-Eisner-/A.-Hoffm.-S.;04:17;04:16;04:32;04:33;;;04:59;04:59;05:29;05:29;05:59;06:00;06:29;06:28;06:59;06:59;07:29;07:29;07:59;08:00;08:29;08:30;08:59;08:59;;;09:16;09:19;09:31;09:31;09:46;09:48;10:01;10:00;10:16;10:16;10:31;10:32;10:46;10:47;11:01;11:01;11:16;11:17;11:31;11:31;11:46;11:47;12:01;12:01;12:16;12:17;12:31;12:32;12:46;12:45;13:01;13:01;13:16;13:16;13:31;13:30;13:46;13:45;14:01;14:01;14:16;14:16;14:31;14:30;14:46;14:47;15:01;15:03;15:16;15:15;15:31;15:31;15:46;15:45;16:01;16:00;16:16;16:15;16:31;16:31;16:46;16:47;17:01;17:01;17:16;17:16;17:31;17:31;17:46;17:45;18:01;18:00;18:16;18:17;18:31;18:32;18:46;18:47;19:01;19:01;19:16;19:17;19:31;19:32;19:46;19:45;20:01;20:00;20:16;20:18;20:31;20:32;20:46;20:48;21:01;21:00;21:16;21:16;21:31;21:31;21:46;21:45;22:01;22:02;22:16;22:17;22:29;22:31;22:59;22:59;23:29;23:28;23:59;23:59
Körnerstraße;04:18;04:17;04:33;04:34;;;05:00;05:00;05:30;05:31;06:00;06:01;06:30;06:29;07:00;07:00;07:30;07:30;08:00;08:01;08:30;08:31;09:00;09:00;;;09:17;09:20;09:32;09:32;09:47;09:49;10:02;10:01;10:17;10:17;10:32;10:33;10:47;10:48;11:02;11:02;11:17;11:19;11:32;11:32;11:47;11:48;12:02;12:03;12:17;12:19;12:32;12:33;12:47;12:46;13:02;13:02;13:17;13:18;13:32;13:31;13:47;13:47;14:02;14:03;14:17;14:17;14:32;14:32;14:47;14:48;15:02;15:04;15:17;15:16;15:32;15:32;15:47;15:46;16:02;16:01;16:17;16:15;16:32;16:32;16:47;16:48;17:02;17:03;17:17;17:18;17:32;17:32;17:47;17:46;18:02;18:02;18:17;18:18;18:32;18:33;18:47;18:48;19:02;19:02;19:17;19:19;19:32;19:34;19:47;19:47;20:02;20:01;20:17;20:19;20:32;20:33;20:47;20:49;21:02;21:01;21:17;21:17;21:32;21:32;21:47;21:46;22:02;22:03;22:17;22:19;22:30;22:32;23:00;23:00;23:30;23:29;00:00;00:00
